Date,Guggenheim Solar_Open_average,Guggenheim Solar_Open_max,Guggenheim Solar_Open_min,Guggenheim Solar_Open_volatility,Guggenheim Solar_Open_change,Guggenheim Solar_High_average,Guggenheim Solar_High_max,Guggenheim Solar_High_min,Guggenheim Solar_High_volatility,Guggenheim Solar_High_change,Guggenheim Solar_Low_average,Guggenheim Solar_Low_max,Guggenheim Solar_Low_min,Guggenheim Solar_Low_volatility,Guggenheim Solar_Low_change,Guggenheim Solar_Close_average,Guggenheim Solar_Close_max,Guggenheim Solar_Close_min,Guggenheim Solar_Close_volatility,Guggenheim Solar_Close_change
2018-10-21,18.07,18.07,18.07,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.7,17.7,17.7,0.0,0.0
2018-10-28,20.26,20.26,20.26,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-11-04,20.2,20.2,20.2,0.0,0.0,20.27,20.27,20.27,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2018-11-11,20.49,20.49,20.49,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2018-11-18,20.35,20.35,20.35,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2018-11-25,21.44,21.44,21.44,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2018-12-02,20.07,20.07,20.07,0.0,0.0,20.19,20.19,20.19,0.0,0.0,19.8,19.8,19.8,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-12-09,19.95,19.95,19.95,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2018-12-16,18.13,18.13,18.13,0.0,0.0,18.28,18.28,18.28,0.0,0.0,17.95,17.95,17.95,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2018-12-23,18.63,18.63,18.63,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2018-12-30,19.73,19.73,19.73,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2019-01-06,20.24,20.24,20.24,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.35,20.35,20.35,0.0,0.0
2019-01-13,20.75,20.75,20.75,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.46,20.46,20.46,0.0,0.0
2019-01-20,21.78,21.78,21.78,0.0,0.0,22.29,22.29,22.29,0.0,0.0,21.77,21.77,21.77,0.0,0.0,22.26,22.26,22.26,0.0,0.0
