Date,iShares MSCI EAFE ESG Optimized_Open_average,iShares MSCI EAFE ESG Optimized_Open_max,iShares MSCI EAFE ESG Optimized_Open_min,iShares MSCI EAFE ESG Optimized_Open_volatility,iShares MSCI EAFE ESG Optimized_Open_change,iShares MSCI EAFE ESG Optimized_High_average,iShares MSCI EAFE ESG Optimized_High_max,iShares MSCI EAFE ESG Optimized_High_min,iShares MSCI EAFE ESG Optimized_High_volatility,iShares MSCI EAFE ESG Optimized_High_change,iShares MSCI EAFE ESG Optimized_Low_average,iShares MSCI EAFE ESG Optimized_Low_max,iShares MSCI EAFE ESG Optimized_Low_min,iShares MSCI EAFE ESG Optimized_Low_volatility,iShares MSCI EAFE ESG Optimized_Low_change,iShares MSCI EAFE ESG Optimized_Close_average,iShares MSCI EAFE ESG Optimized_Close_max,iShares MSCI EAFE ESG Optimized_Close_min,iShares MSCI EAFE ESG Optimized_Close_volatility,iShares MSCI EAFE ESG Optimized_Close_change
2018-03-25,67.34,67.34,67.34,0.0,0.0,67.34,67.34,67.34,0.0,0.0,65.91,65.91,65.91,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2018-04-01,67.67,67.67,67.67,0.0,0.0,68.02,68.02,68.02,0.0,0.0,67.57,67.57,67.57,0.0,0.0,67.58,67.58,67.58,0.0,0.0
2018-04-08,68.55,68.55,68.55,0.0,0.0,68.55,68.55,68.55,0.0,0.0,68.34,68.34,68.34,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-04-15,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.41,68.41,68.41,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2018-04-22,68.52,68.52,68.52,0.0,0.0,68.69,68.69,68.69,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-04-29,68.46,68.46,68.46,0.0,0.0,68.69,68.69,68.69,0.0,0.0,68.44,68.44,68.44,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2018-05-06,69.54,69.54,69.54,0.0,0.0,69.58,69.58,69.58,0.0,0.0,69.28,69.28,69.28,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-05-13,69.28,69.28,69.28,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.18,69.18,69.18,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2018-05-20,67.88,67.88,67.88,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.69,67.69,67.69,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2018-05-27,68.03,68.03,68.03,0.0,0.0,68.1,68.1,68.1,0.0,0.0,67.63,67.63,67.63,0.0,0.0,67.79,67.79,67.79,0.0,0.0
2018-06-03,68.21,68.21,68.21,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.21,68.21,68.21,0.0,0.0,68.49,68.49,68.49,0.0,0.0
2018-06-10,66.9,66.9,66.9,0.0,0.0,67.16,67.16,67.16,0.0,0.0,66.84,66.84,66.84,0.0,0.0,67.11,67.11,67.11,0.0,0.0
2018-06-17,65.21,65.21,65.21,0.0,0.0,65.21,65.21,65.21,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2018-06-24,64.2,64.2,64.2,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.18,64.18,64.18,0.0,0.0,64.51,64.51,64.51,0.0,0.0
2018-07-01,66.25,66.25,66.25,0.0,0.0,66.32,66.32,66.32,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2018-07-08,65.86,65.86,65.86,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2018-07-15,66.02,66.02,66.02,0.0,0.0,66.14,66.14,66.14,0.0,0.0,65.96,65.96,65.96,0.0,0.0,66.01,66.01,66.01,0.0,0.0
2018-07-22,67.05,67.05,67.05,0.0,0.0,67.08,67.08,67.08,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2018-07-29,65.7,65.7,65.7,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2018-08-05,64.75,64.75,64.75,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.6,64.6,64.6,0.0,0.0
2018-08-12,64.77,64.77,64.77,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.87,64.87,64.87,0.0,0.0
2018-08-19,66.02,66.02,66.02,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-08-26,65.8,65.8,65.8,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.26,65.26,65.26,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-09-02,64.23,64.23,64.23,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.07,64.07,64.07,0.0,0.0,64.12,64.12,64.12,0.0,0.0
2018-09-09,65.37,65.37,65.37,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.13,65.13,65.13,0.0,0.0,65.14,65.14,65.14,0.0,0.0
2018-09-16,66.81,66.81,66.81,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.56,66.56,66.56,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2018-09-23,66.49,66.49,66.49,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.29,66.29,66.29,0.0,0.0,66.33,66.33,66.33,0.0,0.0
2018-09-30,63.96,63.96,63.96,0.0,0.0,64.32,64.32,64.32,0.0,0.0,63.76,63.76,63.76,0.0,0.0,64.32,64.32,64.32,0.0,0.0
2018-10-07,61.87,61.87,61.87,0.0,0.0,62.27,62.27,62.27,0.0,0.0,61.86,61.86,61.86,0.0,0.0,62.06,62.06,62.06,0.0,0.0
2018-10-14,62.02,62.02,62.02,0.0,0.0,62.06,62.06,62.06,0.0,0.0,61.59,61.59,61.59,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2018-10-21,60.35,60.35,60.35,0.0,0.0,60.47,60.47,60.47,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2018-10-28,61.52,61.52,61.52,0.0,0.0,61.72,61.72,61.72,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.57,61.57,61.57,0.0,0.0
2018-11-04,61.28,61.28,61.28,0.0,0.0,61.28,61.28,61.28,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.66,60.66,60.66,0.0,0.0
2018-11-11,61.28,61.28,61.28,0.0,0.0,61.28,61.28,61.28,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2018-11-18,60.91,60.91,60.91,0.0,0.0,61.1,61.1,61.1,0.0,0.0,60.88,60.88,60.88,0.0,0.0,61.04,61.04,61.04,0.0,0.0
2018-11-25,62.11,62.11,62.11,0.0,0.0,62.11,62.11,62.11,0.0,0.0,61.74,61.74,61.74,0.0,0.0,61.98,61.98,61.98,0.0,0.0
2018-12-02,58.92,58.92,58.92,0.0,0.0,58.94,58.94,58.94,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2018-12-09,58.77,58.77,58.77,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-12-16,56.08,56.08,56.08,0.0,0.0,56.33,56.33,56.33,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2018-12-23,57.58,57.58,57.58,0.0,0.0,57.58,57.58,57.58,0.0,0.0,56.88,56.88,56.88,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-12-30,58.33,58.33,58.33,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.24,58.24,58.24,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2019-01-06,59.03,59.03,59.03,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2019-01-13,60.38,60.38,60.38,0.0,0.0,60.51,60.51,60.51,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2019-01-20,60.21,60.21,60.21,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2019-01-27,60.94,60.94,60.94,0.0,0.0,61.21,61.21,61.21,0.0,0.0,60.84,60.84,60.84,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2019-02-03,60.45,60.45,60.45,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.3,60.3,60.3,0.0,0.0
2019-02-10,61.6,61.6,61.6,0.0,0.0,61.94,61.94,61.94,0.0,0.0,61.6,61.6,61.6,0.0,0.0,61.94,61.94,61.94,0.0,0.0
2019-02-17,62.88,62.88,62.88,0.0,0.0,62.9,62.9,62.9,0.0,0.0,62.65,62.65,62.65,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2019-02-24,62.99,62.99,62.99,0.0,0.0,62.99,62.99,62.99,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.76,62.76,62.76,0.0,0.0
2019-03-03,61.89,61.89,61.89,0.0,0.0,62.39,62.39,62.39,0.0,0.0,61.89,61.89,61.89,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2019-03-10,63.69,63.69,63.69,0.0,0.0,63.83,63.83,63.83,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.76,63.76,63.76,0.0,0.0
2019-03-17,62.62,62.62,62.62,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.7,62.7,62.7,0.0,0.0
2019-03-24,63.73,63.73,63.73,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2019-03-31,64.51,64.51,64.51,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.37,64.37,64.37,0.0,0.0,64.59,64.59,64.59,0.0,0.0
2019-04-07,64.81,64.81,64.81,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.69,64.69,64.69,0.0,0.0,64.74,64.74,64.74,0.0,0.0
2019-04-14,64.93,64.93,64.93,0.0,0.0,65.1,65.1,65.1,0.0,0.0,64.84,64.84,64.84,0.0,0.0,65.01,65.01,65.01,0.0,0.0
2019-04-21,64.85,64.85,64.85,0.0,0.0,65.1,65.1,65.1,0.0,0.0,64.82,64.82,64.82,0.0,0.0,65.07,65.07,65.07,0.0,0.0
2019-04-28,63.95,63.95,63.95,0.0,0.0,64.68,64.68,64.68,0.0,0.0,63.95,63.95,63.95,0.0,0.0,64.64,64.64,64.64,0.0,0.0
2019-05-05,62.62,62.62,62.62,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2019-05-12,62.9,62.9,62.9,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.77,62.77,62.77,0.0,0.0,62.86,62.86,62.86,0.0,0.0
2019-05-19,63.07,63.07,63.07,0.0,0.0,63.14,63.14,63.14,0.0,0.0,62.89,62.89,62.89,0.0,0.0,63.13,63.13,63.13,0.0,0.0
2019-05-26,62.04,62.04,62.04,0.0,0.0,62.29,62.29,62.29,0.0,0.0,61.91,61.91,61.91,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2019-06-02,64.17,64.17,64.17,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.11,64.11,64.11,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2019-06-09,62.4,62.4,62.4,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.37,62.37,62.37,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2019-06-16,64.16,64.16,64.16,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.15,64.15,64.15,0.0,0.0
2019-06-23,64.92,64.92,64.92,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.71,64.71,64.71,0.0,0.0
2019-06-30,64.39,64.39,64.39,0.0,0.0,64.48,64.48,64.48,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.43,64.43,64.43,0.0,0.0
2019-07-07,64.47,64.47,64.47,0.0,0.0,64.47,64.47,64.47,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2019-07-14,64.13,64.13,64.13,0.0,0.0,64.18,64.18,64.18,0.0,0.0,63.99,63.99,63.99,0.0,0.0,64.12,64.12,64.12,0.0,0.0
2019-07-21,64.29,64.29,64.29,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.09,64.09,64.09,0.0,0.0,64.23,64.23,64.23,0.0,0.0
2019-07-28,61.54,61.54,61.54,0.0,0.0,61.54,61.54,61.54,0.0,0.0,60.68,60.68,60.68,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2019-08-04,61.5,61.5,61.5,0.0,0.0,61.64,61.64,61.64,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.26,61.26,61.26,0.0,0.0
2019-08-11,61.61,61.61,61.61,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.47,61.47,61.47,0.0,0.0
2019-08-18,61.37,61.37,61.37,0.0,0.0,61.64,61.64,61.64,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.48,61.48,61.48,0.0,0.0
2019-08-25,62.27,62.27,62.27,0.0,0.0,62.31,62.31,62.31,0.0,0.0,61.86,61.86,61.86,0.0,0.0,62.15,62.15,62.15,0.0,0.0
2019-09-01,63.63,63.63,63.63,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.47,63.47,63.47,0.0,0.0,63.55,63.55,63.55,0.0,0.0
2019-09-08,64.44,64.44,64.44,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.21,64.21,64.21,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2019-09-15,64.16,64.16,64.16,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.07,64.07,64.07,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2019-09-22,64.0,64.0,64.0,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.98,63.98,63.98,0.0,0.0,64.12,64.12,64.12,0.0,0.0
2019-09-29,63.21,63.21,63.21,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.21,63.21,63.21,0.0,0.0,63.24,63.24,63.24,0.0,0.0
2019-10-06,64.31,64.31,64.31,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.36,64.36,64.36,0.0,0.0
2019-10-13,65.85,65.85,65.85,0.0,0.0,65.85,65.85,65.85,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2019-10-20,66.26,66.26,66.26,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2019-10-27,67.53,67.53,67.53,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.43,67.43,67.43,0.0,0.0
2019-11-03,67.14,67.14,67.14,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.14,67.14,67.14,0.0,0.0,67.31,67.31,67.31,0.0,0.0
2019-11-10,67.3,67.3,67.3,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.23,67.23,67.23,0.0,0.0,67.4,67.4,67.4,0.0,0.0
2019-11-17,67.24,67.24,67.24,0.0,0.0,67.48,67.48,67.48,0.0,0.0,67.24,67.24,67.24,0.0,0.0,67.43,67.43,67.43,0.0,0.0
2019-11-24,67.08,67.08,67.08,0.0,0.0,67.13,67.13,67.13,0.0,0.0,66.56,66.56,66.56,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2019-12-01,67.63,67.63,67.63,0.0,0.0,67.73,67.73,67.73,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.38,67.38,67.38,0.0,0.0
2019-12-08,68.77,68.77,68.77,0.0,0.0,68.92,68.92,68.92,0.0,0.0,68.74,68.74,68.74,0.0,0.0,68.8,68.8,68.8,0.0,0.0
2019-12-15,68.46,68.46,68.46,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.4,68.4,68.4,0.0,0.0,68.56,68.56,68.56,0.0,0.0
2019-12-22,68.97,68.97,68.97,0.0,0.0,69.01,69.01,69.01,0.0,0.0,68.4,68.4,68.4,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2019-12-29,68.5,68.5,68.5,0.0,0.0,68.93,68.93,68.93,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.52,68.52,68.52,0.0,0.0
