Date,AdvisorShares Wilshire BuybackEtf_Open_average,AdvisorShares Wilshire BuybackEtf_Open_max,AdvisorShares Wilshire BuybackEtf_Open_min,AdvisorShares Wilshire BuybackEtf_Open_volatility,AdvisorShares Wilshire BuybackEtf_Open_change,AdvisorShares Wilshire BuybackEtf_High_average,AdvisorShares Wilshire BuybackEtf_High_max,AdvisorShares Wilshire BuybackEtf_High_min,AdvisorShares Wilshire BuybackEtf_High_volatility,AdvisorShares Wilshire BuybackEtf_High_change,AdvisorShares Wilshire BuybackEtf_Low_average,AdvisorShares Wilshire BuybackEtf_Low_max,AdvisorShares Wilshire BuybackEtf_Low_min,AdvisorShares Wilshire BuybackEtf_Low_volatility,AdvisorShares Wilshire BuybackEtf_Low_change,AdvisorShares Wilshire BuybackEtf_Close_average,AdvisorShares Wilshire BuybackEtf_Close_max,AdvisorShares Wilshire BuybackEtf_Close_min,AdvisorShares Wilshire BuybackEtf_Close_volatility,AdvisorShares Wilshire BuybackEtf_Close_change
2019-01-13,62.54,62.54,62.54,0.0,0.0,63.06,63.06,63.06,0.0,0.0,62.29,62.29,62.29,0.0,0.0,62.67,62.67,62.67,0.0,0.0
2019-01-20,63.0,63.0,63.0,0.0,0.0,63.25,63.25,63.25,0.0,0.0,62.83,62.83,62.83,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2019-01-27,63.49,63.49,63.49,0.0,0.0,63.53,63.53,63.53,0.0,0.0,63.49,63.49,63.49,0.0,0.0,63.53,63.53,63.53,0.0,0.0
2019-02-03,63.16,63.16,63.16,0.0,0.0,63.22,63.22,63.22,0.0,0.0,62.84,62.84,62.84,0.0,0.0,63.21,63.21,63.21,0.0,0.0
2019-02-10,64.5,64.5,64.5,0.0,0.0,65.35,65.35,65.35,0.0,0.0,64.5,64.5,64.5,0.0,0.0,65.35,65.35,65.35,0.0,0.0
2019-02-17,64.86,64.86,64.86,0.0,0.0,65.39,65.39,65.39,0.0,0.0,64.81,64.81,64.81,0.0,0.0,65.39,65.39,65.39,0.0,0.0
2019-02-24,65.28,65.28,65.28,0.0,0.0,65.88,65.88,65.88,0.0,0.0,65.28,65.28,65.28,0.0,0.0,65.39,65.39,65.39,0.0,0.0
2019-03-03,63.48,63.48,63.48,0.0,0.0,64.11,64.11,64.11,0.0,0.0,63.48,63.48,63.48,0.0,0.0,64.11,64.11,64.11,0.0,0.0
2019-03-10,65.34,65.34,65.34,0.0,0.0,65.8,65.8,65.8,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.8,65.8,65.8,0.0,0.0
2019-03-17,64.87,64.87,64.87,0.0,0.0,65.21,65.21,65.21,0.0,0.0,64.87,64.87,64.87,0.0,0.0,65.21,65.21,65.21,0.0,0.0
2019-03-24,65.23,65.23,65.23,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.54,65.54,65.54,0.0,0.0
2019-03-31,66.56,66.56,66.56,0.0,0.0,66.56,66.56,66.56,0.0,0.0,65.82,65.82,65.82,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2019-04-07,66.34,66.34,66.34,0.0,0.0,66.94,66.94,66.94,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.75,66.75,66.75,0.0,0.0
2019-04-14,66.14,66.14,66.14,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2019-04-21,66.73,66.73,66.73,0.0,0.0,66.87,66.87,66.87,0.0,0.0,66.48,66.48,66.48,0.0,0.0,66.87,66.87,66.87,0.0,0.0
2019-04-28,66.62,66.62,66.62,0.0,0.0,67.18,67.18,67.18,0.0,0.0,66.62,66.62,66.62,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2019-05-05,65.86,65.86,65.86,0.0,0.0,66.48,66.48,66.48,0.0,0.0,65.54,65.54,65.54,0.0,0.0,66.48,66.48,66.48,0.0,0.0
2019-05-12,64.49,64.49,64.49,0.0,0.0,66.32,66.32,66.32,0.0,0.0,64.49,64.49,64.49,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2019-05-19,66.11,66.11,66.11,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2019-05-26,64.19,64.19,64.19,0.0,0.0,64.4,64.4,64.4,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.4,64.4,64.4,0.0,0.0
2019-06-02,66.12,66.12,66.12,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.12,66.12,66.12,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2019-06-09,66.87,66.87,66.87,0.0,0.0,67.07,67.07,67.07,0.0,0.0,66.86,66.86,66.86,0.0,0.0,67.07,67.07,67.07,0.0,0.0
2019-06-16,68.39,68.39,68.39,0.0,0.0,68.56,68.56,68.56,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.52,68.52,68.52,0.0,0.0
2019-06-23,67.88,67.88,67.88,0.0,0.0,68.18,68.18,68.18,0.0,0.0,67.75,67.75,67.75,0.0,0.0,68.08,68.08,68.08,0.0,0.0
2019-06-30,68.7,68.7,68.7,0.0,0.0,68.98,68.98,68.98,0.0,0.0,68.7,68.7,68.7,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2019-07-07,69.66,69.66,69.66,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.72,69.72,69.72,0.0,0.0
2019-07-14,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.45,69.45,69.45,0.0,0.0
2019-07-21,69.73,69.73,69.73,0.0,0.0,70.14,70.14,70.14,0.0,0.0,69.73,69.73,69.73,0.0,0.0,70.14,70.14,70.14,0.0,0.0
2019-07-28,67.42,67.42,67.42,0.0,0.0,68.31,68.31,68.31,0.0,0.0,67.42,67.42,67.42,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2019-08-04,68.7,68.7,68.7,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.67,68.67,68.67,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2019-08-11,67.89,67.89,67.89,0.0,0.0,68.08,68.08,68.08,0.0,0.0,67.89,67.89,67.89,0.0,0.0,68.08,68.08,68.08,0.0,0.0
2019-08-18,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,67.49,67.49,67.49,0.0,0.0,67.78,67.78,67.78,0.0,0.0
2019-08-25,69.29,69.29,69.29,0.0,0.0,69.42,69.42,69.42,0.0,0.0,69.29,69.29,69.29,0.0,0.0,69.42,69.42,69.42,0.0,0.0
2019-09-01,69.29,69.29,69.29,0.0,0.0,70.37,70.37,70.37,0.0,0.0,69.29,69.29,69.29,0.0,0.0,70.14,70.14,70.14,0.0,0.0
2019-09-08,69.99,69.99,69.99,0.0,0.0,70.73,70.73,70.73,0.0,0.0,69.99,69.99,69.99,0.0,0.0,70.55,70.55,70.55,0.0,0.0
2019-09-15,71.02,71.02,71.02,0.0,0.0,71.02,71.02,71.02,0.0,0.0,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0
2019-09-22,69.78,69.78,69.78,0.0,0.0,69.78,69.78,69.78,0.0,0.0,69.19,69.19,69.19,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2019-09-29,68.25,68.25,68.25,0.0,0.0,68.99,68.99,68.99,0.0,0.0,67.8,67.8,67.8,0.0,0.0,68.82,68.82,68.82,0.0,0.0
2019-10-06,69.91,69.91,69.91,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.47,69.47,69.47,0.0,0.0
2019-10-13,70.07,70.07,70.07,0.0,0.0,70.07,70.07,70.07,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2019-10-20,71.04,71.04,71.04,0.0,0.0,71.04,71.04,71.04,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.72,70.72,70.72,0.0,0.0
2019-10-27,71.38,71.38,71.38,0.0,0.0,71.38,71.38,71.38,0.0,0.0,71.38,71.38,71.38,0.0,0.0,71.38,71.38,71.38,0.0,0.0
2019-11-03,72.08,72.08,72.08,0.0,0.0,72.19,72.19,72.19,0.0,0.0,71.79,71.79,71.79,0.0,0.0,71.8,71.8,71.8,0.0,0.0
2019-11-10,72.5,72.5,72.5,0.0,0.0,73.17,73.17,73.17,0.0,0.0,72.16,72.16,72.16,0.0,0.0,73.0,73.0,73.0,0.0,0.0
2019-11-17,72.68,72.68,72.68,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.68,72.68,72.68,0.0,0.0
2019-11-24,73.09,73.09,73.09,0.0,0.0,73.09,73.09,73.09,0.0,0.0,73.09,73.09,73.09,0.0,0.0,73.09,73.09,73.09,0.0,0.0
2019-12-01,73.56,73.56,73.56,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.56,73.56,73.56,0.0,0.0
2019-12-08,73.81,73.81,73.81,0.0,0.0,74.06,74.06,74.06,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.8,73.8,73.8,0.0,0.0
2019-12-15,75.36,75.36,75.36,0.0,0.0,75.36,75.36,75.36,0.0,0.0,75.36,75.36,75.36,0.0,0.0,75.36,75.36,75.36,0.0,0.0
2019-12-22,76.47,76.47,76.47,0.0,0.0,76.47,76.47,76.47,0.0,0.0,75.06,75.06,75.06,0.0,0.0,75.06,75.06,75.06,0.0,0.0
2019-12-29,75.23,75.23,75.23,0.0,0.0,75.23,75.23,75.23,0.0,0.0,74.91,74.91,74.91,0.0,0.0,74.91,74.91,74.91,0.0,0.0
