Date,iShares North American Tech_Open_average,iShares North American Tech_Open_max,iShares North American Tech_Open_min,iShares North American Tech_Open_volatility,iShares North American Tech_Open_change,iShares North American Tech_High_average,iShares North American Tech_High_max,iShares North American Tech_High_min,iShares North American Tech_High_volatility,iShares North American Tech_High_change,iShares North American Tech_Low_average,iShares North American Tech_Low_max,iShares North American Tech_Low_min,iShares North American Tech_Low_volatility,iShares North American Tech_Low_change,iShares North American Tech_Close_average,iShares North American Tech_Close_max,iShares North American Tech_Close_min,iShares North American Tech_Close_volatility,iShares North American Tech_Close_change
2018-04-22,181.95,181.95,181.95,0.0,0.0,183.37,183.37,183.37,0.0,0.0,180.52,180.52,180.52,0.0,0.0,180.9,180.9,180.9,0.0,0.0
2018-04-29,186.9,186.9,186.9,0.0,0.0,188.55,188.55,188.55,0.0,0.0,186.61,186.61,186.61,0.0,0.0,187.86,187.86,187.86,0.0,0.0
2018-05-06,192.85,192.85,192.85,0.0,0.0,193.43,193.43,193.43,0.0,0.0,191.72,191.72,191.72,0.0,0.0,191.81,191.81,191.81,0.0,0.0
2018-05-13,191.14,191.14,191.14,0.0,0.0,191.83,191.83,191.83,0.0,0.0,190.05,190.05,190.05,0.0,0.0,190.88,190.88,190.88,0.0,0.0
2018-05-20,192.05,192.05,192.05,0.0,0.0,192.73,192.73,192.73,0.0,0.0,191.77,191.77,191.77,0.0,0.0,192.15,192.15,192.15,0.0,0.0
2018-05-27,196.64,196.64,196.64,0.0,0.0,197.87,197.87,197.87,0.0,0.0,196.36,196.36,196.36,0.0,0.0,197.79,197.79,197.79,0.0,0.0
2018-06-03,197.97,197.97,197.97,0.0,0.0,198.74,198.74,198.74,0.0,0.0,197.58,197.58,197.58,0.0,0.0,198.09,198.09,198.09,0.0,0.0
2018-06-10,199.07,199.07,199.07,0.0,0.0,200.9,200.9,200.9,0.0,0.0,198.34,198.34,198.34,0.0,0.0,200.82,200.82,200.82,0.0,0.0
2018-06-17,196.18,196.18,196.18,0.0,0.0,196.18,196.18,196.18,0.0,0.0,191.2,191.2,191.2,0.0,0.0,192.75,192.75,192.75,0.0,0.0
2018-06-24,191.33,191.33,191.33,0.0,0.0,194.95,194.95,194.95,0.0,0.0,191.22,191.22,191.22,0.0,0.0,194.95,194.95,194.95,0.0,0.0
2018-07-01,198.83,198.83,198.83,0.0,0.0,199.42,199.42,199.42,0.0,0.0,197.7,197.7,197.7,0.0,0.0,199.42,199.42,199.42,0.0,0.0
2018-07-08,202.34,202.34,202.34,0.0,0.0,202.8,202.8,202.8,0.0,0.0,201.59,201.59,201.59,0.0,0.0,201.67,201.67,201.67,0.0,0.0
2018-07-15,201.73,201.73,201.73,0.0,0.0,202.84,202.84,202.84,0.0,0.0,200.53,200.53,200.53,0.0,0.0,202.74,202.74,202.74,0.0,0.0
2018-07-22,199.72,199.72,199.72,0.0,0.0,199.72,199.72,199.72,0.0,0.0,194.57,194.57,194.57,0.0,0.0,195.53,195.53,195.53,0.0,0.0
2018-07-29,200.53,200.53,200.53,0.0,0.0,202.24,202.24,202.24,0.0,0.0,200.13,200.13,200.13,0.0,0.0,202.22,202.22,202.22,0.0,0.0
2018-08-05,202.58,202.58,202.58,0.0,0.0,204.34,204.34,204.34,0.0,0.0,201.94,201.94,201.94,0.0,0.0,202.01,202.01,202.01,0.0,0.0
2018-08-12,201.8,201.8,201.8,0.0,0.0,201.8,201.8,201.8,0.0,0.0,200.31,200.31,200.31,0.0,0.0,201.38,201.38,201.38,0.0,0.0
2018-08-19,207.04,207.04,207.04,0.0,0.0,208.03,208.03,208.03,0.0,0.0,206.83,206.83,206.83,0.0,0.0,207.89,207.89,207.89,0.0,0.0
2018-08-26,209.78,209.78,209.78,0.0,0.0,210.85,210.85,210.85,0.0,0.0,209.78,209.78,209.78,0.0,0.0,210.47,210.47,210.47,0.0,0.0
2018-09-02,205.61,205.61,205.61,0.0,0.0,205.61,205.61,205.61,0.0,0.0,204.07,204.07,204.07,0.0,0.0,205.16,205.16,205.16,0.0,0.0
2018-09-09,207.87,207.87,207.87,0.0,0.0,207.87,207.87,207.87,0.0,0.0,204.66,204.66,204.66,0.0,0.0,204.85,204.85,204.85,0.0,0.0
2018-09-16,205.99,205.99,205.99,0.0,0.0,208.13,208.13,208.13,0.0,0.0,205.01,205.01,205.01,0.0,0.0,208.06,208.06,208.06,0.0,0.0
2018-09-23,210.53,210.53,210.53,0.0,0.0,211.34,211.34,211.34,0.0,0.0,209.21,209.21,209.21,0.0,0.0,209.71,209.71,209.71,0.0,0.0
2018-09-30,201.8,201.8,201.8,0.0,0.0,202.52,202.52,202.52,0.0,0.0,197.87,197.87,197.87,0.0,0.0,200.16,200.16,200.16,0.0,0.0
2018-10-07,193.45,193.45,193.45,0.0,0.0,193.56,193.56,193.56,0.0,0.0,190.78,190.78,190.78,0.0,0.0,191.46,191.46,191.46,0.0,0.0
2018-10-14,192.55,192.55,192.55,0.0,0.0,194.32,194.32,194.32,0.0,0.0,191.24,191.24,191.24,0.0,0.0,193.11,193.11,193.11,0.0,0.0
2018-10-21,187.25,187.25,187.25,0.0,0.0,188.25,188.25,188.25,0.0,0.0,176.65,176.65,176.65,0.0,0.0,180.32,180.32,180.32,0.0,0.0
2018-10-28,188.12,188.12,188.12,0.0,0.0,188.12,188.12,188.12,0.0,0.0,185.08,185.08,185.08,0.0,0.0,187.2,187.2,187.2,0.0,0.0
2018-11-04,188.45,188.45,188.45,0.0,0.0,188.45,188.45,188.45,0.0,0.0,183.0,183.0,183.0,0.0,0.0,183.55,183.55,183.55,0.0,0.0
2018-11-11,184.13,184.13,184.13,0.0,0.0,184.85,184.85,184.85,0.0,0.0,176.81,176.81,176.81,0.0,0.0,177.2,177.2,177.2,0.0,0.0
2018-11-18,177.62,177.62,177.62,0.0,0.0,179.8,179.8,179.8,0.0,0.0,177.25,177.25,177.25,0.0,0.0,179.68,179.68,179.68,0.0,0.0
2018-11-25,191.84,191.84,191.84,0.0,0.0,192.0,192.0,192.0,0.0,0.0,189.68,189.68,189.68,0.0,0.0,190.94,190.94,190.94,0.0,0.0
2018-12-02,178.12,178.12,178.12,0.0,0.0,181.6,181.6,181.6,0.0,0.0,177.07,177.07,177.07,0.0,0.0,180.97,180.97,180.97,0.0,0.0
2018-12-09,177.63,177.63,177.63,0.0,0.0,178.58,178.58,178.58,0.0,0.0,172.47,172.47,172.47,0.0,0.0,173.73,173.73,173.73,0.0,0.0
2018-12-16,161.27,161.27,161.27,0.0,0.0,163.73,163.73,163.73,0.0,0.0,159.3,159.3,159.3,0.0,0.0,159.35,159.35,159.35,0.0,0.0
2018-12-23,172.36,172.36,172.36,0.0,0.0,172.88,172.88,172.88,0.0,0.0,170.46,170.46,170.46,0.0,0.0,171.71,171.71,171.71,0.0,0.0
2018-12-30,173.71,173.71,173.71,0.0,0.0,176.62,176.62,176.62,0.0,0.0,173.68,173.68,173.68,0.0,0.0,175.68,175.68,175.68,0.0,0.0
2019-01-06,178.07,178.07,178.07,0.0,0.0,178.87,178.87,178.87,0.0,0.0,177.41,177.41,177.41,0.0,0.0,178.14,178.14,178.14,0.0,0.0
2019-01-13,184.39,184.39,184.39,0.0,0.0,186.1,186.1,186.1,0.0,0.0,183.49,183.49,183.49,0.0,0.0,185.13,185.13,185.13,0.0,0.0
2019-01-20,183.92,183.92,183.92,0.0,0.0,184.06,184.06,184.06,0.0,0.0,182.69,182.69,182.69,0.0,0.0,183.97,183.97,183.97,0.0,0.0
2019-01-27,189.54,189.54,189.54,0.0,0.0,192.2,192.2,192.2,0.0,0.0,189.54,189.54,189.54,0.0,0.0,192.1,192.1,192.1,0.0,0.0
2019-02-03,192.48,192.48,192.48,0.0,0.0,192.73,192.73,192.73,0.0,0.0,191.51,191.51,191.51,0.0,0.0,191.87,191.87,191.87,0.0,0.0
2019-02-10,196.75,196.75,196.75,0.0,0.0,196.75,196.75,196.75,0.0,0.0,195.25,195.25,195.25,0.0,0.0,196.06,196.06,196.06,0.0,0.0
2019-02-17,199.72,199.72,199.72,0.0,0.0,200.34,200.34,200.34,0.0,0.0,198.93,198.93,198.93,0.0,0.0,199.02,199.02,199.02,0.0,0.0
2019-02-24,201.14,201.14,201.14,0.0,0.0,201.55,201.55,201.55,0.0,0.0,197.27,197.27,197.27,0.0,0.0,199.58,199.58,199.58,0.0,0.0
2019-03-03,197.1,197.1,197.1,0.0,0.0,200.61,200.61,200.61,0.0,0.0,197.1,197.1,197.1,0.0,0.0,200.54,200.54,200.54,0.0,0.0
2019-03-10,204.3,204.3,204.3,0.0,0.0,205.43,205.43,205.43,0.0,0.0,203.67,203.67,203.67,0.0,0.0,204.65,204.65,204.65,0.0,0.0
2019-03-17,204.12,204.12,204.12,0.0,0.0,205.09,205.09,205.09,0.0,0.0,202.9,202.9,202.9,0.0,0.0,204.46,204.46,204.46,0.0,0.0
2019-03-24,208.23,208.23,208.23,0.0,0.0,209.45,209.45,209.45,0.0,0.0,207.47,207.47,207.47,0.0,0.0,209.3,209.3,209.3,0.0,0.0
2019-03-31,211.18,211.18,211.18,0.0,0.0,212.26,212.26,212.26,0.0,0.0,210.39,210.39,210.39,0.0,0.0,212.24,212.24,212.24,0.0,0.0
2019-04-07,214.17,214.17,214.17,0.0,0.0,214.32,214.32,214.32,0.0,0.0,212.76,212.76,212.76,0.0,0.0,214.03,214.03,214.03,0.0,0.0
2019-04-14,214.79,214.79,214.79,0.0,0.0,217.14,217.14,217.14,0.0,0.0,214.79,214.79,214.79,0.0,0.0,217.13,217.13,217.13,0.0,0.0
2019-04-21,220.31,220.31,220.31,0.0,0.0,221.2,221.2,221.2,0.0,0.0,220.16,220.16,220.16,0.0,0.0,220.77,220.77,220.77,0.0,0.0
2019-04-28,214.84,214.84,214.84,0.0,0.0,219.05,219.05,219.05,0.0,0.0,214.4,214.4,214.4,0.0,0.0,218.83,218.83,218.83,0.0,0.0
2019-05-05,207.15,207.15,207.15,0.0,0.0,208.19,208.19,208.19,0.0,0.0,204.47,204.47,204.47,0.0,0.0,204.98,204.98,204.98,0.0,0.0
2019-05-12,207.47,207.47,207.47,0.0,0.0,208.73,208.73,208.73,0.0,0.0,206.54,206.54,206.54,0.0,0.0,207.31,207.31,207.31,0.0,0.0
2019-05-19,206.24,206.24,206.24,0.0,0.0,207.27,207.27,207.27,0.0,0.0,205.16,205.16,205.16,0.0,0.0,205.3,205.3,205.3,0.0,0.0
2019-05-26,200.62,200.62,200.62,0.0,0.0,200.93,200.93,200.93,0.0,0.0,194.31,194.31,194.31,0.0,0.0,195.46,195.46,195.46,0.0,0.0
2019-06-02,210.76,210.76,210.76,0.0,0.0,213.89,213.89,213.89,0.0,0.0,210.76,210.76,210.76,0.0,0.0,211.66,211.66,211.66,0.0,0.0
2019-06-09,210.27,210.27,210.27,0.0,0.0,211.57,211.57,211.57,0.0,0.0,210.27,210.27,210.27,0.0,0.0,210.89,210.89,210.89,0.0,0.0
2019-06-16,217.09,217.09,217.09,0.0,0.0,217.36,217.36,217.36,0.0,0.0,216.57,216.57,216.57,0.0,0.0,216.72,216.72,216.72,0.0,0.0
2019-06-23,219.93,219.93,219.93,0.0,0.0,220.18,220.18,220.18,0.0,0.0,218.0,218.0,218.0,0.0,0.0,218.61,218.61,218.61,0.0,0.0
2019-06-30,219.71,219.71,219.71,0.0,0.0,219.74,219.74,219.74,0.0,0.0,218.89,218.89,218.89,0.0,0.0,219.55,219.55,219.55,0.0,0.0
2019-07-07,225.48,225.48,225.48,0.0,0.0,225.59,225.59,225.59,0.0,0.0,224.78,224.78,224.78,0.0,0.0,225.56,225.56,225.56,0.0,0.0
2019-07-14,222.89,222.89,222.89,0.0,0.0,224.79,224.79,224.79,0.0,0.0,222.89,222.89,222.89,0.0,0.0,224.37,224.37,224.37,0.0,0.0
2019-07-21,228.27,228.27,228.27,0.0,0.0,228.27,228.27,228.27,0.0,0.0,225.85,225.85,225.85,0.0,0.0,227.39,227.39,227.39,0.0,0.0
2019-07-28,212.19,212.19,212.19,0.0,0.0,212.19,212.19,212.19,0.0,0.0,207.19,207.19,207.19,0.0,0.0,209.06,209.06,209.06,0.0,0.0
2019-08-04,214.65,214.65,214.65,0.0,0.0,215.23,215.23,215.23,0.0,0.0,213.05,213.05,213.05,0.0,0.0,213.23,213.23,213.23,0.0,0.0
2019-08-11,217.52,217.52,217.52,0.0,0.0,218.1,218.1,218.1,0.0,0.0,216.62,216.62,216.62,0.0,0.0,217.47,217.47,217.47,0.0,0.0
2019-08-18,213.75,213.75,213.75,0.0,0.0,213.92,213.92,213.92,0.0,0.0,212.03,212.03,212.03,0.0,0.0,213.92,213.92,213.92,0.0,0.0
2019-08-25,218.52,218.52,218.52,0.0,0.0,218.52,218.52,218.52,0.0,0.0,215.61,215.61,215.61,0.0,0.0,216.87,216.87,216.87,0.0,0.0
2019-09-01,222.6,222.6,222.6,0.0,0.0,222.6,222.6,222.6,0.0,0.0,219.26,219.26,219.26,0.0,0.0,220.52,220.52,220.52,0.0,0.0
2019-09-08,219.65,219.65,219.65,0.0,0.0,221.1,221.1,221.1,0.0,0.0,219.65,219.65,219.65,0.0,0.0,220.85,220.85,220.85,0.0,0.0
2019-09-15,219.07,219.07,219.07,0.0,0.0,220.15,220.15,220.15,0.0,0.0,218.61,218.61,218.61,0.0,0.0,219.56,219.56,219.56,0.0,0.0
2019-09-22,215.96,215.96,215.96,0.0,0.0,217.5,217.5,217.5,0.0,0.0,215.49,215.49,215.49,0.0,0.0,217.02,217.02,217.02,0.0,0.0
2019-09-29,216.69,216.69,216.69,0.0,0.0,218.21,218.21,218.21,0.0,0.0,216.45,216.45,216.45,0.0,0.0,216.72,216.72,216.72,0.0,0.0
2019-10-06,219.19,219.19,219.19,0.0,0.0,219.87,219.87,219.87,0.0,0.0,219.19,219.19,219.19,0.0,0.0,219.5,219.5,219.5,0.0,0.0
2019-10-13,219.77,219.77,219.77,0.0,0.0,220.75,220.75,220.75,0.0,0.0,219.41,219.41,219.41,0.0,0.0,220.75,220.75,220.75,0.0,0.0
2019-10-20,223.72,223.72,223.72,0.0,0.0,225.29,225.29,225.29,0.0,0.0,223.67,223.67,223.67,0.0,0.0,225.05,225.05,225.05,0.0,0.0
2019-10-27,227.99,227.99,227.99,0.0,0.0,228.3,228.3,228.3,0.0,0.0,227.52,227.52,227.52,0.0,0.0,227.78,227.78,227.78,0.0,0.0
2019-11-03,227.79,227.79,227.79,0.0,0.0,228.96,228.96,228.96,0.0,0.0,227.57,227.57,227.57,0.0,0.0,228.74,228.74,228.74,0.0,0.0
2019-11-10,231.21,231.21,231.21,0.0,0.0,232.31,232.31,232.31,0.0,0.0,230.33,230.33,230.33,0.0,0.0,231.86,231.86,231.86,0.0,0.0
2019-11-17,231.54,231.54,231.54,0.0,0.0,233.57,233.57,233.57,0.0,0.0,231.54,231.54,231.54,0.0,0.0,233.57,233.57,233.57,0.0,0.0
2019-11-24,234.96,234.96,234.96,0.0,0.0,234.96,234.96,234.96,0.0,0.0,230.23,230.23,230.23,0.0,0.0,231.49,231.49,231.49,0.0,0.0
2019-12-01,232.94,232.94,232.94,0.0,0.0,234.05,234.05,234.05,0.0,0.0,232.54,232.54,232.54,0.0,0.0,232.57,232.57,232.57,0.0,0.0
2019-12-08,237.48,237.48,237.48,0.0,0.0,238.72,238.72,238.72,0.0,0.0,236.77,236.77,236.77,0.0,0.0,238.13,238.13,238.13,0.0,0.0
2019-12-15,241.97,241.97,241.97,0.0,0.0,242.12,242.12,242.12,0.0,0.0,241.43,241.43,241.43,0.0,0.0,241.52,241.52,241.52,0.0,0.0
2019-12-22,243.72,243.72,243.72,0.0,0.0,243.72,243.72,243.72,0.0,0.0,240.74,240.74,240.74,0.0,0.0,241.69,241.69,241.69,0.0,0.0
2019-12-29,243.51,243.51,243.51,0.0,0.0,245.72,245.72,245.72,0.0,0.0,243.34,243.34,243.34,0.0,0.0,244.78,244.78,244.78,0.0,0.0
