Date,ProShares Ultra FTSE Europe_Open_average,ProShares Ultra FTSE Europe_Open_max,ProShares Ultra FTSE Europe_Open_min,ProShares Ultra FTSE Europe_Open_volatility,ProShares Ultra FTSE Europe_Open_change,ProShares Ultra FTSE Europe_High_average,ProShares Ultra FTSE Europe_High_max,ProShares Ultra FTSE Europe_High_min,ProShares Ultra FTSE Europe_High_volatility,ProShares Ultra FTSE Europe_High_change,ProShares Ultra FTSE Europe_Low_average,ProShares Ultra FTSE Europe_Low_max,ProShares Ultra FTSE Europe_Low_min,ProShares Ultra FTSE Europe_Low_volatility,ProShares Ultra FTSE Europe_Low_change,ProShares Ultra FTSE Europe_Close_average,ProShares Ultra FTSE Europe_Close_max,ProShares Ultra FTSE Europe_Close_min,ProShares Ultra FTSE Europe_Close_volatility,ProShares Ultra FTSE Europe_Close_change
2018-04-15,60.66,60.66,60.66,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.66,60.66,60.66,0.0,0.0
2018-04-22,58.93,58.93,58.93,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.93,58.93,58.93,0.0,0.0
2018-04-29,58.64,58.64,58.64,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2018-05-06,59.5,59.5,59.5,0.0,0.0,59.84,59.84,59.84,0.0,0.0,59.33,59.33,59.33,0.0,0.0,59.84,59.84,59.84,0.0,0.0
2018-05-13,59.28,59.28,59.28,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2018-05-20,56.47,56.47,56.47,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.31,56.31,56.31,0.0,0.0
2018-05-27,56.08,56.08,56.08,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2018-06-03,55.88,55.88,55.88,0.0,0.0,55.99,55.99,55.99,0.0,0.0,55.88,55.88,55.88,0.0,0.0,55.99,55.99,55.99,0.0,0.0
2018-06-10,54.91,54.91,54.91,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.83,54.83,54.83,0.0,0.0
2018-06-17,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-06-24,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-07-01,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-07-08,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-07-15,55.58,55.58,55.58,0.0,0.0,55.58,55.58,55.58,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2018-07-22,56.04,56.04,56.04,0.0,0.0,56.04,56.04,56.04,0.0,0.0,56.04,56.04,56.04,0.0,0.0,56.04,56.04,56.04,0.0,0.0
2018-07-29,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-08-05,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2018-08-12,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-08-19,54.24,54.24,54.24,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2018-08-26,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-09-02,51.73,51.73,51.73,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-09-09,52.82,52.82,52.82,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-09-16,54.85,54.85,54.85,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2018-09-23,53.14,53.14,53.14,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.14,53.14,53.14,0.0,0.0
2018-09-30,49.57,49.57,49.57,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.57,49.57,49.57,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2018-10-07,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-10-14,46.29,46.29,46.29,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2018-10-21,44.23,44.23,44.23,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.11,44.11,44.11,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2018-10-28,44.9,44.9,44.9,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-11-04,44.5,44.5,44.5,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-11-11,44.75,44.75,44.75,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2018-11-18,44.0,44.0,44.0,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-11-25,44.76,44.76,44.76,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-12-02,39.94,39.94,39.94,0.0,0.0,40.43,40.43,40.43,0.0,0.0,39.59,39.59,39.59,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2018-12-09,39.94,39.94,39.94,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-12-16,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-12-23,37.67,37.67,37.67,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2018-12-30,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2019-01-06,40.38,40.38,40.38,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2019-01-13,41.62,41.62,41.62,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2019-01-20,41.34,41.34,41.34,0.0,0.0,42.21,42.21,42.21,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2019-01-27,42.08,42.08,42.08,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.08,42.08,42.08,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2019-02-03,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2019-02-10,43.54,43.54,43.54,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2019-02-17,44.72,44.72,44.72,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2019-02-24,46.44,46.44,46.44,0.0,0.0,46.44,46.44,46.44,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2019-03-03,44.56,44.56,44.56,0.0,0.0,45.17,45.17,45.17,0.0,0.0,44.56,44.56,44.56,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2019-03-10,47.69,47.69,47.69,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2019-03-17,45.33,45.33,45.33,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2019-03-24,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2019-03-31,48.17,48.17,48.17,0.0,0.0,48.38,48.38,48.38,0.0,0.0,47.76,47.76,47.76,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2019-04-07,48.7,48.7,48.7,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2019-04-14,48.66,48.66,48.66,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2019-04-21,48.35,48.35,48.35,0.0,0.0,48.54,48.54,48.54,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2019-04-28,47.55,47.55,47.55,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2019-05-05,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2019-05-12,45.31,45.31,45.31,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2019-05-19,45.37,45.37,45.37,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2019-05-26,43.6,43.6,43.6,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2019-06-02,46.49,46.49,46.49,0.0,0.0,47.59,47.59,47.59,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2019-06-09,46.38,46.38,46.38,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0
2019-06-16,48.93,48.93,48.93,0.0,0.0,49.4,49.4,49.4,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2019-06-23,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0,48.53,48.53,48.53,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2019-06-30,48.88,48.88,48.88,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2019-07-07,48.86,48.86,48.86,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2019-07-14,48.17,48.17,48.17,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2019-07-21,48.35,48.35,48.35,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2019-07-28,43.58,43.58,43.58,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2019-08-04,44.2,44.2,44.2,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2019-08-11,43.8,43.8,43.8,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2019-08-18,43.26,43.26,43.26,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2019-08-25,45.0,45.0,45.0,0.0,0.0,46.07,46.07,46.07,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2019-09-01,46.14,46.14,46.14,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2019-09-08,47.0,47.0,47.0,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2019-09-15,46.6,46.6,46.6,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2019-09-22,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2019-09-29,44.43,44.43,44.43,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2019-10-06,46.52,46.52,46.52,0.0,0.0,47.31,47.31,47.31,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2019-10-13,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.04,49.04,49.04,0.0,0.0
2019-10-20,50.01,50.01,50.01,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2019-10-27,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2019-11-03,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-11-10,50.99,50.99,50.99,0.0,0.0,51.55,51.55,51.55,0.0,0.0,50.89,50.89,50.89,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2019-11-17,51.27,51.27,51.27,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-11-24,50.57,50.57,50.57,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2019-12-01,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2019-12-08,55.32,55.32,55.32,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2019-12-15,54.48,54.48,54.48,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2019-12-22,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2019-12-29,55.09,55.09,55.09,0.0,0.0,55.64,55.64,55.64,0.0,0.0,54.98,54.98,54.98,0.0,0.0,55.03,55.03,55.03,0.0,0.0
