Date,PowerShares Dynamic Software_Open_average,PowerShares Dynamic Software_Open_max,PowerShares Dynamic Software_Open_min,PowerShares Dynamic Software_Open_volatility,PowerShares Dynamic Software_Open_change,PowerShares Dynamic Software_High_average,PowerShares Dynamic Software_High_max,PowerShares Dynamic Software_High_min,PowerShares Dynamic Software_High_volatility,PowerShares Dynamic Software_High_change,PowerShares Dynamic Software_Low_average,PowerShares Dynamic Software_Low_max,PowerShares Dynamic Software_Low_min,PowerShares Dynamic Software_Low_volatility,PowerShares Dynamic Software_Low_change,PowerShares Dynamic Software_Close_average,PowerShares Dynamic Software_Close_max,PowerShares Dynamic Software_Close_min,PowerShares Dynamic Software_Close_volatility,PowerShares Dynamic Software_Close_change
2018-03-25,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0,67.25,67.25,67.25,0.0,0.0,67.91,67.91,67.91,0.0,0.0
2018-04-01,69.23,69.23,69.23,0.0,0.0,69.72,69.72,69.72,0.0,0.0,68.97,68.97,68.97,0.0,0.0,68.97,68.97,68.97,0.0,0.0
2018-04-08,70.66,70.66,70.66,0.0,0.0,71.15,71.15,71.15,0.0,0.0,70.2,70.2,70.2,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2018-04-15,71.95,71.95,71.95,0.0,0.0,72.29,72.29,72.29,0.0,0.0,71.12,71.12,71.12,0.0,0.0,71.42,71.42,71.42,0.0,0.0
2018-04-22,71.65,71.65,71.65,0.0,0.0,71.67,71.67,71.67,0.0,0.0,70.63,70.63,70.63,0.0,0.0,70.98,70.98,70.98,0.0,0.0
2018-04-29,72.77,72.77,72.77,0.0,0.0,73.55,73.55,73.55,0.0,0.0,72.77,72.77,72.77,0.0,0.0,73.36,73.36,73.36,0.0,0.0
2018-05-06,75.6,75.6,75.6,0.0,0.0,75.6,75.6,75.6,0.0,0.0,74.11,74.11,74.11,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2018-05-13,75.46,75.46,75.46,0.0,0.0,75.47,75.47,75.47,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.75,74.75,74.75,0.0,0.0
2018-05-20,75.52,75.52,75.52,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-05-27,78.08,78.08,78.08,0.0,0.0,78.39,78.39,78.39,0.0,0.0,77.53,77.53,77.53,0.0,0.0,78.32,78.32,78.32,0.0,0.0
2018-06-03,78.69,78.69,78.69,0.0,0.0,78.69,78.69,78.69,0.0,0.0,78.2,78.2,78.2,0.0,0.0,78.45,78.45,78.45,0.0,0.0
2018-06-10,80.58,80.58,80.58,0.0,0.0,81.6,81.6,81.6,0.0,0.0,80.1,80.1,80.1,0.0,0.0,81.44,81.44,81.44,0.0,0.0
2018-06-17,77.32,77.32,77.32,0.0,0.0,77.39,77.39,77.39,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.77,75.77,75.77,0.0,0.0
2018-06-24,75.84,75.84,75.84,0.0,0.0,77.27,77.27,77.27,0.0,0.0,75.59,75.59,75.59,0.0,0.0,77.25,77.25,77.25,0.0,0.0
2018-07-01,79.18,79.18,79.18,0.0,0.0,79.72,79.72,79.72,0.0,0.0,78.59,78.59,78.59,0.0,0.0,79.28,79.28,79.28,0.0,0.0
2018-07-08,81.28,81.28,81.28,0.0,0.0,81.28,81.28,81.28,0.0,0.0,80.45,80.45,80.45,0.0,0.0,80.59,80.59,80.59,0.0,0.0
2018-07-15,81.1,81.1,81.1,0.0,0.0,81.47,81.47,81.47,0.0,0.0,80.37,80.37,80.37,0.0,0.0,81.36,81.36,81.36,0.0,0.0
2018-07-22,79.27,79.27,79.27,0.0,0.0,79.27,79.27,79.27,0.0,0.0,76.31,76.31,76.31,0.0,0.0,77.03,77.03,77.03,0.0,0.0
2018-07-29,79.91,79.91,79.91,0.0,0.0,80.81,80.81,80.81,0.0,0.0,79.75,79.75,79.75,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2018-08-05,81.98,81.98,81.98,0.0,0.0,82.4,82.4,82.4,0.0,0.0,81.41,81.41,81.41,0.0,0.0,81.57,81.57,81.57,0.0,0.0
2018-08-12,81.71,81.71,81.71,0.0,0.0,81.92,81.92,81.92,0.0,0.0,81.27,81.27,81.27,0.0,0.0,81.72,81.72,81.72,0.0,0.0
2018-08-19,85.75,85.75,85.75,0.0,0.0,85.75,85.75,85.75,0.0,0.0,85.01,85.01,85.01,0.0,0.0,85.37,85.37,85.37,0.0,0.0
2018-08-26,86.09,86.09,86.09,0.0,0.0,86.65,86.65,86.65,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.65,86.65,86.65,0.0,0.0
2018-09-02,85.89,85.89,85.89,0.0,0.0,86.8,86.8,86.8,0.0,0.0,85.44,85.44,85.44,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2018-09-09,88.66,88.66,88.66,0.0,0.0,88.66,88.66,88.66,0.0,0.0,86.06,86.06,86.06,0.0,0.0,86.21,86.21,86.21,0.0,0.0
2018-09-16,84.85,84.85,84.85,0.0,0.0,85.76,85.76,85.76,0.0,0.0,84.07,84.07,84.07,0.0,0.0,85.72,85.72,85.72,0.0,0.0
2018-09-23,87.65,87.65,87.65,0.0,0.0,87.78,87.78,87.78,0.0,0.0,85.8,85.8,85.8,0.0,0.0,86.02,86.02,86.02,0.0,0.0
2018-09-30,81.89,81.89,81.89,0.0,0.0,81.89,81.89,81.89,0.0,0.0,78.87,78.87,78.87,0.0,0.0,80.08,80.08,80.08,0.0,0.0
2018-10-07,77.54,77.54,77.54,0.0,0.0,77.79,77.79,77.79,0.0,0.0,76.5,76.5,76.5,0.0,0.0,77.01,77.01,77.01,0.0,0.0
2018-10-14,76.79,76.79,76.79,0.0,0.0,77.95,77.95,77.95,0.0,0.0,76.43,76.43,76.43,0.0,0.0,77.7,77.7,77.7,0.0,0.0
2018-10-21,75.25,75.25,75.25,0.0,0.0,76.03,76.03,76.03,0.0,0.0,71.93,71.93,71.93,0.0,0.0,73.22,73.22,73.22,0.0,0.0
2018-10-28,76.33,76.33,76.33,0.0,0.0,76.33,76.33,76.33,0.0,0.0,74.57,74.57,74.57,0.0,0.0,75.46,75.46,75.46,0.0,0.0
2018-11-04,77.76,77.76,77.76,0.0,0.0,77.76,77.76,77.76,0.0,0.0,75.01,75.01,75.01,0.0,0.0,75.45,75.45,75.45,0.0,0.0
2018-11-11,76.58,76.58,76.58,0.0,0.0,76.58,76.58,76.58,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.7,71.7,71.7,0.0,0.0
2018-11-18,73.6,73.6,73.6,0.0,0.0,74.67,74.67,74.67,0.0,0.0,73.43,73.43,73.43,0.0,0.0,74.61,74.61,74.61,0.0,0.0
2018-11-25,81.4,81.4,81.4,0.0,0.0,81.49,81.49,81.49,0.0,0.0,79.76,79.76,79.76,0.0,0.0,80.64,80.64,80.64,0.0,0.0
2018-12-02,76.22,76.22,76.22,0.0,0.0,77.81,77.81,77.81,0.0,0.0,76.01,76.01,76.01,0.0,0.0,77.56,77.56,77.56,0.0,0.0
2018-12-09,76.14,76.14,76.14,0.0,0.0,76.41,76.41,76.41,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.99,73.99,73.99,0.0,0.0
2018-12-16,68.67,68.67,68.67,0.0,0.0,69.81,69.81,69.81,0.0,0.0,68.08,68.08,68.08,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2018-12-23,73.81,73.81,73.81,0.0,0.0,74.27,74.27,74.27,0.0,0.0,73.24,73.24,73.24,0.0,0.0,73.9,73.9,73.9,0.0,0.0
2018-12-30,74.5,74.5,74.5,0.0,0.0,76.76,76.76,76.76,0.0,0.0,74.49,74.49,74.49,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2019-01-06,77.69,77.69,77.69,0.0,0.0,77.94,77.94,77.94,0.0,0.0,77.34,77.34,77.34,0.0,0.0,77.61,77.61,77.61,0.0,0.0
2019-01-13,80.89,80.89,80.89,0.0,0.0,81.98,81.98,81.98,0.0,0.0,80.5,80.5,80.5,0.0,0.0,81.65,81.65,81.65,0.0,0.0
2019-01-20,80.94,80.94,80.94,0.0,0.0,81.22,81.22,81.22,0.0,0.0,80.2,80.2,80.2,0.0,0.0,81.2,81.2,81.2,0.0,0.0
2019-01-27,84.45,84.45,84.45,0.0,0.0,85.72,85.72,85.72,0.0,0.0,84.45,84.45,84.45,0.0,0.0,85.43,85.43,85.43,0.0,0.0
2019-02-03,86.11,86.11,86.11,0.0,0.0,86.42,86.42,86.42,0.0,0.0,84.69,84.69,84.69,0.0,0.0,84.97,84.97,84.97,0.0,0.0
2019-02-10,87.38,87.38,87.38,0.0,0.0,87.51,87.51,87.51,0.0,0.0,86.71,86.71,86.71,0.0,0.0,87.49,87.49,87.49,0.0,0.0
2019-02-17,88.49,88.49,88.49,0.0,0.0,88.55,88.55,88.55,0.0,0.0,87.7,87.7,87.7,0.0,0.0,88.0,88.0,88.0,0.0,0.0
2019-02-24,89.16,89.16,89.16,0.0,0.0,89.25,89.25,89.25,0.0,0.0,85.34,85.34,85.34,0.0,0.0,86.78,86.78,86.78,0.0,0.0
2019-03-03,86.86,86.86,86.86,0.0,0.0,88.62,88.62,88.62,0.0,0.0,86.86,86.86,86.86,0.0,0.0,88.49,88.49,88.49,0.0,0.0
2019-03-10,90.48,90.48,90.48,0.0,0.0,91.1,91.1,91.1,0.0,0.0,90.01,90.01,90.01,0.0,0.0,90.68,90.68,90.68,0.0,0.0
2019-03-17,89.83,89.83,89.83,0.0,0.0,90.63,90.63,90.63,0.0,0.0,89.11,89.11,89.11,0.0,0.0,90.36,90.36,90.36,0.0,0.0
2019-03-24,92.51,92.51,92.51,0.0,0.0,92.72,92.72,92.72,0.0,0.0,91.0,91.0,91.0,0.0,0.0,92.23,92.23,92.23,0.0,0.0
2019-03-31,91.4,91.4,91.4,0.0,0.0,91.7,91.7,91.7,0.0,0.0,90.09,90.09,90.09,0.0,0.0,91.69,91.69,91.69,0.0,0.0
2019-04-07,93.58,93.58,93.58,0.0,0.0,94.32,94.32,94.32,0.0,0.0,93.15,93.15,93.15,0.0,0.0,93.36,93.36,93.36,0.0,0.0
2019-04-14,90.62,90.62,90.62,0.0,0.0,92.28,92.28,92.28,0.0,0.0,90.5,90.5,90.5,0.0,0.0,92.23,92.23,92.23,0.0,0.0
2019-04-21,95.76,95.76,95.76,0.0,0.0,96.43,96.43,96.43,0.0,0.0,95.74,95.74,95.74,0.0,0.0,95.93,95.93,95.93,0.0,0.0
2019-04-28,94.7,94.7,94.7,0.0,0.0,97.0,97.0,97.0,0.0,0.0,94.13,94.13,94.13,0.0,0.0,96.9,96.9,96.9,0.0,0.0
2019-05-05,92.86,92.86,92.86,0.0,0.0,93.0,93.0,93.0,0.0,0.0,91.0,91.0,91.0,0.0,0.0,91.26,91.26,91.26,0.0,0.0
2019-05-12,94.33,94.33,94.33,0.0,0.0,94.45,94.45,94.45,0.0,0.0,92.98,92.98,92.98,0.0,0.0,93.69,93.69,93.69,0.0,0.0
2019-05-19,93.36,93.36,93.36,0.0,0.0,93.9,93.9,93.9,0.0,0.0,92.85,92.85,92.85,0.0,0.0,93.49,93.49,93.49,0.0,0.0
2019-05-26,91.55,91.55,91.55,0.0,0.0,91.88,91.88,91.88,0.0,0.0,88.24,88.24,88.24,0.0,0.0,88.82,88.82,88.82,0.0,0.0
2019-06-02,95.98,95.98,95.98,0.0,0.0,97.39,97.39,97.39,0.0,0.0,95.74,95.74,95.74,0.0,0.0,95.9,95.9,95.9,0.0,0.0
2019-06-09,95.0,95.0,95.0,0.0,0.0,95.64,95.64,95.64,0.0,0.0,94.7,94.7,94.7,0.0,0.0,94.96,94.96,94.96,0.0,0.0
2019-06-16,96.93,96.93,96.93,0.0,0.0,97.25,97.25,97.25,0.0,0.0,95.54,95.54,95.54,0.0,0.0,95.75,95.75,95.75,0.0,0.0
2019-06-23,97.64,97.64,97.64,0.0,0.0,97.75,97.75,97.75,0.0,0.0,96.35,96.35,96.35,0.0,0.0,96.96,96.96,96.96,0.0,0.0
2019-06-30,98.56,98.56,98.56,0.0,0.0,98.81,98.81,98.81,0.0,0.0,98.19,98.19,98.19,0.0,0.0,98.73,98.73,98.73,0.0,0.0
2019-07-07,100.99,100.99,100.99,0.0,0.0,101.26,101.26,101.26,0.0,0.0,100.25,100.25,100.25,0.0,0.0,101.23,101.23,101.23,0.0,0.0
2019-07-14,99.75,99.75,99.75,0.0,0.0,100.73,100.73,100.73,0.0,0.0,99.75,99.75,99.75,0.0,0.0,100.15,100.15,100.15,0.0,0.0
2019-07-21,104.18,104.18,104.18,0.0,0.0,104.23,104.23,104.23,0.0,0.0,100.73,100.73,100.73,0.0,0.0,102.36,102.36,102.36,0.0,0.0
2019-07-28,97.65,97.65,97.65,0.0,0.0,97.65,97.65,97.65,0.0,0.0,94.48,94.48,94.48,0.0,0.0,95.31,95.31,95.31,0.0,0.0
2019-08-04,99.81,99.81,99.81,0.0,0.0,99.88,99.88,99.88,0.0,0.0,98.12,98.12,98.12,0.0,0.0,98.61,98.61,98.61,0.0,0.0
2019-08-11,98.53,98.53,98.53,0.0,0.0,98.55,98.55,98.55,0.0,0.0,97.11,97.11,97.11,0.0,0.0,97.26,97.26,97.26,0.0,0.0
2019-08-18,97.75,97.75,97.75,0.0,0.0,97.75,97.75,97.75,0.0,0.0,96.49,96.49,96.49,0.0,0.0,97.6,97.6,97.6,0.0,0.0
2019-08-25,98.91,98.91,98.91,0.0,0.0,98.91,98.91,98.91,0.0,0.0,96.31,96.31,96.31,0.0,0.0,97.56,97.56,97.56,0.0,0.0
2019-09-01,96.92,96.92,96.92,0.0,0.0,96.98,96.98,96.98,0.0,0.0,93.16,93.16,93.16,0.0,0.0,93.95,93.95,93.95,0.0,0.0
2019-09-08,92.63,92.63,92.63,0.0,0.0,94.24,94.24,94.24,0.0,0.0,92.03,92.03,92.03,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2019-09-15,94.4,94.4,94.4,0.0,0.0,94.95,94.95,94.95,0.0,0.0,94.23,94.23,94.23,0.0,0.0,94.78,94.78,94.78,0.0,0.0
2019-09-22,91.98,91.98,91.98,0.0,0.0,93.46,93.46,93.46,0.0,0.0,91.75,91.75,91.75,0.0,0.0,93.08,93.08,93.08,0.0,0.0
2019-09-29,94.35,94.35,94.35,0.0,0.0,95.23,95.23,95.23,0.0,0.0,94.33,94.33,94.33,0.0,0.0,94.82,94.82,94.82,0.0,0.0
2019-10-06,94.91,94.91,94.91,0.0,0.0,95.28,95.28,95.28,0.0,0.0,94.51,94.51,94.51,0.0,0.0,94.97,94.97,94.97,0.0,0.0
2019-10-13,91.74,91.74,91.74,0.0,0.0,92.07,92.07,92.07,0.0,0.0,91.19,91.19,91.19,0.0,0.0,91.75,91.75,91.75,0.0,0.0
2019-10-20,93.15,93.15,93.15,0.0,0.0,93.77,93.77,93.77,0.0,0.0,92.86,92.86,92.86,0.0,0.0,93.43,93.43,93.43,0.0,0.0
2019-10-27,96.58,96.58,96.58,0.0,0.0,96.76,96.76,96.76,0.0,0.0,95.68,95.68,95.68,0.0,0.0,95.8,95.8,95.8,0.0,0.0
2019-11-03,95.72,95.72,95.72,0.0,0.0,96.77,96.77,96.77,0.0,0.0,95.34,95.34,95.34,0.0,0.0,96.55,96.55,96.55,0.0,0.0
2019-11-10,98.5,98.5,98.5,0.0,0.0,99.33,99.33,99.33,0.0,0.0,98.16,98.16,98.16,0.0,0.0,98.9,98.9,98.9,0.0,0.0
2019-11-17,100.29,100.29,100.29,0.0,0.0,101.69,101.69,101.69,0.0,0.0,100.29,100.29,100.29,0.0,0.0,101.64,101.64,101.64,0.0,0.0
2019-11-24,101.41,101.41,101.41,0.0,0.0,101.41,101.41,101.41,0.0,0.0,98.25,98.25,98.25,0.0,0.0,98.98,98.98,98.98,0.0,0.0
2019-12-01,99.27,99.27,99.27,0.0,0.0,99.7,99.7,99.7,0.0,0.0,98.97,98.97,98.97,0.0,0.0,99.17,99.17,99.17,0.0,0.0
2019-12-08,98.77,98.77,98.77,0.0,0.0,99.65,99.65,99.65,0.0,0.0,98.69,98.69,98.69,0.0,0.0,99.4,99.4,99.4,0.0,0.0
2019-12-15,100.09,100.09,100.09,0.0,0.0,100.6,100.6,100.6,0.0,0.0,99.86,99.86,99.86,0.0,0.0,100.35,100.35,100.35,0.0,0.0
2019-12-22,100.41,100.41,100.41,0.0,0.0,100.41,100.41,100.41,0.0,0.0,98.97,98.97,98.97,0.0,0.0,99.19,99.19,99.19,0.0,0.0
2019-12-29,99.52,99.52,99.52,0.0,0.0,100.53,100.53,100.53,0.0,0.0,99.2,99.2,99.2,0.0,0.0,100.45,100.45,100.45,0.0,0.0
