Date,iShares Edge MSCI USA Value FactorEtf_Open_average,iShares Edge MSCI USA Value FactorEtf_Open_max,iShares Edge MSCI USA Value FactorEtf_Open_min,iShares Edge MSCI USA Value FactorEtf_Open_volatility,iShares Edge MSCI USA Value FactorEtf_Open_change,iShares Edge MSCI USA Value FactorEtf_High_average,iShares Edge MSCI USA Value FactorEtf_High_max,iShares Edge MSCI USA Value FactorEtf_High_min,iShares Edge MSCI USA Value FactorEtf_High_volatility,iShares Edge MSCI USA Value FactorEtf_High_change,iShares Edge MSCI USA Value FactorEtf_Low_average,iShares Edge MSCI USA Value FactorEtf_Low_max,iShares Edge MSCI USA Value FactorEtf_Low_min,iShares Edge MSCI USA Value FactorEtf_Low_volatility,iShares Edge MSCI USA Value FactorEtf_Low_change,iShares Edge MSCI USA Value FactorEtf_Close_average,iShares Edge MSCI USA Value FactorEtf_Close_max,iShares Edge MSCI USA Value FactorEtf_Close_min,iShares Edge MSCI USA Value FactorEtf_Close_volatility,iShares Edge MSCI USA Value FactorEtf_Close_change
2018-11-25,81.65,81.65,81.65,0.0,0.0,82.32,82.32,82.32,0.0,0.0,81.53,81.53,81.53,0.0,0.0,82.17,82.17,82.17,0.0,0.0
2018-12-02,79.74,79.74,79.74,0.0,0.0,79.89,79.89,79.89,0.0,0.0,77.41,77.41,77.41,0.0,0.0,77.7,77.7,77.7,0.0,0.0
2018-12-09,76.55,76.55,76.55,0.0,0.0,77.44,77.44,77.44,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.43,76.43,76.43,0.0,0.0
2018-12-16,71.94,71.94,71.94,0.0,0.0,72.97,72.97,72.97,0.0,0.0,70.19,70.19,70.19,0.0,0.0,70.42,70.42,70.42,0.0,0.0
2018-12-23,72.49,72.49,72.49,0.0,0.0,73.04,73.04,73.04,0.0,0.0,71.79,71.79,71.79,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2018-12-30,73.0,73.0,73.0,0.0,0.0,74.64,74.64,74.64,0.0,0.0,73.0,73.0,73.0,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2019-01-06,76.3,76.3,76.3,0.0,0.0,77.32,77.32,77.32,0.0,0.0,76.28,76.28,76.28,0.0,0.0,77.06,77.06,77.06,0.0,0.0
2019-01-13,78.17,78.17,78.17,0.0,0.0,79.0,79.0,79.0,0.0,0.0,77.97,77.97,77.97,0.0,0.0,78.85,78.85,78.85,0.0,0.0
2019-01-20,78.55,78.55,78.55,0.0,0.0,79.07,79.07,79.07,0.0,0.0,78.46,78.46,78.46,0.0,0.0,78.89,78.89,78.89,0.0,0.0
2019-01-27,79.78,79.78,79.78,0.0,0.0,80.18,80.18,80.18,0.0,0.0,79.55,79.55,79.55,0.0,0.0,79.98,79.98,79.98,0.0,0.0
2019-02-03,78.94,78.94,78.94,0.0,0.0,79.11,79.11,79.11,0.0,0.0,78.13,78.13,78.13,0.0,0.0,79.1,79.1,79.1,0.0,0.0
2019-02-10,81.0,81.0,81.0,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.58,81.58,81.58,0.0,0.0
2019-02-17,81.84,81.84,81.84,0.0,0.0,82.11,82.11,82.11,0.0,0.0,81.68,81.68,81.68,0.0,0.0,82.01,82.01,82.01,0.0,0.0
2019-02-24,81.74,81.74,81.74,0.0,0.0,82.09,82.09,82.09,0.0,0.0,81.17,81.17,81.17,0.0,0.0,81.5,81.5,81.5,0.0,0.0
2019-03-03,78.17,78.17,78.17,0.0,0.0,78.85,78.85,78.85,0.0,0.0,78.07,78.07,78.07,0.0,0.0,78.82,78.82,78.82,0.0,0.0
2019-03-10,80.56,80.56,80.56,0.0,0.0,81.02,81.02,81.02,0.0,0.0,80.56,80.56,80.56,0.0,0.0,80.86,80.86,80.86,0.0,0.0
2019-03-17,80.44,80.44,80.44,0.0,0.0,80.46,80.46,80.46,0.0,0.0,78.95,78.95,78.95,0.0,0.0,79.06,79.06,79.06,0.0,0.0
2019-03-24,79.73,79.73,79.73,0.0,0.0,79.95,79.95,79.95,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.86,79.86,79.86,0.0,0.0
2019-03-31,82.0,82.0,82.0,0.0,0.0,82.33,82.33,82.33,0.0,0.0,81.89,81.89,81.89,0.0,0.0,82.31,82.31,82.31,0.0,0.0
2019-04-07,82.52,82.52,82.52,0.0,0.0,82.76,82.76,82.76,0.0,0.0,82.07,82.07,82.07,0.0,0.0,82.38,82.38,82.38,0.0,0.0
2019-04-14,82.9,82.9,82.9,0.0,0.0,83.01,83.01,83.01,0.0,0.0,82.54,82.54,82.54,0.0,0.0,82.93,82.93,82.93,0.0,0.0
2019-04-21,81.7,81.7,81.7,0.0,0.0,82.17,82.17,82.17,0.0,0.0,81.48,81.48,81.48,0.0,0.0,82.13,82.13,82.13,0.0,0.0
2019-04-28,82.44,82.44,82.44,0.0,0.0,82.9,82.9,82.9,0.0,0.0,82.32,82.32,82.32,0.0,0.0,82.83,82.83,82.83,0.0,0.0
2019-05-05,80.04,80.04,80.04,0.0,0.0,80.78,80.78,80.78,0.0,0.0,78.96,78.96,78.96,0.0,0.0,80.52,80.52,80.52,0.0,0.0
2019-05-12,79.13,79.13,79.13,0.0,0.0,80.1,80.1,80.1,0.0,0.0,79.06,79.06,79.06,0.0,0.0,79.18,79.18,79.18,0.0,0.0
2019-05-19,78.02,78.02,78.02,0.0,0.0,78.24,78.24,78.24,0.0,0.0,77.63,77.63,77.63,0.0,0.0,77.85,77.85,77.85,0.0,0.0
2019-05-26,75.29,75.29,75.29,0.0,0.0,75.3,75.3,75.3,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2019-06-02,78.07,78.07,78.07,0.0,0.0,78.6,78.6,78.6,0.0,0.0,77.99,77.99,77.99,0.0,0.0,78.31,78.31,78.31,0.0,0.0
2019-06-09,78.96,78.96,78.96,0.0,0.0,78.96,78.96,78.96,0.0,0.0,78.52,78.52,78.52,0.0,0.0,78.77,78.77,78.77,0.0,0.0
2019-06-16,79.63,79.63,79.63,0.0,0.0,80.03,80.03,80.03,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.66,79.66,79.66,0.0,0.0
2019-06-23,80.72,80.72,80.72,0.0,0.0,81.24,81.24,81.24,0.0,0.0,80.62,80.62,80.62,0.0,0.0,81.19,81.19,81.19,0.0,0.0
2019-06-30,81.64,81.64,81.64,0.0,0.0,82.07,82.07,82.07,0.0,0.0,81.42,81.42,81.42,0.0,0.0,82.01,82.01,82.01,0.0,0.0
2019-07-07,82.25,82.25,82.25,0.0,0.0,82.99,82.99,82.99,0.0,0.0,82.25,82.25,82.25,0.0,0.0,82.92,82.92,82.92,0.0,0.0
2019-07-14,82.66,82.66,82.66,0.0,0.0,82.92,82.92,82.92,0.0,0.0,82.35,82.35,82.35,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2019-07-21,83.85,83.85,83.85,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.49,83.49,83.49,0.0,0.0,83.86,83.86,83.86,0.0,0.0
2019-07-28,81.01,81.01,81.01,0.0,0.0,81.01,81.01,81.01,0.0,0.0,80.21,80.21,80.21,0.0,0.0,80.57,80.57,80.57,0.0,0.0
2019-08-04,79.76,79.76,79.76,0.0,0.0,79.76,79.76,79.76,0.0,0.0,78.65,78.65,78.65,0.0,0.0,79.05,79.05,79.05,0.0,0.0
2019-08-11,76.62,76.62,76.62,0.0,0.0,77.67,77.67,77.67,0.0,0.0,76.62,76.62,76.62,0.0,0.0,77.53,77.53,77.53,0.0,0.0
2019-08-18,78.13,78.13,78.13,0.0,0.0,78.58,78.58,78.58,0.0,0.0,76.13,76.13,76.13,0.0,0.0,76.44,76.44,76.44,0.0,0.0
2019-08-25,78.75,78.75,78.75,0.0,0.0,79.16,79.16,79.16,0.0,0.0,78.54,78.54,78.54,0.0,0.0,78.76,78.76,78.76,0.0,0.0
2019-09-01,81.2,81.2,81.2,0.0,0.0,81.55,81.55,81.55,0.0,0.0,81.07,81.07,81.07,0.0,0.0,81.38,81.38,81.38,0.0,0.0
2019-09-08,84.73,84.73,84.73,0.0,0.0,85.22,85.22,85.22,0.0,0.0,84.61,84.61,84.61,0.0,0.0,84.65,84.65,84.65,0.0,0.0
2019-09-15,83.76,83.76,83.76,0.0,0.0,84.04,84.04,84.04,0.0,0.0,83.2,83.2,83.2,0.0,0.0,83.29,83.29,83.29,0.0,0.0
2019-09-22,82.1,82.1,82.1,0.0,0.0,82.3,82.3,82.3,0.0,0.0,81.24,81.24,81.24,0.0,0.0,81.66,81.66,81.66,0.0,0.0
2019-09-29,79.58,79.58,79.58,0.0,0.0,80.3,80.3,80.3,0.0,0.0,79.39,79.39,79.39,0.0,0.0,80.24,80.24,80.24,0.0,0.0
2019-10-06,80.98,80.98,80.98,0.0,0.0,82.06,82.06,82.06,0.0,0.0,80.98,80.98,80.98,0.0,0.0,81.39,81.39,81.39,0.0,0.0
2019-10-13,82.03,82.03,82.03,0.0,0.0,82.36,82.36,82.36,0.0,0.0,81.75,81.75,81.75,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2019-10-20,83.34,83.34,83.34,0.0,0.0,84.44,84.44,84.44,0.0,0.0,83.34,83.34,83.34,0.0,0.0,84.35,84.35,84.35,0.0,0.0
2019-10-27,84.68,84.68,84.68,0.0,0.0,85.75,85.75,85.75,0.0,0.0,84.68,84.68,84.68,0.0,0.0,85.75,85.75,85.75,0.0,0.0
2019-11-03,87.39,87.39,87.39,0.0,0.0,87.78,87.78,87.78,0.0,0.0,86.89,86.89,86.89,0.0,0.0,87.78,87.78,87.78,0.0,0.0
2019-11-10,87.69,87.69,87.69,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.54,87.54,87.54,0.0,0.0,87.98,87.98,87.98,0.0,0.0
2019-11-17,87.04,87.04,87.04,0.0,0.0,87.32,87.32,87.32,0.0,0.0,86.83,86.83,86.83,0.0,0.0,87.12,87.12,87.12,0.0,0.0
2019-11-24,87.71,87.71,87.71,0.0,0.0,87.85,87.85,87.85,0.0,0.0,87.43,87.43,87.43,0.0,0.0,87.49,87.49,87.49,0.0,0.0
2019-12-01,87.35,87.35,87.35,0.0,0.0,87.78,87.78,87.78,0.0,0.0,87.35,87.35,87.35,0.0,0.0,87.57,87.57,87.57,0.0,0.0
2019-12-08,88.79,88.79,88.79,0.0,0.0,89.36,89.36,89.36,0.0,0.0,88.22,88.22,88.22,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2019-12-15,89.5,89.5,89.5,0.0,0.0,89.88,89.88,89.88,0.0,0.0,89.43,89.43,89.43,0.0,0.0,89.8,89.8,89.8,0.0,0.0
2019-12-22,90.29,90.29,90.29,0.0,0.0,90.46,90.46,90.46,0.0,0.0,89.81,89.81,89.81,0.0,0.0,89.92,89.92,89.92,0.0,0.0
2019-12-29,89.38,89.38,89.38,0.0,0.0,89.65,89.65,89.65,0.0,0.0,89.21,89.21,89.21,0.0,0.0,89.34,89.34,89.34,0.0,0.0
