Date,ProShares UltraShort Real Estate_Open_average,ProShares UltraShort Real Estate_Open_max,ProShares UltraShort Real Estate_Open_min,ProShares UltraShort Real Estate_Open_volatility,ProShares UltraShort Real Estate_Open_change,ProShares UltraShort Real Estate_High_average,ProShares UltraShort Real Estate_High_max,ProShares UltraShort Real Estate_High_min,ProShares UltraShort Real Estate_High_volatility,ProShares UltraShort Real Estate_High_change,ProShares UltraShort Real Estate_Low_average,ProShares UltraShort Real Estate_Low_max,ProShares UltraShort Real Estate_Low_min,ProShares UltraShort Real Estate_Low_volatility,ProShares UltraShort Real Estate_Low_change,ProShares UltraShort Real Estate_Close_average,ProShares UltraShort Real Estate_Close_max,ProShares UltraShort Real Estate_Close_min,ProShares UltraShort Real Estate_Close_volatility,ProShares UltraShort Real Estate_Close_change
2018-07-15,28.29,28.29,28.29,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-07-22,28.62,28.62,28.62,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-07-29,26.92,26.92,26.92,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.85,26.85,26.85,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2018-08-05,27.99,27.99,27.99,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-08-12,26.23,26.23,26.23,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2018-08-19,26.78,26.78,26.78,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2018-08-26,26.55,26.55,26.55,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-09-02,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-09-09,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-09-16,27.34,27.34,27.34,0.0,0.0,28.33,28.33,28.33,0.0,0.0,27.34,27.34,27.34,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-09-23,27.76,27.76,27.76,0.0,0.0,28.27,28.27,28.27,0.0,0.0,27.74,27.74,27.74,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-09-30,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-10-07,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-10-14,29.46,29.46,29.46,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.12,29.12,29.12,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-10-21,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2018-10-28,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2018-11-04,27.63,27.63,27.63,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-11-11,27.51,27.51,27.51,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-11-18,27.73,27.73,27.73,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-11-25,26.47,26.47,26.47,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-12-02,26.59,26.59,26.59,0.0,0.0,27.43,27.43,27.43,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-12-09,27.52,27.52,27.52,0.0,0.0,29.64,29.64,29.64,0.0,0.0,27.39,27.39,27.39,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-12-16,31.2,31.2,31.2,0.0,0.0,33.56,33.56,33.56,0.0,0.0,31.2,31.2,31.2,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-12-23,30.83,30.83,30.83,0.0,0.0,31.82,31.82,31.82,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-12-30,30.8,30.8,30.8,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2019-01-06,28.67,28.67,28.67,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2019-01-13,27.3,27.3,27.3,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2019-01-20,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2019-01-27,25.24,25.24,25.24,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2019-02-03,24.52,24.52,24.52,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2019-02-10,24.18,24.18,24.18,0.0,0.0,24.2,24.2,24.2,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2019-02-17,23.96,23.96,23.96,0.0,0.0,24.37,24.37,24.37,0.0,0.0,23.88,23.88,23.88,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2019-02-24,24.47,24.47,24.47,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2019-03-03,24.35,24.35,24.35,0.0,0.0,24.38,24.38,24.38,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2019-03-10,23.51,23.51,23.51,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2019-03-17,23.08,23.08,23.08,0.0,0.0,23.39,23.39,23.39,0.0,0.0,22.98,22.98,22.98,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2019-03-24,22.56,22.56,22.56,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2019-03-31,22.1,22.1,22.1,0.0,0.0,22.44,22.44,22.44,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2019-04-07,21.95,21.95,21.95,0.0,0.0,22.32,22.32,22.32,0.0,0.0,21.94,21.94,21.94,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2019-04-14,23.29,23.29,23.29,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2019-04-21,22.67,22.67,22.67,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.55,22.55,22.55,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2019-04-28,22.5,22.5,22.5,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2019-05-05,22.93,22.93,22.93,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2019-05-12,22.32,22.32,22.32,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2019-05-19,22.0,22.0,22.0,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.82,21.82,21.82,0.0,0.0,22.03,22.03,22.03,0.0,0.0
2019-05-26,22.56,22.56,22.56,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2019-06-02,21.5,21.5,21.5,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.63,21.63,21.63,0.0,0.0
2019-06-09,21.18,21.18,21.18,0.0,0.0,21.18,21.18,21.18,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2019-06-16,20.83,20.83,20.83,0.0,0.0,21.22,21.22,21.22,0.0,0.0,20.8,20.8,20.8,0.0,0.0,21.17,21.17,21.17,0.0,0.0
2019-06-23,21.57,21.57,21.57,0.0,0.0,22.27,22.27,22.27,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2019-06-30,20.79,20.79,20.79,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2019-07-07,20.73,20.73,20.73,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2019-07-14,21.67,21.67,21.67,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2019-07-21,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0,20.9,20.9,20.9,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2019-07-28,21.29,21.29,21.29,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.29,21.29,21.29,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2019-08-04,20.1,20.1,20.1,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.03,20.03,20.03,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2019-08-11,19.91,19.91,19.91,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.69,19.69,19.69,0.0,0.0
2019-08-18,19.99,19.99,19.99,0.0,0.0,20.15,20.15,20.15,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2019-08-25,19.6,19.6,19.6,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2019-09-01,19.13,19.13,19.13,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2019-09-08,19.93,19.93,19.93,0.0,0.0,20.05,20.05,20.05,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2019-09-15,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0,18.94,18.94,18.94,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2019-09-22,18.96,18.96,18.96,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2019-09-29,18.94,18.94,18.94,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2019-10-06,18.77,18.77,18.77,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2019-10-13,18.39,18.39,18.39,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2019-10-20,18.6,18.6,18.6,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2019-10-27,18.56,18.56,18.56,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2019-11-03,19.81,19.81,19.81,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2019-11-10,19.19,19.19,19.19,0.0,0.0,19.19,19.19,19.19,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2019-11-17,19.46,19.46,19.46,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2019-11-24,19.03,19.03,19.03,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2019-12-01,18.99,18.99,18.99,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2019-12-08,20.0,20.0,20.0,0.0,0.0,20.19,20.19,20.19,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2019-12-15,18.93,18.93,18.93,0.0,0.0,19.29,19.29,19.29,0.0,0.0,18.91,18.91,18.91,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2019-12-22,18.86,18.86,18.86,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2019-12-29,19.07,19.07,19.07,0.0,0.0,19.1,19.1,19.1,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.68,18.68,18.68,0.0,0.0
