Date,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_average,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_max,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_min,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_change,PowerShares KBW Premium Yield Equity REIT Portfoli_High_average,PowerShares KBW Premium Yield Equity REIT Portfoli_High_max,PowerShares KBW Premium Yield Equity REIT Portfoli_High_min,PowerShares KBW Premium Yield Equity REIT Portfoli_High_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_High_change,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_average,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_max,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_min,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_change,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_average,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_max,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_min,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_change
2018-03-25,31.45,31.45,31.45,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-04-01,31.74,31.74,31.74,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-04-08,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-04-15,31.21,31.21,31.21,0.0,0.0,31.38,31.38,31.38,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-04-22,31.25,31.25,31.25,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-04-29,31.85,31.85,31.85,0.0,0.0,32.47,32.47,32.47,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-05-06,32.97,32.97,32.97,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2018-05-13,32.0,32.0,32.0,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-05-20,33.28,33.28,33.28,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-05-27,33.79,33.79,33.79,0.0,0.0,34.33,34.33,34.33,0.0,0.0,33.76,33.76,33.76,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-06-03,34.42,34.42,34.42,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-06-10,34.42,34.42,34.42,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-06-17,34.98,34.98,34.98,0.0,0.0,35.43,35.43,35.43,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-06-24,35.71,35.71,35.71,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-07-01,36.52,36.52,36.52,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-07-08,35.97,35.97,35.97,0.0,0.0,36.16,36.16,36.16,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2018-07-15,35.65,35.65,35.65,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-07-22,35.45,35.45,35.45,0.0,0.0,35.48,35.48,35.48,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-07-29,35.44,35.44,35.44,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-08-05,34.64,34.64,34.64,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-08-12,35.29,35.29,35.29,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-08-19,35.44,35.44,35.44,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2018-08-26,35.72,35.72,35.72,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-09-02,35.42,35.42,35.42,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2018-09-09,34.98,34.98,34.98,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-09-16,33.78,33.78,33.78,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.78,33.78,33.78,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-09-23,33.45,33.45,33.45,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-09-30,32.1,32.1,32.1,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-10-07,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-10-14,31.63,31.63,31.63,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-10-21,31.83,31.83,31.83,0.0,0.0,31.93,31.93,31.93,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-10-28,31.61,31.61,31.61,0.0,0.0,31.71,31.71,31.71,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-11-04,32.26,32.26,32.26,0.0,0.0,32.37,32.37,32.37,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-11-11,30.8,30.8,30.8,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.6,30.6,30.6,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-11-18,30.63,30.63,30.63,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-11-25,30.99,30.99,30.99,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-12-02,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2018-12-09,30.36,30.36,30.36,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-12-16,27.44,27.44,27.44,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-12-23,27.27,27.27,27.27,0.0,0.0,27.51,27.51,27.51,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-12-30,27.8,27.8,27.8,0.0,0.0,28.74,28.74,28.74,0.0,0.0,27.8,27.8,27.8,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2019-01-06,30.51,30.51,30.51,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2019-01-13,30.99,30.99,30.99,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2019-01-20,30.82,30.82,30.82,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.71,30.71,30.71,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-01-27,32.11,32.11,32.11,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2019-02-03,31.98,31.98,31.98,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2019-02-10,32.01,32.01,32.01,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2019-02-17,31.23,31.23,31.23,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2019-02-24,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2019-03-03,29.13,29.13,29.13,0.0,0.0,29.22,29.22,29.22,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2019-03-10,29.96,29.96,29.96,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2019-03-17,30.13,30.13,30.13,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2019-03-24,30.61,30.61,30.61,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2019-03-31,30.88,30.88,30.88,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2019-04-07,30.64,30.64,30.64,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2019-04-14,29.73,29.73,29.73,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2019-04-21,29.85,29.85,29.85,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2019-04-28,30.15,30.15,30.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-05-05,30.76,30.76,30.76,0.0,0.0,31.32,31.32,31.32,0.0,0.0,30.76,30.76,30.76,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2019-05-12,31.15,31.15,31.15,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2019-05-19,30.41,30.41,30.41,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2019-05-26,29.5,29.5,29.5,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-06-02,30.13,30.13,30.13,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2019-06-09,30.77,30.77,30.77,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2019-06-16,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2019-06-23,29.75,29.75,29.75,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.75,29.75,29.75,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2019-06-30,30.24,30.24,30.24,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2019-07-07,30.01,30.01,30.01,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2019-07-14,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2019-07-21,29.41,29.41,29.41,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2019-07-28,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2019-08-04,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-08-11,28.8,28.8,28.8,0.0,0.0,29.36,29.36,29.36,0.0,0.0,28.68,28.68,28.68,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2019-08-18,29.12,29.12,29.12,0.0,0.0,29.35,29.35,29.35,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2019-08-25,29.15,29.15,29.15,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-09-01,29.73,29.73,29.73,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2019-09-08,31.18,31.18,31.18,0.0,0.0,31.55,31.55,31.55,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2019-09-15,30.93,30.93,30.93,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2019-09-22,31.54,31.54,31.54,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-09-29,30.47,30.47,30.47,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-10-06,30.16,30.16,30.16,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2019-10-13,30.86,30.86,30.86,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-10-20,31.81,31.81,31.81,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2019-10-27,31.52,31.52,31.52,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2019-11-03,31.32,31.32,31.32,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2019-11-10,31.36,31.36,31.36,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2019-11-17,30.53,30.53,30.53,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2019-11-24,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2019-12-01,30.67,30.67,30.67,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2019-12-08,30.38,30.38,30.38,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2019-12-15,30.94,30.94,30.94,0.0,0.0,31.29,31.29,31.29,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2019-12-22,30.92,30.92,30.92,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2019-12-29,30.7,30.7,30.7,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.69,30.69,30.69,0.0,0.0
