Date,iShares US HealthcareEtf_Open_average,iShares US HealthcareEtf_Open_max,iShares US HealthcareEtf_Open_min,iShares US HealthcareEtf_Open_volatility,iShares US HealthcareEtf_Open_change,iShares US HealthcareEtf_High_average,iShares US HealthcareEtf_High_max,iShares US HealthcareEtf_High_min,iShares US HealthcareEtf_High_volatility,iShares US HealthcareEtf_High_change,iShares US HealthcareEtf_Low_average,iShares US HealthcareEtf_Low_max,iShares US HealthcareEtf_Low_min,iShares US HealthcareEtf_Low_volatility,iShares US HealthcareEtf_Low_change,iShares US HealthcareEtf_Close_average,iShares US HealthcareEtf_Close_max,iShares US HealthcareEtf_Close_min,iShares US HealthcareEtf_Close_volatility,iShares US HealthcareEtf_Close_change
2018-06-17,181.92,181.92,181.92,0.0,0.0,182.66,182.66,182.66,0.0,0.0,181.58,181.58,181.58,0.0,0.0,182.05,182.05,182.05,0.0,0.0
2018-06-24,178.26,178.26,178.26,0.0,0.0,179.71,179.71,179.71,0.0,0.0,178.1,178.1,178.1,0.0,0.0,178.18,178.18,178.18,0.0,0.0
2018-07-01,181.58,181.58,181.58,0.0,0.0,183.9,183.9,183.9,0.0,0.0,181.58,181.58,181.58,0.0,0.0,183.76,183.76,183.76,0.0,0.0
2018-07-08,185.9,185.9,185.9,0.0,0.0,187.09,187.09,187.09,0.0,0.0,185.9,185.9,185.9,0.0,0.0,186.86,186.86,186.86,0.0,0.0
2018-07-15,185.2,185.2,185.2,0.0,0.0,185.86,185.86,185.86,0.0,0.0,185.2,185.2,185.2,0.0,0.0,185.58,185.58,185.58,0.0,0.0
2018-07-22,188.94,188.94,188.94,0.0,0.0,188.94,188.94,188.94,0.0,0.0,187.17,187.17,187.17,0.0,0.0,187.71,187.71,187.71,0.0,0.0
2018-07-29,190.79,190.79,190.79,0.0,0.0,191.64,191.64,191.64,0.0,0.0,190.5,190.5,190.5,0.0,0.0,191.63,191.63,191.63,0.0,0.0
2018-08-05,191.43,191.43,191.43,0.0,0.0,192.35,192.35,192.35,0.0,0.0,190.62,190.62,190.62,0.0,0.0,191.33,191.33,191.33,0.0,0.0
2018-08-12,193.55,193.55,193.55,0.0,0.0,194.89,194.89,194.89,0.0,0.0,193.16,193.16,193.16,0.0,0.0,194.41,194.41,194.41,0.0,0.0
2018-08-19,195.55,195.55,195.55,0.0,0.0,196.51,196.51,196.51,0.0,0.0,195.47,195.47,195.47,0.0,0.0,196.02,196.02,196.02,0.0,0.0
2018-08-26,197.96,197.96,197.96,0.0,0.0,198.43,198.43,198.43,0.0,0.0,197.65,197.65,197.65,0.0,0.0,198.24,198.24,198.24,0.0,0.0
2018-09-02,196.7,196.7,196.7,0.0,0.0,197.67,197.67,197.67,0.0,0.0,196.6,196.6,196.6,0.0,0.0,197.45,197.45,197.45,0.0,0.0
2018-09-09,200.08,200.08,200.08,0.0,0.0,200.08,200.08,200.08,0.0,0.0,199.2,199.2,199.2,0.0,0.0,199.55,199.55,199.55,0.0,0.0
2018-09-16,201.85,201.85,201.85,0.0,0.0,202.55,202.55,202.55,0.0,0.0,201.3,201.3,201.3,0.0,0.0,201.55,201.55,201.55,0.0,0.0
2018-09-23,201.9,201.9,201.9,0.0,0.0,203.13,203.13,203.13,0.0,0.0,201.9,201.9,201.9,0.0,0.0,202.9,202.9,202.9,0.0,0.0
2018-09-30,200.72,200.72,200.72,0.0,0.0,201.96,201.96,201.96,0.0,0.0,199.14,199.14,199.14,0.0,0.0,200.54,200.54,200.54,0.0,0.0
2018-10-07,192.85,192.85,192.85,0.0,0.0,194.1,194.1,194.1,0.0,0.0,191.39,191.39,191.39,0.0,0.0,193.72,193.72,193.72,0.0,0.0
2018-10-14,196.46,196.46,196.46,0.0,0.0,197.16,197.16,197.16,0.0,0.0,193.95,193.95,193.95,0.0,0.0,194.14,194.14,194.14,0.0,0.0
2018-10-21,185.84,185.84,185.84,0.0,0.0,187.31,187.31,187.31,0.0,0.0,183.27,183.27,183.27,0.0,0.0,185.6,185.6,185.6,0.0,0.0
2018-10-28,192.42,192.42,192.42,0.0,0.0,193.06,193.06,193.06,0.0,0.0,188.72,188.72,188.72,0.0,0.0,190.08,190.08,190.08,0.0,0.0
2018-11-04,197.38,197.38,197.38,0.0,0.0,197.83,197.83,197.83,0.0,0.0,196.03,196.03,196.03,0.0,0.0,196.92,196.92,196.92,0.0,0.0
2018-11-11,192.39,192.39,192.39,0.0,0.0,195.39,195.39,195.39,0.0,0.0,192.39,192.39,192.39,0.0,0.0,194.73,194.73,194.73,0.0,0.0
2018-11-18,188.37,188.37,188.37,0.0,0.0,190.73,190.73,190.73,0.0,0.0,188.2,188.2,188.2,0.0,0.0,189.55,189.55,189.55,0.0,0.0
2018-11-25,198.76,198.76,198.76,0.0,0.0,200.71,200.71,200.71,0.0,0.0,198.7,198.7,198.7,0.0,0.0,200.7,200.7,200.7,0.0,0.0
2018-12-02,195.56,195.56,195.56,0.0,0.0,196.05,196.05,196.05,0.0,0.0,190.33,190.33,190.33,0.0,0.0,191.16,191.16,191.16,0.0,0.0
2018-12-09,192.01,192.01,192.01,0.0,0.0,192.01,192.01,192.01,0.0,0.0,187.17,187.17,187.17,0.0,0.0,187.83,187.83,187.83,0.0,0.0
2018-12-16,176.56,176.56,176.56,0.0,0.0,179.25,179.25,179.25,0.0,0.0,173.69,173.69,173.69,0.0,0.0,173.93,173.93,173.93,0.0,0.0
2018-12-23,180.0,180.0,180.0,0.0,0.0,180.62,180.62,180.62,0.0,0.0,177.5,177.5,177.5,0.0,0.0,178.27,178.27,178.27,0.0,0.0
2018-12-30,176.78,176.78,176.78,0.0,0.0,180.9,180.9,180.9,0.0,0.0,176.78,176.78,176.78,0.0,0.0,179.83,179.83,179.83,0.0,0.0
2019-01-06,183.53,183.53,183.53,0.0,0.0,184.85,184.85,184.85,0.0,0.0,183.2,183.2,183.2,0.0,0.0,184.85,184.85,184.85,0.0,0.0
2019-01-13,188.98,188.98,188.98,0.0,0.0,189.63,189.63,189.63,0.0,0.0,187.46,187.46,187.46,0.0,0.0,189.63,189.63,189.63,0.0,0.0
2019-01-20,187.51,187.51,187.51,0.0,0.0,187.83,187.83,187.83,0.0,0.0,186.78,186.78,186.78,0.0,0.0,187.3,187.3,187.3,0.0,0.0
2019-01-27,191.03,191.03,191.03,0.0,0.0,191.57,191.57,191.57,0.0,0.0,189.94,189.94,189.94,0.0,0.0,191.22,191.22,191.22,0.0,0.0
2019-02-03,188.18,188.18,188.18,0.0,0.0,189.24,189.24,189.24,0.0,0.0,187.96,187.96,187.96,0.0,0.0,189.21,189.21,189.21,0.0,0.0
2019-02-10,193.78,193.78,193.78,0.0,0.0,195.58,195.58,195.58,0.0,0.0,193.78,193.78,193.78,0.0,0.0,195.52,195.52,195.52,0.0,0.0
2019-02-17,193.37,193.37,193.37,0.0,0.0,194.89,194.89,194.89,0.0,0.0,193.37,193.37,193.37,0.0,0.0,194.81,194.81,194.81,0.0,0.0
2019-02-24,194.59,194.59,194.59,0.0,0.0,196.48,196.48,196.48,0.0,0.0,194.52,194.52,194.52,0.0,0.0,196.3,196.3,196.3,0.0,0.0
2019-03-03,187.51,187.51,187.51,0.0,0.0,188.54,188.54,188.54,0.0,0.0,186.9,186.9,186.9,0.0,0.0,188.43,188.43,188.43,0.0,0.0
2019-03-10,194.43,194.43,194.43,0.0,0.0,195.27,195.27,195.27,0.0,0.0,193.9,193.9,193.9,0.0,0.0,194.97,194.97,194.97,0.0,0.0
2019-03-17,194.23,194.23,194.23,0.0,0.0,194.79,194.79,194.79,0.0,0.0,191.38,191.38,191.38,0.0,0.0,191.4,191.4,191.4,0.0,0.0
2019-03-24,192.41,192.41,192.41,0.0,0.0,193.92,193.92,193.92,0.0,0.0,192.41,192.41,192.41,0.0,0.0,193.78,193.78,193.78,0.0,0.0
2019-03-31,193.49,193.49,193.49,0.0,0.0,194.83,194.83,194.83,0.0,0.0,193.49,193.49,193.49,0.0,0.0,194.51,194.51,194.51,0.0,0.0
2019-04-07,192.24,192.24,192.24,0.0,0.0,192.24,192.24,192.24,0.0,0.0,189.52,189.52,189.52,0.0,0.0,189.75,189.75,189.75,0.0,0.0
2019-04-14,181.24,181.24,181.24,0.0,0.0,182.06,182.06,182.06,0.0,0.0,178.35,178.35,178.35,0.0,0.0,181.0,181.0,181.0,0.0,0.0
2019-04-21,186.05,186.05,186.05,0.0,0.0,187.86,187.86,187.86,0.0,0.0,186.05,186.05,186.05,0.0,0.0,187.86,187.86,187.86,0.0,0.0
2019-04-28,188.81,188.81,188.81,0.0,0.0,189.96,189.96,189.96,0.0,0.0,188.64,188.64,188.64,0.0,0.0,189.87,189.87,189.87,0.0,0.0
2019-05-05,186.59,186.59,186.59,0.0,0.0,187.48,187.48,187.48,0.0,0.0,183.26,183.26,183.26,0.0,0.0,187.03,187.03,187.03,0.0,0.0
2019-05-12,185.05,185.05,185.05,0.0,0.0,187.42,187.42,187.42,0.0,0.0,185.05,185.05,185.05,0.0,0.0,186.2,186.2,186.2,0.0,0.0
2019-05-19,188.44,188.44,188.44,0.0,0.0,189.05,189.05,189.05,0.0,0.0,187.68,187.68,187.68,0.0,0.0,188.2,188.2,188.2,0.0,0.0
2019-05-26,183.35,183.35,183.35,0.0,0.0,184.11,184.11,184.11,0.0,0.0,182.29,182.29,182.29,0.0,0.0,183.28,183.28,183.28,0.0,0.0
2019-06-02,189.6,189.6,189.6,0.0,0.0,191.47,191.47,191.47,0.0,0.0,189.6,189.6,189.6,0.0,0.0,191.03,191.03,191.03,0.0,0.0
2019-06-09,192.3,192.3,192.3,0.0,0.0,192.66,192.66,192.66,0.0,0.0,191.52,191.52,191.52,0.0,0.0,191.67,191.67,191.67,0.0,0.0
2019-06-16,196.47,196.47,196.47,0.0,0.0,197.61,197.61,197.61,0.0,0.0,195.1,195.1,195.1,0.0,0.0,197.36,197.36,197.36,0.0,0.0
2019-06-23,194.44,194.44,194.44,0.0,0.0,195.47,195.47,195.47,0.0,0.0,193.61,193.61,193.61,0.0,0.0,195.27,195.27,195.27,0.0,0.0
2019-06-30,197.81,197.81,197.81,0.0,0.0,198.36,198.36,198.36,0.0,0.0,197.04,197.04,197.04,0.0,0.0,197.35,197.35,197.35,0.0,0.0
2019-07-07,196.1,196.1,196.1,0.0,0.0,196.1,196.1,196.1,0.0,0.0,193.45,193.45,193.45,0.0,0.0,194.63,194.63,194.63,0.0,0.0
2019-07-14,195.9,195.9,195.9,0.0,0.0,195.9,195.9,195.9,0.0,0.0,193.4,193.4,193.4,0.0,0.0,193.57,193.57,193.57,0.0,0.0
2019-07-21,194.02,194.02,194.02,0.0,0.0,194.39,194.39,194.39,0.0,0.0,193.59,193.59,193.59,0.0,0.0,194.36,194.36,194.36,0.0,0.0
2019-07-28,192.31,192.31,192.31,0.0,0.0,192.79,192.79,192.79,0.0,0.0,190.9,190.9,190.9,0.0,0.0,192.18,192.18,192.18,0.0,0.0
2019-08-04,192.51,192.51,192.51,0.0,0.0,194.25,194.25,194.25,0.0,0.0,191.74,191.74,191.74,0.0,0.0,193.2,193.2,193.2,0.0,0.0
2019-08-11,189.76,189.76,189.76,0.0,0.0,191.44,191.44,191.44,0.0,0.0,189.76,189.76,189.76,0.0,0.0,191.05,191.05,191.05,0.0,0.0
2019-08-18,191.09,191.09,191.09,0.0,0.0,191.85,191.85,191.85,0.0,0.0,186.35,186.35,186.35,0.0,0.0,187.31,187.31,187.31,0.0,0.0
2019-08-25,191.37,191.37,191.37,0.0,0.0,191.37,191.37,191.37,0.0,0.0,190.13,190.13,190.13,0.0,0.0,190.75,190.75,190.75,0.0,0.0
2019-09-01,191.78,191.78,191.78,0.0,0.0,192.52,192.52,192.52,0.0,0.0,191.69,191.69,191.69,0.0,0.0,191.92,191.92,191.92,0.0,0.0
2019-09-08,192.96,192.96,192.96,0.0,0.0,193.98,193.98,193.98,0.0,0.0,192.19,192.19,192.19,0.0,0.0,192.57,192.57,192.57,0.0,0.0
2019-09-15,193.9,193.9,193.9,0.0,0.0,195.16,195.16,195.16,0.0,0.0,193.9,193.9,193.9,0.0,0.0,194.47,194.47,194.47,0.0,0.0
2019-09-22,188.93,188.93,188.93,0.0,0.0,189.16,189.16,189.16,0.0,0.0,186.81,186.81,186.81,0.0,0.0,187.35,187.35,187.35,0.0,0.0
2019-09-29,186.64,186.64,186.64,0.0,0.0,189.14,189.14,189.14,0.0,0.0,186.64,186.64,186.64,0.0,0.0,189.01,189.01,189.01,0.0,0.0
2019-10-06,188.89,188.89,188.89,0.0,0.0,190.68,190.68,190.68,0.0,0.0,188.51,188.51,188.51,0.0,0.0,188.51,188.51,188.51,0.0,0.0
2019-10-13,192.36,192.36,192.36,0.0,0.0,192.84,192.84,192.84,0.0,0.0,191.39,191.39,191.39,0.0,0.0,192.43,192.43,192.43,0.0,0.0
2019-10-20,192.04,192.04,192.04,0.0,0.0,193.5,193.5,193.5,0.0,0.0,191.94,191.94,191.94,0.0,0.0,193.0,193.0,193.0,0.0,0.0
2019-10-27,199.18,199.18,199.18,0.0,0.0,200.37,200.37,200.37,0.0,0.0,198.89,198.89,198.89,0.0,0.0,198.98,198.98,198.98,0.0,0.0
2019-11-03,198.05,198.05,198.05,0.0,0.0,199.86,199.86,199.86,0.0,0.0,198.05,198.05,198.05,0.0,0.0,199.86,199.86,199.86,0.0,0.0
2019-11-10,201.07,201.07,201.07,0.0,0.0,204.73,204.73,204.73,0.0,0.0,201.07,201.07,201.07,0.0,0.0,204.62,204.62,204.62,0.0,0.0
2019-11-17,206.14,206.14,206.14,0.0,0.0,206.86,206.86,206.86,0.0,0.0,205.73,205.73,205.73,0.0,0.0,206.65,206.65,206.65,0.0,0.0
2019-11-24,209.99,209.99,209.99,0.0,0.0,210.2,210.2,210.2,0.0,0.0,209.21,209.21,209.21,0.0,0.0,209.47,209.47,209.47,0.0,0.0
2019-12-01,210.6,210.6,210.6,0.0,0.0,211.91,211.91,211.91,0.0,0.0,210.6,210.6,210.6,0.0,0.0,211.22,211.22,211.22,0.0,0.0
2019-12-08,212.07,212.07,212.07,0.0,0.0,213.11,213.11,213.11,0.0,0.0,211.15,211.15,211.15,0.0,0.0,211.79,211.79,211.79,0.0,0.0
2019-12-15,215.34,215.34,215.34,0.0,0.0,216.5,216.5,216.5,0.0,0.0,215.34,215.34,215.34,0.0,0.0,216.09,216.09,216.09,0.0,0.0
2019-12-22,217.1,217.1,217.1,0.0,0.0,217.1,217.1,217.1,0.0,0.0,216.23,216.23,216.23,0.0,0.0,216.34,216.34,216.34,0.0,0.0
2019-12-29,213.55,213.55,213.55,0.0,0.0,215.39,215.39,215.39,0.0,0.0,212.88,212.88,212.88,0.0,0.0,214.23,214.23,214.23,0.0,0.0
