Date,iShares US TelecommunicationsEtf_Open_average,iShares US TelecommunicationsEtf_Open_max,iShares US TelecommunicationsEtf_Open_min,iShares US TelecommunicationsEtf_Open_volatility,iShares US TelecommunicationsEtf_Open_change,iShares US TelecommunicationsEtf_High_average,iShares US TelecommunicationsEtf_High_max,iShares US TelecommunicationsEtf_High_min,iShares US TelecommunicationsEtf_High_volatility,iShares US TelecommunicationsEtf_High_change,iShares US TelecommunicationsEtf_Low_average,iShares US TelecommunicationsEtf_Low_max,iShares US TelecommunicationsEtf_Low_min,iShares US TelecommunicationsEtf_Low_volatility,iShares US TelecommunicationsEtf_Low_change,iShares US TelecommunicationsEtf_Close_average,iShares US TelecommunicationsEtf_Close_max,iShares US TelecommunicationsEtf_Close_min,iShares US TelecommunicationsEtf_Close_volatility,iShares US TelecommunicationsEtf_Close_change
2018-03-25,26.76,26.76,26.76,0.0,0.0,27.14,27.14,27.14,0.0,0.0,26.76,26.76,26.76,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2018-04-01,27.25,27.25,27.25,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-04-08,27.7,27.7,27.7,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-04-15,27.82,27.82,27.82,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-04-22,27.84,27.84,27.84,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-04-29,26.79,26.79,26.79,0.0,0.0,27.27,27.27,27.27,0.0,0.0,26.79,26.79,26.79,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-05-06,27.43,27.43,27.43,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-05-13,27.07,27.07,27.07,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-05-20,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-05-27,27.05,27.05,27.05,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-06-03,27.52,27.52,27.52,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-06-10,27.91,27.91,27.91,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.73,27.73,27.73,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-06-17,27.7,27.7,27.7,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-06-24,27.6,27.6,27.6,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-07-01,27.99,27.99,27.99,0.0,0.0,28.23,28.23,28.23,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-07-08,28.44,28.44,28.44,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-07-15,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-07-22,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2018-07-29,27.96,27.96,27.96,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-08-05,28.55,28.55,28.55,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-08-12,29.15,29.15,29.15,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-08-19,29.38,29.38,29.38,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-08-26,29.58,29.58,29.58,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-09-02,29.3,29.3,29.3,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-09-09,29.94,29.94,29.94,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2018-09-16,30.02,30.02,30.02,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2018-09-23,29.57,29.57,29.57,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2018-09-30,29.73,29.73,29.73,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-10-07,28.07,28.07,28.07,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.7,27.7,27.7,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-10-14,28.57,28.57,28.57,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-10-21,27.57,27.57,27.57,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-10-28,28.47,28.47,28.47,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-11-04,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-11-11,28.24,28.24,28.24,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-11-18,27.59,27.59,27.59,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-11-25,28.67,28.67,28.67,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-12-02,28.27,28.27,28.27,0.0,0.0,28.5,28.5,28.5,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2018-12-09,27.59,27.59,27.59,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-12-16,26.07,26.07,26.07,0.0,0.0,26.37,26.37,26.37,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-12-23,26.04,26.04,26.04,0.0,0.0,26.39,26.39,26.39,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-12-30,26.49,26.49,26.49,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2019-01-06,27.63,27.63,27.63,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2019-01-13,27.9,27.9,27.9,0.0,0.0,28.15,28.15,28.15,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2019-01-20,28.11,28.11,28.11,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2019-01-27,28.05,28.05,28.05,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2019-02-03,27.63,27.63,27.63,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.6,27.6,27.6,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2019-02-10,28.73,28.73,28.73,0.0,0.0,29.23,29.23,29.23,0.0,0.0,28.73,28.73,28.73,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2019-02-17,29.63,29.63,29.63,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2019-02-24,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2019-03-03,28.75,28.75,28.75,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-03-10,29.57,29.57,29.57,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-03-17,29.66,29.66,29.66,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2019-03-24,29.7,29.7,29.7,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2019-03-31,30.34,30.34,30.34,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2019-04-07,30.81,30.81,30.81,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-04-14,30.66,30.66,30.66,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-04-21,30.22,30.22,30.22,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2019-04-28,29.82,29.82,29.82,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.67,29.67,29.67,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2019-05-05,29.05,29.05,29.05,0.0,0.0,29.41,29.41,29.41,0.0,0.0,28.81,28.81,28.81,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2019-05-12,29.2,29.2,29.2,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2019-05-19,29.27,29.27,29.27,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2019-05-26,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2019-06-02,29.54,29.54,29.54,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-06-09,29.57,29.57,29.57,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2019-06-16,29.85,29.85,29.85,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2019-06-23,29.54,29.54,29.54,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2019-06-30,29.98,29.98,29.98,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.83,29.83,29.83,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2019-07-07,30.28,30.28,30.28,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2019-07-14,30.39,30.39,30.39,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2019-07-21,30.29,30.29,30.29,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-07-28,29.51,29.51,29.51,0.0,0.0,29.51,29.51,29.51,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2019-08-04,28.96,28.96,28.96,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2019-08-11,27.82,27.82,27.82,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.79,27.79,27.79,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2019-08-18,28.28,28.28,28.28,0.0,0.0,28.47,28.47,28.47,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2019-08-25,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2019-09-01,28.87,28.87,28.87,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2019-09-08,29.86,29.86,29.86,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2019-09-15,29.58,29.58,29.58,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2019-09-22,29.34,29.34,29.34,0.0,0.0,29.35,29.35,29.35,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2019-09-29,28.36,28.36,28.36,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2019-10-06,28.95,28.95,28.95,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2019-10-13,29.27,29.27,29.27,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2019-10-20,29.27,29.27,29.27,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2019-10-27,29.6,29.6,29.6,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2019-11-03,29.93,29.93,29.93,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-11-10,29.72,29.72,29.72,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2019-11-17,29.47,29.47,29.47,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-11-24,29.64,29.64,29.64,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2019-12-01,29.43,29.43,29.43,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2019-12-08,29.62,29.62,29.62,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2019-12-15,29.78,29.78,29.78,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2019-12-22,29.93,29.93,29.93,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2019-12-29,29.7,29.7,29.7,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.74,29.74,29.74,0.0,0.0
