Date,Janus SmallMid Cap Growth Alpha_etf_Open_average,Janus SmallMid Cap Growth Alpha_etf_Open_max,Janus SmallMid Cap Growth Alpha_etf_Open_min,Janus SmallMid Cap Growth Alpha_etf_Open_volatility,Janus SmallMid Cap Growth Alpha_etf_Open_change,Janus SmallMid Cap Growth Alpha_etf_High_average,Janus SmallMid Cap Growth Alpha_etf_High_max,Janus SmallMid Cap Growth Alpha_etf_High_min,Janus SmallMid Cap Growth Alpha_etf_High_volatility,Janus SmallMid Cap Growth Alpha_etf_High_change,Janus SmallMid Cap Growth Alpha_etf_Low_average,Janus SmallMid Cap Growth Alpha_etf_Low_max,Janus SmallMid Cap Growth Alpha_etf_Low_min,Janus SmallMid Cap Growth Alpha_etf_Low_volatility,Janus SmallMid Cap Growth Alpha_etf_Low_change,Janus SmallMid Cap Growth Alpha_etf_Close_average,Janus SmallMid Cap Growth Alpha_etf_Close_max,Janus SmallMid Cap Growth Alpha_etf_Close_min,Janus SmallMid Cap Growth Alpha_etf_Close_volatility,Janus SmallMid Cap Growth Alpha_etf_Close_change
2019-06-02,43.49,43.49,43.49,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.56,43.56,43.56,0.0,0.0
2019-06-09,44.65,44.65,44.65,0.0,0.0,44.65,44.65,44.65,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.72,43.72,43.72,0.0,0.0
2019-06-16,44.3,44.3,44.3,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2019-06-23,44.87,44.87,44.87,0.0,0.0,45.37,45.37,45.37,0.0,0.0,44.65,44.65,44.65,0.0,0.0,45.26,45.26,45.26,0.0,0.0
2019-06-30,45.16,45.16,45.16,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.42,45.42,45.42,0.0,0.0
2019-07-07,44.9,44.9,44.9,0.0,0.0,45.5,45.5,45.5,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2019-07-14,45.31,45.31,45.31,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2019-07-21,46.16,46.16,46.16,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2019-07-28,44.78,44.78,44.78,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2019-08-04,44.4,44.4,44.4,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2019-08-11,43.43,43.43,43.43,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2019-08-18,43.99,43.99,43.99,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2019-08-25,44.06,44.06,44.06,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2019-09-01,44.36,44.36,44.36,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2019-09-08,45.64,45.64,45.64,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.02,45.02,45.02,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2019-09-15,45.01,45.01,45.01,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2019-09-22,44.59,44.59,44.59,0.0,0.0,44.59,44.59,44.59,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2019-09-29,42.43,42.43,42.43,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.43,42.43,42.43,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2019-10-06,43.4,43.4,43.4,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2019-10-13,44.19,44.19,44.19,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2019-10-20,44.37,44.37,44.37,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.61,44.61,44.61,0.0,0.0
2019-10-27,44.58,44.58,44.58,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2019-11-03,45.21,45.21,45.21,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2019-11-10,45.82,45.82,45.82,0.0,0.0,46.15,46.15,46.15,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2019-11-17,46.01,46.01,46.01,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2019-11-24,47.98,47.98,47.98,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2019-12-01,48.4,48.4,48.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0,47.18,47.18,47.18,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2019-12-08,48.31,48.31,48.31,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2019-12-15,48.32,48.32,48.32,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2019-12-22,48.34,48.34,48.34,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2019-12-29,47.34,47.34,47.34,0.0,0.0,48.37,48.37,48.37,0.0,0.0,47.34,47.34,47.34,0.0,0.0,48.28,48.28,48.28,0.0,0.0
