Date,EXPR_Open_average,EXPR_Open_max,EXPR_Open_min,EXPR_Open_volatility,EXPR_Open_change,EXPR_High_average,EXPR_High_max,EXPR_High_min,EXPR_High_volatility,EXPR_High_change,EXPR_Low_average,EXPR_Low_max,EXPR_Low_min,EXPR_Low_volatility,EXPR_Low_change,EXPR_Close_average,EXPR_Close_max,EXPR_Close_min,EXPR_Close_volatility,EXPR_Close_change,EXPR_Volume_average,EXPR_Volume_max,EXPR_Volume_min,EXPR_Volume_volatility,EXPR_Volume_change
2018-09-16,10.688,11.0,10.43,0.5700000000000003,0.5099999999999998,10.928,11.17,10.76,0.41000000000000014,0.1700000000000017,10.58,10.88,10.38,0.5,0.2699999999999996,10.762,10.93,10.48,0.4499999999999993,0.4399999999999995,2212417,2951862,1179935,1771927,-999175
2018-09-23,11.046000000000001,11.21,10.88,0.33000000000000007,0.16999999999999993,11.246,11.32,11.16,0.16000000000000014,-0.08999999999999986,10.868,11.01,10.66,0.34999999999999964,-0.1999999999999993,10.966,11.18,10.67,0.5099999999999998,-0.21000000000000085,1283609,1383259,1212275,170984,31932
2018-09-30,10.026,10.66,9.65,1.0099999999999998,-1.0099999999999998,10.076,10.74,9.65,1.0899999999999999,-1.0899999999999999,9.554,9.81,9.07,0.7400000000000002,-0.7400000000000002,9.718,9.98,9.21,0.7699999999999996,-0.6399999999999988,1892426,2297357,1560337,737020,39994
2018-10-07,8.838000000000001,9.2,8.38,0.8199999999999985,-0.8199999999999985,9.038,9.44,8.67,0.7699999999999996,-0.7699999999999996,8.6,9.14,8.21,0.9299999999999997,-0.7700000000000014,8.708,9.15,8.4,0.75,-0.5500000000000007,2815127,4294534,1864788,2429746,737030
2018-10-14,8.656,8.76,8.44,0.3200000000000003,-0.22000000000000064,8.79,8.87,8.69,0.17999999999999972,-0.09999999999999964,8.444,8.58,8.31,0.2699999999999996,-0.15000000000000036,8.614,8.76,8.42,0.33999999999999986,-0.2599999999999998,2253035,3403497,1594942,1808555,1116393
2018-10-21,8.386,8.55,8.29,0.26000000000000156,0.22000000000000064,8.604,8.79,8.4,0.3899999999999988,0.3899999999999988,8.258,8.4,8.03,0.370000000000001,0.370000000000001,8.422,8.57,8.3,0.2699999999999996,0.2699999999999996,2310127,2983702,1728557,1255145,-306694
2018-10-28,8.978,9.32,8.57,0.75,0.75,9.242,9.55,9.08,0.47000000000000064,0.41999999999999993,8.8,9.15,8.46,0.6899999999999995,0.6899999999999995,9.128,9.52,8.81,0.7099999999999991,0.5499999999999989,2312874,3344456,1913245,1431211,-1076236
2018-11-04,9.442,9.55,9.24,0.3100000000000005,-0.1999999999999993,9.528,9.64,9.35,0.2900000000000009,-0.25,9.082,9.33,8.93,0.40000000000000036,-0.2699999999999996,9.35,9.57,8.97,0.5999999999999996,-0.5499999999999989,1680350,2541304,1143069,1398235,847291
2018-11-11,8.656,9.04,8.06,0.9799999999999986,-0.9799999999999986,8.834,9.42,8.21,1.209999999999999,-1.0,8.29,8.92,7.63,1.29,-1.29,8.424,8.92,7.67,1.25,-1.25,2032085,2358684,1637867,720817,633401
2018-11-18,7.6025,7.76,7.47,0.29000000000000004,0.29000000000000004,7.7925,7.91,7.66,0.25,0.25,7.4925,7.57,7.32,0.25,0.25,7.645,7.74,7.47,0.27000000000000046,0.27000000000000046,1828616,3267181,650855,2616326,-1424553
2018-11-25,6.768,7.63,5.66,1.9699999999999998,-1.2999999999999998,7.1659999999999995,7.71,6.58,1.13,-1.13,6.502,7.42,5.66,1.7599999999999998,-1.2699999999999996,6.866,7.56,6.24,1.3199999999999994,-0.9899999999999993,6994198,16139019,2883395,13255624,1616686
