Date,iShares Aaa - A Rated Corporate Bond_Open_average,iShares Aaa - A Rated Corporate Bond_Open_max,iShares Aaa - A Rated Corporate Bond_Open_min,iShares Aaa - A Rated Corporate Bond_Open_volatility,iShares Aaa - A Rated Corporate Bond_Open_change,iShares Aaa - A Rated Corporate Bond_High_average,iShares Aaa - A Rated Corporate Bond_High_max,iShares Aaa - A Rated Corporate Bond_High_min,iShares Aaa - A Rated Corporate Bond_High_volatility,iShares Aaa - A Rated Corporate Bond_High_change,iShares Aaa - A Rated Corporate Bond_Low_average,iShares Aaa - A Rated Corporate Bond_Low_max,iShares Aaa - A Rated Corporate Bond_Low_min,iShares Aaa - A Rated Corporate Bond_Low_volatility,iShares Aaa - A Rated Corporate Bond_Low_change,iShares Aaa - A Rated Corporate Bond_Close_average,iShares Aaa - A Rated Corporate Bond_Close_max,iShares Aaa - A Rated Corporate Bond_Close_min,iShares Aaa - A Rated Corporate Bond_Close_volatility,iShares Aaa - A Rated Corporate Bond_Close_change
2018-10-28,49.39,49.39,49.39,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-11-04,49.56,49.56,49.56,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-11-11,49.38,49.38,49.38,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-11-18,49.57,49.57,49.57,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2018-11-25,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-12-02,49.66,49.66,49.66,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-12-09,49.89,49.89,49.89,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-12-16,49.88,49.88,49.88,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2018-12-23,50.02,50.02,50.02,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-12-30,50.31,50.31,50.31,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-01-06,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-01-13,50.37,50.37,50.37,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2019-01-20,50.7,50.7,50.7,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2019-01-27,50.97,50.97,50.97,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.92,50.92,50.92,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2019-02-03,51.16,51.16,51.16,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2019-02-10,51.2,51.2,51.2,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-02-17,51.22,51.22,51.22,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2019-02-24,50.94,50.94,50.94,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2019-03-03,51.21,51.21,51.21,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2019-03-10,51.37,51.37,51.37,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2019-03-17,52.0,52.0,52.0,0.0,0.0,52.1,52.1,52.1,0.0,0.0,51.9,51.9,51.9,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2019-03-24,51.93,51.93,51.93,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2019-03-31,51.87,51.87,51.87,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2019-04-07,51.91,51.91,51.91,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2019-04-14,51.82,51.82,51.82,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2019-04-21,51.98,51.98,51.98,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2019-04-28,51.9,51.9,51.9,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2019-05-05,51.93,51.93,51.93,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.96,51.96,51.96,0.0,0.0
2019-05-12,52.03,52.03,52.03,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.93,51.93,51.93,0.0,0.0
2019-05-19,52.21,52.21,52.21,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2019-05-26,52.67,52.67,52.67,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2019-06-02,52.79,52.79,52.79,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2019-06-09,52.91,52.91,52.91,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2019-06-16,53.58,53.58,53.58,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2019-06-23,53.71,53.71,53.71,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2019-06-30,53.58,53.58,53.58,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2019-07-07,53.4,53.4,53.4,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-07-14,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2019-07-21,53.73,53.73,53.73,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2019-07-28,54.09,54.09,54.09,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.16,54.16,54.16,0.0,0.0
2019-08-04,54.53,54.53,54.53,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2019-08-11,54.92,54.92,54.92,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2019-08-18,55.29,55.29,55.29,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.22,55.22,55.22,0.0,0.0
2019-08-25,55.33,55.33,55.33,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.39,55.39,55.39,0.0,0.0
2019-09-01,54.75,54.75,54.75,0.0,0.0,54.86,54.86,54.86,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.75,54.75,54.75,0.0,0.0
2019-09-08,54.0,54.0,54.0,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.83,53.83,53.83,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2019-09-15,54.7,54.7,54.7,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2019-09-22,54.68,54.68,54.68,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2019-09-29,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.96,54.96,54.96,0.0,0.0
2019-10-06,54.65,54.65,54.65,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2019-10-13,54.58,54.58,54.58,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2019-10-20,54.48,54.48,54.48,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2019-10-27,54.56,54.56,54.56,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2019-11-03,54.11,54.11,54.11,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2019-11-10,54.55,54.55,54.55,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2019-11-17,54.8,54.8,54.8,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.83,54.83,54.83,0.0,0.0
2019-11-24,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2019-12-01,54.8,54.8,54.8,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2019-12-08,54.83,54.83,54.83,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2019-12-15,54.64,54.64,54.64,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2019-12-22,54.62,54.62,54.62,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.83,54.83,54.83,0.0,0.0
2019-12-29,54.81,54.81,54.81,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.92,54.92,54.92,0.0,0.0
