Date,ProShares Ultra Bloomberg Crude Oil_Open_average,ProShares Ultra Bloomberg Crude Oil_Open_max,ProShares Ultra Bloomberg Crude Oil_Open_min,ProShares Ultra Bloomberg Crude Oil_Open_volatility,ProShares Ultra Bloomberg Crude Oil_Open_change,ProShares Ultra Bloomberg Crude Oil_High_average,ProShares Ultra Bloomberg Crude Oil_High_max,ProShares Ultra Bloomberg Crude Oil_High_min,ProShares Ultra Bloomberg Crude Oil_High_volatility,ProShares Ultra Bloomberg Crude Oil_High_change,ProShares Ultra Bloomberg Crude Oil_Low_average,ProShares Ultra Bloomberg Crude Oil_Low_max,ProShares Ultra Bloomberg Crude Oil_Low_min,ProShares Ultra Bloomberg Crude Oil_Low_volatility,ProShares Ultra Bloomberg Crude Oil_Low_change,ProShares Ultra Bloomberg Crude Oil_Close_average,ProShares Ultra Bloomberg Crude Oil_Close_max,ProShares Ultra Bloomberg Crude Oil_Close_min,ProShares Ultra Bloomberg Crude Oil_Close_volatility,ProShares Ultra Bloomberg Crude Oil_Close_change
2018-03-25,674.25,674.25,674.25,0.0,0.0,674.25,674.25,674.25,0.0,0.0,645.25,645.25,645.25,0.0,0.0,649.5,649.5,649.5,0.0,0.0
2018-04-01,644.0,644.0,644.0,0.0,0.0,657.25,657.25,657.25,0.0,0.0,641.75,641.75,641.75,0.0,0.0,650.75,650.75,650.75,0.0,0.0
2018-04-08,724.75,724.75,724.75,0.0,0.0,726.0,726.0,726.0,0.0,0.0,710.75,710.75,710.75,0.0,0.0,714.5,714.5,714.5,0.0,0.0
2018-04-15,740.75,740.75,740.75,0.0,0.0,775.5,775.5,775.5,0.0,0.0,734.5,734.5,734.5,0.0,0.0,774.25,774.25,774.25,0.0,0.0
2018-04-22,742.25,742.25,742.25,0.0,0.0,784.0,784.0,784.0,0.0,0.0,740.75,740.75,740.75,0.0,0.0,762.5,762.5,762.5,0.0,0.0
2018-04-29,804.75,804.75,804.75,0.0,0.0,817.25,817.25,817.25,0.0,0.0,787.0,787.0,787.0,0.0,0.0,794.75,794.75,794.75,0.0,0.0
2018-05-06,816.0,816.0,816.0,0.0,0.0,827.75,827.75,827.75,0.0,0.0,815.0,815.0,815.0,0.0,0.0,825.5,825.5,825.5,0.0,0.0
2018-05-13,837.75,837.75,837.75,0.0,0.0,859.0,859.0,859.0,0.0,0.0,835.5,835.5,835.5,0.0,0.0,857.75,857.75,857.75,0.0,0.0
2018-05-20,772.25,772.25,772.25,0.0,0.0,772.75,772.75,772.75,0.0,0.0,741.0,741.0,741.0,0.0,0.0,745.5,745.5,745.5,0.0,0.0
2018-05-27,704.5,704.5,704.5,0.0,0.0,707.0,707.0,707.0,0.0,0.0,678.25,678.25,678.25,0.0,0.0,684.5,684.5,684.5,0.0,0.0
2018-06-03,689.0,689.0,689.0,0.0,0.0,714.5,714.5,714.5,0.0,0.0,686.25,686.25,686.25,0.0,0.0,707.75,707.75,707.75,0.0,0.0
2018-06-10,685.25,685.25,685.25,0.0,0.0,702.0,702.0,702.0,0.0,0.0,680.75,680.75,680.75,0.0,0.0,697.0,697.0,697.0,0.0,0.0
2018-06-17,747.75,747.75,747.75,0.0,0.0,751.0,751.0,751.0,0.0,0.0,730.75,730.75,730.75,0.0,0.0,737.75,737.75,737.75,0.0,0.0
2018-06-24,852.75,852.75,852.75,0.0,0.0,852.75,852.75,852.75,0.0,0.0,833.75,833.75,833.75,0.0,0.0,837.25,837.25,837.25,0.0,0.0
2018-07-01,841.0,841.0,841.0,0.0,0.0,851.25,851.25,851.25,0.0,0.0,826.75,826.75,826.75,0.0,0.0,851.0,851.0,851.0,0.0,0.0
2018-07-08,760.25,760.25,760.25,0.0,0.0,763.5,763.5,763.5,0.0,0.0,723.5,723.5,723.5,0.0,0.0,732.5,732.5,732.5,0.0,0.0
2018-07-15,772.0,772.0,772.0,0.0,0.0,780.5,780.5,780.5,0.0,0.0,743.0,743.0,743.0,0.0,0.0,747.25,747.25,747.25,0.0,0.0
2018-07-22,800.5,800.5,800.5,0.0,0.0,805.75,805.75,805.75,0.0,0.0,792.75,792.75,792.75,0.0,0.0,795.0,795.0,795.0,0.0,0.0
2018-07-29,778.5,778.5,778.5,0.0,0.0,793.0,793.0,793.0,0.0,0.0,767.75,767.75,767.75,0.0,0.0,769.0,769.0,769.0,0.0,0.0
2018-08-05,736.0,736.0,736.0,0.0,0.0,740.5,740.5,740.5,0.0,0.0,702.75,702.75,702.75,0.0,0.0,735.5,735.5,735.5,0.0,0.0
2018-08-12,703.0,703.0,703.0,0.0,0.0,714.25,714.25,714.25,0.0,0.0,700.0,700.0,700.0,0.0,0.0,708.25,708.25,708.25,0.0,0.0
2018-08-19,784.75,784.75,784.75,0.0,0.0,786.63,786.63,786.63,0.0,0.0,777.5,777.5,777.5,0.0,0.0,786.0,786.0,786.0,0.0,0.0
2018-08-26,809.75,809.75,809.75,0.0,0.0,814.75,814.75,814.75,0.0,0.0,801.0,801.0,801.0,0.0,0.0,806.75,806.75,806.75,0.0,0.0
2018-09-02,776.0,776.0,776.0,0.0,0.0,779.25,779.25,779.25,0.0,0.0,754.25,754.25,754.25,0.0,0.0,758.5,758.5,758.5,0.0,0.0
2018-09-09,797.75,797.75,797.75,0.0,0.0,804.75,804.75,804.75,0.0,0.0,778.25,778.25,778.25,0.0,0.0,783.75,783.75,783.75,0.0,0.0
2018-09-16,866.75,866.75,866.75,0.0,0.0,881.25,881.25,881.25,0.0,0.0,860.0,860.0,860.0,0.0,0.0,870.0,870.0,870.0,0.0,0.0
2018-09-23,896.75,896.75,896.75,0.0,0.0,955.5,955.5,955.5,0.0,0.0,891.0,891.0,891.0,0.0,0.0,949.5,949.5,949.5,0.0,0.0
2018-09-30,901.75,901.75,901.75,0.0,0.0,918.5,918.5,918.5,0.0,0.0,898.5,898.5,898.5,0.0,0.0,915.75,915.75,915.75,0.0,0.0
2018-10-07,849.25,849.25,849.25,0.0,0.0,856.75,856.75,856.75,0.0,0.0,834.0,834.0,834.0,0.0,0.0,851.5,851.5,851.5,0.0,0.0
2018-10-14,797.75,797.75,797.75,0.0,0.0,812.56,812.56,812.56,0.0,0.0,786.82,786.82,786.82,0.0,0.0,812.0,812.0,812.0,0.0,0.0
2018-10-21,757.25,757.25,757.25,0.0,0.0,761.5,761.5,761.5,0.0,0.0,736.93,736.93,736.93,0.0,0.0,743.5,743.5,743.5,0.0,0.0
2018-10-28,678.75,678.75,678.75,0.0,0.0,687.75,687.75,687.75,0.0,0.0,658.5,658.5,658.5,0.0,0.0,659.75,659.75,659.75,0.0,0.0
2018-11-04,616.5,616.5,616.5,0.0,0.0,626.75,626.75,626.75,0.0,0.0,576.5,576.5,576.5,0.0,0.0,581.5,581.5,581.5,0.0,0.0
2018-11-11,521.5,521.5,521.5,0.0,0.0,549.25,549.25,549.25,0.0,0.0,506.09,506.09,506.09,0.0,0.0,544.75,544.75,544.75,0.0,0.0
2018-11-18,438.0,438.0,438.0,0.0,0.0,446.0,446.0,446.0,0.0,0.0,433.0,433.0,433.0,0.0,0.0,437.25,437.25,437.25,0.0,0.0
2018-11-25,461.25,461.25,461.25,0.0,0.0,462.16,462.16,462.16,0.0,0.0,442.5,442.5,442.5,0.0,0.0,461.75,461.75,461.75,0.0,0.0
2018-12-02,429.0,429.0,429.0,0.0,0.0,441.25,441.25,441.25,0.0,0.0,415.5,415.5,415.5,0.0,0.0,419.25,419.25,419.25,0.0,0.0
2018-12-09,430.0,430.0,430.0,0.0,0.0,431.75,431.75,431.75,0.0,0.0,394.5,394.5,394.5,0.0,0.0,397.0,397.0,397.0,0.0,0.0
2018-12-16,324.5,324.5,324.5,0.0,0.0,326.25,326.25,326.25,0.0,0.0,310.0,310.0,310.0,0.0,0.0,310.75,310.75,310.75,0.0,0.0
2018-12-23,328.75,328.75,328.75,0.0,0.0,334.5,334.5,334.5,0.0,0.0,316.75,316.75,316.75,0.0,0.0,332.5,332.5,332.5,0.0,0.0
2018-12-30,374.0,374.0,374.0,0.0,0.0,391.0,391.0,391.0,0.0,0.0,371.25,371.25,371.25,0.0,0.0,374.25,374.25,374.25,0.0,0.0
2019-01-06,413.0,413.0,413.0,0.0,0.0,421.75,421.75,421.75,0.0,0.0,399.25,399.25,399.25,0.0,0.0,403.0,403.0,403.0,0.0,0.0
2019-01-13,435.5,435.5,435.5,0.0,0.0,454.58,454.58,454.58,0.0,0.0,429.75,429.75,429.75,0.0,0.0,451.25,451.25,451.25,0.0,0.0
2019-01-20,419.75,419.75,419.75,0.0,0.0,422.5,422.5,422.5,0.0,0.0,408.0,408.0,408.0,0.0,0.0,421.5,421.5,421.5,0.0,0.0
2019-01-27,454.0,454.0,454.0,0.0,0.0,464.75,464.75,464.75,0.0,0.0,439.0,439.0,439.0,0.0,0.0,463.25,463.25,463.25,0.0,0.0
2019-02-03,412.0,412.0,412.0,0.0,0.0,428.0,428.0,428.0,0.0,0.0,406.25,406.25,406.25,0.0,0.0,424.0,424.0,424.0,0.0,0.0
2019-02-10,471.5,471.5,471.5,0.0,0.0,481.0,481.0,481.0,0.0,0.0,468.75,468.75,468.75,0.0,0.0,480.0,480.0,480.0,0.0,0.0
2019-02-17,478.75,478.75,478.75,0.0,0.0,482.25,482.25,482.25,0.0,0.0,460.75,460.75,460.75,0.0,0.0,465.75,465.75,465.75,0.0,0.0
2019-02-24,485.5,485.5,485.5,0.0,0.0,490.76,490.76,490.76,0.0,0.0,472.75,472.75,472.75,0.0,0.0,482.0,482.0,482.0,0.0,0.0
2019-03-03,487.0,487.0,487.0,0.0,0.0,489.5,489.5,489.5,0.0,0.0,479.0,479.0,479.0,0.0,0.0,486.25,486.25,486.25,0.0,0.0
2019-03-10,516.0,516.0,516.0,0.0,0.0,527.5,527.5,527.5,0.0,0.0,514.22,514.22,514.22,0.0,0.0,523.5,523.5,523.5,0.0,0.0
2019-03-17,512.0,512.0,512.0,0.0,0.0,524.0,524.0,524.0,0.0,0.0,503.75,503.75,503.75,0.0,0.0,517.0,517.0,517.0,0.0,0.0
2019-03-24,548.25,548.25,548.25,0.0,0.0,566.0,566.0,566.0,0.0,0.0,544.75,544.75,544.75,0.0,0.0,565.0,565.0,565.0,0.0,0.0
2019-03-31,601.25,601.25,601.25,0.0,0.0,616.0,616.0,616.0,0.0,0.0,601.25,601.25,601.25,0.0,0.0,615.75,615.75,615.75,0.0,0.0
2019-04-07,602.25,602.25,602.25,0.0,0.0,607.0,607.0,607.0,0.0,0.0,595.0,595.0,595.0,0.0,0.0,603.0,603.0,603.0,0.0,0.0
2019-04-14,636.0,636.0,636.0,0.0,0.0,644.75,644.75,644.75,0.0,0.0,634.25,634.25,634.25,0.0,0.0,639.0,639.0,639.0,0.0,0.0
2019-04-21,594.0,594.0,594.0,0.0,0.0,602.75,602.75,602.75,0.0,0.0,585.75,585.75,585.75,0.0,0.0,600.75,600.75,600.75,0.0,0.0
2019-04-28,562.5,562.5,562.5,0.0,0.0,588.75,588.75,588.75,0.0,0.0,561.25,561.25,561.25,0.0,0.0,586.0,586.0,586.0,0.0,0.0
2019-05-05,591.5,591.5,591.5,0.0,0.0,596.5,596.5,596.5,0.0,0.0,547.75,547.75,547.75,0.0,0.0,550.75,550.75,550.75,0.0,0.0
2019-05-12,590.25,590.25,590.25,0.0,0.0,598.0,598.0,598.0,0.0,0.0,582.25,582.25,582.25,0.0,0.0,592.25,592.25,592.25,0.0,0.0
2019-05-19,509.0,509.0,509.0,0.0,0.0,510.38,510.38,510.38,0.0,0.0,487.75,487.75,487.75,0.0,0.0,510.25,510.25,510.25,0.0,0.0
2019-05-26,433.5,433.5,433.5,0.0,0.0,434.5,434.5,434.5,0.0,0.0,407.0,407.0,407.0,0.0,0.0,409.75,409.75,409.75,0.0,0.0
2019-06-02,426.75,426.75,426.75,0.0,0.0,435.5,435.5,435.5,0.0,0.0,412.13,412.13,412.13,0.0,0.0,416.25,416.25,416.25,0.0,0.0
2019-06-09,397.0,397.0,397.0,0.0,0.0,403.75,403.75,403.75,0.0,0.0,389.0,389.0,389.0,0.0,0.0,394.25,394.25,394.25,0.0,0.0
2019-06-16,476.0,476.0,476.0,0.0,0.0,483.09,483.09,483.09,0.0,0.0,462.75,462.75,462.75,0.0,0.0,480.75,480.75,480.75,0.0,0.0
2019-06-23,514.25,514.25,514.25,0.0,0.0,515.5,515.5,515.5,0.0,0.0,488.75,488.75,488.75,0.0,0.0,501.5,501.5,501.5,0.0,0.0
2019-06-30,478.0,478.0,478.0,0.0,0.0,489.5,489.5,489.5,0.0,0.0,471.75,471.75,471.75,0.0,0.0,474.0,474.0,474.0,0.0,0.0
2019-07-07,527.5,527.5,527.5,0.0,0.0,527.5,527.5,527.5,0.0,0.0,501.25,501.25,501.25,0.0,0.0,502.75,502.75,502.75,0.0,0.0
2019-07-14,447.0,447.0,447.0,0.0,0.0,453.0,453.0,453.0,0.0,0.0,443.75,443.75,443.75,0.0,0.0,451.75,451.75,451.75,0.0,0.0
2019-07-21,458.25,458.25,458.25,0.0,0.0,463.25,463.25,463.25,0.0,0.0,443.25,443.25,443.25,0.0,0.0,462.75,462.75,462.75,0.0,0.0
2019-07-28,418.0,418.0,418.0,0.0,0.0,436.0,436.0,436.0,0.0,0.0,417.25,417.25,417.25,0.0,0.0,423.75,423.75,423.75,0.0,0.0
2019-08-04,420.25,420.25,420.25,0.0,0.0,425.25,425.25,425.25,0.0,0.0,412.25,412.25,412.25,0.0,0.0,420.25,420.25,420.25,0.0,0.0
2019-08-11,433.75,433.75,433.75,0.0,0.0,440.5,440.5,440.5,0.0,0.0,427.0,427.0,427.0,0.0,0.0,438.0,438.0,438.0,0.0,0.0
2019-08-18,424.25,424.25,424.25,0.0,0.0,428.0,428.0,428.0,0.0,0.0,403.25,403.25,403.25,0.0,0.0,406.75,406.75,406.75,0.0,0.0
2019-08-25,446.0,446.0,446.0,0.0,0.0,446.75,446.75,446.75,0.0,0.0,416.25,416.25,416.25,0.0,0.0,424.0,424.0,424.0,0.0,0.0
2019-09-01,460.0,460.0,460.0,0.0,0.0,473.25,473.25,473.25,0.0,0.0,457.5,457.5,457.5,0.0,0.0,471.0,471.0,471.0,0.0,0.0
2019-09-08,501.25,501.25,501.25,0.0,0.0,549.75,549.75,549.75,0.0,0.0,498.0,498.0,498.0,0.0,0.0,523.25,523.25,523.25,0.0,0.0
2019-09-15,467.0,467.0,467.0,0.0,0.0,474.25,474.25,474.25,0.0,0.0,459.0,459.0,459.0,0.0,0.0,471.25,471.25,471.25,0.0,0.0
2019-09-22,419.0,419.0,419.0,0.0,0.0,425.5,425.5,425.5,0.0,0.0,400.75,400.75,400.75,0.0,0.0,405.5,405.5,405.5,0.0,0.0
2019-09-29,391.0,391.0,391.0,0.0,0.0,401.01,401.01,401.01,0.0,0.0,380.25,380.25,380.25,0.0,0.0,384.25,384.25,384.25,0.0,0.0
2019-10-06,394.0,394.0,394.0,0.0,0.0,398.25,398.25,398.25,0.0,0.0,385.0,385.0,385.0,0.0,0.0,395.75,395.75,395.75,0.0,0.0
2019-10-13,385.75,385.75,385.75,0.0,0.0,398.75,398.75,398.75,0.0,0.0,385.5,385.5,385.5,0.0,0.0,396.75,396.75,396.75,0.0,0.0
2019-10-20,444.0,444.0,444.0,0.0,0.0,446.75,446.75,446.75,0.0,0.0,426.34,426.34,426.34,0.0,0.0,429.75,429.75,429.75,0.0,0.0
2019-10-27,448.75,448.75,448.75,0.0,0.0,453.0,453.0,453.0,0.0,0.0,438.0,438.0,438.0,0.0,0.0,440.0,440.0,440.0,0.0,0.0
2019-11-03,437.25,437.25,437.25,0.0,0.0,451.75,451.75,451.75,0.0,0.0,436.75,436.75,436.75,0.0,0.0,444.5,444.5,444.5,0.0,0.0
2019-11-10,452.5,452.5,452.5,0.0,0.0,454.0,454.0,454.0,0.0,0.0,440.25,440.25,440.25,0.0,0.0,445.0,445.0,445.0,0.0,0.0
2019-11-17,454.25,454.25,454.25,0.0,0.0,462.5,462.5,462.5,0.0,0.0,449.5,449.5,449.5,0.0,0.0,459.75,459.75,459.75,0.0,0.0
2019-11-24,434.25,434.25,434.25,0.0,0.0,435.49,435.49,435.49,0.0,0.0,422.43,422.43,422.43,0.0,0.0,427.0,427.0,427.0,0.0,0.0
2019-12-01,469.0,469.0,469.0,0.0,0.0,478.0,478.0,478.0,0.0,0.0,468.59,468.59,468.59,0.0,0.0,474.5,474.5,474.5,0.0,0.0
2019-12-08,493.75,493.75,493.75,0.0,0.0,496.5,496.5,496.5,0.0,0.0,492.25,492.25,492.25,0.0,0.0,493.75,493.75,493.75,0.0,0.0
2019-12-15,497.25,497.25,497.25,0.0,0.0,506.0,506.0,506.0,0.0,0.0,496.0,496.0,496.0,0.0,0.0,505.0,505.0,505.0,0.0,0.0
2019-12-22,529.5,529.5,529.5,0.0,0.0,530.17,530.17,530.17,0.0,0.0,510.75,510.75,510.75,0.0,0.0,518.75,518.75,518.75,0.0,0.0
2019-12-29,548.0,548.0,548.0,0.0,0.0,551.75,551.75,551.75,0.0,0.0,529.75,529.75,529.75,0.0,0.0,541.5,541.5,541.5,0.0,0.0
