Date,iShares Edge MSCI USA Value Factor_Open_average,iShares Edge MSCI USA Value Factor_Open_max,iShares Edge MSCI USA Value Factor_Open_min,iShares Edge MSCI USA Value Factor_Open_volatility,iShares Edge MSCI USA Value Factor_Open_change,iShares Edge MSCI USA Value Factor_High_average,iShares Edge MSCI USA Value Factor_High_max,iShares Edge MSCI USA Value Factor_High_min,iShares Edge MSCI USA Value Factor_High_volatility,iShares Edge MSCI USA Value Factor_High_change,iShares Edge MSCI USA Value Factor_Low_average,iShares Edge MSCI USA Value Factor_Low_max,iShares Edge MSCI USA Value Factor_Low_min,iShares Edge MSCI USA Value Factor_Low_volatility,iShares Edge MSCI USA Value Factor_Low_change,iShares Edge MSCI USA Value Factor_Close_average,iShares Edge MSCI USA Value Factor_Close_max,iShares Edge MSCI USA Value Factor_Close_min,iShares Edge MSCI USA Value Factor_Close_volatility,iShares Edge MSCI USA Value Factor_Close_change
2018-11-18,79.63,79.63,79.63,0.0,0.0,80.31,80.31,80.31,0.0,0.0,79.62,79.62,79.62,0.0,0.0,80.26,80.26,80.26,0.0,0.0
2018-11-25,83.58,83.58,83.58,0.0,0.0,83.6,83.6,83.6,0.0,0.0,82.6,82.6,82.6,0.0,0.0,83.17,83.17,83.17,0.0,0.0
2018-12-02,77.56,77.56,77.56,0.0,0.0,77.78,77.78,77.78,0.0,0.0,75.71,75.71,75.71,0.0,0.0,77.24,77.24,77.24,0.0,0.0
2018-12-09,75.53,75.53,75.53,0.0,0.0,76.19,76.19,76.19,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.49,74.49,74.49,0.0,0.0
2018-12-16,69.9,69.9,69.9,0.0,0.0,70.1,70.1,70.1,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2018-12-23,72.49,72.49,72.49,0.0,0.0,72.61,72.61,72.61,0.0,0.0,71.64,71.64,71.64,0.0,0.0,72.57,72.57,72.57,0.0,0.0
2018-12-30,74.5,74.5,74.5,0.0,0.0,75.92,75.92,75.92,0.0,0.0,74.28,74.28,74.28,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2019-01-06,76.29,76.29,76.29,0.0,0.0,76.87,76.87,76.87,0.0,0.0,76.21,76.21,76.21,0.0,0.0,76.6,76.6,76.6,0.0,0.0
2019-01-13,78.17,78.17,78.17,0.0,0.0,79.0,79.0,79.0,0.0,0.0,77.97,77.97,77.97,0.0,0.0,78.85,78.85,78.85,0.0,0.0
2019-01-20,78.08,78.08,78.08,0.0,0.0,78.53,78.53,78.53,0.0,0.0,77.86,77.86,77.86,0.0,0.0,78.51,78.51,78.51,0.0,0.0
2019-01-27,79.92,79.92,79.92,0.0,0.0,80.2,80.2,80.2,0.0,0.0,79.46,79.46,79.46,0.0,0.0,80.2,80.2,80.2,0.0,0.0
2019-02-03,79.3,79.3,79.3,0.0,0.0,79.32,79.32,79.32,0.0,0.0,78.98,78.98,78.98,0.0,0.0,79.22,79.22,79.22,0.0,0.0
2019-02-10,81.0,81.0,81.0,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.58,81.58,81.58,0.0,0.0
2019-02-17,82.61,82.61,82.61,0.0,0.0,82.81,82.81,82.81,0.0,0.0,82.2,82.2,82.2,0.0,0.0,82.24,82.24,82.24,0.0,0.0
2019-02-24,81.75,81.75,81.75,0.0,0.0,81.78,81.78,81.78,0.0,0.0,80.23,80.23,80.23,0.0,0.0,80.93,80.93,80.93,0.0,0.0
2019-03-03,79.01,79.01,79.01,0.0,0.0,80.02,80.02,80.02,0.0,0.0,79.01,79.01,79.01,0.0,0.0,79.95,79.95,79.95,0.0,0.0
2019-03-10,80.9,80.9,80.9,0.0,0.0,81.41,81.41,81.41,0.0,0.0,80.9,80.9,80.9,0.0,0.0,81.25,81.25,81.25,0.0,0.0
2019-03-17,78.93,78.93,78.93,0.0,0.0,79.26,79.26,79.26,0.0,0.0,78.32,78.32,78.32,0.0,0.0,78.7,78.7,78.7,0.0,0.0
2019-03-24,80.56,80.56,80.56,0.0,0.0,81.29,81.29,81.29,0.0,0.0,80.53,80.53,80.53,0.0,0.0,81.23,81.23,81.23,0.0,0.0
2019-03-31,82.13,82.13,82.13,0.0,0.0,82.37,82.37,82.37,0.0,0.0,81.99,81.99,81.99,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2019-04-07,82.39,82.39,82.39,0.0,0.0,82.54,82.54,82.54,0.0,0.0,81.93,81.93,81.93,0.0,0.0,82.17,82.17,82.17,0.0,0.0
2019-04-14,82.73,82.73,82.73,0.0,0.0,82.85,82.85,82.85,0.0,0.0,82.57,82.57,82.57,0.0,0.0,82.67,82.67,82.67,0.0,0.0
2019-04-21,82.21,82.21,82.21,0.0,0.0,82.7,82.7,82.7,0.0,0.0,82.21,82.21,82.21,0.0,0.0,82.39,82.39,82.39,0.0,0.0
2019-04-28,81.34,81.34,81.34,0.0,0.0,82.6,82.6,82.6,0.0,0.0,81.33,81.33,81.33,0.0,0.0,82.46,82.46,82.46,0.0,0.0
2019-05-05,78.97,78.97,78.97,0.0,0.0,79.11,79.11,79.11,0.0,0.0,77.96,77.96,77.96,0.0,0.0,78.28,78.28,78.28,0.0,0.0
2019-05-12,78.63,78.63,78.63,0.0,0.0,79.22,79.22,79.22,0.0,0.0,78.44,78.44,78.44,0.0,0.0,78.66,78.66,78.66,0.0,0.0
2019-05-19,78.02,78.02,78.02,0.0,0.0,78.24,78.24,78.24,0.0,0.0,77.63,77.63,77.63,0.0,0.0,77.85,77.85,77.85,0.0,0.0
2019-05-26,74.76,74.76,74.76,0.0,0.0,75.76,75.76,75.76,0.0,0.0,74.76,74.76,74.76,0.0,0.0,75.34,75.34,75.34,0.0,0.0
2019-06-02,78.77,78.77,78.77,0.0,0.0,79.44,79.44,79.44,0.0,0.0,78.76,78.76,78.76,0.0,0.0,78.89,78.89,78.89,0.0,0.0
2019-06-09,78.25,78.25,78.25,0.0,0.0,78.38,78.38,78.38,0.0,0.0,77.87,77.87,77.87,0.0,0.0,78.06,78.06,78.06,0.0,0.0
2019-06-16,79.66,79.66,79.66,0.0,0.0,79.81,79.81,79.81,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.33,79.33,79.33,0.0,0.0
2019-06-23,82.29,82.29,82.29,0.0,0.0,82.56,82.56,82.56,0.0,0.0,81.28,81.28,81.28,0.0,0.0,81.67,81.67,81.67,0.0,0.0
2019-06-30,81.58,81.58,81.58,0.0,0.0,81.88,81.88,81.88,0.0,0.0,81.39,81.39,81.39,0.0,0.0,81.59,81.59,81.59,0.0,0.0
2019-07-07,83.02,83.02,83.02,0.0,0.0,83.06,83.06,83.06,0.0,0.0,82.61,82.61,82.61,0.0,0.0,82.9,82.9,82.9,0.0,0.0
2019-07-14,82.51,82.51,82.51,0.0,0.0,82.75,82.75,82.75,0.0,0.0,82.22,82.22,82.22,0.0,0.0,82.39,82.39,82.39,0.0,0.0
2019-07-21,83.75,83.75,83.75,0.0,0.0,83.94,83.94,83.94,0.0,0.0,83.54,83.54,83.54,0.0,0.0,83.78,83.78,83.78,0.0,0.0
2019-07-28,79.27,79.27,79.27,0.0,0.0,79.28,79.28,79.28,0.0,0.0,77.66,77.66,77.66,0.0,0.0,78.3,78.3,78.3,0.0,0.0
2019-08-04,78.57,78.57,78.57,0.0,0.0,78.57,78.57,78.57,0.0,0.0,77.71,77.71,77.71,0.0,0.0,78.02,78.02,78.02,0.0,0.0
2019-08-11,78.62,78.62,78.62,0.0,0.0,78.82,78.82,78.82,0.0,0.0,78.41,78.41,78.41,0.0,0.0,78.58,78.58,78.58,0.0,0.0
2019-08-18,77.16,77.16,77.16,0.0,0.0,77.34,77.34,77.34,0.0,0.0,76.72,76.72,76.72,0.0,0.0,77.07,77.07,77.07,0.0,0.0
2019-08-25,78.75,78.75,78.75,0.0,0.0,79.16,79.16,79.16,0.0,0.0,78.54,78.54,78.54,0.0,0.0,78.76,78.76,78.76,0.0,0.0
2019-09-01,81.99,81.99,81.99,0.0,0.0,82.94,82.94,82.94,0.0,0.0,81.99,81.99,81.99,0.0,0.0,82.83,82.83,82.83,0.0,0.0
2019-09-08,84.03,84.03,84.03,0.0,0.0,84.39,84.39,84.39,0.0,0.0,83.93,83.93,83.93,0.0,0.0,84.23,84.23,84.23,0.0,0.0
2019-09-15,83.0,83.0,83.0,0.0,0.0,83.47,83.47,83.47,0.0,0.0,82.85,82.85,82.85,0.0,0.0,83.23,83.23,83.23,0.0,0.0
2019-09-22,81.84,81.84,81.84,0.0,0.0,82.28,82.28,82.28,0.0,0.0,81.73,81.73,81.73,0.0,0.0,82.04,82.04,82.04,0.0,0.0
2019-09-29,80.04,80.04,80.04,0.0,0.0,80.64,80.64,80.64,0.0,0.0,79.91,79.91,79.91,0.0,0.0,79.95,79.95,79.95,0.0,0.0
2019-10-06,81.13,81.13,81.13,0.0,0.0,81.38,81.38,81.38,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.32,81.32,81.32,0.0,0.0
2019-10-13,82.55,82.55,82.55,0.0,0.0,83.0,83.0,83.0,0.0,0.0,82.55,82.55,82.55,0.0,0.0,82.81,82.81,82.81,0.0,0.0
2019-10-20,84.98,84.98,84.98,0.0,0.0,85.37,85.37,85.37,0.0,0.0,84.98,84.98,84.98,0.0,0.0,85.18,85.18,85.18,0.0,0.0
2019-10-27,86.45,86.45,86.45,0.0,0.0,86.93,86.93,86.93,0.0,0.0,86.33,86.33,86.33,0.0,0.0,86.9,86.9,86.9,0.0,0.0
2019-11-03,87.51,87.51,87.51,0.0,0.0,87.65,87.65,87.65,0.0,0.0,87.23,87.23,87.23,0.0,0.0,87.58,87.58,87.58,0.0,0.0
2019-11-10,87.83,87.83,87.83,0.0,0.0,87.98,87.98,87.98,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.96,87.96,87.96,0.0,0.0
2019-11-17,87.49,87.49,87.49,0.0,0.0,88.01,88.01,88.01,0.0,0.0,87.37,87.37,87.37,0.0,0.0,87.98,87.98,87.98,0.0,0.0
2019-11-24,87.76,87.76,87.76,0.0,0.0,87.76,87.76,87.76,0.0,0.0,86.9,86.9,86.9,0.0,0.0,86.94,86.94,86.94,0.0,0.0
2019-12-01,87.33,87.33,87.33,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.27,87.27,87.27,0.0,0.0,87.28,87.28,87.28,0.0,0.0
2019-12-08,88.52,88.52,88.52,0.0,0.0,89.02,89.02,89.02,0.0,0.0,88.52,88.52,88.52,0.0,0.0,88.57,88.57,88.57,0.0,0.0
2019-12-15,90.0,90.0,90.0,0.0,0.0,90.03,90.03,90.03,0.0,0.0,89.84,89.84,89.84,0.0,0.0,89.88,89.88,89.88,0.0,0.0
2019-12-22,89.9,89.9,89.9,0.0,0.0,89.98,89.98,89.98,0.0,0.0,89.33,89.33,89.33,0.0,0.0,89.42,89.42,89.42,0.0,0.0
2019-12-29,89.38,89.38,89.38,0.0,0.0,89.65,89.65,89.65,0.0,0.0,89.21,89.21,89.21,0.0,0.0,89.34,89.34,89.34,0.0,0.0
