Date,KraneShares Bosera MSCI China A Share_Open_average,KraneShares Bosera MSCI China A Share_Open_max,KraneShares Bosera MSCI China A Share_Open_min,KraneShares Bosera MSCI China A Share_Open_volatility,KraneShares Bosera MSCI China A Share_Open_change,KraneShares Bosera MSCI China A Share_High_average,KraneShares Bosera MSCI China A Share_High_max,KraneShares Bosera MSCI China A Share_High_min,KraneShares Bosera MSCI China A Share_High_volatility,KraneShares Bosera MSCI China A Share_High_change,KraneShares Bosera MSCI China A Share_Low_average,KraneShares Bosera MSCI China A Share_Low_max,KraneShares Bosera MSCI China A Share_Low_min,KraneShares Bosera MSCI China A Share_Low_volatility,KraneShares Bosera MSCI China A Share_Low_change,KraneShares Bosera MSCI China A Share_Close_average,KraneShares Bosera MSCI China A Share_Close_max,KraneShares Bosera MSCI China A Share_Close_min,KraneShares Bosera MSCI China A Share_Close_volatility,KraneShares Bosera MSCI China A Share_Close_change
2018-04-29,33.84,33.84,33.84,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-05-06,34.65,34.65,34.65,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-05-13,34.69,34.69,34.69,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-05-20,33.59,33.59,33.59,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-05-27,33.46,33.46,33.46,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-06-03,33.36,33.36,33.36,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2018-06-10,32.78,32.78,32.78,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-06-17,30.75,30.75,30.75,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-06-24,28.66,28.66,28.66,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-07-01,29.46,29.46,29.46,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-07-08,29.53,29.53,29.53,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2018-07-15,29.42,29.42,29.42,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-07-22,29.31,29.31,29.31,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-07-29,27.25,27.25,27.25,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-08-05,27.94,27.94,27.94,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-08-12,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2018-08-19,28.44,28.44,28.44,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-08-26,27.53,27.53,27.53,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-09-02,26.94,26.94,26.94,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2018-09-09,26.65,26.65,26.65,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-09-16,28.34,28.34,28.34,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-09-23,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-09-30,27.1,27.1,27.1,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-10-07,26.12,26.12,26.12,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-10-14,26.96,26.96,26.96,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-10-21,25.35,25.35,25.35,0.0,0.0,25.46,25.46,25.46,0.0,0.0,24.9,24.9,24.9,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2018-10-28,26.94,26.94,26.94,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2018-11-04,26.07,26.07,26.07,0.0,0.0,26.18,26.18,26.18,0.0,0.0,25.92,25.92,25.92,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-11-11,27.03,27.03,27.03,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-11-18,25.92,25.92,25.92,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.91,25.91,25.91,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-11-25,27.34,27.34,27.34,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-12-02,26.09,26.09,26.09,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.91,25.91,25.91,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-12-09,26.2,26.2,26.2,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-12-16,25.11,25.11,25.11,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-12-23,24.53,24.53,24.53,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2018-12-30,24.97,24.97,24.97,0.0,0.0,25.17,25.17,25.17,0.0,0.0,24.93,24.93,24.93,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2019-01-06,25.39,25.39,25.39,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2019-01-13,26.36,26.36,26.36,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2019-01-20,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2019-01-27,27.0,27.0,27.0,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2019-02-03,27.45,27.45,27.45,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2019-02-10,27.82,27.82,27.82,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.82,27.82,27.82,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2019-02-17,31.18,31.18,31.18,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2019-02-24,31.75,31.75,31.75,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2019-03-03,30.6,30.6,30.6,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.6,30.6,30.6,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2019-03-10,31.97,31.97,31.97,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2019-03-17,31.0,31.0,31.0,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2019-03-24,32.87,32.87,32.87,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.78,32.78,32.78,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2019-03-31,33.65,33.65,33.65,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2019-04-07,32.95,32.95,32.95,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2019-04-14,33.19,33.19,33.19,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2019-04-21,32.03,32.03,32.03,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2019-04-28,30.24,30.24,30.24,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2019-05-05,28.66,28.66,28.66,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2019-05-12,28.78,28.78,28.78,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2019-05-19,28.89,28.89,28.89,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2019-05-26,29.11,29.11,29.11,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2019-06-02,28.91,28.91,28.91,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2019-06-09,29.2,29.2,29.2,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2019-06-16,30.92,30.92,30.92,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2019-06-23,32.04,32.04,32.04,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2019-06-30,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-07-07,30.87,30.87,30.87,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2019-07-14,30.55,30.55,30.55,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2019-07-21,31.29,31.29,31.29,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2019-07-28,28.64,28.64,28.64,0.0,0.0,28.72,28.72,28.72,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2019-08-04,28.63,28.63,28.63,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2019-08-11,29.92,29.92,29.92,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2019-08-18,29.7,29.7,29.7,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2019-08-25,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2019-09-01,31.45,31.45,31.45,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2019-09-08,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2019-09-15,30.62,30.62,30.62,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2019-09-22,29.86,29.86,29.86,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2019-09-29,29.75,29.75,29.75,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-10-06,31.34,31.34,31.34,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-10-13,30.75,30.75,30.75,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2019-10-20,31.36,31.36,31.36,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-10-27,31.73,31.73,31.73,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2019-11-03,31.24,31.24,31.24,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2019-11-10,31.25,31.25,31.25,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2019-11-17,31.02,31.02,31.02,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-11-24,30.5,30.5,30.5,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2019-12-01,30.99,30.99,30.99,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2019-12-08,32.12,32.12,32.12,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2019-12-15,31.96,31.96,31.96,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2019-12-22,32.42,32.42,32.42,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2019-12-29,33.0,33.0,33.0,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.05,33.05,33.05,0.0,0.0
