Date,PowerShares S&P SmallCap FinancialsEtf_Open_average,PowerShares S&P SmallCap FinancialsEtf_Open_max,PowerShares S&P SmallCap FinancialsEtf_Open_min,PowerShares S&P SmallCap FinancialsEtf_Open_volatility,PowerShares S&P SmallCap FinancialsEtf_Open_change,PowerShares S&P SmallCap FinancialsEtf_High_average,PowerShares S&P SmallCap FinancialsEtf_High_max,PowerShares S&P SmallCap FinancialsEtf_High_min,PowerShares S&P SmallCap FinancialsEtf_High_volatility,PowerShares S&P SmallCap FinancialsEtf_High_change,PowerShares S&P SmallCap FinancialsEtf_Low_average,PowerShares S&P SmallCap FinancialsEtf_Low_max,PowerShares S&P SmallCap FinancialsEtf_Low_min,PowerShares S&P SmallCap FinancialsEtf_Low_volatility,PowerShares S&P SmallCap FinancialsEtf_Low_change,PowerShares S&P SmallCap FinancialsEtf_Close_average,PowerShares S&P SmallCap FinancialsEtf_Close_max,PowerShares S&P SmallCap FinancialsEtf_Close_min,PowerShares S&P SmallCap FinancialsEtf_Close_volatility,PowerShares S&P SmallCap FinancialsEtf_Close_change
2018-07-15,58.62,58.62,58.62,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-07-22,59.12,59.12,59.12,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-07-29,59.42,59.42,59.42,0.0,0.0,59.42,59.42,59.42,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-08-05,58.58,58.58,58.58,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-08-12,59.65,59.65,59.65,0.0,0.0,59.85,59.85,59.85,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.81,59.81,59.81,0.0,0.0
2018-08-19,60.09,60.09,60.09,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.01,60.01,60.01,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-08-26,59.52,59.52,59.52,0.0,0.0,60.1,60.1,60.1,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.1,60.1,60.1,0.0,0.0
2018-09-02,59.75,59.75,59.75,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.66,59.66,59.66,0.0,0.0
2018-09-09,59.06,59.06,59.06,0.0,0.0,59.61,59.61,59.61,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2018-09-16,59.25,59.25,59.25,0.0,0.0,59.43,59.43,59.43,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2018-09-23,56.88,56.88,56.88,0.0,0.0,57.26,57.26,57.26,0.0,0.0,56.88,56.88,56.88,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2018-09-30,56.32,56.32,56.32,0.0,0.0,56.49,56.49,56.49,0.0,0.0,55.71,55.71,55.71,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-10-07,54.76,54.76,54.76,0.0,0.0,54.76,54.76,54.76,0.0,0.0,52.5,52.5,52.5,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2018-10-14,53.85,53.85,53.85,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2018-10-21,52.06,52.06,52.06,0.0,0.0,52.52,52.52,52.52,0.0,0.0,51.38,51.38,51.38,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-10-28,53.9,53.9,53.9,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2018-11-04,55.34,55.34,55.34,0.0,0.0,55.47,55.47,55.47,0.0,0.0,54.66,54.66,54.66,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-11-11,54.34,54.34,54.34,0.0,0.0,55.11,55.11,55.11,0.0,0.0,53.98,53.98,53.98,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2018-11-18,54.05,54.05,54.05,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-11-25,55.55,55.55,55.55,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.93,55.93,55.93,0.0,0.0
2018-12-02,53.45,53.45,53.45,0.0,0.0,53.97,53.97,53.97,0.0,0.0,52.93,52.93,52.93,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-12-09,51.87,51.87,51.87,0.0,0.0,52.48,52.48,52.48,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-12-16,48.62,48.62,48.62,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-12-23,47.78,47.78,47.78,0.0,0.0,48.42,48.42,48.42,0.0,0.0,47.49,47.49,47.49,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-12-30,48.85,48.85,48.85,0.0,0.0,49.29,49.29,49.29,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2019-01-06,50.3,50.3,50.3,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2019-01-13,51.98,51.98,51.98,0.0,0.0,52.21,52.21,52.21,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2019-01-20,52.0,52.0,52.0,0.0,0.0,52.23,52.23,52.23,0.0,0.0,51.98,51.98,51.98,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2019-01-27,52.93,52.93,52.93,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.62,52.62,52.62,0.0,0.0,53.02,53.02,53.02,0.0,0.0
2019-02-03,53.35,53.35,53.35,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2019-02-10,54.58,54.58,54.58,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2019-02-17,55.55,55.55,55.55,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2019-02-24,54.83,54.83,54.83,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2019-03-03,52.06,52.06,52.06,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2019-03-10,53.17,53.17,53.17,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.36,53.36,53.36,0.0,0.0
2019-03-17,51.92,51.92,51.92,0.0,0.0,52.14,52.14,52.14,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-03-24,52.81,52.81,52.81,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2019-03-31,53.49,53.49,53.49,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.79,53.79,53.79,0.0,0.0
2019-04-07,54.26,54.26,54.26,0.0,0.0,54.26,54.26,54.26,0.0,0.0,53.81,53.81,53.81,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2019-04-14,53.61,53.61,53.61,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2019-04-21,54.48,54.48,54.48,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2019-04-28,54.9,54.9,54.9,0.0,0.0,55.76,55.76,55.76,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.76,55.76,55.76,0.0,0.0
2019-05-05,54.33,54.33,54.33,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2019-05-12,54.05,54.05,54.05,0.0,0.0,54.26,54.26,54.26,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2019-05-19,53.15,53.15,53.15,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2019-05-26,51.83,51.83,51.83,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.7,51.7,51.7,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2019-06-02,53.09,53.09,53.09,0.0,0.0,53.25,53.25,53.25,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2019-06-09,53.51,53.51,53.51,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.84,53.84,53.84,0.0,0.0
2019-06-16,54.22,54.22,54.22,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2019-06-23,53.48,53.48,53.48,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2019-06-30,54.34,54.34,54.34,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2019-07-07,54.39,54.39,54.39,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2019-07-14,53.72,53.72,53.72,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.48,53.48,53.48,0.0,0.0
2019-07-21,53.71,53.71,53.71,0.0,0.0,54.74,54.74,54.74,0.0,0.0,53.71,53.71,53.71,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2019-07-28,53.81,53.81,53.81,0.0,0.0,53.81,53.81,53.81,0.0,0.0,52.94,52.94,52.94,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2019-08-04,53.35,53.35,53.35,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2019-08-11,52.23,52.23,52.23,0.0,0.0,53.19,53.19,53.19,0.0,0.0,52.07,52.07,52.07,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2019-08-18,52.68,52.68,52.68,0.0,0.0,53.42,53.42,53.42,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2019-08-25,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2019-09-01,52.56,52.56,52.56,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2019-09-08,55.2,55.2,55.2,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2019-09-15,55.0,55.0,55.0,0.0,0.0,55.2,55.2,55.2,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2019-09-22,54.82,54.82,54.82,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2019-09-29,53.19,53.19,53.19,0.0,0.0,53.36,53.36,53.36,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.36,53.36,53.36,0.0,0.0
2019-10-06,53.88,53.88,53.88,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2019-10-13,54.43,54.43,54.43,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2019-10-20,55.33,55.33,55.33,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.54,55.54,55.54,0.0,0.0
2019-10-27,55.79,55.79,55.79,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.79,55.79,55.79,0.0,0.0,56.04,56.04,56.04,0.0,0.0
2019-11-03,56.36,56.36,56.36,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.44,56.44,56.44,0.0,0.0
2019-11-10,56.22,56.22,56.22,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.1,56.1,56.1,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2019-11-17,55.73,55.73,55.73,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.78,55.78,55.78,0.0,0.0
2019-11-24,56.76,56.76,56.76,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2019-12-01,57.0,57.0,57.0,0.0,0.0,57.21,57.21,57.21,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.8,56.8,56.8,0.0,0.0
2019-12-08,57.14,57.14,57.14,0.0,0.0,57.14,57.14,57.14,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.62,56.62,56.62,0.0,0.0
2019-12-15,57.78,57.78,57.78,0.0,0.0,58.09,58.09,58.09,0.0,0.0,57.78,57.78,57.78,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2019-12-22,56.55,56.55,56.55,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.44,56.44,56.44,0.0,0.0
2019-12-29,55.87,55.87,55.87,0.0,0.0,56.33,56.33,56.33,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.31,56.31,56.31,0.0,0.0
