Date,iShares US PharmaceuticalsEtf_Open_average,iShares US PharmaceuticalsEtf_Open_max,iShares US PharmaceuticalsEtf_Open_min,iShares US PharmaceuticalsEtf_Open_volatility,iShares US PharmaceuticalsEtf_Open_change,iShares US PharmaceuticalsEtf_High_average,iShares US PharmaceuticalsEtf_High_max,iShares US PharmaceuticalsEtf_High_min,iShares US PharmaceuticalsEtf_High_volatility,iShares US PharmaceuticalsEtf_High_change,iShares US PharmaceuticalsEtf_Low_average,iShares US PharmaceuticalsEtf_Low_max,iShares US PharmaceuticalsEtf_Low_min,iShares US PharmaceuticalsEtf_Low_volatility,iShares US PharmaceuticalsEtf_Low_change,iShares US PharmaceuticalsEtf_Close_average,iShares US PharmaceuticalsEtf_Close_max,iShares US PharmaceuticalsEtf_Close_min,iShares US PharmaceuticalsEtf_Close_volatility,iShares US PharmaceuticalsEtf_Close_change
2018-03-25,146.34,146.34,146.34,0.0,0.0,147.77,147.77,147.77,0.0,0.0,145.86,145.86,145.86,0.0,0.0,147.54,147.54,147.54,0.0,0.0
2018-04-01,145.31,145.31,145.31,0.0,0.0,146.31,146.31,146.31,0.0,0.0,142.71,142.71,142.71,0.0,0.0,143.47,143.47,143.47,0.0,0.0
2018-04-08,148.8,148.8,148.8,0.0,0.0,148.8,148.8,148.8,0.0,0.0,147.25,147.25,147.25,0.0,0.0,147.94,147.94,147.94,0.0,0.0
2018-04-15,148.01,148.01,148.01,0.0,0.0,148.27,148.27,148.27,0.0,0.0,146.93,146.93,146.93,0.0,0.0,147.27,147.27,147.27,0.0,0.0
2018-04-22,146.11,146.11,146.11,0.0,0.0,147.06,147.06,147.06,0.0,0.0,146.11,146.11,146.11,0.0,0.0,146.76,146.76,146.76,0.0,0.0
2018-04-29,139.83,139.83,139.83,0.0,0.0,142.39,142.39,142.39,0.0,0.0,139.43,139.43,139.43,0.0,0.0,141.93,141.93,141.93,0.0,0.0
2018-05-06,144.28,144.28,144.28,0.0,0.0,147.34,147.34,147.34,0.0,0.0,144.28,144.28,144.28,0.0,0.0,147.34,147.34,147.34,0.0,0.0
2018-05-13,149.22,149.22,149.22,0.0,0.0,149.77,149.77,149.77,0.0,0.0,148.51,148.51,148.51,0.0,0.0,149.7,149.7,149.7,0.0,0.0
2018-05-20,147.5,147.5,147.5,0.0,0.0,148.5,148.5,148.5,0.0,0.0,147.5,147.5,147.5,0.0,0.0,148.32,148.32,148.32,0.0,0.0
2018-05-27,149.59,149.59,149.59,0.0,0.0,150.6,150.6,150.6,0.0,0.0,149.59,149.59,149.59,0.0,0.0,150.53,150.53,150.53,0.0,0.0
2018-06-03,153.6,153.6,153.6,0.0,0.0,154.98,154.98,154.98,0.0,0.0,153.6,153.6,153.6,0.0,0.0,154.67,154.67,154.67,0.0,0.0
2018-06-10,155.65,155.65,155.65,0.0,0.0,155.89,155.89,155.89,0.0,0.0,154.53,154.53,154.53,0.0,0.0,155.89,155.89,155.89,0.0,0.0
2018-06-17,154.51,154.51,154.51,0.0,0.0,154.78,154.78,154.78,0.0,0.0,154.43,154.43,154.43,0.0,0.0,154.7,154.7,154.7,0.0,0.0
2018-06-24,152.41,152.41,152.41,0.0,0.0,152.55,152.55,152.55,0.0,0.0,151.36,151.36,151.36,0.0,0.0,151.36,151.36,151.36,0.0,0.0
2018-07-01,154.59,154.59,154.59,0.0,0.0,157.0,157.0,157.0,0.0,0.0,154.59,154.59,154.59,0.0,0.0,156.88,156.88,156.88,0.0,0.0
2018-07-08,159.37,159.37,159.37,0.0,0.0,159.82,159.82,159.82,0.0,0.0,159.01,159.01,159.01,0.0,0.0,159.04,159.04,159.04,0.0,0.0
2018-07-15,157.16,157.16,157.16,0.0,0.0,157.93,157.93,157.93,0.0,0.0,157.16,157.16,157.16,0.0,0.0,157.58,157.58,157.58,0.0,0.0
2018-07-22,159.28,159.28,159.28,0.0,0.0,159.28,159.28,159.28,0.0,0.0,157.93,157.93,157.93,0.0,0.0,158.66,158.66,158.66,0.0,0.0
2018-07-29,162.22,162.22,162.22,0.0,0.0,163.15,163.15,163.15,0.0,0.0,162.22,162.22,162.22,0.0,0.0,163.08,163.08,163.08,0.0,0.0
2018-08-05,164.55,164.55,164.55,0.0,0.0,165.03,165.03,165.03,0.0,0.0,164.4,164.4,164.4,0.0,0.0,164.85,164.85,164.85,0.0,0.0
2018-08-12,166.7,166.7,166.7,0.0,0.0,168.08,168.08,168.08,0.0,0.0,166.28,166.28,166.28,0.0,0.0,167.62,167.62,167.62,0.0,0.0
2018-08-19,167.44,167.44,167.44,0.0,0.0,167.72,167.72,167.72,0.0,0.0,166.52,166.52,166.52,0.0,0.0,167.72,167.72,167.72,0.0,0.0
2018-08-26,168.75,168.75,168.75,0.0,0.0,169.58,169.58,169.58,0.0,0.0,168.45,168.45,168.45,0.0,0.0,169.55,169.55,169.55,0.0,0.0
2018-09-02,168.21,168.21,168.21,0.0,0.0,168.48,168.48,168.48,0.0,0.0,167.43,167.43,167.43,0.0,0.0,168.28,168.28,168.28,0.0,0.0
2018-09-09,167.57,167.57,167.57,0.0,0.0,167.76,167.76,167.76,0.0,0.0,166.9,166.9,166.9,0.0,0.0,167.18,167.18,167.18,0.0,0.0
2018-09-16,169.83,169.83,169.83,0.0,0.0,170.26,170.26,170.26,0.0,0.0,169.15,169.15,169.15,0.0,0.0,169.2,169.2,169.2,0.0,0.0
2018-09-23,167.25,167.25,167.25,0.0,0.0,168.3,168.3,168.3,0.0,0.0,166.0,166.0,166.0,0.0,0.0,167.86,167.86,167.86,0.0,0.0
2018-09-30,165.8,165.8,165.8,0.0,0.0,165.8,165.8,165.8,0.0,0.0,162.96,162.96,162.96,0.0,0.0,164.35,164.35,164.35,0.0,0.0
2018-10-07,157.03,157.03,157.03,0.0,0.0,158.34,158.34,158.34,0.0,0.0,156.35,156.35,156.35,0.0,0.0,158.05,158.05,158.05,0.0,0.0
2018-10-14,162.3,162.3,162.3,0.0,0.0,162.7,162.7,162.7,0.0,0.0,159.97,159.97,159.97,0.0,0.0,160.3,160.3,160.3,0.0,0.0
2018-10-21,151.98,151.98,151.98,0.0,0.0,153.23,153.23,153.23,0.0,0.0,149.61,149.61,149.61,0.0,0.0,151.59,151.59,151.59,0.0,0.0
2018-10-28,157.88,157.88,157.88,0.0,0.0,158.32,158.32,158.32,0.0,0.0,154.77,154.77,154.77,0.0,0.0,155.44,155.44,155.44,0.0,0.0
2018-11-04,157.27,157.27,157.27,0.0,0.0,157.45,157.45,157.45,0.0,0.0,156.43,156.43,156.43,0.0,0.0,156.66,156.66,156.66,0.0,0.0
2018-11-11,153.53,153.53,153.53,0.0,0.0,154.42,154.42,154.42,0.0,0.0,152.37,152.37,152.37,0.0,0.0,154.24,154.24,154.24,0.0,0.0
2018-11-18,151.17,151.17,151.17,0.0,0.0,154.0,154.0,154.0,0.0,0.0,151.17,151.17,151.17,0.0,0.0,153.02,153.02,153.02,0.0,0.0
2018-11-25,156.08,156.08,156.08,0.0,0.0,157.57,157.57,157.57,0.0,0.0,155.52,155.52,155.52,0.0,0.0,157.57,157.57,157.57,0.0,0.0
2018-12-02,155.99,155.99,155.99,0.0,0.0,155.99,155.99,155.99,0.0,0.0,152.26,152.26,152.26,0.0,0.0,153.14,153.14,153.14,0.0,0.0
2018-12-09,151.61,151.61,151.61,0.0,0.0,152.43,152.43,152.43,0.0,0.0,147.73,147.73,147.73,0.0,0.0,148.18,148.18,148.18,0.0,0.0
2018-12-16,137.65,137.65,137.65,0.0,0.0,137.65,137.65,137.65,0.0,0.0,134.06,134.06,134.06,0.0,0.0,134.06,134.06,134.06,0.0,0.0
2018-12-23,138.82,138.82,138.82,0.0,0.0,140.76,140.76,140.76,0.0,0.0,137.79,137.79,137.79,0.0,0.0,139.03,139.03,139.03,0.0,0.0
2018-12-30,139.54,139.54,139.54,0.0,0.0,142.38,142.38,142.38,0.0,0.0,138.96,138.96,138.96,0.0,0.0,142.38,142.38,142.38,0.0,0.0
2019-01-06,145.18,145.18,145.18,0.0,0.0,146.35,146.35,146.35,0.0,0.0,144.82,144.82,144.82,0.0,0.0,146.35,146.35,146.35,0.0,0.0
2019-01-13,147.22,147.22,147.22,0.0,0.0,147.51,147.51,147.51,0.0,0.0,146.58,146.58,146.58,0.0,0.0,147.48,147.48,147.48,0.0,0.0
2019-01-20,144.37,144.37,144.37,0.0,0.0,145.0,145.0,145.0,0.0,0.0,144.37,144.37,144.37,0.0,0.0,144.81,144.81,144.81,0.0,0.0
2019-01-27,147.22,147.22,147.22,0.0,0.0,148.24,148.24,148.24,0.0,0.0,146.96,146.96,146.96,0.0,0.0,147.89,147.89,147.89,0.0,0.0
2019-02-03,144.73,144.73,144.73,0.0,0.0,146.43,146.43,146.43,0.0,0.0,144.73,144.73,144.73,0.0,0.0,146.3,146.3,146.3,0.0,0.0
2019-02-10,151.3,151.3,151.3,0.0,0.0,152.24,152.24,152.24,0.0,0.0,150.97,150.97,150.97,0.0,0.0,152.24,152.24,152.24,0.0,0.0
2019-02-17,149.57,149.57,149.57,0.0,0.0,151.89,151.89,151.89,0.0,0.0,149.57,149.57,149.57,0.0,0.0,151.88,151.88,151.88,0.0,0.0
2019-02-24,155.35,155.35,155.35,0.0,0.0,157.4,157.4,157.4,0.0,0.0,155.32,155.32,155.32,0.0,0.0,157.28,157.28,157.28,0.0,0.0
2019-03-03,150.55,150.55,150.55,0.0,0.0,150.78,150.78,150.78,0.0,0.0,149.3,149.3,149.3,0.0,0.0,150.78,150.78,150.78,0.0,0.0
2019-03-10,153.09,153.09,153.09,0.0,0.0,153.43,153.43,153.43,0.0,0.0,152.25,152.25,152.25,0.0,0.0,153.12,153.12,153.12,0.0,0.0
2019-03-17,154.39,154.39,154.39,0.0,0.0,154.39,154.39,154.39,0.0,0.0,152.48,152.48,152.48,0.0,0.0,152.48,152.48,152.48,0.0,0.0
2019-03-24,153.05,153.05,153.05,0.0,0.0,154.0,154.0,154.0,0.0,0.0,153.05,153.05,153.05,0.0,0.0,153.98,153.98,153.98,0.0,0.0
2019-03-31,154.4,154.4,154.4,0.0,0.0,155.15,155.15,155.15,0.0,0.0,154.4,154.4,154.4,0.0,0.0,154.52,154.52,154.52,0.0,0.0
2019-04-07,151.36,151.36,151.36,0.0,0.0,151.36,151.36,151.36,0.0,0.0,149.75,149.75,149.75,0.0,0.0,150.02,150.02,150.02,0.0,0.0
2019-04-14,146.01,146.01,146.01,0.0,0.0,146.43,146.43,146.43,0.0,0.0,143.12,143.12,143.12,0.0,0.0,145.45,145.45,145.45,0.0,0.0
2019-04-21,147.87,147.87,147.87,0.0,0.0,149.35,149.35,149.35,0.0,0.0,147.87,147.87,147.87,0.0,0.0,149.31,149.31,149.31,0.0,0.0
2019-04-28,150.75,150.75,150.75,0.0,0.0,152.03,152.03,152.03,0.0,0.0,150.73,150.73,150.73,0.0,0.0,152.03,152.03,152.03,0.0,0.0
2019-05-05,147.57,147.57,147.57,0.0,0.0,149.5,149.5,149.5,0.0,0.0,146.97,146.97,146.97,0.0,0.0,149.23,149.23,149.23,0.0,0.0
2019-05-12,147.22,147.22,147.22,0.0,0.0,148.81,148.81,148.81,0.0,0.0,147.21,147.21,147.21,0.0,0.0,147.7,147.7,147.7,0.0,0.0
2019-05-19,148.27,148.27,148.27,0.0,0.0,148.27,148.27,148.27,0.0,0.0,146.98,146.98,146.98,0.0,0.0,147.18,147.18,147.18,0.0,0.0
2019-05-26,141.11,141.11,141.11,0.0,0.0,141.96,141.96,141.96,0.0,0.0,140.6,140.6,140.6,0.0,0.0,141.13,141.13,141.13,0.0,0.0
2019-06-02,145.9,145.9,145.9,0.0,0.0,147.02,147.02,147.02,0.0,0.0,145.9,145.9,145.9,0.0,0.0,146.66,146.66,146.66,0.0,0.0
2019-06-09,145.42,145.42,145.42,0.0,0.0,146.08,146.08,146.08,0.0,0.0,144.99,144.99,144.99,0.0,0.0,144.99,144.99,144.99,0.0,0.0
2019-06-16,148.84,148.84,148.84,0.0,0.0,149.33,149.33,149.33,0.0,0.0,147.41,147.41,147.41,0.0,0.0,148.84,148.84,148.84,0.0,0.0
2019-06-23,150.48,150.48,150.48,0.0,0.0,150.92,150.92,150.92,0.0,0.0,150.17,150.17,150.17,0.0,0.0,150.82,150.82,150.82,0.0,0.0
2019-06-30,153.62,153.62,153.62,0.0,0.0,153.7,153.7,153.7,0.0,0.0,151.9,151.9,151.9,0.0,0.0,151.9,151.9,151.9,0.0,0.0
2019-07-07,147.45,147.45,147.45,0.0,0.0,147.9,147.9,147.9,0.0,0.0,145.98,145.98,145.98,0.0,0.0,146.99,146.99,146.99,0.0,0.0
2019-07-14,146.87,146.87,146.87,0.0,0.0,146.87,146.87,146.87,0.0,0.0,145.62,145.62,145.62,0.0,0.0,145.62,145.62,145.62,0.0,0.0
2019-07-21,146.0,146.0,146.0,0.0,0.0,147.0,147.0,147.0,0.0,0.0,146.0,146.0,146.0,0.0,0.0,146.9,146.9,146.9,0.0,0.0
2019-07-28,144.18,144.18,144.18,0.0,0.0,144.18,144.18,144.18,0.0,0.0,143.29,143.29,143.29,0.0,0.0,143.77,143.77,143.77,0.0,0.0
2019-08-04,143.4,143.4,143.4,0.0,0.0,143.62,143.62,143.62,0.0,0.0,142.67,142.67,142.67,0.0,0.0,143.14,143.14,143.14,0.0,0.0
2019-08-11,139.17,139.17,139.17,0.0,0.0,140.11,140.11,140.11,0.0,0.0,139.17,139.17,139.17,0.0,0.0,140.05,140.05,140.05,0.0,0.0
2019-08-18,140.68,140.68,140.68,0.0,0.0,140.68,140.68,140.68,0.0,0.0,136.83,136.83,136.83,0.0,0.0,137.34,137.34,137.34,0.0,0.0
2019-08-25,140.12,140.12,140.12,0.0,0.0,140.2,140.2,140.2,0.0,0.0,139.0,139.0,139.0,0.0,0.0,139.25,139.25,139.25,0.0,0.0
2019-09-01,140.83,140.83,140.83,0.0,0.0,141.65,141.65,141.65,0.0,0.0,140.78,140.78,140.78,0.0,0.0,141.32,141.32,141.32,0.0,0.0
2019-09-08,144.69,144.69,144.69,0.0,0.0,145.48,145.48,145.48,0.0,0.0,143.59,143.59,143.59,0.0,0.0,143.79,143.79,143.79,0.0,0.0
2019-09-15,144.56,144.56,144.56,0.0,0.0,144.56,144.56,144.56,0.0,0.0,144.23,144.23,144.23,0.0,0.0,144.49,144.49,144.49,0.0,0.0
2019-09-22,140.23,140.23,140.23,0.0,0.0,140.47,140.47,140.47,0.0,0.0,139.1,139.1,139.1,0.0,0.0,139.1,139.1,139.1,0.0,0.0
2019-09-29,138.95,138.95,138.95,0.0,0.0,140.84,140.84,140.84,0.0,0.0,138.95,138.95,138.95,0.0,0.0,140.84,140.84,140.84,0.0,0.0
2019-10-06,139.49,139.49,139.49,0.0,0.0,141.05,141.05,141.05,0.0,0.0,139.49,139.49,139.49,0.0,0.0,140.12,140.12,140.12,0.0,0.0
2019-10-13,142.63,142.63,142.63,0.0,0.0,142.79,142.79,142.79,0.0,0.0,141.54,141.54,141.54,0.0,0.0,141.55,141.55,141.55,0.0,0.0
2019-10-20,140.58,140.58,140.58,0.0,0.0,142.4,142.4,142.4,0.0,0.0,140.58,140.58,140.58,0.0,0.0,142.08,142.08,142.08,0.0,0.0
2019-10-27,146.52,146.52,146.52,0.0,0.0,147.1,147.1,147.1,0.0,0.0,146.24,146.24,146.24,0.0,0.0,146.26,146.26,146.26,0.0,0.0
2019-11-03,143.2,143.2,143.2,0.0,0.0,144.9,144.9,144.9,0.0,0.0,143.2,143.2,143.2,0.0,0.0,144.9,144.9,144.9,0.0,0.0
2019-11-10,144.45,144.45,144.45,0.0,0.0,146.19,146.19,146.19,0.0,0.0,144.11,144.11,144.11,0.0,0.0,146.1,146.1,146.1,0.0,0.0
2019-11-17,148.2,148.2,148.2,0.0,0.0,148.86,148.86,148.86,0.0,0.0,148.11,148.11,148.11,0.0,0.0,148.7,148.7,148.7,0.0,0.0
2019-11-24,150.99,150.99,150.99,0.0,0.0,151.75,151.75,151.75,0.0,0.0,150.99,150.99,150.99,0.0,0.0,151.33,151.33,151.33,0.0,0.0
2019-12-01,153.4,153.4,153.4,0.0,0.0,153.85,153.85,153.85,0.0,0.0,153.11,153.11,153.11,0.0,0.0,153.11,153.11,153.11,0.0,0.0
2019-12-08,155.52,155.52,155.52,0.0,0.0,156.15,156.15,156.15,0.0,0.0,154.6,154.6,154.6,0.0,0.0,155.34,155.34,155.34,0.0,0.0
2019-12-15,159.12,159.12,159.12,0.0,0.0,160.57,160.57,160.57,0.0,0.0,159.12,159.12,159.12,0.0,0.0,160.46,160.46,160.46,0.0,0.0
2019-12-22,160.96,160.96,160.96,0.0,0.0,160.96,160.96,160.96,0.0,0.0,160.5,160.5,160.5,0.0,0.0,160.71,160.71,160.71,0.0,0.0
2019-12-29,158.77,158.77,158.77,0.0,0.0,159.78,159.78,159.78,0.0,0.0,158.0,158.0,158.0,0.0,0.0,158.87,158.87,158.87,0.0,0.0
