Date,ProShares Ultra Consumer Services_Open_average,ProShares Ultra Consumer Services_Open_max,ProShares Ultra Consumer Services_Open_min,ProShares Ultra Consumer Services_Open_volatility,ProShares Ultra Consumer Services_Open_change,ProShares Ultra Consumer Services_High_average,ProShares Ultra Consumer Services_High_max,ProShares Ultra Consumer Services_High_min,ProShares Ultra Consumer Services_High_volatility,ProShares Ultra Consumer Services_High_change,ProShares Ultra Consumer Services_Low_average,ProShares Ultra Consumer Services_Low_max,ProShares Ultra Consumer Services_Low_min,ProShares Ultra Consumer Services_Low_volatility,ProShares Ultra Consumer Services_Low_change,ProShares Ultra Consumer Services_Close_average,ProShares Ultra Consumer Services_Close_max,ProShares Ultra Consumer Services_Close_min,ProShares Ultra Consumer Services_Close_volatility,ProShares Ultra Consumer Services_Close_change
2018-06-24,91.46,91.46,91.46,0.0,0.0,92.28,92.28,92.28,0.0,0.0,91.46,91.46,91.46,0.0,0.0,92.28,92.28,92.28,0.0,0.0
2018-07-01,96.0,96.0,96.0,0.0,0.0,96.9,96.9,96.9,0.0,0.0,96.0,96.0,96.0,0.0,0.0,96.9,96.9,96.9,0.0,0.0
2018-07-08,99.12,99.12,99.12,0.0,0.0,99.14,99.14,99.14,0.0,0.0,99.01,99.01,99.01,0.0,0.0,99.14,99.14,99.14,0.0,0.0
2018-07-15,97.96,97.96,97.96,0.0,0.0,98.19,98.19,98.19,0.0,0.0,97.96,97.96,97.96,0.0,0.0,98.19,98.19,98.19,0.0,0.0
2018-07-22,96.9,96.9,96.9,0.0,0.0,97.33,97.33,97.33,0.0,0.0,95.75,95.75,95.75,0.0,0.0,96.13,96.13,96.13,0.0,0.0
2018-07-29,97.24,97.24,97.24,0.0,0.0,97.38,97.38,97.38,0.0,0.0,97.24,97.24,97.24,0.0,0.0,97.38,97.38,97.38,0.0,0.0
2018-08-05,99.07,99.07,99.07,0.0,0.0,99.07,99.07,99.07,0.0,0.0,99.0,99.0,99.0,0.0,0.0,99.0,99.0,99.0,0.0,0.0
2018-08-12,100.96,100.96,100.96,0.0,0.0,100.96,100.96,100.96,0.0,0.0,100.96,100.96,100.96,0.0,0.0,100.96,100.96,100.96,0.0,0.0
2018-08-19,105.01,105.01,105.01,0.0,0.0,105.01,105.01,105.01,0.0,0.0,104.58,104.58,104.58,0.0,0.0,104.58,104.58,104.58,0.0,0.0
2018-08-26,107.45,107.45,107.45,0.0,0.0,107.83,107.83,107.83,0.0,0.0,107.45,107.45,107.45,0.0,0.0,107.83,107.83,107.83,0.0,0.0
2018-09-02,107.31,107.31,107.31,0.0,0.0,107.31,107.31,107.31,0.0,0.0,106.8,106.8,106.8,0.0,0.0,106.99,106.99,106.99,0.0,0.0
2018-09-09,108.81,108.81,108.81,0.0,0.0,108.81,108.81,108.81,0.0,0.0,106.3,106.3,106.3,0.0,0.0,106.3,106.3,106.3,0.0,0.0
2018-09-16,108.61,108.61,108.61,0.0,0.0,108.61,108.61,108.61,0.0,0.0,106.5,106.5,106.5,0.0,0.0,107.34,107.34,107.34,0.0,0.0
2018-09-23,111.63,111.63,111.63,0.0,0.0,111.63,111.63,111.63,0.0,0.0,109.79,109.79,109.79,0.0,0.0,109.84,109.84,109.84,0.0,0.0
2018-09-30,101.25,101.25,101.25,0.0,0.0,102.13,102.13,102.13,0.0,0.0,100.08,100.08,100.08,0.0,0.0,100.08,100.08,100.08,0.0,0.0
2018-10-07,96.1,96.1,96.1,0.0,0.0,96.68,96.68,96.68,0.0,0.0,96.1,96.1,96.1,0.0,0.0,96.68,96.68,96.68,0.0,0.0
2018-10-14,96.41,96.41,96.41,0.0,0.0,97.15,97.15,97.15,0.0,0.0,96.08,96.08,96.08,0.0,0.0,97.15,97.15,97.15,0.0,0.0
2018-10-21,88.28,88.28,88.28,0.0,0.0,88.55,88.55,88.55,0.0,0.0,87.49,87.49,87.49,0.0,0.0,87.5,87.5,87.5,0.0,0.0
2018-10-28,96.1,96.1,96.1,0.0,0.0,97.0,97.0,97.0,0.0,0.0,93.44,93.44,93.44,0.0,0.0,93.99,93.99,93.99,0.0,0.0
2018-11-04,97.67,97.67,97.67,0.0,0.0,97.67,97.67,97.67,0.0,0.0,95.42,95.42,95.42,0.0,0.0,97.62,97.62,97.62,0.0,0.0
2018-11-11,93.18,93.18,93.18,0.0,0.0,93.18,93.18,93.18,0.0,0.0,89.18,89.18,89.18,0.0,0.0,89.34,89.34,89.34,0.0,0.0
2018-11-18,88.2,88.2,88.2,0.0,0.0,89.1,89.1,89.1,0.0,0.0,87.56,87.56,87.56,0.0,0.0,89.1,89.1,89.1,0.0,0.0
2018-11-25,99.52,99.52,99.52,0.0,0.0,99.52,99.52,99.52,0.0,0.0,97.59,97.59,97.59,0.0,0.0,97.98,97.98,97.98,0.0,0.0
2018-12-02,87.96,87.96,87.96,0.0,0.0,88.11,88.11,88.11,0.0,0.0,84.93,84.93,84.93,0.0,0.0,88.11,88.11,88.11,0.0,0.0
2018-12-09,83.71,83.71,83.71,0.0,0.0,83.71,83.71,83.71,0.0,0.0,79.94,79.94,79.94,0.0,0.0,80.67,80.67,80.67,0.0,0.0
2018-12-16,68.28,68.28,68.28,0.0,0.0,69.41,69.41,69.41,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0
2018-12-23,77.34,77.34,77.34,0.0,0.0,77.34,77.34,77.34,0.0,0.0,77.15,77.15,77.15,0.0,0.0,77.29,77.29,77.29,0.0,0.0
2018-12-30,84.59,84.59,84.59,0.0,0.0,84.77,84.77,84.77,0.0,0.0,84.59,84.59,84.59,0.0,0.0,84.77,84.77,84.77,0.0,0.0
2019-01-06,85.51,85.51,85.51,0.0,0.0,85.51,85.51,85.51,0.0,0.0,85.51,85.51,85.51,0.0,0.0,85.51,85.51,85.51,0.0,0.0
2019-01-13,89.5,89.5,89.5,0.0,0.0,89.5,89.5,89.5,0.0,0.0,89.17,89.17,89.17,0.0,0.0,89.42,89.42,89.42,0.0,0.0
2019-01-20,86.63,86.63,86.63,0.0,0.0,87.89,87.89,87.89,0.0,0.0,86.63,86.63,86.63,0.0,0.0,87.78,87.78,87.78,0.0,0.0
2019-01-27,90.71,90.71,90.71,0.0,0.0,90.94,90.94,90.94,0.0,0.0,90.71,90.71,90.71,0.0,0.0,90.94,90.94,90.94,0.0,0.0
2019-02-03,89.78,89.78,89.78,0.0,0.0,89.83,89.83,89.83,0.0,0.0,89.78,89.78,89.78,0.0,0.0,89.83,89.83,89.83,0.0,0.0
2019-02-10,94.0,94.0,94.0,0.0,0.0,94.36,94.36,94.36,0.0,0.0,94.0,94.0,94.0,0.0,0.0,94.19,94.19,94.19,0.0,0.0
2019-02-17,96.5,96.5,96.5,0.0,0.0,96.5,96.5,96.5,0.0,0.0,95.06,95.06,95.06,0.0,0.0,95.06,95.06,95.06,0.0,0.0
2019-02-24,94.95,94.95,94.95,0.0,0.0,95.0,95.0,95.0,0.0,0.0,93.26,93.26,93.26,0.0,0.0,94.6,94.6,94.6,0.0,0.0
2019-03-03,93.0,93.0,93.0,0.0,0.0,93.66,93.66,93.66,0.0,0.0,93.0,93.0,93.0,0.0,0.0,93.56,93.56,93.56,0.0,0.0
2019-03-10,96.38,96.38,96.38,0.0,0.0,96.92,96.92,96.92,0.0,0.0,96.38,96.38,96.38,0.0,0.0,96.92,96.92,96.92,0.0,0.0
2019-03-17,96.7,96.7,96.7,0.0,0.0,96.7,96.7,96.7,0.0,0.0,96.69,96.69,96.69,0.0,0.0,96.69,96.69,96.69,0.0,0.0
2019-03-24,100.0,100.0,100.0,0.0,0.0,100.85,100.85,100.85,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.85,100.85,100.85,0.0,0.0
2019-03-31,104.26,104.26,104.26,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.24,104.24,104.24,0.0,0.0,104.59,104.59,104.59,0.0,0.0
2019-04-07,107.16,107.16,107.16,0.0,0.0,107.34,107.34,107.34,0.0,0.0,106.01,106.01,106.01,0.0,0.0,107.2,107.2,107.2,0.0,0.0
2019-04-14,108.32,108.32,108.32,0.0,0.0,108.32,108.32,108.32,0.0,0.0,108.32,108.32,108.32,0.0,0.0,108.32,108.32,108.32,0.0,0.0
2019-04-21,111.66,111.66,111.66,0.0,0.0,111.99,111.99,111.99,0.0,0.0,111.61,111.61,111.61,0.0,0.0,111.72,111.72,111.72,0.0,0.0
2019-04-28,108.41,108.41,108.41,0.0,0.0,111.43,111.43,111.43,0.0,0.0,108.35,108.35,108.35,0.0,0.0,111.12,111.12,111.12,0.0,0.0
2019-05-05,102.0,102.0,102.0,0.0,0.0,102.52,102.52,102.52,0.0,0.0,101.19,101.19,101.19,0.0,0.0,101.24,101.24,101.24,0.0,0.0
2019-05-12,103.74,103.74,103.74,0.0,0.0,103.87,103.87,103.87,0.0,0.0,103.74,103.74,103.74,0.0,0.0,103.87,103.87,103.87,0.0,0.0
2019-05-19,102.03,102.03,102.03,0.0,0.0,102.1,102.1,102.1,0.0,0.0,101.83,101.83,101.83,0.0,0.0,101.85,101.85,101.85,0.0,0.0
2019-05-26,96.51,96.51,96.51,0.0,0.0,96.99,96.99,96.99,0.0,0.0,95.38,95.38,95.38,0.0,0.0,95.78,95.78,95.78,0.0,0.0
2019-06-02,107.0,107.0,107.0,0.0,0.0,107.44,107.44,107.44,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.36,106.36,106.36,0.0,0.0
2019-06-09,109.86,109.86,109.86,0.0,0.0,110.07,110.07,110.07,0.0,0.0,109.53,109.53,109.53,0.0,0.0,109.53,109.53,109.53,0.0,0.0
2019-06-16,111.49,111.49,111.49,0.0,0.0,111.49,111.49,111.49,0.0,0.0,111.47,111.47,111.47,0.0,0.0,111.47,111.47,111.47,0.0,0.0
2019-06-23,113.23,113.23,113.23,0.0,0.0,113.23,113.23,113.23,0.0,0.0,112.05,112.05,112.05,0.0,0.0,112.74,112.74,112.74,0.0,0.0
2019-06-30,114.59,114.59,114.59,0.0,0.0,116.02,116.02,116.02,0.0,0.0,114.59,114.59,114.59,0.0,0.0,115.76,115.76,115.76,0.0,0.0
2019-07-07,120.45,120.45,120.45,0.0,0.0,120.79,120.79,120.79,0.0,0.0,120.02,120.02,120.02,0.0,0.0,120.79,120.79,120.79,0.0,0.0
2019-07-14,115.5,115.5,115.5,0.0,0.0,115.51,115.51,115.51,0.0,0.0,114.74,114.74,114.74,0.0,0.0,115.51,115.51,115.51,0.0,0.0
2019-07-21,117.07,117.07,117.07,0.0,0.0,117.07,117.07,117.07,0.0,0.0,116.55,116.55,116.55,0.0,0.0,116.81,116.81,116.81,0.0,0.0
2019-07-28,105.14,105.14,105.14,0.0,0.0,105.14,105.14,105.14,0.0,0.0,102.0,102.0,102.0,0.0,0.0,103.17,103.17,103.17,0.0,0.0
2019-08-04,105.49,105.49,105.49,0.0,0.0,105.49,105.49,105.49,0.0,0.0,104.05,104.05,104.05,0.0,0.0,104.81,104.81,104.81,0.0,0.0
2019-08-11,107.0,107.0,107.0,0.0,0.0,107.77,107.77,107.77,0.0,0.0,107.0,107.0,107.0,0.0,0.0,107.24,107.24,107.24,0.0,0.0
2019-08-18,104.19,104.19,104.19,0.0,0.0,105.65,105.65,105.65,0.0,0.0,104.17,104.17,104.17,0.0,0.0,105.6,105.6,105.6,0.0,0.0
2019-08-25,111.0,111.0,111.0,0.0,0.0,111.0,111.0,111.0,0.0,0.0,109.11,109.11,109.11,0.0,0.0,109.53,109.53,109.53,0.0,0.0
2019-09-01,114.02,114.02,114.02,0.0,0.0,114.81,114.81,114.81,0.0,0.0,114.01,114.01,114.01,0.0,0.0,114.81,114.81,114.81,0.0,0.0
2019-09-08,113.74,113.74,113.74,0.0,0.0,113.8,113.8,113.8,0.0,0.0,112.66,112.66,112.66,0.0,0.0,112.89,112.89,112.89,0.0,0.0
2019-09-15,109.68,109.68,109.68,0.0,0.0,110.44,110.44,110.44,0.0,0.0,109.68,109.68,109.68,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2019-09-22,107.29,107.29,107.29,0.0,0.0,107.95,107.95,107.95,0.0,0.0,107.23,107.23,107.23,0.0,0.0,107.91,107.91,107.91,0.0,0.0
2019-09-29,105.65,105.65,105.65,0.0,0.0,106.61,106.61,106.61,0.0,0.0,105.65,105.65,105.65,0.0,0.0,106.12,106.12,106.12,0.0,0.0
2019-10-06,108.19,108.19,108.19,0.0,0.0,108.19,108.19,108.19,0.0,0.0,108.14,108.14,108.14,0.0,0.0,108.14,108.14,108.14,0.0,0.0
2019-10-13,111.92,111.92,111.92,0.0,0.0,111.92,111.92,111.92,0.0,0.0,110.92,110.92,110.92,0.0,0.0,111.21,111.21,111.21,0.0,0.0
2019-10-20,111.26,111.26,111.26,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.17,111.17,111.17,0.0,0.0,111.46,111.46,111.46,0.0,0.0
2019-10-27,111.75,111.75,111.75,0.0,0.0,111.75,111.75,111.75,0.0,0.0,111.51,111.51,111.51,0.0,0.0,111.51,111.51,111.51,0.0,0.0
2019-11-03,111.27,111.27,111.27,0.0,0.0,111.68,111.68,111.68,0.0,0.0,111.27,111.27,111.27,0.0,0.0,111.67,111.67,111.67,0.0,0.0
2019-11-10,113.2,113.2,113.2,0.0,0.0,114.12,114.12,114.12,0.0,0.0,113.2,113.2,113.2,0.0,0.0,114.08,114.08,114.08,0.0,0.0
2019-11-17,112.97,112.97,112.97,0.0,0.0,113.84,113.84,113.84,0.0,0.0,112.97,112.97,112.97,0.0,0.0,113.84,113.84,113.84,0.0,0.0
2019-11-24,114.57,114.57,114.57,0.0,0.0,114.57,114.57,114.57,0.0,0.0,113.2,113.2,113.2,0.0,0.0,113.81,113.81,113.81,0.0,0.0
2019-12-01,113.55,113.55,113.55,0.0,0.0,113.58,113.58,113.58,0.0,0.0,112.86,112.86,112.86,0.0,0.0,112.86,112.86,112.86,0.0,0.0
2019-12-08,114.79,114.79,114.79,0.0,0.0,115.6,115.6,115.6,0.0,0.0,114.79,114.79,114.79,0.0,0.0,115.28,115.28,115.28,0.0,0.0
2019-12-15,118.1,118.1,118.1,0.0,0.0,118.1,118.1,118.1,0.0,0.0,117.43,117.43,117.43,0.0,0.0,117.43,117.43,117.43,0.0,0.0
2019-12-22,119.6,119.6,119.6,0.0,0.0,119.6,119.6,119.6,0.0,0.0,118.33,118.33,118.33,0.0,0.0,118.33,118.33,118.33,0.0,0.0
2019-12-29,119.53,119.53,119.53,0.0,0.0,119.54,119.54,119.54,0.0,0.0,119.53,119.53,119.53,0.0,0.0,119.54,119.54,119.54,0.0,0.0
