Date,PowerShares International Dividend Achievers Portf_Open_average,PowerShares International Dividend Achievers Portf_Open_max,PowerShares International Dividend Achievers Portf_Open_min,PowerShares International Dividend Achievers Portf_Open_volatility,PowerShares International Dividend Achievers Portf_Open_change,PowerShares International Dividend Achievers Portf_High_average,PowerShares International Dividend Achievers Portf_High_max,PowerShares International Dividend Achievers Portf_High_min,PowerShares International Dividend Achievers Portf_High_volatility,PowerShares International Dividend Achievers Portf_High_change,PowerShares International Dividend Achievers Portf_Low_average,PowerShares International Dividend Achievers Portf_Low_max,PowerShares International Dividend Achievers Portf_Low_min,PowerShares International Dividend Achievers Portf_Low_volatility,PowerShares International Dividend Achievers Portf_Low_change,PowerShares International Dividend Achievers Portf_Close_average,PowerShares International Dividend Achievers Portf_Close_max,PowerShares International Dividend Achievers Portf_Close_min,PowerShares International Dividend Achievers Portf_Close_volatility,PowerShares International Dividend Achievers Portf_Close_change
2018-04-01,15.83,15.83,15.83,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.82,15.82,15.82,0.0,0.0
2018-04-08,16.0,16.0,16.0,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.96,15.96,15.96,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2018-04-15,15.83,15.83,15.83,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.81,15.81,15.81,0.0,0.0
2018-04-22,15.96,15.96,15.96,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-04-29,15.77,15.77,15.77,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2018-05-06,16.08,16.08,16.08,0.0,0.0,16.11,16.11,16.11,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2018-05-13,15.93,15.93,15.93,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2018-05-20,15.75,15.75,15.75,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2018-05-27,15.82,15.82,15.82,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.82,15.82,15.82,0.0,0.0
2018-06-03,15.81,15.81,15.81,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-06-10,15.46,15.46,15.46,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2018-06-17,15.49,15.49,15.49,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2018-06-24,15.51,15.51,15.51,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.49,15.49,15.49,0.0,0.0
2018-07-01,15.94,15.94,15.94,0.0,0.0,15.97,15.97,15.97,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2018-07-08,15.86,15.86,15.86,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-07-15,15.89,15.89,15.89,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-07-22,16.09,16.09,16.09,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.06,16.06,16.06,0.0,0.0,16.07,16.07,16.07,0.0,0.0
2018-07-29,16.11,16.11,16.11,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2018-08-05,15.75,15.75,15.75,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-08-12,15.88,15.88,15.88,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-08-19,16.03,16.03,16.03,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2018-08-26,15.94,15.94,15.94,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2018-09-02,15.69,15.69,15.69,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2018-09-09,15.81,15.81,15.81,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2018-09-16,15.81,15.81,15.81,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-09-23,15.9,15.9,15.9,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-09-30,15.56,15.56,15.56,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.6,15.6,15.6,0.0,0.0
2018-10-07,15.16,15.16,15.16,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2018-10-14,15.14,15.14,15.14,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2018-10-21,14.79,14.79,14.79,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2018-10-28,15.09,15.09,15.09,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2018-11-04,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-11-11,15.14,15.14,15.14,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-11-18,15.06,15.06,15.06,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2018-11-25,15.37,15.37,15.37,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2018-12-02,14.81,14.81,14.81,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.72,14.72,14.72,0.0,0.0
2018-12-09,14.77,14.77,14.77,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2018-12-16,13.85,13.85,13.85,0.0,0.0,13.95,13.95,13.95,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.74,13.74,13.74,0.0,0.0
2018-12-23,14.14,14.14,14.14,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.06,14.06,14.06,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2018-12-30,14.48,14.48,14.48,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2019-01-06,14.84,14.84,14.84,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2019-01-13,15.2,15.2,15.2,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2019-01-20,15.13,15.13,15.13,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2019-01-27,15.48,15.48,15.48,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2019-02-03,15.37,15.37,15.37,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.35,15.35,15.35,0.0,0.0
2019-02-10,15.59,15.59,15.59,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2019-02-17,16.0,16.0,16.0,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.96,15.96,15.96,0.0,0.0
2019-02-24,15.85,15.85,15.85,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2019-03-03,15.7,15.7,15.7,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.81,15.81,15.81,0.0,0.0
2019-03-10,16.09,16.09,16.09,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2019-03-17,15.86,15.86,15.86,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.83,15.83,15.83,0.0,0.0
2019-03-24,16.0,16.0,16.0,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.98,15.98,15.98,0.0,0.0,16.08,16.08,16.08,0.0,0.0
2019-03-31,16.26,16.26,16.26,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2019-04-07,16.33,16.33,16.33,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2019-04-14,16.43,16.43,16.43,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2019-04-21,16.42,16.42,16.42,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2019-04-28,16.14,16.14,16.14,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.3,16.3,16.3,0.0,0.0
2019-05-05,15.89,15.89,15.89,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.81,15.81,15.81,0.0,0.0
2019-05-12,15.95,15.95,15.95,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.96,15.96,15.96,0.0,0.0
2019-05-19,15.99,15.99,15.99,0.0,0.0,16.03,16.03,16.03,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2019-05-26,15.86,15.86,15.86,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2019-06-02,16.35,16.35,16.35,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2019-06-09,16.32,16.32,16.32,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2019-06-16,16.45,16.45,16.45,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2019-06-23,16.46,16.46,16.46,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2019-06-30,16.44,16.44,16.44,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2019-07-07,16.33,16.33,16.33,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2019-07-14,16.25,16.25,16.25,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2019-07-21,16.22,16.22,16.22,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2019-07-28,15.61,15.61,15.61,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2019-08-04,15.58,15.58,15.58,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2019-08-11,15.45,15.45,15.45,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2019-08-18,15.32,15.32,15.32,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.33,15.33,15.33,0.0,0.0
2019-08-25,15.54,15.54,15.54,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.58,15.58,15.58,0.0,0.0
2019-09-01,15.91,15.91,15.91,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2019-09-08,16.16,16.16,16.16,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2019-09-15,16.08,16.08,16.08,0.0,0.0,16.11,16.11,16.11,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2019-09-22,16.05,16.05,16.05,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2019-09-29,15.7,15.7,15.7,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.68,15.68,15.68,0.0,0.0
2019-10-06,15.85,15.85,15.85,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2019-10-13,15.96,15.96,15.96,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.96,15.96,15.96,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2019-10-20,16.13,16.13,16.13,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.18,16.18,16.18,0.0,0.0
2019-10-27,16.3,16.3,16.3,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.34,16.34,16.34,0.0,0.0
2019-11-03,16.45,16.45,16.45,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2019-11-10,16.47,16.47,16.47,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2019-11-17,16.43,16.43,16.43,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.56,16.56,16.56,0.0,0.0
2019-11-24,16.45,16.45,16.45,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.3,16.3,16.3,0.0,0.0
2019-12-01,16.46,16.46,16.46,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2019-12-08,17.06,17.06,17.06,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2019-12-15,16.95,16.95,16.95,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.93,16.93,16.93,0.0,0.0
2019-12-22,17.13,17.13,17.13,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2019-12-29,17.0,17.0,17.0,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.08,17.08,17.08,0.0,0.0
