Date,NuShares ESG Large-Cap Value_Open_average,NuShares ESG Large-Cap Value_Open_max,NuShares ESG Large-Cap Value_Open_min,NuShares ESG Large-Cap Value_Open_volatility,NuShares ESG Large-Cap Value_Open_change,NuShares ESG Large-Cap Value_High_average,NuShares ESG Large-Cap Value_High_max,NuShares ESG Large-Cap Value_High_min,NuShares ESG Large-Cap Value_High_volatility,NuShares ESG Large-Cap Value_High_change,NuShares ESG Large-Cap Value_Low_average,NuShares ESG Large-Cap Value_Low_max,NuShares ESG Large-Cap Value_Low_min,NuShares ESG Large-Cap Value_Low_volatility,NuShares ESG Large-Cap Value_Low_change,NuShares ESG Large-Cap Value_Close_average,NuShares ESG Large-Cap Value_Close_max,NuShares ESG Large-Cap Value_Close_min,NuShares ESG Large-Cap Value_Close_volatility,NuShares ESG Large-Cap Value_Close_change
2018-09-30,30.36,30.36,30.36,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-10-07,28.8,28.8,28.8,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.8,28.8,28.8,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-10-14,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-10-21,28.69,28.69,28.69,0.0,0.0,28.7,28.7,28.7,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2018-10-28,29.08,29.08,29.08,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-11-04,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-11-11,29.43,29.43,29.43,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-11-18,28.98,28.98,28.98,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-11-25,29.98,29.98,29.98,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-12-02,28.22,28.22,28.22,0.0,0.0,28.51,28.51,28.51,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-12-09,27.97,27.97,27.97,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-12-16,26.1,26.1,26.1,0.0,0.0,26.28,26.28,26.28,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-12-23,26.15,26.15,26.15,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2018-12-30,26.65,26.65,26.65,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2019-01-06,27.15,27.15,27.15,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2019-01-13,27.81,27.81,27.81,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2019-01-20,27.81,27.81,27.81,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2019-01-27,28.2,28.2,28.2,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2019-02-03,28.29,28.29,28.29,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-02-10,28.72,28.72,28.72,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2019-02-17,29.2,29.2,29.2,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2019-02-24,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,28.81,28.81,28.81,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2019-03-03,28.69,28.69,28.69,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2019-03-10,29.25,29.25,29.25,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2019-03-17,28.84,28.84,28.84,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2019-03-24,29.5,29.5,29.5,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2019-03-31,29.74,29.74,29.74,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2019-04-07,29.95,29.95,29.95,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2019-04-14,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2019-04-21,29.92,29.92,29.92,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2019-04-28,29.81,29.81,29.81,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.78,29.78,29.78,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2019-05-05,29.07,29.07,29.07,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2019-05-12,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2019-05-19,29.27,29.27,29.27,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2019-05-26,28.35,28.35,28.35,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2019-06-02,29.78,29.78,29.78,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-06-09,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2019-06-16,30.29,30.29,30.29,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2019-06-23,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2019-06-30,30.58,30.58,30.58,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2019-07-07,30.72,30.72,30.72,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-07-14,30.54,30.54,30.54,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2019-07-21,30.93,30.93,30.93,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2019-07-28,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2019-08-04,29.74,29.74,29.74,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2019-08-11,29.82,29.82,29.82,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2019-08-18,29.31,29.31,29.31,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-08-25,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2019-09-01,30.89,30.89,30.89,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2019-09-08,31.22,31.22,31.22,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2019-09-15,31.18,31.18,31.18,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2019-09-22,31.23,31.23,31.23,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2019-09-29,30.72,30.72,30.72,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2019-10-06,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2019-10-13,31.32,31.32,31.32,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2019-10-20,31.55,31.55,31.55,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2019-10-27,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2019-11-03,32.13,32.13,32.13,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2019-11-10,32.36,32.36,32.36,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2019-11-17,32.53,32.53,32.53,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2019-11-24,32.46,32.46,32.46,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2019-12-01,32.66,32.66,32.66,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2019-12-08,33.04,33.04,33.04,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2019-12-15,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2019-12-22,32.83,32.83,32.83,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2019-12-29,32.72,32.72,32.72,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.62,32.62,32.62,0.0,0.0
