Date,PowerShares Aerospace & Defense_Open_average,PowerShares Aerospace & Defense_Open_max,PowerShares Aerospace & Defense_Open_min,PowerShares Aerospace & Defense_Open_volatility,PowerShares Aerospace & Defense_Open_change,PowerShares Aerospace & Defense_High_average,PowerShares Aerospace & Defense_High_max,PowerShares Aerospace & Defense_High_min,PowerShares Aerospace & Defense_High_volatility,PowerShares Aerospace & Defense_High_change,PowerShares Aerospace & Defense_Low_average,PowerShares Aerospace & Defense_Low_max,PowerShares Aerospace & Defense_Low_min,PowerShares Aerospace & Defense_Low_volatility,PowerShares Aerospace & Defense_Low_change,PowerShares Aerospace & Defense_Close_average,PowerShares Aerospace & Defense_Close_max,PowerShares Aerospace & Defense_Close_min,PowerShares Aerospace & Defense_Close_volatility,PowerShares Aerospace & Defense_Close_change
2018-03-25,56.57,56.57,56.57,0.0,0.0,56.66,56.66,56.66,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.97,55.97,55.97,0.0,0.0
2018-04-01,56.68,56.68,56.68,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.25,56.25,56.25,0.0,0.0
2018-04-08,57.66,57.66,57.66,0.0,0.0,57.96,57.96,57.96,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2018-04-15,58.82,58.82,58.82,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.78,58.78,58.78,0.0,0.0
2018-04-22,56.29,56.29,56.29,0.0,0.0,56.43,56.43,56.43,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-04-29,54.88,54.88,54.88,0.0,0.0,55.45,55.45,55.45,0.0,0.0,54.68,54.68,54.68,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2018-05-06,56.95,56.95,56.95,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.5,56.5,56.5,0.0,0.0
2018-05-13,57.24,57.24,57.24,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2018-05-20,57.54,57.54,57.54,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2018-05-27,57.41,57.41,57.41,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.63,57.63,57.63,0.0,0.0
2018-06-03,58.37,58.37,58.37,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-06-10,56.27,56.27,56.27,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2018-06-17,54.92,54.92,54.92,0.0,0.0,55.07,55.07,55.07,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.77,54.77,54.77,0.0,0.0
2018-06-24,54.65,54.65,54.65,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.51,54.51,54.51,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2018-07-01,55.74,55.74,55.74,0.0,0.0,56.41,56.41,56.41,0.0,0.0,55.74,55.74,55.74,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2018-07-08,57.41,57.41,57.41,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-07-15,57.96,57.96,57.96,0.0,0.0,57.96,57.96,57.96,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2018-07-22,58.36,58.36,58.36,0.0,0.0,58.56,58.56,58.56,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2018-07-29,58.17,58.17,58.17,0.0,0.0,58.29,58.29,58.29,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-08-05,57.89,57.89,57.89,0.0,0.0,58.12,58.12,58.12,0.0,0.0,57.48,57.48,57.48,0.0,0.0,57.72,57.72,57.72,0.0,0.0
2018-08-12,58.63,58.63,58.63,0.0,0.0,59.09,59.09,59.09,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.91,58.91,58.91,0.0,0.0
2018-08-19,59.15,59.15,59.15,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.15,59.15,59.15,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2018-08-26,58.92,58.92,58.92,0.0,0.0,59.17,59.17,59.17,0.0,0.0,58.79,58.79,58.79,0.0,0.0,59.17,59.17,59.17,0.0,0.0
2018-09-02,59.82,59.82,59.82,0.0,0.0,60.06,60.06,60.06,0.0,0.0,59.6,59.6,59.6,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2018-09-09,61.11,61.11,61.11,0.0,0.0,61.25,61.25,61.25,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2018-09-16,61.04,61.04,61.04,0.0,0.0,61.04,61.04,61.04,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.67,60.67,60.67,0.0,0.0
2018-09-23,61.76,61.76,61.76,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.46,61.46,61.46,0.0,0.0,61.64,61.64,61.64,0.0,0.0
2018-09-30,61.19,61.19,61.19,0.0,0.0,61.35,61.35,61.35,0.0,0.0,60.86,60.86,60.86,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2018-10-07,57.24,57.24,57.24,0.0,0.0,58.6,58.6,58.6,0.0,0.0,57.24,57.24,57.24,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2018-10-14,57.86,57.86,57.86,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-10-21,55.25,55.25,55.25,0.0,0.0,55.37,55.37,55.37,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2018-10-28,55.55,55.55,55.55,0.0,0.0,55.95,55.95,55.95,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.86,55.86,55.86,0.0,0.0
2018-11-04,57.24,57.24,57.24,0.0,0.0,57.24,57.24,57.24,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.72,55.72,55.72,0.0,0.0
2018-11-11,55.83,55.83,55.83,0.0,0.0,55.83,55.83,55.83,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-11-18,54.82,54.82,54.82,0.0,0.0,55.07,55.07,55.07,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-11-25,56.22,56.22,56.22,0.0,0.0,56.4,56.4,56.4,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2018-12-02,52.62,52.62,52.62,0.0,0.0,53.39,53.39,53.39,0.0,0.0,52.15,52.15,52.15,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2018-12-09,52.58,52.58,52.58,0.0,0.0,52.85,52.85,52.85,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-12-16,47.46,47.46,47.46,0.0,0.0,47.46,47.46,47.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2018-12-23,49.15,49.15,49.15,0.0,0.0,49.45,49.45,49.45,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-12-30,49.87,49.87,49.87,0.0,0.0,50.36,50.36,50.36,0.0,0.0,49.55,49.55,49.55,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-01-06,51.27,51.27,51.27,0.0,0.0,52.0,52.0,52.0,0.0,0.0,50.67,50.67,50.67,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2019-01-13,52.85,52.85,52.85,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2019-01-20,53.35,53.35,53.35,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.18,53.18,53.18,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2019-01-27,55.71,55.71,55.71,0.0,0.0,56.72,56.72,56.72,0.0,0.0,55.64,55.64,55.64,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2019-02-03,57.56,57.56,57.56,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2019-02-10,58.65,58.65,58.65,0.0,0.0,59.3,59.3,59.3,0.0,0.0,58.65,58.65,58.65,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2019-02-17,59.99,59.99,59.99,0.0,0.0,60.03,60.03,60.03,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.57,59.57,59.57,0.0,0.0
2019-02-24,59.84,59.84,59.84,0.0,0.0,59.99,59.99,59.99,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2019-03-03,56.88,56.88,56.88,0.0,0.0,57.99,57.99,57.99,0.0,0.0,56.74,56.74,56.74,0.0,0.0,57.98,57.98,57.98,0.0,0.0
2019-03-10,57.4,57.4,57.4,0.0,0.0,58.02,58.02,58.02,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.99,57.99,57.99,0.0,0.0
2019-03-17,56.88,56.88,56.88,0.0,0.0,57.22,57.22,57.22,0.0,0.0,56.77,56.77,56.77,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2019-03-24,58.47,58.47,58.47,0.0,0.0,59.16,59.16,59.16,0.0,0.0,58.47,58.47,58.47,0.0,0.0,59.08,59.08,59.08,0.0,0.0
2019-03-31,58.9,58.9,58.9,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.58,58.58,58.58,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2019-04-07,59.98,59.98,59.98,0.0,0.0,59.98,59.98,59.98,0.0,0.0,59.57,59.57,59.57,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2019-04-14,60.2,60.2,60.2,0.0,0.0,60.5,60.5,60.5,0.0,0.0,59.94,59.94,59.94,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2019-04-21,61.27,61.27,61.27,0.0,0.0,61.69,61.69,61.69,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.36,61.36,61.36,0.0,0.0
2019-04-28,61.46,61.46,61.46,0.0,0.0,62.49,62.49,62.49,0.0,0.0,61.32,61.32,61.32,0.0,0.0,62.41,62.41,62.41,0.0,0.0
2019-05-05,61.04,61.04,61.04,0.0,0.0,61.17,61.17,61.17,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2019-05-12,61.17,61.17,61.17,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.17,61.17,61.17,0.0,0.0,61.51,61.51,61.51,0.0,0.0
2019-05-19,61.54,61.54,61.54,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.32,61.32,61.32,0.0,0.0,61.47,61.47,61.47,0.0,0.0
2019-05-26,60.65,60.65,60.65,0.0,0.0,61.4,61.4,61.4,0.0,0.0,60.65,60.65,60.65,0.0,0.0,61.17,61.17,61.17,0.0,0.0
2019-06-02,64.75,64.75,64.75,0.0,0.0,64.76,64.76,64.76,0.0,0.0,63.8,63.8,63.8,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2019-06-09,63.34,63.34,63.34,0.0,0.0,63.41,63.41,63.41,0.0,0.0,62.91,62.91,62.91,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2019-06-16,65.0,65.0,65.0,0.0,0.0,65.36,65.36,65.36,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.97,64.97,64.97,0.0,0.0
2019-06-23,65.53,65.53,65.53,0.0,0.0,65.98,65.98,65.98,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2019-06-30,65.32,65.32,65.32,0.0,0.0,65.38,65.38,65.38,0.0,0.0,64.87,64.87,64.87,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2019-07-07,66.43,66.43,66.43,0.0,0.0,66.45,66.45,66.45,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.91,65.91,65.91,0.0,0.0
2019-07-14,65.55,65.55,65.55,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.67,65.67,65.67,0.0,0.0
2019-07-21,66.89,66.89,66.89,0.0,0.0,66.89,66.89,66.89,0.0,0.0,66.62,66.62,66.62,0.0,0.0,66.77,66.77,66.77,0.0,0.0
2019-07-28,63.96,63.96,63.96,0.0,0.0,64.06,64.06,64.06,0.0,0.0,62.88,62.88,62.88,0.0,0.0,63.52,63.52,63.52,0.0,0.0
2019-08-04,66.33,66.33,66.33,0.0,0.0,66.48,66.48,66.48,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2019-08-11,66.63,66.63,66.63,0.0,0.0,66.79,66.79,66.79,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2019-08-18,66.33,66.33,66.33,0.0,0.0,66.35,66.35,66.35,0.0,0.0,65.55,65.55,65.55,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2019-08-25,67.94,67.94,67.94,0.0,0.0,68.07,68.07,68.07,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2019-09-01,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2019-09-08,68.57,68.57,68.57,0.0,0.0,69.29,69.29,69.29,0.0,0.0,68.48,68.48,68.48,0.0,0.0,69.04,69.04,69.04,0.0,0.0
2019-09-15,68.0,68.0,68.0,0.0,0.0,68.38,68.38,68.38,0.0,0.0,67.71,67.71,67.71,0.0,0.0,68.12,68.12,68.12,0.0,0.0
2019-09-22,67.75,67.75,67.75,0.0,0.0,67.92,67.92,67.92,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2019-09-29,66.22,66.22,66.22,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.12,66.12,66.12,0.0,0.0,66.24,66.24,66.24,0.0,0.0
2019-10-06,66.86,66.86,66.86,0.0,0.0,67.1,67.1,67.1,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2019-10-13,66.0,66.0,66.0,0.0,0.0,66.2,66.2,66.2,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2019-10-20,66.68,66.68,66.68,0.0,0.0,67.12,67.12,67.12,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.79,66.79,66.79,0.0,0.0
2019-10-27,68.58,68.58,68.58,0.0,0.0,68.61,68.61,68.61,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.91,67.91,67.91,0.0,0.0
2019-11-03,68.52,68.52,68.52,0.0,0.0,69.16,69.16,69.16,0.0,0.0,68.41,68.41,68.41,0.0,0.0,69.06,69.06,69.06,0.0,0.0
2019-11-10,70.08,70.08,70.08,0.0,0.0,70.31,70.31,70.31,0.0,0.0,69.9,69.9,69.9,0.0,0.0,70.0,70.0,70.0,0.0,0.0
2019-11-17,69.29,69.29,69.29,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.04,69.04,69.04,0.0,0.0,69.12,69.12,69.12,0.0,0.0
2019-11-24,69.52,69.52,69.52,0.0,0.0,69.56,69.56,69.56,0.0,0.0,68.21,68.21,68.21,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2019-12-01,68.6,68.6,68.6,0.0,0.0,68.63,68.63,68.63,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.27,68.27,68.27,0.0,0.0
2019-12-08,68.94,68.94,68.94,0.0,0.0,68.94,68.94,68.94,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0
2019-12-15,69.0,69.0,69.0,0.0,0.0,69.39,69.39,69.39,0.0,0.0,68.92,68.92,68.92,0.0,0.0,69.18,69.18,69.18,0.0,0.0
2019-12-22,68.78,68.78,68.78,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2019-12-29,70.02,70.02,70.02,0.0,0.0,70.62,70.62,70.62,0.0,0.0,69.59,69.59,69.59,0.0,0.0,70.6,70.6,70.6,0.0,0.0
