Date,iShares Global Tech_Open_average,iShares Global Tech_Open_max,iShares Global Tech_Open_min,iShares Global Tech_Open_volatility,iShares Global Tech_Open_change,iShares Global Tech_High_average,iShares Global Tech_High_max,iShares Global Tech_High_min,iShares Global Tech_High_volatility,iShares Global Tech_High_change,iShares Global Tech_Low_average,iShares Global Tech_Low_max,iShares Global Tech_Low_min,iShares Global Tech_Low_volatility,iShares Global Tech_Low_change,iShares Global Tech_Close_average,iShares Global Tech_Close_max,iShares Global Tech_Close_min,iShares Global Tech_Close_volatility,iShares Global Tech_Close_change
2018-04-15,159.51,159.51,159.51,0.0,0.0,159.75,159.75,159.75,0.0,0.0,157.75,157.75,157.75,0.0,0.0,158.15,158.15,158.15,0.0,0.0
2018-04-22,158.62,158.62,158.62,0.0,0.0,159.63,159.63,159.63,0.0,0.0,157.47,157.47,157.47,0.0,0.0,157.51,157.51,157.51,0.0,0.0
2018-04-29,162.43,162.43,162.43,0.0,0.0,163.63,163.63,163.63,0.0,0.0,162.4,162.4,162.4,0.0,0.0,163.14,163.14,163.14,0.0,0.0
2018-05-06,167.96,167.96,167.96,0.0,0.0,168.66,168.66,168.66,0.0,0.0,167.33,167.33,167.33,0.0,0.0,167.35,167.35,167.35,0.0,0.0
2018-05-13,166.34,166.34,166.34,0.0,0.0,167.11,167.11,167.11,0.0,0.0,165.73,165.73,165.73,0.0,0.0,166.35,166.35,166.35,0.0,0.0
2018-05-20,166.92,166.92,166.92,0.0,0.0,167.56,167.56,167.56,0.0,0.0,166.85,166.85,166.85,0.0,0.0,167.23,167.23,167.23,0.0,0.0
2018-05-27,170.31,170.31,170.31,0.0,0.0,171.29,171.29,171.29,0.0,0.0,170.16,170.16,170.16,0.0,0.0,171.17,171.17,171.17,0.0,0.0
2018-06-03,170.98,170.98,170.98,0.0,0.0,171.68,171.68,171.68,0.0,0.0,170.72,170.72,170.72,0.0,0.0,171.27,171.27,171.27,0.0,0.0
2018-06-10,169.59,169.59,169.59,0.0,0.0,171.15,171.15,171.15,0.0,0.0,169.17,169.17,169.17,0.0,0.0,170.95,170.95,170.95,0.0,0.0
2018-06-17,166.27,166.27,166.27,0.0,0.0,166.41,166.41,166.41,0.0,0.0,162.97,162.97,162.97,0.0,0.0,164.0,164.0,164.0,0.0,0.0
2018-06-24,162.89,162.89,162.89,0.0,0.0,165.23,165.23,165.23,0.0,0.0,162.89,162.89,162.89,0.0,0.0,165.18,165.18,165.18,0.0,0.0
2018-07-01,168.41,168.41,168.41,0.0,0.0,168.94,168.94,168.94,0.0,0.0,167.55,167.55,167.55,0.0,0.0,168.94,168.94,168.94,0.0,0.0
2018-07-08,170.76,170.76,170.76,0.0,0.0,171.0,171.0,171.0,0.0,0.0,169.97,169.97,169.97,0.0,0.0,170.12,170.12,170.12,0.0,0.0
2018-07-15,171.0,171.0,171.0,0.0,0.0,171.79,171.79,171.79,0.0,0.0,169.97,169.97,169.97,0.0,0.0,171.74,171.74,171.74,0.0,0.0
2018-07-22,169.57,169.57,169.57,0.0,0.0,169.57,169.57,169.57,0.0,0.0,166.01,166.01,166.01,0.0,0.0,166.65,166.65,166.65,0.0,0.0
2018-07-29,170.42,170.42,170.42,0.0,0.0,171.44,171.44,171.44,0.0,0.0,170.07,170.07,170.07,0.0,0.0,171.44,171.44,171.44,0.0,0.0
2018-08-05,170.67,170.67,170.67,0.0,0.0,171.94,171.94,171.94,0.0,0.0,170.24,170.24,170.24,0.0,0.0,170.32,170.32,170.32,0.0,0.0
2018-08-12,170.54,170.54,170.54,0.0,0.0,170.54,170.54,170.54,0.0,0.0,169.42,169.42,169.42,0.0,0.0,169.94,169.94,169.94,0.0,0.0
2018-08-19,174.64,174.64,174.64,0.0,0.0,175.56,175.56,175.56,0.0,0.0,174.12,174.12,174.12,0.0,0.0,175.54,175.54,175.54,0.0,0.0
2018-08-26,176.02,176.02,176.02,0.0,0.0,176.82,176.82,176.82,0.0,0.0,175.66,175.66,175.66,0.0,0.0,176.42,176.42,176.42,0.0,0.0
2018-09-02,171.08,171.08,171.08,0.0,0.0,171.12,171.12,171.12,0.0,0.0,170.23,170.23,170.23,0.0,0.0,170.99,170.99,170.99,0.0,0.0
2018-09-09,173.02,173.02,173.02,0.0,0.0,173.43,173.43,173.43,0.0,0.0,171.05,171.05,171.05,0.0,0.0,171.06,171.06,171.06,0.0,0.0
2018-09-16,173.44,173.44,173.44,0.0,0.0,174.86,174.86,174.86,0.0,0.0,173.09,173.09,173.09,0.0,0.0,174.84,174.84,174.84,0.0,0.0
2018-09-23,176.29,176.29,176.29,0.0,0.0,176.89,176.89,176.89,0.0,0.0,175.86,175.86,175.86,0.0,0.0,176.34,176.34,176.34,0.0,0.0
2018-09-30,169.79,169.79,169.79,0.0,0.0,170.5,170.5,170.5,0.0,0.0,167.28,167.28,167.28,0.0,0.0,168.83,168.83,168.83,0.0,0.0
2018-10-07,163.39,163.39,163.39,0.0,0.0,163.58,163.58,163.58,0.0,0.0,161.46,161.46,161.46,0.0,0.0,161.61,161.61,161.61,0.0,0.0
2018-10-14,163.15,163.15,163.15,0.0,0.0,164.32,164.32,164.32,0.0,0.0,162.32,162.32,162.32,0.0,0.0,163.64,163.64,163.64,0.0,0.0
2018-10-21,159.14,159.14,159.14,0.0,0.0,159.95,159.95,159.95,0.0,0.0,151.78,151.78,151.78,0.0,0.0,154.37,154.37,154.37,0.0,0.0
2018-10-28,159.87,159.87,159.87,0.0,0.0,160.16,160.16,160.16,0.0,0.0,157.88,157.88,157.88,0.0,0.0,159.73,159.73,159.73,0.0,0.0
2018-11-04,160.27,160.27,160.27,0.0,0.0,160.84,160.84,160.84,0.0,0.0,156.32,156.32,156.32,0.0,0.0,156.36,156.36,156.36,0.0,0.0
2018-11-11,157.13,157.13,157.13,0.0,0.0,157.13,157.13,157.13,0.0,0.0,152.18,152.18,152.18,0.0,0.0,152.42,152.42,152.42,0.0,0.0
2018-11-18,151.29,151.29,151.29,0.0,0.0,152.66,152.66,152.66,0.0,0.0,150.75,150.75,150.75,0.0,0.0,152.66,152.66,152.66,0.0,0.0
2018-11-25,160.91,160.91,160.91,0.0,0.0,161.27,161.27,161.27,0.0,0.0,159.35,159.35,159.35,0.0,0.0,161.05,161.05,161.05,0.0,0.0
2018-12-02,148.99,148.99,148.99,0.0,0.0,151.81,151.81,151.81,0.0,0.0,148.13,148.13,148.13,0.0,0.0,151.58,151.58,151.58,0.0,0.0
2018-12-09,148.92,148.92,148.92,0.0,0.0,149.96,149.96,149.96,0.0,0.0,145.56,145.56,145.56,0.0,0.0,145.56,145.56,145.56,0.0,0.0
2018-12-16,136.82,136.82,136.82,0.0,0.0,138.23,138.23,138.23,0.0,0.0,134.75,134.75,134.75,0.0,0.0,134.75,134.75,134.75,0.0,0.0
2018-12-23,144.28,144.28,144.28,0.0,0.0,145.02,145.02,145.02,0.0,0.0,143.16,143.16,143.16,0.0,0.0,144.03,144.03,144.03,0.0,0.0
2018-12-30,143.05,143.05,143.05,0.0,0.0,145.17,145.17,145.17,0.0,0.0,142.75,142.75,142.75,0.0,0.0,143.96,143.96,143.96,0.0,0.0
2019-01-06,146.38,146.38,146.38,0.0,0.0,146.74,146.74,146.74,0.0,0.0,145.78,145.78,145.78,0.0,0.0,146.25,146.25,146.25,0.0,0.0
2019-01-13,151.47,151.47,151.47,0.0,0.0,152.43,152.43,152.43,0.0,0.0,150.59,150.59,150.59,0.0,0.0,152.26,152.26,152.26,0.0,0.0
2019-01-20,152.35,152.35,152.35,0.0,0.0,152.58,152.58,152.58,0.0,0.0,151.5,151.5,151.5,0.0,0.0,152.4,152.4,152.4,0.0,0.0
2019-01-27,156.06,156.06,156.06,0.0,0.0,158.12,158.12,158.12,0.0,0.0,155.85,155.85,155.85,0.0,0.0,158.09,158.09,158.09,0.0,0.0
2019-02-03,158.24,158.24,158.24,0.0,0.0,158.94,158.94,158.94,0.0,0.0,157.67,157.67,157.67,0.0,0.0,158.0,158.0,158.0,0.0,0.0
2019-02-10,161.83,161.83,161.83,0.0,0.0,162.09,162.09,162.09,0.0,0.0,160.93,160.93,160.93,0.0,0.0,161.77,161.77,161.77,0.0,0.0
2019-02-17,165.61,165.61,165.61,0.0,0.0,166.23,166.23,166.23,0.0,0.0,165.19,165.19,165.19,0.0,0.0,165.28,165.28,165.28,0.0,0.0
2019-02-24,165.74,165.74,165.74,0.0,0.0,165.96,165.96,165.96,0.0,0.0,162.93,162.93,162.93,0.0,0.0,164.41,164.41,164.41,0.0,0.0
2019-03-03,162.04,162.04,162.04,0.0,0.0,164.82,164.82,164.82,0.0,0.0,162.04,162.04,162.04,0.0,0.0,164.79,164.79,164.79,0.0,0.0
2019-03-10,168.66,168.66,168.66,0.0,0.0,169.51,169.51,169.51,0.0,0.0,168.27,168.27,168.27,0.0,0.0,169.11,169.11,169.11,0.0,0.0
2019-03-17,168.86,168.86,168.86,0.0,0.0,169.34,169.34,169.34,0.0,0.0,167.68,167.68,167.68,0.0,0.0,168.5,168.5,168.5,0.0,0.0
2019-03-24,172.49,172.49,172.49,0.0,0.0,173.51,173.51,173.51,0.0,0.0,171.91,171.91,171.91,0.0,0.0,173.34,173.34,173.34,0.0,0.0
2019-03-31,175.31,175.31,175.31,0.0,0.0,176.42,176.42,176.42,0.0,0.0,174.73,174.73,174.73,0.0,0.0,176.42,176.42,176.42,0.0,0.0
2019-04-07,177.37,177.37,177.37,0.0,0.0,177.6,177.6,177.6,0.0,0.0,176.36,176.36,176.36,0.0,0.0,177.1,177.1,177.1,0.0,0.0
2019-04-14,178.58,178.58,178.58,0.0,0.0,179.62,179.62,179.62,0.0,0.0,178.58,178.58,178.58,0.0,0.0,179.47,179.47,179.47,0.0,0.0
2019-04-21,180.87,180.87,180.87,0.0,0.0,181.3,181.3,181.3,0.0,0.0,180.58,180.58,180.58,0.0,0.0,180.97,180.97,180.97,0.0,0.0
2019-04-28,176.91,176.91,176.91,0.0,0.0,179.97,179.97,179.97,0.0,0.0,176.74,176.74,176.74,0.0,0.0,179.57,179.57,179.57,0.0,0.0
2019-05-05,170.19,170.19,170.19,0.0,0.0,171.06,171.06,171.06,0.0,0.0,168.2,168.2,168.2,0.0,0.0,168.57,168.57,168.57,0.0,0.0
2019-05-12,170.43,170.43,170.43,0.0,0.0,171.39,171.39,171.39,0.0,0.0,169.41,169.41,169.41,0.0,0.0,169.83,169.83,169.83,0.0,0.0
2019-05-19,169.7,169.7,169.7,0.0,0.0,170.3,170.3,170.3,0.0,0.0,168.7,168.7,168.7,0.0,0.0,168.78,168.78,168.78,0.0,0.0
2019-05-26,166.33,166.33,166.33,0.0,0.0,166.97,166.97,166.97,0.0,0.0,162.72,162.72,162.72,0.0,0.0,163.5,163.5,163.5,0.0,0.0
2019-06-02,176.1,176.1,176.1,0.0,0.0,177.81,177.81,177.81,0.0,0.0,175.8,175.8,175.8,0.0,0.0,176.54,176.54,176.54,0.0,0.0
2019-06-09,173.23,173.23,173.23,0.0,0.0,174.02,174.02,174.02,0.0,0.0,173.07,173.07,173.07,0.0,0.0,173.16,173.16,173.16,0.0,0.0
2019-06-16,179.57,179.57,179.57,0.0,0.0,180.06,180.06,180.06,0.0,0.0,179.37,179.37,179.37,0.0,0.0,179.43,179.43,179.43,0.0,0.0
2019-06-23,182.9,182.9,182.9,0.0,0.0,183.31,183.31,183.31,0.0,0.0,181.32,181.32,181.32,0.0,0.0,182.28,182.28,182.28,0.0,0.0
2019-06-30,181.07,181.07,181.07,0.0,0.0,181.8,181.8,181.8,0.0,0.0,180.53,180.53,180.53,0.0,0.0,181.15,181.15,181.15,0.0,0.0
2019-07-07,185.45,185.45,185.45,0.0,0.0,185.66,185.66,185.66,0.0,0.0,185.13,185.13,185.13,0.0,0.0,185.66,185.66,185.66,0.0,0.0
2019-07-14,184.8,184.8,184.8,0.0,0.0,186.35,186.35,186.35,0.0,0.0,184.76,184.76,184.76,0.0,0.0,186.23,186.23,186.23,0.0,0.0
2019-07-21,187.79,187.79,187.79,0.0,0.0,188.36,188.36,188.36,0.0,0.0,186.29,186.29,186.29,0.0,0.0,187.43,187.43,187.43,0.0,0.0
2019-07-28,175.25,175.25,175.25,0.0,0.0,175.25,175.25,175.25,0.0,0.0,171.32,171.32,171.32,0.0,0.0,172.67,172.67,172.67,0.0,0.0
2019-08-04,177.22,177.22,177.22,0.0,0.0,177.68,177.68,177.68,0.0,0.0,172.62,172.62,172.62,0.0,0.0,176.06,176.06,176.06,0.0,0.0
2019-08-11,180.13,180.13,180.13,0.0,0.0,180.56,180.56,180.56,0.0,0.0,179.28,179.28,179.28,0.0,0.0,180.01,180.01,180.01,0.0,0.0
2019-08-18,177.34,177.34,177.34,0.0,0.0,177.74,177.74,177.74,0.0,0.0,176.22,176.22,176.22,0.0,0.0,177.56,177.56,177.56,0.0,0.0
2019-08-25,181.61,181.61,181.61,0.0,0.0,181.61,181.61,181.61,0.0,0.0,179.48,179.48,179.48,0.0,0.0,180.61,180.61,180.61,0.0,0.0
2019-09-01,186.63,186.63,186.63,0.0,0.0,186.63,186.63,186.63,0.0,0.0,183.76,183.76,183.76,0.0,0.0,184.57,184.57,184.57,0.0,0.0
2019-09-08,184.18,184.18,184.18,0.0,0.0,185.18,185.18,185.18,0.0,0.0,183.94,183.94,183.94,0.0,0.0,184.79,184.79,184.79,0.0,0.0
2019-09-15,184.13,184.13,184.13,0.0,0.0,185.25,185.25,185.25,0.0,0.0,183.83,183.83,183.83,0.0,0.0,184.62,184.62,184.62,0.0,0.0
2019-09-22,183.64,183.64,183.64,0.0,0.0,185.22,185.22,185.22,0.0,0.0,183.64,183.64,183.64,0.0,0.0,184.97,184.97,184.97,0.0,0.0
2019-09-29,184.19,184.19,184.19,0.0,0.0,185.39,185.39,185.39,0.0,0.0,184.01,184.01,184.01,0.0,0.0,184.13,184.13,184.13,0.0,0.0
2019-10-06,187.89,187.89,187.89,0.0,0.0,188.36,188.36,188.36,0.0,0.0,187.19,187.19,187.19,0.0,0.0,187.7,187.7,187.7,0.0,0.0
2019-10-13,188.06,188.06,188.06,0.0,0.0,188.93,188.93,188.93,0.0,0.0,187.58,187.58,187.58,0.0,0.0,188.93,188.93,188.93,0.0,0.0
2019-10-20,192.45,192.45,192.45,0.0,0.0,193.34,193.34,193.34,0.0,0.0,192.45,192.45,192.45,0.0,0.0,193.34,193.34,193.34,0.0,0.0
2019-10-27,196.66,196.66,196.66,0.0,0.0,196.88,196.88,196.88,0.0,0.0,196.01,196.01,196.01,0.0,0.0,196.59,196.59,196.59,0.0,0.0
2019-11-03,196.92,196.92,196.92,0.0,0.0,198.25,198.25,198.25,0.0,0.0,196.4,196.4,196.4,0.0,0.0,198.06,198.06,198.06,0.0,0.0
2019-11-10,200.37,200.37,200.37,0.0,0.0,201.38,201.38,201.38,0.0,0.0,199.85,199.85,199.85,0.0,0.0,200.88,200.88,200.88,0.0,0.0
2019-11-17,199.73,199.73,199.73,0.0,0.0,201.74,201.74,201.74,0.0,0.0,199.73,199.73,199.73,0.0,0.0,201.74,201.74,201.74,0.0,0.0
2019-11-24,201.85,201.85,201.85,0.0,0.0,201.95,201.95,201.95,0.0,0.0,198.24,198.24,198.24,0.0,0.0,199.03,199.03,199.03,0.0,0.0
2019-12-01,201.43,201.43,201.43,0.0,0.0,202.23,202.23,202.23,0.0,0.0,200.74,200.74,200.74,0.0,0.0,200.74,200.74,200.74,0.0,0.0
2019-12-08,206.77,206.77,206.77,0.0,0.0,207.87,207.87,207.87,0.0,0.0,206.76,206.76,206.76,0.0,0.0,207.33,207.33,207.33,0.0,0.0
2019-12-15,209.34,209.34,209.34,0.0,0.0,209.75,209.75,209.75,0.0,0.0,209.07,209.07,209.07,0.0,0.0,209.48,209.48,209.48,0.0,0.0
2019-12-22,211.01,211.01,211.01,0.0,0.0,211.01,211.01,211.01,0.0,0.0,208.47,208.47,208.47,0.0,0.0,209.61,209.61,209.61,0.0,0.0
2019-12-29,211.08,211.08,211.08,0.0,0.0,212.87,212.87,212.87,0.0,0.0,211.08,211.08,211.08,0.0,0.0,211.6,211.6,211.6,0.0,0.0
