Date,PowerShares Global Listed Private Equity_Open_average,PowerShares Global Listed Private Equity_Open_max,PowerShares Global Listed Private Equity_Open_min,PowerShares Global Listed Private Equity_Open_volatility,PowerShares Global Listed Private Equity_Open_change,PowerShares Global Listed Private Equity_High_average,PowerShares Global Listed Private Equity_High_max,PowerShares Global Listed Private Equity_High_min,PowerShares Global Listed Private Equity_High_volatility,PowerShares Global Listed Private Equity_High_change,PowerShares Global Listed Private Equity_Low_average,PowerShares Global Listed Private Equity_Low_max,PowerShares Global Listed Private Equity_Low_min,PowerShares Global Listed Private Equity_Low_volatility,PowerShares Global Listed Private Equity_Low_change,PowerShares Global Listed Private Equity_Close_average,PowerShares Global Listed Private Equity_Close_max,PowerShares Global Listed Private Equity_Close_min,PowerShares Global Listed Private Equity_Close_volatility,PowerShares Global Listed Private Equity_Close_change
2018-03-25,12.04,12.04,12.04,0.0,0.0,12.05,12.05,12.05,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.91,11.91,11.91,0.0,0.0
2018-04-01,12.04,12.04,12.04,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.02,12.02,12.02,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2018-04-08,12.21,12.21,12.21,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2018-04-15,12.25,12.25,12.25,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2018-04-22,12.22,12.22,12.22,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2018-04-29,12.21,12.21,12.21,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2018-05-06,12.36,12.36,12.36,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-05-13,12.42,12.42,12.42,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.44,12.44,12.44,0.0,0.0
2018-05-20,12.27,12.27,12.27,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.24,12.24,12.24,0.0,0.0,12.26,12.26,12.26,0.0,0.0
2018-05-27,12.3,12.3,12.3,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-06-03,12.36,12.36,12.36,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.42,12.42,12.42,0.0,0.0
2018-06-10,12.27,12.27,12.27,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.28,12.28,12.28,0.0,0.0
2018-06-17,12.11,12.11,12.11,0.0,0.0,12.11,12.11,12.11,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.0,12.0,12.0,0.0,0.0
2018-06-24,11.88,11.88,11.88,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.85,11.85,11.85,0.0,0.0,12.0,12.0,12.0,0.0,0.0
2018-07-01,12.39,12.39,12.39,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2018-07-08,12.38,12.38,12.38,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2018-07-15,12.44,12.44,12.44,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2018-07-22,12.55,12.55,12.55,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-07-29,12.38,12.38,12.38,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.42,12.42,12.42,0.0,0.0
2018-08-05,12.3,12.3,12.3,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.33,12.33,12.33,0.0,0.0
2018-08-12,12.39,12.39,12.39,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2018-08-19,12.7,12.7,12.7,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2018-08-26,12.54,12.54,12.54,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.55,12.55,12.55,0.0,0.0
2018-09-02,12.28,12.28,12.28,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.33,12.33,12.33,0.0,0.0
2018-09-09,12.64,12.64,12.64,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2018-09-16,12.64,12.64,12.64,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2018-09-23,12.38,12.38,12.38,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2018-09-30,11.87,11.87,11.87,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.84,11.84,11.84,0.0,0.0
2018-10-07,11.35,11.35,11.35,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.33,11.33,11.33,0.0,0.0
2018-10-14,11.22,11.22,11.22,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.22,11.22,11.22,0.0,0.0,11.24,11.24,11.24,0.0,0.0
2018-10-21,10.91,10.91,10.91,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.7,10.7,10.7,0.0,0.0
2018-10-28,11.24,11.24,11.24,0.0,0.0,11.28,11.28,11.28,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.25,11.25,11.25,0.0,0.0
2018-11-04,11.12,11.12,11.12,0.0,0.0,11.12,11.12,11.12,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.93,10.93,10.93,0.0,0.0
2018-11-11,10.94,10.94,10.94,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2018-11-18,10.91,10.91,10.91,0.0,0.0,11.01,11.01,11.01,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-11-25,11.13,11.13,11.13,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.08,11.08,11.08,0.0,0.0,11.12,11.12,11.12,0.0,0.0
2018-12-02,10.41,10.41,10.41,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.36,10.36,10.36,0.0,0.0
2018-12-09,10.28,10.28,10.28,0.0,0.0,10.28,10.28,10.28,0.0,0.0,10.01,10.01,10.01,0.0,0.0,10.04,10.04,10.04,0.0,0.0
2018-12-16,9.73,9.73,9.73,0.0,0.0,9.84,9.84,9.84,0.0,0.0,9.72,9.72,9.72,0.0,0.0,9.72,9.72,9.72,0.0,0.0
2018-12-23,10.09,10.09,10.09,0.0,0.0,10.12,10.12,10.12,0.0,0.0,9.96,9.96,9.96,0.0,0.0,10.01,10.01,10.01,0.0,0.0
2018-12-30,10.28,10.28,10.28,0.0,0.0,10.42,10.42,10.42,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.38,10.38,10.38,0.0,0.0
2019-01-06,10.49,10.49,10.49,0.0,0.0,10.57,10.57,10.57,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.52,10.52,10.52,0.0,0.0
2019-01-13,10.85,10.85,10.85,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2019-01-20,10.87,10.87,10.87,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.88,10.88,10.88,0.0,0.0
2019-01-27,11.07,11.07,11.07,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.18,11.18,11.18,0.0,0.0
2019-02-03,11.07,11.07,11.07,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.09,11.09,11.09,0.0,0.0
2019-02-10,11.21,11.21,11.21,0.0,0.0,11.28,11.28,11.28,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.27,11.27,11.27,0.0,0.0
2019-02-17,11.5,11.5,11.5,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.43,11.43,11.43,0.0,0.0
2019-02-24,11.5,11.5,11.5,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.47,11.47,11.47,0.0,0.0
2019-03-03,11.2,11.2,11.2,0.0,0.0,11.32,11.32,11.32,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.27,11.27,11.27,0.0,0.0
2019-03-10,11.51,11.51,11.51,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.58,11.58,11.58,0.0,0.0
2019-03-17,11.32,11.32,11.32,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.29,11.29,11.29,0.0,0.0
2019-03-24,11.54,11.54,11.54,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.54,11.54,11.54,0.0,0.0,11.6,11.6,11.6,0.0,0.0
2019-03-31,11.73,11.73,11.73,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.72,11.72,11.72,0.0,0.0
2019-04-07,11.78,11.78,11.78,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.82,11.82,11.82,0.0,0.0
2019-04-14,11.88,11.88,11.88,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2019-04-21,12.07,12.07,12.07,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.12,12.12,12.12,0.0,0.0
2019-04-28,11.9,11.9,11.9,0.0,0.0,12.09,12.09,12.09,0.0,0.0,11.87,11.87,11.87,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2019-05-05,11.74,11.74,11.74,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.7,11.7,11.7,0.0,0.0
2019-05-12,11.83,11.83,11.83,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.85,11.85,11.85,0.0,0.0
2019-05-19,11.71,11.71,11.71,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.69,11.69,11.69,0.0,0.0
2019-05-26,11.44,11.44,11.44,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.39,11.39,11.39,0.0,0.0,11.43,11.43,11.43,0.0,0.0
2019-06-02,11.78,11.78,11.78,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2019-06-09,11.84,11.84,11.84,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2019-06-16,11.88,11.88,11.88,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.83,11.83,11.83,0.0,0.0,11.85,11.85,11.85,0.0,0.0
2019-06-23,12.08,12.08,12.08,0.0,0.0,12.11,12.11,12.11,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2019-06-30,12.05,12.05,12.05,0.0,0.0,12.07,12.07,12.07,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2019-07-07,12.1,12.1,12.1,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2019-07-14,11.95,11.95,11.95,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.95,11.95,11.95,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2019-07-21,12.18,12.18,12.18,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.1,12.1,12.1,0.0,0.0,12.12,12.12,12.12,0.0,0.0
2019-07-28,11.51,11.51,11.51,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.4,11.4,11.4,0.0,0.0
2019-08-04,11.63,11.63,11.63,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.51,11.51,11.51,0.0,0.0
2019-08-11,11.55,11.55,11.55,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.54,11.54,11.54,0.0,0.0,11.55,11.55,11.55,0.0,0.0
2019-08-18,11.7,11.7,11.7,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2019-08-25,11.81,11.81,11.81,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2019-09-01,12.19,12.19,12.19,0.0,0.0,12.24,12.24,12.24,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2019-09-08,12.27,12.27,12.27,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.24,12.24,12.24,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2019-09-15,12.12,12.12,12.12,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2019-09-22,11.89,11.89,11.89,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.82,11.82,11.82,0.0,0.0
2019-09-29,11.49,11.49,11.49,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.44,11.44,11.44,0.0,0.0,11.5,11.5,11.5,0.0,0.0
2019-10-06,11.71,11.71,11.71,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.7,11.7,11.7,0.0,0.0
2019-10-13,11.99,11.99,11.99,0.0,0.0,12.1,12.1,12.1,0.0,0.0,11.99,11.99,11.99,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2019-10-20,12.05,12.05,12.05,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.12,12.12,12.12,0.0,0.0
2019-10-27,12.31,12.31,12.31,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2019-11-03,12.21,12.21,12.21,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.27,12.27,12.27,0.0,0.0
2019-11-10,12.37,12.37,12.37,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.36,12.36,12.36,0.0,0.0
2019-11-17,12.39,12.39,12.39,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2019-11-24,12.58,12.58,12.58,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2019-12-01,12.62,12.62,12.62,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.61,12.61,12.61,0.0,0.0
2019-12-08,12.88,12.88,12.88,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.95,12.95,12.95,0.0,0.0
2019-12-15,12.63,12.63,12.63,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.59,12.59,12.59,0.0,0.0,12.62,12.62,12.62,0.0,0.0
2019-12-22,12.77,12.77,12.77,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2019-12-29,12.73,12.73,12.73,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.77,12.77,12.77,0.0,0.0
