Date,ProShares UltraShort IndustrialsEtf_Open_average,ProShares UltraShort IndustrialsEtf_Open_max,ProShares UltraShort IndustrialsEtf_Open_min,ProShares UltraShort IndustrialsEtf_Open_volatility,ProShares UltraShort IndustrialsEtf_Open_change,ProShares UltraShort IndustrialsEtf_High_average,ProShares UltraShort IndustrialsEtf_High_max,ProShares UltraShort IndustrialsEtf_High_min,ProShares UltraShort IndustrialsEtf_High_volatility,ProShares UltraShort IndustrialsEtf_High_change,ProShares UltraShort IndustrialsEtf_Low_average,ProShares UltraShort IndustrialsEtf_Low_max,ProShares UltraShort IndustrialsEtf_Low_min,ProShares UltraShort IndustrialsEtf_Low_volatility,ProShares UltraShort IndustrialsEtf_Low_change,ProShares UltraShort IndustrialsEtf_Close_average,ProShares UltraShort IndustrialsEtf_Close_max,ProShares UltraShort IndustrialsEtf_Close_min,ProShares UltraShort IndustrialsEtf_Close_volatility,ProShares UltraShort IndustrialsEtf_Close_change
2018-09-16,13.85,13.85,13.85,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.69,13.69,13.69,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2018-09-23,14.19,14.19,14.19,0.0,0.0,14.3,14.3,14.3,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.29,14.29,14.29,0.0,0.0
2018-09-30,13.48,13.48,13.48,0.0,0.0,14.4,14.4,14.4,0.0,0.0,13.48,13.48,13.48,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2018-10-07,15.67,15.67,15.67,0.0,0.0,16.74,16.74,16.74,0.0,0.0,15.67,15.67,15.67,0.0,0.0,16.33,16.33,16.33,0.0,0.0
2018-10-14,15.93,15.93,15.93,0.0,0.0,16.57,16.57,16.57,0.0,0.0,15.93,15.93,15.93,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2018-10-21,18.37,18.37,18.37,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2018-10-28,16.66,16.66,16.66,0.0,0.0,17.4,17.4,17.4,0.0,0.0,16.66,16.66,16.66,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2018-11-04,16.18,16.18,16.18,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.59,16.59,16.59,0.0,0.0
2018-11-11,16.76,16.76,16.76,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.74,16.74,16.74,0.0,0.0
2018-11-18,17.9,17.9,17.9,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-11-25,16.66,16.66,16.66,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2018-12-02,17.46,17.46,17.46,0.0,0.0,18.22,18.22,18.22,0.0,0.0,17.37,17.37,17.37,0.0,0.0,18.11,18.11,18.11,0.0,0.0
2018-12-09,18.76,18.76,18.76,0.0,0.0,19.05,19.05,19.05,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2018-12-16,20.6,20.6,20.6,0.0,0.0,21.87,21.87,21.87,0.0,0.0,20.6,20.6,20.6,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2018-12-23,19.77,19.77,19.77,0.0,0.0,20.51,20.51,20.51,0.0,0.0,19.77,19.77,19.77,0.0,0.0,20.51,20.51,20.51,0.0,0.0
2018-12-30,20.56,20.56,20.56,0.0,0.0,20.56,20.56,20.56,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2019-01-06,18.05,18.05,18.05,0.0,0.0,18.05,18.05,18.05,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2019-01-13,17.37,17.37,17.37,0.0,0.0,17.37,17.37,17.37,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.82,16.82,16.82,0.0,0.0
2019-01-20,16.6,16.6,16.6,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2019-01-27,16.0,16.0,16.0,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2019-02-03,15.92,15.92,15.92,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2019-02-10,14.56,14.56,14.56,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2019-02-17,14.26,14.26,14.26,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.18,14.18,14.18,0.0,0.0
2019-02-24,13.9,13.9,13.9,0.0,0.0,14.22,14.22,14.22,0.0,0.0,13.9,13.9,13.9,0.0,0.0,14.08,14.08,14.08,0.0,0.0
2019-03-03,15.06,15.06,15.06,0.0,0.0,15.13,15.13,15.13,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2019-03-10,14.38,14.38,14.38,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2019-03-17,14.5,14.5,14.5,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2019-03-24,14.01,14.01,14.01,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.01,14.01,14.01,0.0,0.0,14.05,14.05,14.05,0.0,0.0
2019-03-31,13.4,13.4,13.4,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2019-04-07,13.3,13.3,13.3,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2019-04-14,13.1,13.1,13.1,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.98,12.98,12.98,0.0,0.0,13.07,13.07,13.07,0.0,0.0
2019-04-21,13.26,13.26,13.26,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.31,13.31,13.31,0.0,0.0
2019-04-28,13.01,13.01,13.01,0.0,0.0,13.01,13.01,13.01,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.94,12.94,12.94,0.0,0.0
2019-05-05,13.76,13.76,13.76,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2019-05-12,13.98,13.98,13.98,0.0,0.0,13.98,13.98,13.98,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.96,13.96,13.96,0.0,0.0
2019-05-19,14.16,14.16,14.16,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2019-05-26,14.79,14.79,14.79,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2019-06-02,13.4,13.4,13.4,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2019-06-09,13.55,13.55,13.55,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2019-06-16,12.73,12.73,12.73,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2019-06-23,12.82,12.82,12.82,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2019-06-30,12.52,12.52,12.52,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2019-07-07,12.75,12.75,12.75,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2019-07-14,12.58,12.58,12.58,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.62,12.62,12.62,0.0,0.0
2019-07-21,12.52,12.52,12.52,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2019-07-28,13.17,13.17,13.17,0.0,0.0,13.32,13.32,13.32,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2019-08-04,13.08,13.08,13.08,0.0,0.0,13.22,13.22,13.22,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2019-08-11,13.56,13.56,13.56,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.4,13.4,13.4,0.0,0.0
2019-08-18,13.12,13.12,13.12,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2019-08-25,12.83,12.83,12.83,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.9,12.9,12.9,0.0,0.0
2019-09-01,12.4,12.4,12.4,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.48,12.48,12.48,0.0,0.0
2019-09-08,11.92,11.92,11.92,0.0,0.0,12.08,12.08,12.08,0.0,0.0,11.92,11.92,11.92,0.0,0.0,12.05,12.05,12.05,0.0,0.0
2019-09-15,12.29,12.29,12.29,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2019-09-22,12.34,12.34,12.34,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2019-09-29,13.13,13.13,13.13,0.0,0.0,13.13,13.13,13.13,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.91,12.91,12.91,0.0,0.0
2019-10-06,12.66,12.66,12.66,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2019-10-13,12.45,12.45,12.45,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2019-10-20,12.08,12.08,12.08,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.02,12.02,12.02,0.0,0.0,12.06,12.06,12.06,0.0,0.0
2019-10-27,12.1,12.1,12.1,0.0,0.0,12.1,12.1,12.1,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.68,11.68,11.68,0.0,0.0
2019-11-03,11.36,11.36,11.36,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.35,11.35,11.35,0.0,0.0,11.39,11.39,11.39,0.0,0.0
2019-11-10,11.04,11.04,11.04,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.04,11.04,11.04,0.0,0.0,11.11,11.11,11.11,0.0,0.0
2019-11-17,11.3,11.3,11.3,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.3,11.3,11.3,0.0,0.0
2019-11-24,11.06,11.06,11.06,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.06,11.06,11.06,0.0,0.0
2019-12-01,11.25,11.25,11.25,0.0,0.0,11.25,11.25,11.25,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.23,11.23,11.23,0.0,0.0
2019-12-08,11.0,11.0,11.0,0.0,0.0,11.08,11.08,11.08,0.0,0.0,10.96,10.96,10.96,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2019-12-15,10.97,10.97,10.97,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2019-12-22,10.82,10.82,10.82,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.8,10.8,10.8,0.0,0.0,10.88,10.88,10.88,0.0,0.0
2019-12-29,10.81,10.81,10.81,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.74,10.74,10.74,0.0,0.0
