Date,SPDR S&P Global Natural Resources_Open_average,SPDR S&P Global Natural Resources_Open_max,SPDR S&P Global Natural Resources_Open_min,SPDR S&P Global Natural Resources_Open_volatility,SPDR S&P Global Natural Resources_Open_change,SPDR S&P Global Natural Resources_High_average,SPDR S&P Global Natural Resources_High_max,SPDR S&P Global Natural Resources_High_min,SPDR S&P Global Natural Resources_High_volatility,SPDR S&P Global Natural Resources_High_change,SPDR S&P Global Natural Resources_Low_average,SPDR S&P Global Natural Resources_Low_max,SPDR S&P Global Natural Resources_Low_min,SPDR S&P Global Natural Resources_Low_volatility,SPDR S&P Global Natural Resources_Low_change,SPDR S&P Global Natural Resources_Close_average,SPDR S&P Global Natural Resources_Close_max,SPDR S&P Global Natural Resources_Close_min,SPDR S&P Global Natural Resources_Close_volatility,SPDR S&P Global Natural Resources_Close_change
2018-03-25,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-04-01,48.25,48.25,48.25,0.0,0.0,48.64,48.64,48.64,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-04-08,50.2,50.2,50.2,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-04-15,51.04,51.04,51.04,0.0,0.0,51.21,51.21,51.21,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2018-04-22,50.68,50.68,50.68,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-04-29,50.92,50.92,50.92,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2018-05-06,52.58,52.58,52.58,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2018-05-13,52.97,52.97,52.97,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.91,52.91,52.91,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2018-05-20,51.38,51.38,51.38,0.0,0.0,51.38,51.38,51.38,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-05-27,51.49,51.49,51.49,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2018-06-03,51.96,51.96,51.96,0.0,0.0,52.26,52.26,52.26,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-06-10,50.18,50.18,50.18,0.0,0.0,50.62,50.62,50.62,0.0,0.0,49.54,49.54,49.54,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-06-17,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-06-24,49.56,49.56,49.56,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-07-01,50.41,50.41,50.41,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-07-08,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-07-15,48.9,48.9,48.9,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2018-07-22,50.25,50.25,50.25,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-07-29,49.97,49.97,49.97,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-08-05,49.0,49.0,49.0,0.0,0.0,49.16,49.16,49.16,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-08-12,48.09,48.09,48.09,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.06,48.06,48.06,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2018-08-19,49.1,49.1,49.1,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-08-26,49.0,49.0,49.0,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-09-02,47.73,47.73,47.73,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2018-09-09,48.72,48.72,48.72,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-09-16,50.76,50.76,50.76,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-09-23,50.77,50.77,50.77,0.0,0.0,51.03,51.03,51.03,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-09-30,49.67,49.67,49.67,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.61,49.61,49.61,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-10-07,48.05,48.05,48.05,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-10-14,47.6,47.6,47.6,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2018-10-21,45.58,45.58,45.58,0.0,0.0,45.67,45.67,45.67,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-10-28,47.01,47.01,47.01,0.0,0.0,47.23,47.23,47.23,0.0,0.0,46.8,46.8,46.8,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-11-04,46.43,46.43,46.43,0.0,0.0,46.43,46.43,46.43,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-11-11,45.94,45.94,45.94,0.0,0.0,46.04,46.04,46.04,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-11-18,44.12,44.12,44.12,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-11-25,45.64,45.64,45.64,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2018-12-02,43.25,43.25,43.25,0.0,0.0,43.33,43.33,43.33,0.0,0.0,42.52,42.52,42.52,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2018-12-09,43.18,43.18,43.18,0.0,0.0,43.32,43.32,43.32,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2018-12-16,40.14,40.14,40.14,0.0,0.0,40.41,40.41,40.41,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-12-23,41.18,41.18,41.18,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.83,40.83,40.83,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-12-30,42.42,42.42,42.42,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2019-01-06,43.26,43.26,43.26,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2019-01-13,44.15,44.15,44.15,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2019-01-20,43.63,43.63,43.63,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2019-01-27,45.16,45.16,45.16,0.0,0.0,45.34,45.34,45.34,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2019-02-03,44.41,44.41,44.41,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2019-02-10,45.46,45.46,45.46,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2019-02-17,46.47,46.47,46.47,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2019-02-24,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2019-03-03,45.04,45.04,45.04,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2019-03-10,46.28,46.28,46.28,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2019-03-17,45.52,45.52,45.52,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2019-03-24,46.94,46.94,46.94,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.94,46.94,46.94,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2019-03-31,47.89,47.89,47.89,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2019-04-07,47.68,47.68,47.68,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2019-04-14,47.27,47.27,47.27,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2019-04-21,46.29,46.29,46.29,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2019-04-28,45.06,45.06,45.06,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2019-05-05,44.21,44.21,44.21,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2019-05-12,44.01,44.01,44.01,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2019-05-19,43.38,43.38,43.38,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2019-05-26,42.05,42.05,42.05,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.29,42.29,42.29,0.0,0.0
2019-06-02,43.47,43.47,43.47,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2019-06-09,43.9,43.9,43.9,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2019-06-16,45.55,45.55,45.55,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2019-06-23,46.32,46.32,46.32,0.0,0.0,46.42,46.42,46.42,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2019-06-30,45.46,45.46,45.46,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2019-07-07,45.56,45.56,45.56,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2019-07-14,45.36,45.36,45.36,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2019-07-21,45.13,45.13,45.13,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.84,44.84,44.84,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2019-07-28,42.33,42.33,42.33,0.0,0.0,42.33,42.33,42.33,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2019-08-04,41.98,41.98,41.98,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2019-08-11,41.29,41.29,41.29,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2019-08-18,40.69,40.69,40.69,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2019-08-25,41.81,41.81,41.81,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2019-09-01,42.9,42.9,42.9,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2019-09-08,44.69,44.69,44.69,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.61,44.61,44.61,0.0,0.0
2019-09-15,43.76,43.76,43.76,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.88,43.88,43.88,0.0,0.0
2019-09-22,43.06,43.06,43.06,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.02,43.02,43.02,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2019-09-29,42.01,42.01,42.01,0.0,0.0,42.29,42.29,42.29,0.0,0.0,41.94,41.94,41.94,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2019-10-06,42.93,42.93,42.93,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2019-10-13,43.29,43.29,43.29,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2019-10-20,44.41,44.41,44.41,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2019-10-27,45.14,45.14,45.14,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2019-11-03,45.03,45.03,45.03,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2019-11-10,44.88,44.88,44.88,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2019-11-17,44.82,44.82,44.82,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2019-11-24,44.68,44.68,44.68,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.55,44.55,44.55,0.0,0.0
2019-12-01,44.96,44.96,44.96,0.0,0.0,45.17,45.17,45.17,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2019-12-08,46.62,46.62,46.62,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2019-12-15,45.56,45.56,45.56,0.0,0.0,45.87,45.87,45.87,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2019-12-22,46.3,46.3,46.3,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2019-12-29,46.1,46.1,46.1,0.0,0.0,46.31,46.31,46.31,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.94,45.94,45.94,0.0,0.0
