Date,iShares Global High Yield Corporate Bond_etf_Open_average,iShares Global High Yield Corporate Bond_etf_Open_max,iShares Global High Yield Corporate Bond_etf_Open_min,iShares Global High Yield Corporate Bond_etf_Open_volatility,iShares Global High Yield Corporate Bond_etf_Open_change,iShares Global High Yield Corporate Bond_etf_High_average,iShares Global High Yield Corporate Bond_etf_High_max,iShares Global High Yield Corporate Bond_etf_High_min,iShares Global High Yield Corporate Bond_etf_High_volatility,iShares Global High Yield Corporate Bond_etf_High_change,iShares Global High Yield Corporate Bond_etf_Low_average,iShares Global High Yield Corporate Bond_etf_Low_max,iShares Global High Yield Corporate Bond_etf_Low_min,iShares Global High Yield Corporate Bond_etf_Low_volatility,iShares Global High Yield Corporate Bond_etf_Low_change,iShares Global High Yield Corporate Bond_etf_Close_average,iShares Global High Yield Corporate Bond_etf_Close_max,iShares Global High Yield Corporate Bond_etf_Close_min,iShares Global High Yield Corporate Bond_etf_Close_volatility,iShares Global High Yield Corporate Bond_etf_Close_change
2018-09-23,49.52,49.52,49.52,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-09-30,49.11,49.11,49.11,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-10-07,48.88,48.88,48.88,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-10-14,48.74,48.74,48.74,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-10-21,48.19,48.19,48.19,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-10-28,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-11-04,48.29,48.29,48.29,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-11-11,47.55,47.55,47.55,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2018-11-18,47.25,47.25,47.25,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.18,47.18,47.18,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2018-11-25,47.44,47.44,47.44,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.49,47.49,47.49,0.0,0.0
2018-12-02,47.23,47.23,47.23,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-12-09,47.11,47.11,47.11,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-12-16,45.79,45.79,45.79,0.0,0.0,45.87,45.87,45.87,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.51,45.51,45.51,0.0,0.0
2018-12-23,46.12,46.12,46.12,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2018-12-30,46.38,46.38,46.38,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.34,46.34,46.34,0.0,0.0
2019-01-06,47.33,47.33,47.33,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.29,47.29,47.29,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2019-01-13,47.6,47.6,47.6,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2019-01-20,47.59,47.59,47.59,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2019-01-27,47.91,47.91,47.91,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2019-02-03,47.77,47.77,47.77,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2019-02-10,48.24,48.24,48.24,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2019-02-17,48.36,48.36,48.36,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2019-02-24,48.61,48.61,48.61,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2019-03-03,48.36,48.36,48.36,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.17,48.17,48.17,0.0,0.0
2019-03-10,48.6,48.6,48.6,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2019-03-17,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.61,48.61,48.61,0.0,0.0
2019-03-24,48.84,48.84,48.84,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2019-03-31,48.82,48.82,48.82,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2019-04-07,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2019-04-14,49.2,49.2,49.2,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2019-04-21,49.03,49.03,49.03,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2019-04-28,48.95,48.95,48.95,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2019-05-05,48.66,48.66,48.66,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2019-05-12,48.39,48.39,48.39,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2019-05-19,48.52,48.52,48.52,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2019-05-26,48.39,48.39,48.39,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2019-06-02,48.4,48.4,48.4,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2019-06-09,48.59,48.59,48.59,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2019-06-16,49.26,49.26,49.26,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2019-06-23,49.37,49.37,49.37,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2019-06-30,49.11,49.11,49.11,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.04,49.04,49.04,0.0,0.0
2019-07-07,49.13,49.13,49.13,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2019-07-14,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2019-07-21,49.15,49.15,49.15,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2019-07-28,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2019-08-04,48.65,48.65,48.65,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2019-08-11,48.28,48.28,48.28,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2019-08-18,48.8,48.8,48.8,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2019-08-25,49.03,49.03,49.03,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2019-09-01,49.04,49.04,49.04,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2019-09-08,49.11,49.11,49.11,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.04,49.04,49.04,0.0,0.0
2019-09-15,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2019-09-22,48.79,48.79,48.79,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2019-09-29,48.42,48.42,48.42,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.56,48.56,48.56,0.0,0.0
2019-10-06,48.66,48.66,48.66,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2019-10-13,49.09,49.09,49.09,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2019-10-20,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2019-10-27,48.94,48.94,48.94,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2019-11-03,48.9,48.9,48.9,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2019-11-10,48.92,48.92,48.92,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.92,48.92,48.92,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2019-11-17,48.79,48.79,48.79,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2019-11-24,49.1,49.1,49.1,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2019-12-01,49.05,49.05,49.05,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2019-12-08,49.53,49.53,49.53,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2019-12-15,49.68,49.68,49.68,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2019-12-22,49.78,49.78,49.78,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2019-12-29,49.84,49.84,49.84,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.95,49.95,49.95,0.0,0.0
