Date,Deep Value_Open_average,Deep Value_Open_max,Deep Value_Open_min,Deep Value_Open_volatility,Deep Value_Open_change,Deep Value_High_average,Deep Value_High_max,Deep Value_High_min,Deep Value_High_volatility,Deep Value_High_change,Deep Value_Low_average,Deep Value_Low_max,Deep Value_Low_min,Deep Value_Low_volatility,Deep Value_Low_change,Deep Value_Close_average,Deep Value_Close_max,Deep Value_Close_min,Deep Value_Close_volatility,Deep Value_Close_change
2018-03-25,33.8,33.8,33.8,0.0,0.0,33.8,33.8,33.8,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-04-01,33.58,33.58,33.58,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-04-08,33.8,33.8,33.8,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-04-15,33.58,33.58,33.58,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-04-22,34.68,34.68,34.68,0.0,0.0,34.68,34.68,34.68,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-04-29,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-05-06,33.32,33.32,33.32,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-05-13,34.62,34.62,34.62,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-05-20,35.05,35.05,35.05,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-05-27,35.55,35.55,35.55,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2018-06-03,36.98,36.98,36.98,0.0,0.0,37.26,37.26,37.26,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.21,37.21,37.21,0.0,0.0
