Date,QuantShares US Market Neutral Momentum_Open_average,QuantShares US Market Neutral Momentum_Open_max,QuantShares US Market Neutral Momentum_Open_min,QuantShares US Market Neutral Momentum_Open_volatility,QuantShares US Market Neutral Momentum_Open_change,QuantShares US Market Neutral Momentum_High_average,QuantShares US Market Neutral Momentum_High_max,QuantShares US Market Neutral Momentum_High_min,QuantShares US Market Neutral Momentum_High_volatility,QuantShares US Market Neutral Momentum_High_change,QuantShares US Market Neutral Momentum_Low_average,QuantShares US Market Neutral Momentum_Low_max,QuantShares US Market Neutral Momentum_Low_min,QuantShares US Market Neutral Momentum_Low_volatility,QuantShares US Market Neutral Momentum_Low_change,QuantShares US Market Neutral Momentum_Close_average,QuantShares US Market Neutral Momentum_Close_max,QuantShares US Market Neutral Momentum_Close_min,QuantShares US Market Neutral Momentum_Close_volatility,QuantShares US Market Neutral Momentum_Close_change
2019-03-03,23.76,23.76,23.76,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2019-03-10,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2019-03-17,24.0,24.0,24.0,0.0,0.0,24.13,24.13,24.13,0.0,0.0,23.87,23.87,23.87,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2019-03-24,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2019-03-31,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-04-07,23.36,23.36,23.36,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2019-04-14,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-04-21,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2019-04-28,23.94,23.94,23.94,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2019-05-05,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2019-05-12,24.71,24.71,24.71,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2019-05-19,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2019-05-26,25.47,25.47,25.47,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2019-06-02,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2019-06-09,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2019-06-16,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2019-06-23,24.42,24.42,24.42,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2019-06-30,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2019-07-07,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2019-07-14,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2019-07-21,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2019-07-28,25.7,25.7,25.7,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2019-08-04,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2019-08-11,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2019-08-18,27.29,27.29,27.29,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2019-08-25,27.12,27.12,27.12,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.96,26.96,26.96,0.0,0.0
2019-09-01,26.15,26.15,26.15,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2019-09-08,23.66,23.66,23.66,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2019-09-15,24.97,24.97,24.97,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2019-09-22,24.99,24.99,24.99,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2019-09-29,25.74,25.74,25.74,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2019-10-06,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2019-10-13,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2019-10-20,23.65,23.65,23.65,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2019-10-27,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2019-11-03,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2019-11-10,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.88,23.88,23.88,0.0,0.0
2019-11-17,23.71,23.71,23.71,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2019-11-24,23.69,23.69,23.69,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2019-12-01,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.57,23.57,23.57,0.0,0.0
2019-12-08,23.1,23.1,23.1,0.0,0.0,23.1,23.1,23.1,0.0,0.0,22.99,22.99,22.99,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2019-12-15,23.11,23.11,23.11,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2019-12-22,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2019-12-29,23.19,23.19,23.19,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.36,23.36,23.36,0.0,0.0
