Date,iShares MSCI Denmark Capped_Open_average,iShares MSCI Denmark Capped_Open_max,iShares MSCI Denmark Capped_Open_min,iShares MSCI Denmark Capped_Open_volatility,iShares MSCI Denmark Capped_Open_change,iShares MSCI Denmark Capped_High_average,iShares MSCI Denmark Capped_High_max,iShares MSCI Denmark Capped_High_min,iShares MSCI Denmark Capped_High_volatility,iShares MSCI Denmark Capped_High_change,iShares MSCI Denmark Capped_Low_average,iShares MSCI Denmark Capped_Low_max,iShares MSCI Denmark Capped_Low_min,iShares MSCI Denmark Capped_Low_volatility,iShares MSCI Denmark Capped_Low_change,iShares MSCI Denmark Capped_Close_average,iShares MSCI Denmark Capped_Close_max,iShares MSCI Denmark Capped_Close_min,iShares MSCI Denmark Capped_Close_volatility,iShares MSCI Denmark Capped_Close_change
2018-04-15,67.92,67.92,67.92,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.87,67.87,67.87,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2018-04-22,66.97,66.97,66.97,0.0,0.0,67.12,67.12,67.12,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.92,66.92,66.92,0.0,0.0
2018-04-29,68.33,68.33,68.33,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.33,68.33,68.33,0.0,0.0,68.35,68.35,68.35,0.0,0.0
2018-05-06,69.6,69.6,69.6,0.0,0.0,69.67,69.67,69.67,0.0,0.0,69.33,69.33,69.33,0.0,0.0,69.46,69.46,69.46,0.0,0.0
2018-05-13,68.19,68.19,68.19,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.86,67.86,67.86,0.0,0.0
2018-05-20,66.79,66.79,66.79,0.0,0.0,66.98,66.98,66.98,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2018-05-27,67.38,67.38,67.38,0.0,0.0,67.38,67.38,67.38,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.04,67.04,67.04,0.0,0.0
2018-06-03,66.34,66.34,66.34,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.64,66.64,66.64,0.0,0.0
2018-06-10,65.71,65.71,65.71,0.0,0.0,65.81,65.81,65.81,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.81,65.81,65.81,0.0,0.0
2018-06-17,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,64.88,64.88,64.88,0.0,0.0,64.97,64.97,64.97,0.0,0.0
2018-06-24,63.58,63.58,63.58,0.0,0.0,63.76,63.76,63.76,0.0,0.0,63.46,63.46,63.46,0.0,0.0,63.76,63.76,63.76,0.0,0.0
2018-07-01,65.64,65.64,65.64,0.0,0.0,65.64,65.64,65.64,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.58,65.58,65.58,0.0,0.0
2018-07-08,66.6,66.6,66.6,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.42,66.42,66.42,0.0,0.0
2018-07-15,67.3,67.3,67.3,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.21,67.21,67.21,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-07-22,68.26,68.26,68.26,0.0,0.0,68.47,68.47,68.47,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-07-29,66.9,66.9,66.9,0.0,0.0,67.16,67.16,67.16,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.82,66.82,66.82,0.0,0.0
2018-08-05,64.96,64.96,64.96,0.0,0.0,65.26,65.26,65.26,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2018-08-12,65.27,65.27,65.27,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.41,65.41,65.41,0.0,0.0
2018-08-19,68.03,68.03,68.03,0.0,0.0,68.3,68.3,68.3,0.0,0.0,68.03,68.03,68.03,0.0,0.0,68.3,68.3,68.3,0.0,0.0
2018-08-26,67.78,67.78,67.78,0.0,0.0,67.78,67.78,67.78,0.0,0.0,67.23,67.23,67.23,0.0,0.0,67.6,67.6,67.6,0.0,0.0
2018-09-02,65.84,65.84,65.84,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.71,65.71,65.71,0.0,0.0
2018-09-09,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0
2018-09-16,65.57,65.57,65.57,0.0,0.0,65.78,65.78,65.78,0.0,0.0,65.46,65.46,65.46,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-09-23,64.98,64.98,64.98,0.0,0.0,64.98,64.98,64.98,0.0,0.0,64.63,64.63,64.63,0.0,0.0,64.66,64.66,64.66,0.0,0.0
2018-09-30,59.19,59.19,59.19,0.0,0.0,60.12,60.12,60.12,0.0,0.0,59.19,59.19,59.19,0.0,0.0,60.12,60.12,60.12,0.0,0.0
2018-10-07,59.0,59.0,59.0,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2018-10-14,59.44,59.44,59.44,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.44,59.44,59.44,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-10-21,57.85,57.85,57.85,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2018-10-28,58.93,58.93,58.93,0.0,0.0,59.34,59.34,59.34,0.0,0.0,58.86,58.86,58.86,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2018-11-04,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.17,59.17,59.17,0.0,0.0,59.51,59.51,59.51,0.0,0.0
2018-11-11,59.08,59.08,59.08,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2018-11-18,58.96,58.96,58.96,0.0,0.0,59.2,59.2,59.2,0.0,0.0,58.96,58.96,58.96,0.0,0.0,59.16,59.16,59.16,0.0,0.0
2018-11-25,59.06,59.06,59.06,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-12-02,58.41,58.41,58.41,0.0,0.0,58.52,58.52,58.52,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2018-12-09,58.59,58.59,58.59,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-12-16,55.63,55.63,55.63,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2018-12-23,57.0,57.0,57.0,0.0,0.0,57.06,57.06,57.06,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.81,56.81,56.81,0.0,0.0
2018-12-30,58.68,58.68,58.68,0.0,0.0,59.18,59.18,59.18,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2019-01-06,58.66,58.66,58.66,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2019-01-13,58.99,58.99,58.99,0.0,0.0,59.3,59.3,59.3,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.06,59.06,59.06,0.0,0.0
2019-01-20,58.74,58.74,58.74,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.79,58.79,58.79,0.0,0.0
2019-01-27,59.91,59.91,59.91,0.0,0.0,60.01,60.01,60.01,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.97,59.97,59.97,0.0,0.0
2019-02-03,59.5,59.5,59.5,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.43,59.43,59.43,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2019-02-10,60.94,60.94,60.94,0.0,0.0,61.13,61.13,61.13,0.0,0.0,60.75,60.75,60.75,0.0,0.0,61.13,61.13,61.13,0.0,0.0
2019-02-17,61.64,61.64,61.64,0.0,0.0,61.7,61.7,61.7,0.0,0.0,61.6,61.6,61.6,0.0,0.0,61.63,61.63,61.63,0.0,0.0
2019-02-24,62.43,62.43,62.43,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2019-03-03,61.34,61.34,61.34,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.61,61.61,61.61,0.0,0.0
2019-03-10,63.6,63.6,63.6,0.0,0.0,63.8,63.8,63.8,0.0,0.0,63.6,63.6,63.6,0.0,0.0,63.71,63.71,63.71,0.0,0.0
2019-03-17,62.66,62.66,62.66,0.0,0.0,62.9,62.9,62.9,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.77,62.77,62.77,0.0,0.0
2019-03-24,63.54,63.54,63.54,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.68,63.68,63.68,0.0,0.0
2019-03-31,64.35,64.35,64.35,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2019-04-07,64.64,64.64,64.64,0.0,0.0,64.67,64.67,64.67,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.67,64.67,64.67,0.0,0.0
2019-04-14,63.92,63.92,63.92,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.78,63.78,63.78,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2019-04-21,64.04,64.04,64.04,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.04,64.04,64.04,0.0,0.0,64.36,64.36,64.36,0.0,0.0
2019-04-28,62.47,62.47,62.47,0.0,0.0,63.12,63.12,63.12,0.0,0.0,62.12,62.12,62.12,0.0,0.0,63.12,63.12,63.12,0.0,0.0
2019-05-05,62.02,62.02,62.02,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.83,61.83,61.83,0.0,0.0,61.95,61.95,61.95,0.0,0.0
2019-05-12,61.73,61.73,61.73,0.0,0.0,61.73,61.73,61.73,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.7,61.7,61.7,0.0,0.0
2019-05-19,62.89,62.89,62.89,0.0,0.0,63.21,63.21,63.21,0.0,0.0,62.89,62.89,62.89,0.0,0.0,63.21,63.21,63.21,0.0,0.0
2019-05-26,61.2,61.2,61.2,0.0,0.0,61.78,61.78,61.78,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.73,61.73,61.73,0.0,0.0
2019-06-02,62.92,62.92,62.92,0.0,0.0,63.44,63.44,63.44,0.0,0.0,62.92,62.92,62.92,0.0,0.0,63.33,63.33,63.33,0.0,0.0
2019-06-09,61.82,61.82,61.82,0.0,0.0,62.23,62.23,62.23,0.0,0.0,61.67,61.67,61.67,0.0,0.0,61.7,61.7,61.7,0.0,0.0
2019-06-16,62.5,62.5,62.5,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.45,62.45,62.45,0.0,0.0,62.52,62.52,62.52,0.0,0.0
2019-06-23,62.92,62.92,62.92,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.93,62.93,62.93,0.0,0.0
2019-06-30,62.19,62.19,62.19,0.0,0.0,62.19,62.19,62.19,0.0,0.0,62.14,62.14,62.14,0.0,0.0,62.14,62.14,62.14,0.0,0.0
2019-07-07,61.48,61.48,61.48,0.0,0.0,61.65,61.65,61.65,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2019-07-14,61.43,61.43,61.43,0.0,0.0,61.54,61.54,61.54,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2019-07-21,61.51,61.51,61.51,0.0,0.0,61.6,61.6,61.6,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.51,61.51,61.51,0.0,0.0
2019-07-28,59.82,59.82,59.82,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.15,59.15,59.15,0.0,0.0,59.18,59.18,59.18,0.0,0.0
2019-08-04,60.32,60.32,60.32,0.0,0.0,60.32,60.32,60.32,0.0,0.0,59.91,59.91,59.91,0.0,0.0,59.92,59.92,59.92,0.0,0.0
2019-08-11,60.43,60.43,60.43,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.36,60.36,60.36,0.0,0.0
2019-08-18,61.0,61.0,61.0,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2019-08-25,60.99,60.99,60.99,0.0,0.0,61.11,61.11,61.11,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.8,60.8,60.8,0.0,0.0
2019-09-01,61.99,61.99,61.99,0.0,0.0,61.99,61.99,61.99,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.67,61.67,61.67,0.0,0.0
2019-09-08,61.06,61.06,61.06,0.0,0.0,61.12,61.12,61.12,0.0,0.0,60.97,60.97,60.97,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2019-09-15,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2019-09-22,60.85,60.85,60.85,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2019-09-29,60.06,60.06,60.06,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2019-10-06,60.69,60.69,60.69,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.66,60.66,60.66,0.0,0.0
2019-10-13,61.66,61.66,61.66,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.58,61.58,61.58,0.0,0.0
2019-10-20,62.34,62.34,62.34,0.0,0.0,62.86,62.86,62.86,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.84,62.84,62.84,0.0,0.0
2019-10-27,64.37,64.37,64.37,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.17,64.17,64.17,0.0,0.0
2019-11-03,64.67,64.67,64.67,0.0,0.0,64.79,64.79,64.79,0.0,0.0,64.64,64.64,64.64,0.0,0.0,64.77,64.77,64.77,0.0,0.0
2019-11-10,65.2,65.2,65.2,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.2,65.2,65.2,0.0,0.0,65.36,65.36,65.36,0.0,0.0
2019-11-17,65.09,65.09,65.09,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.28,65.28,65.28,0.0,0.0
2019-11-24,65.76,65.76,65.76,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.68,65.68,65.68,0.0,0.0
2019-12-01,66.57,66.57,66.57,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2019-12-08,68.32,68.32,68.32,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.32,68.32,68.32,0.0,0.0,68.39,68.39,68.39,0.0,0.0
2019-12-15,68.25,68.25,68.25,0.0,0.0,68.31,68.31,68.31,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2019-12-22,68.87,68.87,68.87,0.0,0.0,68.87,68.87,68.87,0.0,0.0,68.51,68.51,68.51,0.0,0.0,68.51,68.51,68.51,0.0,0.0
2019-12-29,67.51,67.51,67.51,0.0,0.0,67.95,67.95,67.95,0.0,0.0,67.51,67.51,67.51,0.0,0.0,67.63,67.63,67.63,0.0,0.0
