Date,ProShares UltraPro Financial Select Sector_Open_average,ProShares UltraPro Financial Select Sector_Open_max,ProShares UltraPro Financial Select Sector_Open_min,ProShares UltraPro Financial Select Sector_Open_volatility,ProShares UltraPro Financial Select Sector_Open_change,ProShares UltraPro Financial Select Sector_High_average,ProShares UltraPro Financial Select Sector_High_max,ProShares UltraPro Financial Select Sector_High_min,ProShares UltraPro Financial Select Sector_High_volatility,ProShares UltraPro Financial Select Sector_High_change,ProShares UltraPro Financial Select Sector_Low_average,ProShares UltraPro Financial Select Sector_Low_max,ProShares UltraPro Financial Select Sector_Low_min,ProShares UltraPro Financial Select Sector_Low_volatility,ProShares UltraPro Financial Select Sector_Low_change,ProShares UltraPro Financial Select Sector_Close_average,ProShares UltraPro Financial Select Sector_Close_max,ProShares UltraPro Financial Select Sector_Close_min,ProShares UltraPro Financial Select Sector_Close_volatility,ProShares UltraPro Financial Select Sector_Close_change
2018-05-20,97.74,97.74,97.74,0.0,0.0,98.15,98.15,98.15,0.0,0.0,96.8,96.8,96.8,0.0,0.0,97.5,97.5,97.5,0.0,0.0
2018-05-27,94.23,94.23,94.23,0.0,0.0,94.98,94.98,94.98,0.0,0.0,93.95,93.95,93.95,0.0,0.0,94.35,94.35,94.35,0.0,0.0
2018-06-03,100.6,100.6,100.6,0.0,0.0,101.3,101.3,101.3,0.0,0.0,99.12,99.12,99.12,0.0,0.0,99.19,99.19,99.19,0.0,0.0
2018-06-10,91.36,91.36,91.36,0.0,0.0,93.79,93.79,93.79,0.0,0.0,91.36,91.36,91.36,0.0,0.0,93.79,93.79,93.79,0.0,0.0
2018-06-17,89.19,89.19,89.19,0.0,0.0,89.19,89.19,89.19,0.0,0.0,85.3,85.3,85.3,0.0,0.0,87.13,87.13,87.13,0.0,0.0
2018-06-24,82.78,82.78,82.78,0.0,0.0,86.3,86.3,86.3,0.0,0.0,82.78,82.78,82.78,0.0,0.0,86.3,86.3,86.3,0.0,0.0
2018-07-01,87.1,87.1,87.1,0.0,0.0,91.67,91.67,91.67,0.0,0.0,87.1,87.1,87.1,0.0,0.0,91.34,91.34,91.34,0.0,0.0
2018-07-08,90.36,90.36,90.36,0.0,0.0,93.0,93.0,93.0,0.0,0.0,90.07,90.07,90.07,0.0,0.0,92.92,92.92,92.92,0.0,0.0
2018-07-15,95.0,95.0,95.0,0.0,0.0,97.98,97.98,97.98,0.0,0.0,95.0,95.0,95.0,0.0,0.0,97.56,97.56,97.56,0.0,0.0
2018-07-22,101.31,101.31,101.31,0.0,0.0,101.84,101.84,101.84,0.0,0.0,99.54,99.54,99.54,0.0,0.0,99.61,99.61,99.61,0.0,0.0
2018-07-29,99.55,99.55,99.55,0.0,0.0,101.54,101.54,101.54,0.0,0.0,99.45,99.45,99.45,0.0,0.0,100.71,100.71,100.71,0.0,0.0
2018-08-05,97.47,97.47,97.47,0.0,0.0,97.7,97.7,97.7,0.0,0.0,94.8,94.8,94.8,0.0,0.0,94.8,94.8,94.8,0.0,0.0
2018-08-12,98.83,98.83,98.83,0.0,0.0,100.62,100.62,100.62,0.0,0.0,98.83,98.83,98.83,0.0,0.0,100.44,100.44,100.44,0.0,0.0
2018-08-19,100.9,100.9,100.9,0.0,0.0,104.87,104.87,104.87,0.0,0.0,100.9,100.9,100.9,0.0,0.0,104.08,104.08,104.08,0.0,0.0
2018-08-26,100.37,100.37,100.37,0.0,0.0,100.9,100.9,100.9,0.0,0.0,99.18,99.18,99.18,0.0,0.0,100.9,100.9,100.9,0.0,0.0
2018-09-02,101.03,101.03,101.03,0.0,0.0,101.25,101.25,101.25,0.0,0.0,100.51,100.51,100.51,0.0,0.0,100.51,100.51,100.51,0.0,0.0
2018-09-09,99.0,99.0,99.0,0.0,0.0,100.06,100.06,100.06,0.0,0.0,98.13,98.13,98.13,0.0,0.0,98.13,98.13,98.13,0.0,0.0
2018-09-16,104.1,104.1,104.1,0.0,0.0,104.1,104.1,104.1,0.0,0.0,102.85,102.85,102.85,0.0,0.0,102.85,102.85,102.85,0.0,0.0
2018-09-23,95.08,95.08,95.08,0.0,0.0,96.22,96.22,96.22,0.0,0.0,93.73,93.73,93.73,0.0,0.0,94.23,94.23,94.23,0.0,0.0
2018-09-30,97.04,97.04,97.04,0.0,0.0,100.42,100.42,100.42,0.0,0.0,97.04,97.04,97.04,0.0,0.0,99.67,99.67,99.67,0.0,0.0
2018-10-07,82.11,82.11,82.11,0.0,0.0,82.81,82.81,82.81,0.0,0.0,80.6,80.6,80.6,0.0,0.0,81.25,81.25,81.25,0.0,0.0
2018-10-14,83.71,83.71,83.71,0.0,0.0,83.71,83.71,83.71,0.0,0.0,78.38,78.38,78.38,0.0,0.0,78.38,78.38,78.38,0.0,0.0
2018-10-21,75.38,75.38,75.38,0.0,0.0,75.75,75.75,75.75,0.0,0.0,70.89,70.89,70.89,0.0,0.0,72.11,72.11,72.11,0.0,0.0
2018-10-28,80.46,80.46,80.46,0.0,0.0,84.41,84.41,84.41,0.0,0.0,80.46,80.46,80.46,0.0,0.0,83.51,83.51,83.51,0.0,0.0
2018-11-04,86.14,86.14,86.14,0.0,0.0,86.14,86.14,86.14,0.0,0.0,81.27,81.27,81.27,0.0,0.0,81.27,81.27,81.27,0.0,0.0
2018-11-11,82.97,82.97,82.97,0.0,0.0,83.74,83.74,83.74,0.0,0.0,81.34,81.34,81.34,0.0,0.0,82.88,82.88,82.88,0.0,0.0
2018-11-18,78.5,78.5,78.5,0.0,0.0,81.17,81.17,81.17,0.0,0.0,78.34,78.34,78.34,0.0,0.0,80.59,80.59,80.59,0.0,0.0
2018-11-25,87.74,87.74,87.74,0.0,0.0,88.6,88.6,88.6,0.0,0.0,85.3,85.3,85.3,0.0,0.0,85.67,85.67,85.67,0.0,0.0
2018-12-02,66.47,66.47,66.47,0.0,0.0,66.5,66.5,66.5,0.0,0.0,60.84,60.84,60.84,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2018-12-09,58.95,58.95,58.95,0.0,0.0,61.4,61.4,61.4,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-12-16,48.98,48.98,48.98,0.0,0.0,50.41,50.41,50.41,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2018-12-23,56.75,56.75,56.75,0.0,0.0,57.7,57.7,57.7,0.0,0.0,55.5,55.5,55.5,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-12-30,59.77,59.77,59.77,0.0,0.0,61.8,61.8,61.8,0.0,0.0,59.01,59.01,59.01,0.0,0.0,60.58,60.58,60.58,0.0,0.0
2019-01-06,59.8,59.8,59.8,0.0,0.0,63.56,63.56,63.56,0.0,0.0,58.53,58.53,58.53,0.0,0.0,63.04,63.04,63.04,0.0,0.0
2019-01-13,71.53,71.53,71.53,0.0,0.0,73.67,73.67,73.67,0.0,0.0,70.88,70.88,70.88,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2019-01-20,71.45,71.45,71.45,0.0,0.0,73.06,73.06,73.06,0.0,0.0,70.63,70.63,70.63,0.0,0.0,72.9,72.9,72.9,0.0,0.0
2019-01-27,73.92,73.92,73.92,0.0,0.0,74.74,74.74,74.74,0.0,0.0,72.88,72.88,72.88,0.0,0.0,74.74,74.74,74.74,0.0,0.0
2019-02-03,71.21,71.21,71.21,0.0,0.0,71.4,71.4,71.4,0.0,0.0,70.44,70.44,70.44,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2019-02-10,75.38,75.38,75.38,0.0,0.0,76.53,76.53,76.53,0.0,0.0,75.38,75.38,75.38,0.0,0.0,76.53,76.53,76.53,0.0,0.0
2019-02-17,79.44,79.44,79.44,0.0,0.0,79.97,79.97,79.97,0.0,0.0,77.55,77.55,77.55,0.0,0.0,77.75,77.75,77.75,0.0,0.0
2019-02-24,78.88,78.88,78.88,0.0,0.0,80.7,80.7,80.7,0.0,0.0,75.52,75.52,75.52,0.0,0.0,77.02,77.02,77.02,0.0,0.0
2019-03-03,73.29,73.29,73.29,0.0,0.0,75.19,75.19,75.19,0.0,0.0,73.29,73.29,73.29,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2019-03-10,79.59,79.59,79.59,0.0,0.0,82.0,82.0,82.0,0.0,0.0,79.59,79.59,79.59,0.0,0.0,81.34,81.34,81.34,0.0,0.0
2019-03-17,67.32,67.32,67.32,0.0,0.0,68.57,68.57,68.57,0.0,0.0,65.57,65.57,65.57,0.0,0.0,66.7,66.7,66.7,0.0,0.0
2019-03-24,71.86,71.86,71.86,0.0,0.0,75.72,75.72,75.72,0.0,0.0,71.86,71.86,71.86,0.0,0.0,75.55,75.55,75.55,0.0,0.0
2019-03-31,76.86,76.86,76.86,0.0,0.0,77.84,77.84,77.84,0.0,0.0,76.86,76.86,76.86,0.0,0.0,77.84,77.84,77.84,0.0,0.0
2019-04-07,82.48,82.48,82.48,0.0,0.0,82.48,82.48,82.48,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2019-04-14,83.43,83.43,83.43,0.0,0.0,83.61,83.61,83.61,0.0,0.0,82.56,82.56,82.56,0.0,0.0,83.32,83.32,83.32,0.0,0.0
2019-04-21,88.0,88.0,88.0,0.0,0.0,90.9,90.9,90.9,0.0,0.0,88.0,88.0,88.0,0.0,0.0,89.82,89.82,89.82,0.0,0.0
2019-04-28,84.6,84.6,84.6,0.0,0.0,89.45,89.45,89.45,0.0,0.0,84.6,84.6,84.6,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2019-05-05,79.39,79.39,79.39,0.0,0.0,79.77,79.77,79.77,0.0,0.0,76.89,76.89,76.89,0.0,0.0,77.37,77.37,77.37,0.0,0.0
2019-05-12,78.79,78.79,78.79,0.0,0.0,79.95,79.95,79.95,0.0,0.0,78.5,78.5,78.5,0.0,0.0,79.46,79.46,79.46,0.0,0.0
2019-05-19,78.06,78.06,78.06,0.0,0.0,78.34,78.34,78.34,0.0,0.0,77.0,77.0,77.0,0.0,0.0,78.34,78.34,78.34,0.0,0.0
2019-05-26,71.58,71.58,71.58,0.0,0.0,73.3,73.3,73.3,0.0,0.0,71.35,71.35,71.35,0.0,0.0,72.53,72.53,72.53,0.0,0.0
2019-06-02,83.1,83.1,83.1,0.0,0.0,84.08,84.08,84.08,0.0,0.0,82.5,82.5,82.5,0.0,0.0,82.51,82.51,82.51,0.0,0.0
2019-06-09,81.45,81.45,81.45,0.0,0.0,81.54,81.54,81.54,0.0,0.0,78.93,78.93,78.93,0.0,0.0,78.95,78.95,78.95,0.0,0.0
2019-06-16,81.63,81.63,81.63,0.0,0.0,83.07,83.07,83.07,0.0,0.0,81.06,81.06,81.06,0.0,0.0,81.06,81.06,81.06,0.0,0.0
2019-06-23,87.89,87.89,87.89,0.0,0.0,89.16,89.16,89.16,0.0,0.0,86.99,86.99,86.99,0.0,0.0,88.31,88.31,88.31,0.0,0.0
2019-06-30,88.89,88.89,88.89,0.0,0.0,89.64,89.64,89.64,0.0,0.0,88.4,88.4,88.4,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2019-07-07,90.86,90.86,90.86,0.0,0.0,90.86,90.86,90.86,0.0,0.0,89.53,89.53,89.53,0.0,0.0,89.87,89.87,89.87,0.0,0.0
2019-07-14,87.1,87.1,87.1,0.0,0.0,88.69,88.69,88.69,0.0,0.0,87.1,87.1,87.1,0.0,0.0,88.3,88.3,88.3,0.0,0.0
2019-07-21,94.34,94.34,94.34,0.0,0.0,94.97,94.97,94.97,0.0,0.0,92.72,92.72,92.72,0.0,0.0,92.72,92.72,92.72,0.0,0.0
2019-07-28,78.44,78.44,78.44,0.0,0.0,79.05,79.05,79.05,0.0,0.0,74.73,74.73,74.73,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2019-08-04,76.95,76.95,76.95,0.0,0.0,77.6,77.6,77.6,0.0,0.0,75.05,75.05,75.05,0.0,0.0,75.36,75.36,75.36,0.0,0.0
2019-08-11,77.28,77.28,77.28,0.0,0.0,77.28,77.28,77.28,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.51,76.51,76.51,0.0,0.0
2019-08-18,70.09,70.09,70.09,0.0,0.0,71.66,71.66,71.66,0.0,0.0,70.09,70.09,70.09,0.0,0.0,71.66,71.66,71.66,0.0,0.0
2019-08-25,76.4,76.4,76.4,0.0,0.0,77.3,77.3,77.3,0.0,0.0,76.39,76.39,76.39,0.0,0.0,76.69,76.69,76.69,0.0,0.0
2019-09-01,83.09,83.09,83.09,0.0,0.0,84.84,84.84,84.84,0.0,0.0,83.09,83.09,83.09,0.0,0.0,84.68,84.68,84.68,0.0,0.0
2019-09-08,87.35,87.35,87.35,0.0,0.0,89.41,89.41,89.41,0.0,0.0,87.35,87.35,87.35,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2019-09-15,86.81,86.81,86.81,0.0,0.0,88.34,88.34,88.34,0.0,0.0,86.81,86.81,86.81,0.0,0.0,88.16,88.16,88.16,0.0,0.0
2019-09-22,86.7,86.7,86.7,0.0,0.0,86.73,86.73,86.73,0.0,0.0,86.7,86.7,86.7,0.0,0.0,86.73,86.73,86.73,0.0,0.0
2019-09-29,79.77,79.77,79.77,0.0,0.0,81.07,81.07,81.07,0.0,0.0,79.64,79.64,79.64,0.0,0.0,80.42,80.42,80.42,0.0,0.0
2019-10-06,81.46,81.46,81.46,0.0,0.0,83.02,83.02,83.02,0.0,0.0,81.46,81.46,81.46,0.0,0.0,83.02,83.02,83.02,0.0,0.0
2019-10-13,88.85,88.85,88.85,0.0,0.0,90.19,90.19,90.19,0.0,0.0,88.85,88.85,88.85,0.0,0.0,90.19,90.19,90.19,0.0,0.0
2019-10-20,92.77,92.77,92.77,0.0,0.0,93.75,93.75,93.75,0.0,0.0,92.77,92.77,92.77,0.0,0.0,93.13,93.13,93.13,0.0,0.0
2019-10-27,98.05,98.05,98.05,0.0,0.0,98.7,98.7,98.7,0.0,0.0,97.71,97.71,97.71,0.0,0.0,98.3,98.3,98.3,0.0,0.0
2019-11-03,101.5,101.5,101.5,0.0,0.0,102.34,102.34,102.34,0.0,0.0,101.5,101.5,101.5,0.0,0.0,102.1,102.1,102.1,0.0,0.0
2019-11-10,102.16,102.16,102.16,0.0,0.0,102.51,102.51,102.51,0.0,0.0,101.11,101.11,101.11,0.0,0.0,102.51,102.51,102.51,0.0,0.0
2019-11-17,105.44,105.44,105.44,0.0,0.0,105.51,105.51,105.51,0.0,0.0,104.83,104.83,104.83,0.0,0.0,105.43,105.43,105.43,0.0,0.0
2019-11-24,106.87,106.87,106.87,0.0,0.0,106.87,106.87,106.87,0.0,0.0,103.65,103.65,103.65,0.0,0.0,103.65,103.65,103.65,0.0,0.0
2019-12-01,107.13,107.13,107.13,0.0,0.0,107.59,107.59,107.59,0.0,0.0,107.13,107.13,107.13,0.0,0.0,107.17,107.17,107.17,0.0,0.0
2019-12-08,113.46,113.46,113.46,0.0,0.0,114.34,114.34,114.34,0.0,0.0,112.45,112.45,112.45,0.0,0.0,112.45,112.45,112.45,0.0,0.0
2019-12-15,112.89,112.89,112.89,0.0,0.0,112.94,112.94,112.94,0.0,0.0,112.0,112.0,112.0,0.0,0.0,112.0,112.0,112.0,0.0,0.0
2019-12-22,114.6,114.6,114.6,0.0,0.0,114.6,114.6,114.6,0.0,0.0,112.11,112.11,112.11,0.0,0.0,112.39,112.39,112.39,0.0,0.0
2019-12-29,111.74,111.74,111.74,0.0,0.0,114.21,114.21,114.21,0.0,0.0,111.14,111.14,111.14,0.0,0.0,112.91,112.91,112.91,0.0,0.0
