Date,iShares GovernmentCredit Bond_Open_average,iShares GovernmentCredit Bond_Open_max,iShares GovernmentCredit Bond_Open_min,iShares GovernmentCredit Bond_Open_volatility,iShares GovernmentCredit Bond_Open_change,iShares GovernmentCredit Bond_High_average,iShares GovernmentCredit Bond_High_max,iShares GovernmentCredit Bond_High_min,iShares GovernmentCredit Bond_High_volatility,iShares GovernmentCredit Bond_High_change,iShares GovernmentCredit Bond_Low_average,iShares GovernmentCredit Bond_Low_max,iShares GovernmentCredit Bond_Low_min,iShares GovernmentCredit Bond_Low_volatility,iShares GovernmentCredit Bond_Low_change,iShares GovernmentCredit Bond_Close_average,iShares GovernmentCredit Bond_Close_max,iShares GovernmentCredit Bond_Close_min,iShares GovernmentCredit Bond_Close_volatility,iShares GovernmentCredit Bond_Close_change
2018-12-02,109.33,109.33,109.33,0.0,0.0,109.51,109.51,109.51,0.0,0.0,109.23,109.23,109.23,0.0,0.0,109.45,109.45,109.45,0.0,0.0
2018-12-09,109.79,109.79,109.79,0.0,0.0,109.87,109.87,109.87,0.0,0.0,109.72,109.72,109.72,0.0,0.0,109.74,109.74,109.74,0.0,0.0
2018-12-16,110.07,110.07,110.07,0.0,0.0,110.07,110.07,110.07,0.0,0.0,109.8,109.8,109.8,0.0,0.0,109.8,109.8,109.8,0.0,0.0
2018-12-23,109.93,109.93,109.93,0.0,0.0,110.2,110.2,110.2,0.0,0.0,109.93,109.93,109.93,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2018-12-30,110.71,110.71,110.71,0.0,0.0,110.71,110.71,110.71,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.65,110.65,110.65,0.0,0.0
2019-01-06,110.69,110.69,110.69,0.0,0.0,110.74,110.74,110.74,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.61,110.61,110.61,0.0,0.0
2019-01-13,110.37,110.37,110.37,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2019-01-20,110.9,110.9,110.9,0.0,0.0,110.91,110.91,110.91,0.0,0.0,110.77,110.77,110.77,0.0,0.0,110.91,110.91,110.91,0.0,0.0
2019-01-27,111.21,111.21,111.21,0.0,0.0,111.32,111.32,111.32,0.0,0.0,111.21,111.21,111.21,0.0,0.0,111.27,111.27,111.27,0.0,0.0
2019-02-03,111.81,111.81,111.81,0.0,0.0,111.83,111.83,111.83,0.0,0.0,111.71,111.71,111.71,0.0,0.0,111.71,111.71,111.71,0.0,0.0
2019-02-10,111.39,111.39,111.39,0.0,0.0,111.6,111.6,111.6,0.0,0.0,111.39,111.39,111.39,0.0,0.0,111.48,111.48,111.48,0.0,0.0
2019-02-17,111.5,111.5,111.5,0.0,0.0,111.67,111.67,111.67,0.0,0.0,111.5,111.5,111.5,0.0,0.0,111.64,111.64,111.64,0.0,0.0
2019-02-24,111.04,111.04,111.04,0.0,0.0,111.04,111.04,111.04,0.0,0.0,110.81,110.81,110.81,0.0,0.0,110.86,110.86,110.86,0.0,0.0
2019-03-03,111.59,111.59,111.59,0.0,0.0,111.7,111.7,111.7,0.0,0.0,111.55,111.55,111.55,0.0,0.0,111.7,111.7,111.7,0.0,0.0
2019-03-10,111.99,111.99,111.99,0.0,0.0,112.01,112.01,112.01,0.0,0.0,111.75,111.75,111.75,0.0,0.0,111.75,111.75,111.75,0.0,0.0
2019-03-17,112.89,112.89,112.89,0.0,0.0,113.12,113.12,113.12,0.0,0.0,112.89,112.89,112.89,0.0,0.0,113.07,113.07,113.07,0.0,0.0
2019-03-24,113.41,113.41,113.41,0.0,0.0,113.55,113.55,113.55,0.0,0.0,113.41,113.41,113.41,0.0,0.0,113.51,113.51,113.51,0.0,0.0
2019-03-31,112.65,112.65,112.65,0.0,0.0,112.85,112.85,112.85,0.0,0.0,112.65,112.65,112.65,0.0,0.0,112.77,112.77,112.77,0.0,0.0
2019-04-07,112.82,112.82,112.82,0.0,0.0,112.82,112.82,112.82,0.0,0.0,112.74,112.74,112.74,0.0,0.0,112.79,112.79,112.79,0.0,0.0
2019-04-14,112.77,112.77,112.77,0.0,0.0,112.8,112.8,112.8,0.0,0.0,112.75,112.75,112.75,0.0,0.0,112.78,112.78,112.78,0.0,0.0
2019-04-21,113.23,113.23,113.23,0.0,0.0,113.37,113.37,113.37,0.0,0.0,113.23,113.23,113.23,0.0,0.0,113.33,113.33,113.33,0.0,0.0
2019-04-28,113.01,113.01,113.01,0.0,0.0,113.01,113.01,113.01,0.0,0.0,112.82,112.82,112.82,0.0,0.0,112.91,112.91,112.91,0.0,0.0
2019-05-05,113.39,113.39,113.39,0.0,0.0,113.39,113.39,113.39,0.0,0.0,113.16,113.16,113.16,0.0,0.0,113.22,113.22,113.22,0.0,0.0
2019-05-12,113.75,113.75,113.75,0.0,0.0,113.75,113.75,113.75,0.0,0.0,113.58,113.58,113.58,0.0,0.0,113.66,113.66,113.66,0.0,0.0
2019-05-19,114.06,114.06,114.06,0.0,0.0,114.27,114.27,114.27,0.0,0.0,113.74,113.74,113.74,0.0,0.0,113.97,113.97,113.97,0.0,0.0
2019-05-26,114.86,114.86,114.86,0.0,0.0,115.34,115.34,115.34,0.0,0.0,114.86,114.86,114.86,0.0,0.0,115.2,115.2,115.2,0.0,0.0
2019-06-02,115.53,115.53,115.53,0.0,0.0,115.59,115.59,115.59,0.0,0.0,115.37,115.37,115.37,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2019-06-09,115.5,115.5,115.5,0.0,0.0,115.61,115.61,115.61,0.0,0.0,115.48,115.48,115.48,0.0,0.0,115.52,115.52,115.52,0.0,0.0
2019-06-16,116.21,116.21,116.21,0.0,0.0,116.21,116.21,116.21,0.0,0.0,116.1,116.1,116.1,0.0,0.0,116.18,116.18,116.18,0.0,0.0
2019-06-23,116.5,116.5,116.5,0.0,0.0,116.65,116.65,116.65,0.0,0.0,116.5,116.5,116.5,0.0,0.0,116.57,116.57,116.57,0.0,0.0
2019-06-30,116.13,116.13,116.13,0.0,0.0,116.39,116.39,116.39,0.0,0.0,116.13,116.13,116.13,0.0,0.0,116.28,116.28,116.28,0.0,0.0
2019-07-07,115.69,115.69,115.69,0.0,0.0,115.81,115.81,115.81,0.0,0.0,115.58,115.58,115.58,0.0,0.0,115.75,115.75,115.75,0.0,0.0
2019-07-14,116.32,116.32,116.32,0.0,0.0,116.37,116.37,116.37,0.0,0.0,116.26,116.26,116.26,0.0,0.0,116.27,116.27,116.27,0.0,0.0
2019-07-21,116.33,116.33,116.33,0.0,0.0,116.33,116.33,116.33,0.0,0.0,116.19,116.19,116.19,0.0,0.0,116.3,116.3,116.3,0.0,0.0
2019-07-28,117.26,117.26,117.26,0.0,0.0,117.42,117.42,117.42,0.0,0.0,117.22,117.22,117.22,0.0,0.0,117.42,117.42,117.42,0.0,0.0
2019-08-04,118.48,118.48,118.48,0.0,0.0,118.59,118.59,118.59,0.0,0.0,118.2,118.2,118.2,0.0,0.0,118.23,118.23,118.23,0.0,0.0
2019-08-11,119.58,119.58,119.58,0.0,0.0,119.71,119.71,119.71,0.0,0.0,119.36,119.36,119.36,0.0,0.0,119.65,119.65,119.65,0.0,0.0
2019-08-18,119.74,119.74,119.74,0.0,0.0,119.95,119.95,119.95,0.0,0.0,119.74,119.74,119.74,0.0,0.0,119.85,119.85,119.85,0.0,0.0
2019-08-25,119.96,119.96,119.96,0.0,0.0,120.16,120.16,120.16,0.0,0.0,119.87,119.87,119.87,0.0,0.0,120.16,120.16,120.16,0.0,0.0
2019-09-01,119.57,119.57,119.57,0.0,0.0,119.65,119.65,119.65,0.0,0.0,119.55,119.55,119.55,0.0,0.0,119.65,119.65,119.65,0.0,0.0
2019-09-08,117.55,117.55,117.55,0.0,0.0,117.55,117.55,117.55,0.0,0.0,117.06,117.06,117.06,0.0,0.0,117.06,117.06,117.06,0.0,0.0
2019-09-15,118.28,118.28,118.28,0.0,0.0,118.53,118.53,118.53,0.0,0.0,118.22,118.22,118.22,0.0,0.0,118.53,118.53,118.53,0.0,0.0
2019-09-22,118.8,118.8,118.8,0.0,0.0,118.84,118.84,118.84,0.0,0.0,118.71,118.71,118.71,0.0,0.0,118.75,118.75,118.75,0.0,0.0
2019-09-29,119.79,119.79,119.79,0.0,0.0,119.83,119.83,119.83,0.0,0.0,119.79,119.79,119.79,0.0,0.0,119.83,119.83,119.83,0.0,0.0
2019-10-06,118.45,118.45,118.45,0.0,0.0,118.45,118.45,118.45,0.0,0.0,118.13,118.13,118.13,0.0,0.0,118.19,118.19,118.19,0.0,0.0
2019-10-13,118.49,118.49,118.49,0.0,0.0,118.52,118.52,118.52,0.0,0.0,118.43,118.43,118.43,0.0,0.0,118.44,118.44,118.44,0.0,0.0
2019-10-20,118.57,118.57,118.57,0.0,0.0,118.57,118.57,118.57,0.0,0.0,118.13,118.13,118.13,0.0,0.0,118.16,118.16,118.16,0.0,0.0
2019-10-27,118.66,118.66,118.66,0.0,0.0,118.66,118.66,118.66,0.0,0.0,118.33,118.33,118.33,0.0,0.0,118.56,118.56,118.56,0.0,0.0
2019-11-03,117.12,117.12,117.12,0.0,0.0,117.26,117.26,117.26,0.0,0.0,117.12,117.12,117.12,0.0,0.0,117.16,117.16,117.16,0.0,0.0
2019-11-10,118.04,118.04,118.04,0.0,0.0,118.05,118.05,118.05,0.0,0.0,117.97,117.97,117.97,0.0,0.0,117.97,117.97,117.97,0.0,0.0
2019-11-17,118.44,118.44,118.44,0.0,0.0,118.46,118.46,118.46,0.0,0.0,118.43,118.43,118.43,0.0,0.0,118.43,118.43,118.43,0.0,0.0
2019-11-24,118.53,118.53,118.53,0.0,0.0,118.62,118.62,118.62,0.0,0.0,118.52,118.52,118.52,0.0,0.0,118.62,118.62,118.62,0.0,0.0
2019-12-01,117.98,117.98,117.98,0.0,0.0,118.24,118.24,118.24,0.0,0.0,117.98,117.98,117.98,0.0,0.0,118.1,118.1,118.1,0.0,0.0
2019-12-08,118.21,118.21,118.21,0.0,0.0,118.51,118.51,118.51,0.0,0.0,118.21,118.21,118.21,0.0,0.0,118.42,118.42,118.42,0.0,0.0
2019-12-15,117.57,117.57,117.57,0.0,0.0,117.66,117.66,117.66,0.0,0.0,117.57,117.57,117.57,0.0,0.0,117.65,117.65,117.65,0.0,0.0
2019-12-22,118.0,118.0,118.0,0.0,0.0,118.03,118.03,118.03,0.0,0.0,117.98,117.98,117.98,0.0,0.0,118.03,118.03,118.03,0.0,0.0
2019-12-29,118.34,118.34,118.34,0.0,0.0,118.57,118.57,118.57,0.0,0.0,118.28,118.28,118.28,0.0,0.0,118.57,118.57,118.57,0.0,0.0
