Date,ProShares Decline of the Retail Store_Open_average,ProShares Decline of the Retail Store_Open_max,ProShares Decline of the Retail Store_Open_min,ProShares Decline of the Retail Store_Open_volatility,ProShares Decline of the Retail Store_Open_change,ProShares Decline of the Retail Store_High_average,ProShares Decline of the Retail Store_High_max,ProShares Decline of the Retail Store_High_min,ProShares Decline of the Retail Store_High_volatility,ProShares Decline of the Retail Store_High_change,ProShares Decline of the Retail Store_Low_average,ProShares Decline of the Retail Store_Low_max,ProShares Decline of the Retail Store_Low_min,ProShares Decline of the Retail Store_Low_volatility,ProShares Decline of the Retail Store_Low_change,ProShares Decline of the Retail Store_Close_average,ProShares Decline of the Retail Store_Close_max,ProShares Decline of the Retail Store_Close_min,ProShares Decline of the Retail Store_Close_volatility,ProShares Decline of the Retail Store_Close_change
2018-07-01,31.42,31.42,31.42,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-07-08,31.86,31.86,31.86,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2018-07-15,31.3,31.3,31.3,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-07-22,31.72,31.72,31.72,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-07-29,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-08-05,30.9,30.9,30.9,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-08-12,30.14,30.14,30.14,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-08-19,30.03,30.03,30.03,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-08-26,30.22,30.22,30.22,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-09-02,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-09-09,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-09-16,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-09-23,30.01,30.01,30.01,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-09-30,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-10-07,31.89,31.89,31.89,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-10-14,33.35,33.35,33.35,0.0,0.0,33.35,33.35,33.35,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.62,32.62,32.62,0.0,0.0
2018-10-21,32.52,32.52,32.52,0.0,0.0,32.52,32.52,32.52,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-10-28,31.5,31.5,31.5,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-11-04,30.66,30.66,30.66,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-11-11,32.37,32.37,32.37,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-11-18,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-11-25,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-12-02,35.0,35.0,35.0,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-12-09,36.5,36.5,36.5,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.25,36.25,36.25,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2018-12-16,39.51,39.51,39.51,0.0,0.0,40.43,40.43,40.43,0.0,0.0,38.7,38.7,38.7,0.0,0.0,39.26,39.26,39.26,0.0,0.0
2018-12-23,36.73,36.73,36.73,0.0,0.0,36.98,36.98,36.98,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-12-30,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2019-01-06,34.53,34.53,34.53,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2019-01-13,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2019-01-20,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2019-01-27,34.97,34.97,34.97,0.0,0.0,34.97,34.97,34.97,0.0,0.0,33.77,33.77,33.77,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2019-02-03,34.54,34.54,34.54,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2019-02-10,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-02-17,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2019-02-24,33.37,33.37,33.37,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2019-03-03,34.4,34.4,34.4,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2019-03-10,35.4,35.4,35.4,0.0,0.0,35.4,35.4,35.4,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2019-03-17,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2019-03-24,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2019-03-31,33.46,33.46,33.46,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2019-04-07,34.34,34.34,34.34,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2019-04-14,34.41,34.41,34.41,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2019-04-21,33.97,33.97,33.97,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2019-04-28,34.38,34.38,34.38,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2019-05-05,35.42,35.42,35.42,0.0,0.0,36.39,36.39,36.39,0.0,0.0,35.42,35.42,35.42,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2019-05-12,36.6,36.6,36.6,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2019-05-19,38.08,38.08,38.08,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2019-05-26,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2019-06-02,38.11,38.11,38.11,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2019-06-09,38.34,38.34,38.34,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2019-06-16,38.2,38.2,38.2,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2019-06-23,36.93,36.93,36.93,0.0,0.0,38.55,38.55,38.55,0.0,0.0,36.43,36.43,36.43,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2019-06-30,37.99,37.99,37.99,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2019-07-07,37.7,37.7,37.7,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2019-07-14,38.21,38.21,38.21,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2019-07-21,38.01,38.01,38.01,0.0,0.0,38.23,38.23,38.23,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2019-07-28,40.43,40.43,40.43,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2019-08-04,41.07,41.07,41.07,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.69,41.69,41.69,0.0,0.0
2019-08-11,42.2,42.2,42.2,0.0,0.0,42.2,42.2,42.2,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2019-08-18,42.06,42.06,42.06,0.0,0.0,42.17,42.17,42.17,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2019-08-25,40.0,40.0,40.0,0.0,0.0,40.55,40.55,40.55,0.0,0.0,39.78,39.78,39.78,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2019-09-01,37.83,37.83,37.83,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2019-09-08,36.3,36.3,36.3,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2019-09-15,37.67,37.67,37.67,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2019-09-22,36.69,36.69,36.69,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2019-09-29,37.52,37.52,37.52,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2019-10-06,36.8,36.8,36.8,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2019-10-13,35.76,35.76,35.76,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2019-10-20,35.0,35.0,35.0,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2019-10-27,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2019-11-03,34.16,34.16,34.16,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2019-11-10,34.26,34.26,34.26,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2019-11-17,35.37,35.37,35.37,0.0,0.0,35.43,35.43,35.43,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-11-24,34.92,34.92,34.92,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2019-12-01,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2019-12-08,34.77,34.77,34.77,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2019-12-15,34.19,34.19,34.19,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2019-12-22,33.65,33.65,33.65,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2019-12-29,34.41,34.41,34.41,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.25,34.25,34.25,0.0,0.0
