Date,ProShares UltraShort Oil and Gas_Open_average,ProShares UltraShort Oil and Gas_Open_max,ProShares UltraShort Oil and Gas_Open_min,ProShares UltraShort Oil and Gas_Open_volatility,ProShares UltraShort Oil and Gas_Open_change,ProShares UltraShort Oil and Gas_High_average,ProShares UltraShort Oil and Gas_High_max,ProShares UltraShort Oil and Gas_High_min,ProShares UltraShort Oil and Gas_High_volatility,ProShares UltraShort Oil and Gas_High_change,ProShares UltraShort Oil and Gas_Low_average,ProShares UltraShort Oil and Gas_Low_max,ProShares UltraShort Oil and Gas_Low_min,ProShares UltraShort Oil and Gas_Low_volatility,ProShares UltraShort Oil and Gas_Low_change,ProShares UltraShort Oil and Gas_Close_average,ProShares UltraShort Oil and Gas_Close_max,ProShares UltraShort Oil and Gas_Close_min,ProShares UltraShort Oil and Gas_Close_volatility,ProShares UltraShort Oil and Gas_Close_change
2019-01-27,39.08,39.08,39.08,0.0,0.0,39.61,39.61,39.61,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2019-02-03,41.65,41.65,41.65,0.0,0.0,41.74,41.74,41.74,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2019-02-10,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2019-02-17,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2019-02-24,36.5,36.5,36.5,0.0,0.0,37.75,37.75,37.75,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2019-03-03,39.32,39.32,39.32,0.0,0.0,39.32,39.32,39.32,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2019-03-10,37.22,37.22,37.22,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2019-03-17,37.4,37.4,37.4,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2019-03-24,35.89,35.89,35.89,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2019-03-31,34.73,34.73,34.73,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2019-04-07,35.25,35.25,35.25,0.0,0.0,35.37,35.37,35.37,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2019-04-14,34.73,34.73,34.73,0.0,0.0,34.77,34.77,34.77,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2019-04-21,36.23,36.23,36.23,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2019-04-28,39.21,39.21,39.21,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2019-05-05,39.65,39.65,39.65,0.0,0.0,40.53,40.53,40.53,0.0,0.0,39.17,39.17,39.17,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2019-05-12,39.37,39.37,39.37,0.0,0.0,39.37,39.37,39.37,0.0,0.0,38.87,38.87,38.87,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2019-05-19,41.39,41.39,41.39,0.0,0.0,42.67,42.67,42.67,0.0,0.0,41.39,41.39,41.39,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2019-05-26,45.74,45.74,45.74,0.0,0.0,45.74,45.74,45.74,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2019-06-02,41.69,41.69,41.69,0.0,0.0,42.37,42.37,42.37,0.0,0.0,41.69,41.69,41.69,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2019-06-09,43.3,43.3,43.3,0.0,0.0,43.44,43.44,43.44,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2019-06-16,38.85,38.85,38.85,0.0,0.0,39.72,39.72,39.72,0.0,0.0,38.78,38.78,38.78,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2019-06-23,37.45,37.45,37.45,0.0,0.0,38.6,38.6,38.6,0.0,0.0,37.45,37.45,37.45,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2019-06-30,39.51,39.51,39.51,0.0,0.0,39.51,39.51,39.51,0.0,0.0,38.81,38.81,38.81,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2019-07-07,37.55,37.55,37.55,0.0,0.0,38.73,38.73,38.73,0.0,0.0,37.55,37.55,37.55,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2019-07-14,40.04,40.04,40.04,0.0,0.0,40.42,40.42,40.42,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2019-07-21,40.59,40.59,40.59,0.0,0.0,41.58,41.58,41.58,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.99,40.99,40.99,0.0,0.0
2019-07-28,44.81,44.81,44.81,0.0,0.0,46.64,46.64,46.64,0.0,0.0,44.76,44.76,44.76,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2019-08-04,45.68,45.68,45.68,0.0,0.0,46.76,46.76,46.76,0.0,0.0,45.5,45.5,45.5,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2019-08-11,47.02,47.02,47.02,0.0,0.0,47.07,47.07,47.07,0.0,0.0,45.81,45.81,45.81,0.0,0.0,46.13,46.13,46.13,0.0,0.0
2019-08-18,49.1,49.1,49.1,0.0,0.0,49.97,49.97,49.97,0.0,0.0,48.87,48.87,48.87,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2019-08-25,47.09,47.09,47.09,0.0,0.0,47.79,47.79,47.79,0.0,0.0,46.19,46.19,46.19,0.0,0.0,47.38,47.38,47.38,0.0,0.0
2019-09-01,44.2,44.2,44.2,0.0,0.0,44.22,44.22,44.22,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2019-09-08,38.0,38.0,38.0,0.0,0.0,39.6,39.6,39.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2019-09-15,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2019-09-22,43.3,43.3,43.3,0.0,0.0,43.42,43.42,43.42,0.0,0.0,42.81,42.81,42.81,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2019-09-29,45.79,45.79,45.79,0.0,0.0,46.87,46.87,46.87,0.0,0.0,45.59,45.59,45.59,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2019-10-06,45.85,45.85,45.85,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.25,45.25,45.25,0.0,0.0
2019-10-13,46.58,46.58,46.58,0.0,0.0,46.58,46.58,46.58,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2019-10-20,42.57,42.57,42.57,0.0,0.0,43.39,43.39,43.39,0.0,0.0,42.08,42.08,42.08,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2019-10-27,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2019-11-03,41.64,41.64,41.64,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2019-11-10,42.0,42.0,42.0,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2019-11-17,42.2,42.2,42.2,0.0,0.0,42.42,42.42,42.42,0.0,0.0,41.91,41.91,41.91,0.0,0.0,41.93,41.93,41.93,0.0,0.0
2019-11-24,43.1,43.1,43.1,0.0,0.0,43.47,43.47,43.47,0.0,0.0,42.58,42.58,42.58,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2019-12-01,42.6,42.6,42.6,0.0,0.0,42.65,42.65,42.65,0.0,0.0,41.76,41.76,41.76,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-12-08,40.27,40.27,40.27,0.0,0.0,40.34,40.34,40.34,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2019-12-15,38.97,38.97,38.97,0.0,0.0,39.14,39.14,39.14,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2019-12-22,38.47,38.47,38.47,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2019-12-29,36.94,36.94,36.94,0.0,0.0,38.11,38.11,38.11,0.0,0.0,36.87,36.87,36.87,0.0,0.0,37.88,37.88,37.88,0.0,0.0
