Date,NXST_stock_Open_average,NXST_stock_Open_max,NXST_stock_Open_min,NXST_stock_Open_volatility,NXST_stock_Open_change,NXST_stock_High_average,NXST_stock_High_max,NXST_stock_High_min,NXST_stock_High_volatility,NXST_stock_High_change,NXST_stock_Low_average,NXST_stock_Low_max,NXST_stock_Low_min,NXST_stock_Low_volatility,NXST_stock_Low_change,NXST_stock_Close_average,NXST_stock_Close_max,NXST_stock_Close_min,NXST_stock_Close_volatility,NXST_stock_Close_change,NXST_stock_Volume_average,NXST_stock_Volume_max,NXST_stock_Volume_min,NXST_stock_Volume_volatility,NXST_stock_Volume_change
2018-08-12,77.12,78.5,76.25,2.25,1.6500000000000057,78.01,78.95,77.25,1.7000000000000028,1.5499999999999972,76.716,78.08,76.0,2.0799999999999983,2.0799999999999983,77.34,78.5,76.3,2.200000000000003,1.8999999999999915,403555,500133,297080,203053,128168
2018-08-19,79.92,81.45,78.0,3.450000000000003,2.9000000000000057,81.75,82.95,79.95,3.0,2.5,79.172,81.3,75.61,5.689999999999998,2.700000000000003,80.98,82.25,79.15,3.0999999999999943,3.0999999999999943,491050,795846,321277,474569,-74413
2018-08-26,81.47,82.7,80.5,2.200000000000003,-0.8999999999999915,82.27,83.47,81.45,2.019999999999996,-1.3900000000000006,80.56,82.1,79.85,2.25,-1.8499999999999943,81.44,82.3,80.65,1.6499999999999915,-0.29999999999999716,294485,450375,223152,227223,-227223
2018-09-02,80.9,81.55,79.45,2.0999999999999943,-2.0999999999999943,81.77,83.0,80.05,2.950000000000003,-2.4000000000000057,79.8875,80.7,78.95,1.75,-1.75,80.3375,81.45,79.3,2.1500000000000057,-1.8500000000000085,344252,466083,198038,268045,123050
2018-09-09,80.23,81.45,78.5,2.950000000000003,1.9000000000000057,81.206,82.3,79.88,2.4200000000000017,2.1200000000000045,79.5,81.1,78.05,3.049999999999997,2.5,80.35000000000001,81.2,78.75,2.450000000000003,1.9000000000000057,311341,401913,237241,164672,-108437
2018-09-16,80.82,82.5,80.0,2.5,1.7000000000000028,81.848,83.45,80.85,2.6000000000000085,2.280000000000001,80.27,81.8,79.55,2.25,2.25,81.09,82.55,80.0,2.549999999999997,2.4000000000000057,373770,636049,213365,422684,380253
2018-09-23,82.05,82.9,80.65,2.25,-1.75,82.75999999999999,83.75,81.85,1.9000000000000057,-1.4500000000000028,80.93,81.7,80.0,1.7000000000000028,-1.4000000000000057,81.74000000000001,82.9,80.7,2.200000000000003,-1.0499999999999972,591165,1151905,294284,857621,9094
2018-09-30,81.35799999999999,81.86,80.07,1.7900000000000063,-0.15000000000000568,82.07,82.38,81.53,0.8499999999999943,-0.14999999999999147,79.87,80.72,79.17,1.5499999999999972,0.010000000000005116,80.78,82.0,79.45,2.549999999999997,-0.4899999999999949,407453,455911,360749,95162,95162
2018-10-07,78.318,80.39,75.14,5.25,-4.299999999999997,79.02,81.32,75.5,5.819999999999993,-5.319999999999993,76.406,79.69,73.34,6.349999999999994,-4.97999999999999,77.034,80.51,73.92,6.590000000000003,-6.440000000000012,496962,642170,409186,232984,99922
2018-10-14,76.538,77.62,74.11,3.510000000000005,3.510000000000005,77.834,78.88,76.18,2.6999999999999886,2.6999999999999886,75.666,77.25,73.83,3.4200000000000017,3.4200000000000017,77.29,78.37,75.39,2.980000000000004,2.980000000000004,366818,486331,260124,226207,-218457
2018-10-21,76.076,78.63,72.57,6.060000000000002,-6.060000000000002,76.78,79.7,73.16,6.540000000000006,-6.540000000000006,73.944,78.36,70.09,8.269999999999996,-8.269999999999996,75.15,79.39,72.17,7.219999999999999,-7.219999999999999,649143,972910,462543,510367,122068
2018-10-28,74.712,78.42,72.64,5.780000000000001,5.769999999999996,76.484,79.4,74.82,4.5800000000000125,4.490000000000009,73.624,76.51,71.7,4.810000000000002,4.810000000000002,75.392,78.2,72.51,5.689999999999998,5.689999999999998,535211,880128,365754,514374,72431
2018-11-04,80.388,82.89,78.1,4.790000000000006,3.3200000000000074,82.282,84.97,79.82,5.150000000000006,2.5600000000000023,79.332,80.57,77.8,2.769999999999996,2.2700000000000102,80.914,83.21,78.29,4.9199999999999875,2.719999999999999,811303,1197985,464562,733423,401619
2018-11-11,80.582,81.42,79.6,1.8200000000000074,-0.9299999999999926,81.488,82.38,80.67,1.7099999999999937,-0.6600000000000108,78.804,80.22,77.67,2.549999999999997,0.6899999999999977,80.178,80.65,78.99,1.6600000000000108,-1.440000000000012,716137,889520,555720,333800,333800
2018-11-18,74.3225,78.73,71.56,7.170000000000002,-4.460000000000008,75.75,78.99,73.2,5.789999999999992,-3.3299999999999983,72.39750000000001,74.11,70.51,3.5999999999999943,0.7000000000000028,73.59,74.77,71.27,3.5,1.1499999999999915,731039,1064665,466840,597825,-426173
2018-11-25,78.426,80.46,75.69,4.769999999999996,4.769999999999996,80.436,82.89,77.89,5.0,5.0,78.048,80.46,75.69,4.769999999999996,4.769999999999996,79.972,82.64,77.57,5.070000000000007,5.070000000000007,591734,940633,440355,500278,426761
