Date,Vanguard Total Corporate Bond Shares_Open_average,Vanguard Total Corporate Bond Shares_Open_max,Vanguard Total Corporate Bond Shares_Open_min,Vanguard Total Corporate Bond Shares_Open_volatility,Vanguard Total Corporate Bond Shares_Open_change,Vanguard Total Corporate Bond Shares_High_average,Vanguard Total Corporate Bond Shares_High_max,Vanguard Total Corporate Bond Shares_High_min,Vanguard Total Corporate Bond Shares_High_volatility,Vanguard Total Corporate Bond Shares_High_change,Vanguard Total Corporate Bond Shares_Low_average,Vanguard Total Corporate Bond Shares_Low_max,Vanguard Total Corporate Bond Shares_Low_min,Vanguard Total Corporate Bond Shares_Low_volatility,Vanguard Total Corporate Bond Shares_Low_change,Vanguard Total Corporate Bond Shares_Close_average,Vanguard Total Corporate Bond Shares_Close_max,Vanguard Total Corporate Bond Shares_Close_min,Vanguard Total Corporate Bond Shares_Close_volatility,Vanguard Total Corporate Bond Shares_Close_change
2018-04-08,82.3,82.3,82.3,0.0,0.0,82.41,82.41,82.41,0.0,0.0,82.3,82.3,82.3,0.0,0.0,82.36,82.36,82.36,0.0,0.0
2018-04-15,81.56,81.56,81.56,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.45,81.45,81.45,0.0,0.0,81.47,81.47,81.47,0.0,0.0
2018-04-22,81.6,81.6,81.6,0.0,0.0,81.6,81.6,81.6,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.49,81.49,81.49,0.0,0.0
2018-04-29,81.05,81.05,81.05,0.0,0.0,81.11,81.11,81.11,0.0,0.0,81.02,81.02,81.02,0.0,0.0,81.06,81.06,81.06,0.0,0.0
2018-05-06,81.22,81.22,81.22,0.0,0.0,81.35,81.35,81.35,0.0,0.0,81.22,81.22,81.22,0.0,0.0,81.23,81.23,81.23,0.0,0.0
2018-05-13,80.67,80.67,80.67,0.0,0.0,80.8,80.8,80.8,0.0,0.0,80.67,80.67,80.67,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2018-05-20,81.46,81.46,81.46,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.46,81.46,81.46,0.0,0.0
2018-05-27,81.21,81.21,81.21,0.0,0.0,81.21,81.21,81.21,0.0,0.0,80.97,80.97,80.97,0.0,0.0,80.97,80.97,80.97,0.0,0.0
2018-06-03,80.92,80.92,80.92,0.0,0.0,80.98,80.98,80.98,0.0,0.0,80.77,80.77,80.77,0.0,0.0,80.97,80.97,80.97,0.0,0.0
2018-06-10,81.16,81.16,81.16,0.0,0.0,81.16,81.16,81.16,0.0,0.0,80.93,80.93,80.93,0.0,0.0,81.0,81.0,81.0,0.0,0.0
2018-06-17,80.7,80.7,80.7,0.0,0.0,80.77,80.77,80.77,0.0,0.0,80.66,80.66,80.66,0.0,0.0,80.67,80.67,80.67,0.0,0.0
2018-06-24,80.91,80.91,80.91,0.0,0.0,80.91,80.91,80.91,0.0,0.0,80.65,80.65,80.65,0.0,0.0,80.79,80.79,80.79,0.0,0.0
2018-07-01,81.37,81.37,81.37,0.0,0.0,81.37,81.37,81.37,0.0,0.0,81.26,81.26,81.26,0.0,0.0,81.37,81.37,81.37,0.0,0.0
2018-07-08,81.5,81.5,81.5,0.0,0.0,81.57,81.57,81.57,0.0,0.0,81.4,81.4,81.4,0.0,0.0,81.57,81.57,81.57,0.0,0.0
2018-07-15,81.27,81.27,81.27,0.0,0.0,81.27,81.27,81.27,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.0,81.0,81.0,0.0,0.0
2018-07-22,81.53,81.53,81.53,0.0,0.0,81.53,81.53,81.53,0.0,0.0,81.31,81.31,81.31,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2018-07-29,81.4,81.4,81.4,0.0,0.0,81.61,81.61,81.61,0.0,0.0,81.4,81.4,81.4,0.0,0.0,81.5,81.5,81.5,0.0,0.0
2018-08-05,81.34,81.34,81.34,0.0,0.0,81.43,81.43,81.43,0.0,0.0,81.34,81.34,81.34,0.0,0.0,81.35,81.35,81.35,0.0,0.0
2018-08-12,81.98,81.98,81.98,0.0,0.0,82.12,82.12,82.12,0.0,0.0,81.98,81.98,81.98,0.0,0.0,82.11,82.11,82.11,0.0,0.0
2018-08-19,81.83,81.83,81.83,0.0,0.0,81.94,81.94,81.94,0.0,0.0,81.8,81.8,81.8,0.0,0.0,81.85,81.85,81.85,0.0,0.0
2018-08-26,81.61,81.61,81.61,0.0,0.0,81.84,81.84,81.84,0.0,0.0,81.61,81.61,81.61,0.0,0.0,81.63,81.63,81.63,0.0,0.0
2018-09-02,81.05,81.05,81.05,0.0,0.0,81.13,81.13,81.13,0.0,0.0,81.05,81.05,81.05,0.0,0.0,81.12,81.12,81.12,0.0,0.0
2018-09-09,81.08,81.08,81.08,0.0,0.0,81.29,81.29,81.29,0.0,0.0,81.08,81.08,81.08,0.0,0.0,81.15,81.15,81.15,0.0,0.0
2018-09-16,81.03,81.03,81.03,0.0,0.0,81.03,81.03,81.03,0.0,0.0,80.81,80.81,80.81,0.0,0.0,80.87,80.87,80.87,0.0,0.0
2018-09-23,80.91,80.91,80.91,0.0,0.0,80.91,80.91,80.91,0.0,0.0,80.8,80.8,80.8,0.0,0.0,80.88,80.88,80.88,0.0,0.0
2018-09-30,80.01,80.01,80.01,0.0,0.0,80.08,80.08,80.08,0.0,0.0,79.92,79.92,79.92,0.0,0.0,80.0,80.0,80.0,0.0,0.0
2018-10-07,80.33,80.33,80.33,0.0,0.0,80.33,80.33,80.33,0.0,0.0,80.09,80.09,80.09,0.0,0.0,80.16,80.16,80.16,0.0,0.0
2018-10-14,80.0,80.0,80.0,0.0,0.0,80.01,80.01,80.01,0.0,0.0,79.95,79.95,79.95,0.0,0.0,79.96,79.96,79.96,0.0,0.0
2018-10-21,80.12,80.12,80.12,0.0,0.0,80.12,80.12,80.12,0.0,0.0,79.93,79.93,79.93,0.0,0.0,80.03,80.03,80.03,0.0,0.0
2018-10-28,79.45,79.45,79.45,0.0,0.0,79.48,79.48,79.48,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.43,79.43,79.43,0.0,0.0
2018-11-04,79.65,79.65,79.65,0.0,0.0,79.73,79.73,79.73,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.68,79.68,79.68,0.0,0.0
2018-11-11,79.23,79.23,79.23,0.0,0.0,79.28,79.28,79.28,0.0,0.0,79.19,79.19,79.19,0.0,0.0,79.19,79.19,79.19,0.0,0.0
2018-11-18,79.49,79.49,79.49,0.0,0.0,79.49,79.49,79.49,0.0,0.0,79.37,79.37,79.37,0.0,0.0,79.37,79.37,79.37,0.0,0.0
2018-11-25,79.21,79.21,79.21,0.0,0.0,79.23,79.23,79.23,0.0,0.0,79.04,79.04,79.04,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2018-12-02,79.53,79.53,79.53,0.0,0.0,79.62,79.62,79.62,0.0,0.0,79.38,79.38,79.38,0.0,0.0,79.59,79.59,79.59,0.0,0.0
2018-12-09,79.93,79.93,79.93,0.0,0.0,80.02,80.02,80.02,0.0,0.0,79.93,79.93,79.93,0.0,0.0,79.97,79.97,79.97,0.0,0.0
2018-12-16,79.78,79.78,79.78,0.0,0.0,79.78,79.78,79.78,0.0,0.0,79.59,79.59,79.59,0.0,0.0,79.59,79.59,79.59,0.0,0.0
2018-12-23,79.83,79.83,79.83,0.0,0.0,80.0,80.0,80.0,0.0,0.0,79.8,79.8,79.8,0.0,0.0,80.0,80.0,80.0,0.0,0.0
2018-12-30,80.32,80.32,80.32,0.0,0.0,80.37,80.37,80.37,0.0,0.0,80.17,80.17,80.17,0.0,0.0,80.17,80.17,80.17,0.0,0.0
2019-01-06,80.5,80.5,80.5,0.0,0.0,80.5,80.5,80.5,0.0,0.0,80.36,80.36,80.36,0.0,0.0,80.39,80.39,80.39,0.0,0.0
2019-01-13,80.57,80.57,80.57,0.0,0.0,80.69,80.69,80.69,0.0,0.0,80.53,80.53,80.53,0.0,0.0,80.69,80.69,80.69,0.0,0.0
2019-01-20,81.03,81.03,81.03,0.0,0.0,81.15,81.15,81.15,0.0,0.0,81.03,81.03,81.03,0.0,0.0,81.14,81.14,81.14,0.0,0.0
2019-01-27,81.54,81.54,81.54,0.0,0.0,81.66,81.66,81.66,0.0,0.0,81.53,81.53,81.53,0.0,0.0,81.65,81.65,81.65,0.0,0.0
2019-02-03,81.86,81.86,81.86,0.0,0.0,81.93,81.93,81.93,0.0,0.0,81.81,81.81,81.81,0.0,0.0,81.81,81.81,81.81,0.0,0.0
2019-02-10,81.86,81.86,81.86,0.0,0.0,81.96,81.96,81.96,0.0,0.0,81.85,81.85,81.85,0.0,0.0,81.91,81.91,81.91,0.0,0.0
2019-02-17,81.88,81.88,81.88,0.0,0.0,82.05,82.05,82.05,0.0,0.0,81.88,81.88,81.88,0.0,0.0,82.05,82.05,82.05,0.0,0.0
2019-02-24,81.56,81.56,81.56,0.0,0.0,81.69,81.69,81.69,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.64,81.64,81.64,0.0,0.0
2019-03-03,82.1,82.1,82.1,0.0,0.0,82.17,82.17,82.17,0.0,0.0,82.1,82.1,82.1,0.0,0.0,82.17,82.17,82.17,0.0,0.0
2019-03-10,82.42,82.42,82.42,0.0,0.0,82.48,82.48,82.48,0.0,0.0,82.33,82.33,82.33,0.0,0.0,82.41,82.41,82.41,0.0,0.0
2019-03-17,83.41,83.41,83.41,0.0,0.0,83.69,83.69,83.69,0.0,0.0,83.29,83.29,83.29,0.0,0.0,83.64,83.64,83.64,0.0,0.0
2019-03-24,83.23,83.23,83.23,0.0,0.0,83.34,83.34,83.34,0.0,0.0,83.15,83.15,83.15,0.0,0.0,83.18,83.18,83.18,0.0,0.0
2019-03-31,83.32,83.32,83.32,0.0,0.0,83.32,83.32,83.32,0.0,0.0,83.24,83.24,83.24,0.0,0.0,83.28,83.28,83.28,0.0,0.0
2019-04-07,83.6,83.6,83.6,0.0,0.0,83.6,83.6,83.6,0.0,0.0,83.5,83.5,83.5,0.0,0.0,83.51,83.51,83.51,0.0,0.0
2019-04-14,83.41,83.41,83.41,0.0,0.0,83.41,83.41,83.41,0.0,0.0,83.28,83.28,83.28,0.0,0.0,83.32,83.32,83.32,0.0,0.0
2019-04-21,83.9,83.9,83.9,0.0,0.0,83.9,83.9,83.9,0.0,0.0,83.71,83.71,83.71,0.0,0.0,83.78,83.78,83.78,0.0,0.0
2019-04-28,83.98,83.98,83.98,0.0,0.0,83.98,83.98,83.98,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.67,83.67,83.67,0.0,0.0
2019-05-05,83.72,83.72,83.72,0.0,0.0,83.72,83.72,83.72,0.0,0.0,83.57,83.57,83.57,0.0,0.0,83.64,83.64,83.64,0.0,0.0
2019-05-12,83.9,83.9,83.9,0.0,0.0,83.97,83.97,83.97,0.0,0.0,83.64,83.64,83.64,0.0,0.0,83.74,83.74,83.74,0.0,0.0
2019-05-19,84.13,84.13,84.13,0.0,0.0,84.32,84.32,84.32,0.0,0.0,83.9,83.9,83.9,0.0,0.0,84.24,84.24,84.24,0.0,0.0
2019-05-26,84.69,84.69,84.69,0.0,0.0,84.96,84.96,84.96,0.0,0.0,84.52,84.52,84.52,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2019-06-02,85.08,85.08,85.08,0.0,0.0,85.09,85.09,85.09,0.0,0.0,84.9,84.9,84.9,0.0,0.0,84.98,84.98,84.98,0.0,0.0
2019-06-09,85.2,85.2,85.2,0.0,0.0,85.38,85.38,85.38,0.0,0.0,85.19,85.19,85.19,0.0,0.0,85.26,85.26,85.26,0.0,0.0
2019-06-16,86.44,86.44,86.44,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.37,86.37,86.37,0.0,0.0,86.48,86.48,86.48,0.0,0.0
2019-06-23,86.66,86.66,86.66,0.0,0.0,86.71,86.71,86.71,0.0,0.0,86.36,86.36,86.36,0.0,0.0,86.59,86.59,86.59,0.0,0.0
2019-06-30,86.65,86.65,86.65,0.0,0.0,86.65,86.65,86.65,0.0,0.0,86.24,86.24,86.24,0.0,0.0,86.34,86.34,86.34,0.0,0.0
2019-07-07,85.97,85.97,85.97,0.0,0.0,86.17,86.17,86.17,0.0,0.0,85.97,85.97,85.97,0.0,0.0,86.15,86.15,86.15,0.0,0.0
2019-07-14,86.7,86.7,86.7,0.0,0.0,86.7,86.7,86.7,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.6,86.6,86.6,0.0,0.0
2019-07-21,86.83,86.83,86.83,0.0,0.0,86.86,86.86,86.86,0.0,0.0,86.67,86.67,86.67,0.0,0.0,86.8,86.8,86.8,0.0,0.0
2019-07-28,87.64,87.64,87.64,0.0,0.0,87.64,87.64,87.64,0.0,0.0,87.26,87.26,87.26,0.0,0.0,87.42,87.42,87.42,0.0,0.0
2019-08-04,88.03,88.03,88.03,0.0,0.0,88.24,88.24,88.24,0.0,0.0,87.9,87.9,87.9,0.0,0.0,88.23,88.23,88.23,0.0,0.0
2019-08-11,88.33,88.33,88.33,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.33,88.33,88.33,0.0,0.0,88.54,88.54,88.54,0.0,0.0
2019-08-18,89.23,89.23,89.23,0.0,0.0,89.32,89.32,89.32,0.0,0.0,88.99,88.99,88.99,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2019-08-25,89.28,89.28,89.28,0.0,0.0,89.37,89.37,89.37,0.0,0.0,89.08,89.08,89.08,0.0,0.0,89.37,89.37,89.37,0.0,0.0
2019-09-01,88.6,88.6,88.6,0.0,0.0,88.6,88.6,88.6,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.3,88.3,88.3,0.0,0.0
2019-09-08,87.03,87.03,87.03,0.0,0.0,87.16,87.16,87.16,0.0,0.0,86.93,86.93,86.93,0.0,0.0,87.13,87.13,87.13,0.0,0.0
2019-09-15,88.6,88.6,88.6,0.0,0.0,88.61,88.61,88.61,0.0,0.0,88.23,88.23,88.23,0.0,0.0,88.25,88.25,88.25,0.0,0.0
2019-09-22,88.26,88.26,88.26,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.19,88.19,88.19,0.0,0.0,88.46,88.46,88.46,0.0,0.0
2019-09-29,88.81,88.81,88.81,0.0,0.0,88.94,88.94,88.94,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.82,88.82,88.82,0.0,0.0
2019-10-06,87.97,87.97,87.97,0.0,0.0,88.27,88.27,88.27,0.0,0.0,87.97,87.97,87.97,0.0,0.0,88.18,88.18,88.18,0.0,0.0
2019-10-13,88.13,88.13,88.13,0.0,0.0,88.19,88.19,88.19,0.0,0.0,88.01,88.01,88.01,0.0,0.0,88.05,88.05,88.05,0.0,0.0
2019-10-20,88.16,88.16,88.16,0.0,0.0,88.16,88.16,88.16,0.0,0.0,87.99,87.99,87.99,0.0,0.0,88.07,88.07,88.07,0.0,0.0
2019-10-27,88.24,88.24,88.24,0.0,0.0,88.24,88.24,88.24,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.99,87.99,87.99,0.0,0.0
2019-11-03,87.58,87.58,87.58,0.0,0.0,87.58,87.58,87.58,0.0,0.0,87.28,87.28,87.28,0.0,0.0,87.38,87.38,87.38,0.0,0.0
2019-11-10,88.2,88.2,88.2,0.0,0.0,88.34,88.34,88.34,0.0,0.0,88.11,88.11,88.11,0.0,0.0,88.15,88.15,88.15,0.0,0.0
2019-11-17,88.64,88.64,88.64,0.0,0.0,88.75,88.75,88.75,0.0,0.0,88.57,88.57,88.57,0.0,0.0,88.66,88.66,88.66,0.0,0.0
2019-11-24,90.07,90.07,90.07,0.0,0.0,90.07,90.07,90.07,0.0,0.0,88.03,88.03,88.03,0.0,0.0,88.09,88.09,88.09,0.0,0.0
2019-12-01,88.66,88.66,88.66,0.0,0.0,88.76,88.76,88.76,0.0,0.0,88.43,88.43,88.43,0.0,0.0,88.46,88.46,88.46,0.0,0.0
2019-12-08,88.75,88.75,88.75,0.0,0.0,88.78,88.78,88.78,0.0,0.0,88.56,88.56,88.56,0.0,0.0,88.63,88.63,88.63,0.0,0.0
2019-12-15,88.63,88.63,88.63,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.29,88.29,88.29,0.0,0.0,88.39,88.39,88.39,0.0,0.0
2019-12-22,88.49,88.49,88.49,0.0,0.0,88.84,88.84,88.84,0.0,0.0,88.41,88.41,88.41,0.0,0.0,88.84,88.84,88.84,0.0,0.0
2019-12-29,88.98,88.98,88.98,0.0,0.0,89.13,89.13,89.13,0.0,0.0,88.78,88.78,88.78,0.0,0.0,89.05,89.05,89.05,0.0,0.0
