Date,iShares Long-Term Corporate BondEtf_Open_average,iShares Long-Term Corporate BondEtf_Open_max,iShares Long-Term Corporate BondEtf_Open_min,iShares Long-Term Corporate BondEtf_Open_volatility,iShares Long-Term Corporate BondEtf_Open_change,iShares Long-Term Corporate BondEtf_High_average,iShares Long-Term Corporate BondEtf_High_max,iShares Long-Term Corporate BondEtf_High_min,iShares Long-Term Corporate BondEtf_High_volatility,iShares Long-Term Corporate BondEtf_High_change,iShares Long-Term Corporate BondEtf_Low_average,iShares Long-Term Corporate BondEtf_Low_max,iShares Long-Term Corporate BondEtf_Low_min,iShares Long-Term Corporate BondEtf_Low_volatility,iShares Long-Term Corporate BondEtf_Low_change,iShares Long-Term Corporate BondEtf_Close_average,iShares Long-Term Corporate BondEtf_Close_max,iShares Long-Term Corporate BondEtf_Close_min,iShares Long-Term Corporate BondEtf_Close_volatility,iShares Long-Term Corporate BondEtf_Close_change
2018-07-01,58.5,58.5,58.5,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2018-07-08,59.0,59.0,59.0,0.0,0.0,59.24,59.24,59.24,0.0,0.0,58.99,58.99,58.99,0.0,0.0,59.19,59.19,59.19,0.0,0.0
2018-07-15,58.65,58.65,58.65,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-07-22,58.91,58.91,58.91,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-07-29,58.44,58.44,58.44,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.66,58.66,58.66,0.0,0.0
2018-08-05,58.25,58.25,58.25,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-08-12,58.79,58.79,58.79,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-08-19,58.81,58.81,58.81,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.81,58.81,58.81,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2018-08-26,58.82,58.82,58.82,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2018-09-02,57.89,57.89,57.89,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-09-09,58.23,58.23,58.23,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.21,58.21,58.21,0.0,0.0
2018-09-16,57.86,57.86,57.86,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.84,57.84,57.84,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-09-23,58.29,58.29,58.29,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2018-09-30,56.7,56.7,56.7,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.43,56.43,56.43,0.0,0.0,56.62,56.62,56.62,0.0,0.0
2018-10-07,56.99,56.99,56.99,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.92,56.92,56.92,0.0,0.0
2018-10-14,56.52,56.52,56.52,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2018-10-21,56.52,56.52,56.52,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.51,56.51,56.51,0.0,0.0
2018-10-28,55.69,55.69,55.69,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.33,55.33,55.33,0.0,0.0
2018-11-04,55.91,55.91,55.91,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.87,55.87,55.87,0.0,0.0,55.96,55.96,55.96,0.0,0.0
2018-11-11,55.22,55.22,55.22,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2018-11-18,55.6,55.6,55.6,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2018-11-25,55.15,55.15,55.15,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2018-12-02,55.73,55.73,55.73,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-12-09,56.41,56.41,56.41,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-12-16,56.4,56.4,56.4,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2018-12-23,55.88,55.88,55.88,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.85,55.85,55.85,0.0,0.0,56.09,56.09,56.09,0.0,0.0
2018-12-30,56.53,56.53,56.53,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2019-01-06,56.69,56.69,56.69,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2019-01-13,56.75,56.75,56.75,0.0,0.0,57.01,57.01,57.01,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2019-01-20,57.35,57.35,57.35,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2019-01-27,58.07,58.07,58.07,0.0,0.0,58.16,58.16,58.16,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.99,57.99,57.99,0.0,0.0
2019-02-03,58.15,58.15,58.15,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2019-02-10,58.08,58.08,58.08,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2019-02-17,58.09,58.09,58.09,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2019-02-24,57.6,57.6,57.6,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.46,57.46,57.46,0.0,0.0,57.47,57.47,57.47,0.0,0.0
2019-03-03,57.98,57.98,57.98,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.85,57.85,57.85,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2019-03-10,58.49,58.49,58.49,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.48,58.48,58.48,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2019-03-17,59.37,59.37,59.37,0.0,0.0,59.65,59.65,59.65,0.0,0.0,59.34,59.34,59.34,0.0,0.0,59.63,59.63,59.63,0.0,0.0
2019-03-24,60.03,60.03,60.03,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2019-03-31,59.64,59.64,59.64,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.85,59.85,59.85,0.0,0.0
2019-04-07,60.14,60.14,60.14,0.0,0.0,60.2,60.2,60.2,0.0,0.0,60.09,60.09,60.09,0.0,0.0,60.1,60.1,60.1,0.0,0.0
2019-04-14,59.95,59.95,59.95,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2019-04-21,60.5,60.5,60.5,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.46,60.46,60.46,0.0,0.0
2019-04-28,60.0,60.0,60.0,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.97,59.97,59.97,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2019-05-05,59.91,59.91,59.91,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2019-05-12,60.36,60.36,60.36,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.18,60.18,60.18,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2019-05-19,60.5,60.5,60.5,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.53,60.53,60.53,0.0,0.0
2019-05-26,61.19,61.19,61.19,0.0,0.0,61.46,61.46,61.46,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2019-06-02,61.68,61.68,61.68,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.59,61.59,61.59,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2019-06-09,61.74,61.74,61.74,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.7,61.7,61.7,0.0,0.0,61.89,61.89,61.89,0.0,0.0
2019-06-16,63.35,63.35,63.35,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.14,63.14,63.14,0.0,0.0,63.18,63.18,63.18,0.0,0.0
2019-06-23,63.7,63.7,63.7,0.0,0.0,63.77,63.77,63.77,0.0,0.0,63.53,63.53,63.53,0.0,0.0,63.75,63.75,63.75,0.0,0.0
2019-06-30,63.75,63.75,63.75,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.19,63.19,63.19,0.0,0.0,63.71,63.71,63.71,0.0,0.0
2019-07-07,62.77,62.77,62.77,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.9,62.9,62.9,0.0,0.0
2019-07-14,63.49,63.49,63.49,0.0,0.0,63.61,63.61,63.61,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.36,63.36,63.36,0.0,0.0
2019-07-21,63.96,63.96,63.96,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2019-07-28,64.61,64.61,64.61,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.79,64.79,64.79,0.0,0.0
2019-08-04,65.77,65.77,65.77,0.0,0.0,65.8,65.8,65.8,0.0,0.0,65.43,65.43,65.43,0.0,0.0,65.49,65.49,65.49,0.0,0.0
2019-08-11,67.0,67.0,67.0,0.0,0.0,67.1,67.1,67.1,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.98,66.98,66.98,0.0,0.0
2019-08-18,66.83,66.83,66.83,0.0,0.0,67.49,67.49,67.49,0.0,0.0,66.83,66.83,66.83,0.0,0.0,67.35,67.35,67.35,0.0,0.0
2019-08-25,67.72,67.72,67.72,0.0,0.0,67.79,67.79,67.79,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2019-09-01,67.05,67.05,67.05,0.0,0.0,67.29,67.29,67.29,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.19,67.19,67.19,0.0,0.0
2019-09-08,64.91,64.91,64.91,0.0,0.0,65.04,65.04,65.04,0.0,0.0,64.34,64.34,64.34,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2019-09-15,66.08,66.08,66.08,0.0,0.0,66.41,66.41,66.41,0.0,0.0,65.88,65.88,65.88,0.0,0.0,66.38,66.38,66.38,0.0,0.0
2019-09-22,66.39,66.39,66.39,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2019-09-29,66.87,66.87,66.87,0.0,0.0,67.12,67.12,67.12,0.0,0.0,66.84,66.84,66.84,0.0,0.0,67.11,67.11,67.11,0.0,0.0
2019-10-06,65.7,65.7,65.7,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.69,65.69,65.69,0.0,0.0
2019-10-13,65.99,65.99,65.99,0.0,0.0,66.16,66.16,66.16,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.9,65.9,65.9,0.0,0.0
2019-10-20,66.27,66.27,66.27,0.0,0.0,66.27,66.27,66.27,0.0,0.0,65.98,65.98,65.98,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2019-10-27,66.44,66.44,66.44,0.0,0.0,66.62,66.62,66.62,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2019-11-03,65.02,65.02,65.02,0.0,0.0,65.28,65.28,65.28,0.0,0.0,64.9,64.9,64.9,0.0,0.0,64.93,64.93,64.93,0.0,0.0
2019-11-10,65.71,65.71,65.71,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.77,65.77,65.77,0.0,0.0
2019-11-17,66.39,66.39,66.39,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2019-11-24,66.92,66.92,66.92,0.0,0.0,67.05,67.05,67.05,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.81,66.81,66.81,0.0,0.0
2019-12-01,66.32,66.32,66.32,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2019-12-08,66.97,66.97,66.97,0.0,0.0,67.36,67.36,67.36,0.0,0.0,66.7,66.7,66.7,0.0,0.0,67.17,67.17,67.17,0.0,0.0
2019-12-15,66.55,66.55,66.55,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.66,66.66,66.66,0.0,0.0
2019-12-22,67.19,67.19,67.19,0.0,0.0,67.21,67.21,67.21,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2019-12-29,67.15,67.15,67.15,0.0,0.0,67.46,67.46,67.46,0.0,0.0,67.06,67.06,67.06,0.0,0.0,67.41,67.41,67.41,0.0,0.0
