Date,iShares US Aerospace & Defense_Open_average,iShares US Aerospace & Defense_Open_max,iShares US Aerospace & Defense_Open_min,iShares US Aerospace & Defense_Open_volatility,iShares US Aerospace & Defense_Open_change,iShares US Aerospace & Defense_High_average,iShares US Aerospace & Defense_High_max,iShares US Aerospace & Defense_High_min,iShares US Aerospace & Defense_High_volatility,iShares US Aerospace & Defense_High_change,iShares US Aerospace & Defense_Low_average,iShares US Aerospace & Defense_Low_max,iShares US Aerospace & Defense_Low_min,iShares US Aerospace & Defense_Low_volatility,iShares US Aerospace & Defense_Low_change,iShares US Aerospace & Defense_Close_average,iShares US Aerospace & Defense_Close_max,iShares US Aerospace & Defense_Close_min,iShares US Aerospace & Defense_Close_volatility,iShares US Aerospace & Defense_Close_change
2018-03-25,197.65,197.65,197.65,0.0,0.0,197.78,197.78,197.78,0.0,0.0,192.39,192.39,192.39,0.0,0.0,194.97,194.97,194.97,0.0,0.0
2018-04-01,198.0,198.0,198.0,0.0,0.0,198.97,198.97,198.97,0.0,0.0,195.85,195.85,195.85,0.0,0.0,196.09,196.09,196.09,0.0,0.0
2018-04-08,201.0,201.0,201.0,0.0,0.0,201.96,201.96,201.96,0.0,0.0,200.11,200.11,200.11,0.0,0.0,201.68,201.68,201.68,0.0,0.0
2018-04-15,205.16,205.16,205.16,0.0,0.0,205.62,205.62,205.62,0.0,0.0,203.7,203.7,203.7,0.0,0.0,204.88,204.88,204.88,0.0,0.0
2018-04-22,195.19,195.19,195.19,0.0,0.0,195.75,195.75,195.75,0.0,0.0,192.34,192.34,192.34,0.0,0.0,192.35,192.35,192.35,0.0,0.0
2018-04-29,190.94,190.94,190.94,0.0,0.0,193.0,193.0,193.0,0.0,0.0,190.5,190.5,190.5,0.0,0.0,192.76,192.76,192.76,0.0,0.0
2018-05-06,198.9,198.9,198.9,0.0,0.0,198.94,198.94,198.94,0.0,0.0,196.74,196.74,196.74,0.0,0.0,197.37,197.37,197.37,0.0,0.0
2018-05-13,201.02,201.02,201.02,0.0,0.0,202.47,202.47,202.47,0.0,0.0,200.7,200.7,200.7,0.0,0.0,202.09,202.09,202.09,0.0,0.0
2018-05-20,202.04,202.04,202.04,0.0,0.0,202.36,202.36,202.36,0.0,0.0,200.52,200.52,200.52,0.0,0.0,201.24,201.24,201.24,0.0,0.0
2018-05-27,201.84,201.84,201.84,0.0,0.0,202.57,202.57,202.57,0.0,0.0,201.11,201.11,201.11,0.0,0.0,201.79,201.79,201.79,0.0,0.0
2018-06-03,204.91,204.91,204.91,0.0,0.0,205.49,205.49,205.49,0.0,0.0,203.87,203.87,203.87,0.0,0.0,204.22,204.22,204.22,0.0,0.0
2018-06-10,197.38,197.38,197.38,0.0,0.0,199.22,199.22,199.22,0.0,0.0,197.1,197.1,197.1,0.0,0.0,199.0,199.0,199.0,0.0,0.0
2018-06-17,192.77,192.77,192.77,0.0,0.0,193.08,193.08,193.08,0.0,0.0,190.91,190.91,190.91,0.0,0.0,191.89,191.89,191.89,0.0,0.0
2018-06-24,191.21,191.21,191.21,0.0,0.0,192.97,192.97,192.97,0.0,0.0,190.46,190.46,190.46,0.0,0.0,192.92,192.92,192.92,0.0,0.0
2018-07-01,194.2,194.2,194.2,0.0,0.0,197.1,197.1,197.1,0.0,0.0,194.2,194.2,194.2,0.0,0.0,196.92,196.92,196.92,0.0,0.0
2018-07-08,200.63,200.63,200.63,0.0,0.0,201.8,201.8,201.8,0.0,0.0,200.22,200.22,200.22,0.0,0.0,200.61,200.61,200.61,0.0,0.0
2018-07-15,203.18,203.18,203.18,0.0,0.0,203.18,203.18,203.18,0.0,0.0,200.76,200.76,200.76,0.0,0.0,200.85,200.85,200.85,0.0,0.0
2018-07-22,203.65,203.65,203.65,0.0,0.0,204.24,204.24,204.24,0.0,0.0,200.53,200.53,200.53,0.0,0.0,200.7,200.7,200.7,0.0,0.0
2018-07-29,203.25,203.25,203.25,0.0,0.0,203.56,203.56,203.56,0.0,0.0,202.27,202.27,202.27,0.0,0.0,203.44,203.44,203.44,0.0,0.0
2018-08-05,202.67,202.67,202.67,0.0,0.0,203.98,203.98,203.98,0.0,0.0,201.68,201.68,201.68,0.0,0.0,202.62,202.62,202.62,0.0,0.0
2018-08-12,206.01,206.01,206.01,0.0,0.0,207.47,207.47,207.47,0.0,0.0,205.04,205.04,205.04,0.0,0.0,206.8,206.8,206.8,0.0,0.0
2018-08-19,207.73,207.73,207.73,0.0,0.0,208.9,208.9,208.9,0.0,0.0,207.38,207.38,207.38,0.0,0.0,208.37,208.37,208.37,0.0,0.0
2018-08-26,207.08,207.08,207.08,0.0,0.0,207.71,207.71,207.71,0.0,0.0,206.23,206.23,206.23,0.0,0.0,207.47,207.47,207.47,0.0,0.0
2018-09-02,210.1,210.1,210.1,0.0,0.0,210.6,210.6,210.6,0.0,0.0,209.4,209.4,209.4,0.0,0.0,209.63,209.63,209.63,0.0,0.0
2018-09-09,214.76,214.76,214.76,0.0,0.0,215.52,215.52,215.52,0.0,0.0,214.29,214.29,214.29,0.0,0.0,215.01,215.01,215.01,0.0,0.0
2018-09-16,215.98,215.98,215.98,0.0,0.0,215.98,215.98,215.98,0.0,0.0,213.26,213.26,213.26,0.0,0.0,213.7,213.7,213.7,0.0,0.0
2018-09-23,217.87,217.87,217.87,0.0,0.0,217.99,217.99,217.99,0.0,0.0,216.32,216.32,216.32,0.0,0.0,217.16,217.16,217.16,0.0,0.0
2018-09-30,214.6,214.6,214.6,0.0,0.0,215.57,215.57,215.57,0.0,0.0,213.39,213.39,213.39,0.0,0.0,215.41,215.41,215.41,0.0,0.0
2018-10-07,201.89,201.89,201.89,0.0,0.0,205.26,205.26,205.26,0.0,0.0,201.89,201.89,201.89,0.0,0.0,203.88,203.88,203.88,0.0,0.0
2018-10-14,201.78,201.78,201.78,0.0,0.0,202.91,202.91,202.91,0.0,0.0,200.0,200.0,200.0,0.0,0.0,201.72,201.72,201.72,0.0,0.0
2018-10-21,193.99,193.99,193.99,0.0,0.0,194.85,194.85,194.85,0.0,0.0,182.35,182.35,182.35,0.0,0.0,184.83,184.83,184.83,0.0,0.0
2018-10-28,196.0,196.0,196.0,0.0,0.0,197.77,197.77,197.77,0.0,0.0,195.49,195.49,195.49,0.0,0.0,197.24,197.24,197.24,0.0,0.0
2018-11-04,201.14,201.14,201.14,0.0,0.0,201.47,201.47,201.47,0.0,0.0,195.14,195.14,195.14,0.0,0.0,195.5,195.5,195.5,0.0,0.0
2018-11-11,194.07,194.07,194.07,0.0,0.0,194.07,194.07,194.07,0.0,0.0,188.87,188.87,188.87,0.0,0.0,189.35,189.35,189.35,0.0,0.0
2018-11-18,190.2,190.2,190.2,0.0,0.0,190.88,190.88,190.88,0.0,0.0,188.04,188.04,188.04,0.0,0.0,189.51,189.51,189.51,0.0,0.0
2018-11-25,195.55,195.55,195.55,0.0,0.0,196.68,196.68,196.68,0.0,0.0,192.47,192.47,192.47,0.0,0.0,193.45,193.45,193.45,0.0,0.0
2018-12-02,182.86,182.86,182.86,0.0,0.0,185.84,185.84,185.84,0.0,0.0,181.19,181.19,181.19,0.0,0.0,184.78,184.78,184.78,0.0,0.0
2018-12-09,182.19,182.19,182.19,0.0,0.0,184.01,184.01,184.01,0.0,0.0,178.34,178.34,178.34,0.0,0.0,179.36,179.36,179.36,0.0,0.0
2018-12-16,165.17,165.17,165.17,0.0,0.0,166.25,166.25,166.25,0.0,0.0,162.03,162.03,162.03,0.0,0.0,162.03,162.03,162.03,0.0,0.0
2018-12-23,171.82,171.82,171.82,0.0,0.0,173.21,173.21,173.21,0.0,0.0,171.09,171.09,171.09,0.0,0.0,172.86,172.86,172.86,0.0,0.0
2018-12-30,174.18,174.18,174.18,0.0,0.0,175.93,175.93,175.93,0.0,0.0,172.68,172.68,172.68,0.0,0.0,175.28,175.28,175.28,0.0,0.0
2019-01-06,180.1,180.1,180.1,0.0,0.0,183.04,183.04,183.04,0.0,0.0,180.0,180.0,180.0,0.0,0.0,181.72,181.72,181.72,0.0,0.0
2019-01-13,185.68,185.68,185.68,0.0,0.0,188.32,188.32,188.32,0.0,0.0,185.68,185.68,185.68,0.0,0.0,187.36,187.36,187.36,0.0,0.0
2019-01-20,187.34,187.34,187.34,0.0,0.0,188.44,188.44,188.44,0.0,0.0,185.9,185.9,185.9,0.0,0.0,188.4,188.4,188.4,0.0,0.0
2019-01-27,194.77,194.77,194.77,0.0,0.0,198.88,198.88,198.88,0.0,0.0,194.02,194.02,194.02,0.0,0.0,198.86,198.86,198.86,0.0,0.0
2019-02-03,201.28,201.28,201.28,0.0,0.0,202.32,202.32,202.32,0.0,0.0,200.94,200.94,200.94,0.0,0.0,201.6,201.6,201.6,0.0,0.0
2019-02-10,205.0,205.0,205.0,0.0,0.0,208.2,208.2,208.2,0.0,0.0,204.87,204.87,204.87,0.0,0.0,208.2,208.2,208.2,0.0,0.0
2019-02-17,210.65,210.65,210.65,0.0,0.0,211.33,211.33,211.33,0.0,0.0,209.27,209.27,209.27,0.0,0.0,209.44,209.44,209.44,0.0,0.0
2019-02-24,210.48,210.48,210.48,0.0,0.0,210.69,210.69,210.69,0.0,0.0,204.9,204.9,204.9,0.0,0.0,205.98,205.98,205.98,0.0,0.0
2019-03-03,196.23,196.23,196.23,0.0,0.0,200.45,200.45,200.45,0.0,0.0,195.17,195.17,195.17,0.0,0.0,200.37,200.37,200.37,0.0,0.0
2019-03-10,196.95,196.95,196.95,0.0,0.0,199.43,199.43,199.43,0.0,0.0,196.77,196.77,196.77,0.0,0.0,199.28,199.28,199.28,0.0,0.0
2019-03-17,194.27,194.27,194.27,0.0,0.0,195.91,195.91,195.91,0.0,0.0,194.2,194.2,194.2,0.0,0.0,195.68,195.68,195.68,0.0,0.0
2019-03-24,201.4,201.4,201.4,0.0,0.0,204.37,204.37,204.37,0.0,0.0,200.82,200.82,200.82,0.0,0.0,204.08,204.08,204.08,0.0,0.0
2019-03-31,200.97,200.97,200.97,0.0,0.0,202.49,202.49,202.49,0.0,0.0,200.4,200.4,200.4,0.0,0.0,202.38,202.38,202.38,0.0,0.0
2019-04-07,205.0,205.0,205.0,0.0,0.0,205.09,205.09,205.09,0.0,0.0,203.29,203.29,203.29,0.0,0.0,203.39,203.39,203.39,0.0,0.0
2019-04-14,204.8,204.8,204.8,0.0,0.0,205.72,205.72,205.72,0.0,0.0,203.96,203.96,203.96,0.0,0.0,205.04,205.04,205.04,0.0,0.0
2019-04-21,208.65,208.65,208.65,0.0,0.0,210.56,210.56,210.56,0.0,0.0,208.43,208.43,208.43,0.0,0.0,209.24,209.24,209.24,0.0,0.0
2019-04-28,207.3,207.3,207.3,0.0,0.0,210.82,210.82,210.82,0.0,0.0,206.89,206.89,206.89,0.0,0.0,210.49,210.49,210.49,0.0,0.0
2019-05-05,202.15,202.15,202.15,0.0,0.0,204.0,204.0,204.0,0.0,0.0,200.49,200.49,200.49,0.0,0.0,201.93,201.93,201.93,0.0,0.0
2019-05-12,204.45,204.45,204.45,0.0,0.0,206.41,206.41,206.41,0.0,0.0,204.23,204.23,204.23,0.0,0.0,205.78,205.78,205.78,0.0,0.0
2019-05-19,205.56,205.56,205.56,0.0,0.0,206.68,206.68,206.68,0.0,0.0,204.84,204.84,204.84,0.0,0.0,205.5,205.5,205.5,0.0,0.0
2019-05-26,201.25,201.25,201.25,0.0,0.0,203.71,203.71,203.71,0.0,0.0,200.93,200.93,200.93,0.0,0.0,203.02,203.02,203.02,0.0,0.0
2019-06-02,215.0,215.0,215.0,0.0,0.0,215.0,215.0,215.0,0.0,0.0,210.53,210.53,210.53,0.0,0.0,210.66,210.66,210.66,0.0,0.0
2019-06-09,206.8,206.8,206.8,0.0,0.0,207.58,207.58,207.58,0.0,0.0,205.14,205.14,205.14,0.0,0.0,206.92,206.92,206.92,0.0,0.0
2019-06-16,214.84,214.84,214.84,0.0,0.0,216.44,216.44,216.44,0.0,0.0,214.84,214.84,214.84,0.0,0.0,215.19,215.19,215.19,0.0,0.0
2019-06-23,216.34,216.34,216.34,0.0,0.0,216.34,216.34,216.34,0.0,0.0,212.21,212.21,212.21,0.0,0.0,212.29,212.29,212.29,0.0,0.0
2019-06-30,213.0,213.0,213.0,0.0,0.0,213.4,213.4,213.4,0.0,0.0,211.55,211.55,211.55,0.0,0.0,212.43,212.43,212.43,0.0,0.0
2019-07-07,217.41,217.41,217.41,0.0,0.0,217.41,217.41,217.41,0.0,0.0,215.83,215.83,215.83,0.0,0.0,216.34,216.34,216.34,0.0,0.0
2019-07-14,217.0,217.0,217.0,0.0,0.0,218.0,218.0,218.0,0.0,0.0,216.03,216.03,216.03,0.0,0.0,216.83,216.83,216.83,0.0,0.0
2019-07-21,217.68,217.68,217.68,0.0,0.0,217.74,217.74,217.74,0.0,0.0,215.97,215.97,215.97,0.0,0.0,216.39,216.39,216.39,0.0,0.0
2019-07-28,207.88,207.88,207.88,0.0,0.0,208.5,208.5,208.5,0.0,0.0,204.19,204.19,204.19,0.0,0.0,206.56,206.56,206.56,0.0,0.0
2019-08-04,215.43,215.43,215.43,0.0,0.0,215.43,215.43,215.43,0.0,0.0,212.67,212.67,212.67,0.0,0.0,213.35,213.35,213.35,0.0,0.0
2019-08-11,215.05,215.05,215.05,0.0,0.0,215.89,215.89,215.89,0.0,0.0,214.55,214.55,214.55,0.0,0.0,215.32,215.32,215.32,0.0,0.0
2019-08-18,217.8,217.8,217.8,0.0,0.0,219.12,219.12,219.12,0.0,0.0,215.26,215.26,215.26,0.0,0.0,217.63,217.63,217.63,0.0,0.0
2019-08-25,222.1,222.1,222.1,0.0,0.0,222.94,222.94,222.94,0.0,0.0,221.36,221.36,221.36,0.0,0.0,221.81,221.81,221.81,0.0,0.0
2019-09-01,224.3,224.3,224.3,0.0,0.0,224.43,224.43,224.43,0.0,0.0,221.24,221.24,221.24,0.0,0.0,221.46,221.46,221.46,0.0,0.0
2019-09-08,228.56,228.56,228.56,0.0,0.0,230.6,230.6,230.6,0.0,0.0,227.69,227.69,227.69,0.0,0.0,229.87,229.87,229.87,0.0,0.0
2019-09-15,226.49,226.49,226.49,0.0,0.0,227.46,227.46,227.46,0.0,0.0,225.39,225.39,225.39,0.0,0.0,226.5,226.5,226.5,0.0,0.0
2019-09-22,225.69,225.69,225.69,0.0,0.0,225.91,225.91,225.91,0.0,0.0,224.67,224.67,224.67,0.0,0.0,224.7,224.7,224.7,0.0,0.0
2019-09-29,219.87,219.87,219.87,0.0,0.0,221.43,221.43,221.43,0.0,0.0,219.29,219.29,219.29,0.0,0.0,219.97,219.97,219.97,0.0,0.0
2019-10-06,221.97,221.97,221.97,0.0,0.0,223.52,223.52,223.52,0.0,0.0,221.97,221.97,221.97,0.0,0.0,222.23,222.23,222.23,0.0,0.0
2019-10-13,214.85,214.85,214.85,0.0,0.0,215.6,215.6,215.6,0.0,0.0,213.67,213.67,213.67,0.0,0.0,214.68,214.68,214.68,0.0,0.0
2019-10-20,218.68,218.68,218.68,0.0,0.0,220.55,220.55,220.55,0.0,0.0,218.68,218.68,218.68,0.0,0.0,219.0,219.0,219.0,0.0,0.0
2019-10-27,224.27,224.27,224.27,0.0,0.0,224.81,224.81,224.81,0.0,0.0,222.41,222.41,222.41,0.0,0.0,223.08,223.08,223.08,0.0,0.0
2019-11-03,226.16,226.16,226.16,0.0,0.0,229.75,229.75,229.75,0.0,0.0,225.08,225.08,225.08,0.0,0.0,229.18,229.18,229.18,0.0,0.0
2019-11-10,234.0,234.0,234.0,0.0,0.0,234.2,234.2,234.2,0.0,0.0,233.0,233.0,233.0,0.0,0.0,233.39,233.39,233.39,0.0,0.0
2019-11-17,231.95,231.95,231.95,0.0,0.0,232.46,232.46,232.46,0.0,0.0,231.09,231.09,231.09,0.0,0.0,231.68,231.68,231.68,0.0,0.0
2019-11-24,231.62,231.62,231.62,0.0,0.0,231.78,231.78,231.78,0.0,0.0,226.46,226.46,226.46,0.0,0.0,226.46,226.46,226.46,0.0,0.0
2019-12-01,228.61,228.61,228.61,0.0,0.0,228.61,228.61,228.61,0.0,0.0,226.93,226.93,226.93,0.0,0.0,227.05,227.05,227.05,0.0,0.0
2019-12-08,225.77,225.77,225.77,0.0,0.0,226.38,226.38,226.38,0.0,0.0,224.66,224.66,224.66,0.0,0.0,224.77,224.77,224.77,0.0,0.0
2019-12-15,225.46,225.46,225.46,0.0,0.0,227.08,227.08,227.08,0.0,0.0,225.46,225.46,225.46,0.0,0.0,226.43,226.43,226.43,0.0,0.0
2019-12-22,223.59,223.59,223.59,0.0,0.0,224.03,224.03,224.03,0.0,0.0,222.35,222.35,222.35,0.0,0.0,223.05,223.05,223.05,0.0,0.0
2019-12-29,228.95,228.95,228.95,0.0,0.0,230.1,230.1,230.1,0.0,0.0,226.52,226.52,226.52,0.0,0.0,229.98,229.98,229.98,0.0,0.0
