Date,PowerShares amental High Yield Corporate Bond PortEtf_Open_average,PowerShares amental High Yield Corporate Bond PortEtf_Open_max,PowerShares amental High Yield Corporate Bond PortEtf_Open_min,PowerShares amental High Yield Corporate Bond PortEtf_Open_volatility,PowerShares amental High Yield Corporate Bond PortEtf_Open_change,PowerShares amental High Yield Corporate Bond PortEtf_High_average,PowerShares amental High Yield Corporate Bond PortEtf_High_max,PowerShares amental High Yield Corporate Bond PortEtf_High_min,PowerShares amental High Yield Corporate Bond PortEtf_High_volatility,PowerShares amental High Yield Corporate Bond PortEtf_High_change,PowerShares amental High Yield Corporate Bond PortEtf_Low_average,PowerShares amental High Yield Corporate Bond PortEtf_Low_max,PowerShares amental High Yield Corporate Bond PortEtf_Low_min,PowerShares amental High Yield Corporate Bond PortEtf_Low_volatility,PowerShares amental High Yield Corporate Bond PortEtf_Low_change,PowerShares amental High Yield Corporate Bond PortEtf_Close_average,PowerShares amental High Yield Corporate Bond PortEtf_Close_max,PowerShares amental High Yield Corporate Bond PortEtf_Close_min,PowerShares amental High Yield Corporate Bond PortEtf_Close_volatility,PowerShares amental High Yield Corporate Bond PortEtf_Close_change
2018-03-25,18.51,18.51,18.51,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2018-04-01,18.52,18.52,18.52,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2018-04-08,18.65,18.65,18.65,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2018-04-15,18.6,18.6,18.6,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2018-04-22,18.44,18.44,18.44,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-04-29,18.43,18.43,18.43,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-05-06,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-05-13,18.42,18.42,18.42,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2018-05-20,18.4,18.4,18.4,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2018-05-27,18.39,18.39,18.39,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.42,18.42,18.42,0.0,0.0
2018-06-03,18.44,18.44,18.44,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.47,18.47,18.47,0.0,0.0
2018-06-10,18.51,18.51,18.51,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2018-06-17,18.43,18.43,18.43,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2018-06-24,18.37,18.37,18.37,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.29,18.29,18.29,0.0,0.0,18.29,18.29,18.29,0.0,0.0
2018-07-01,18.37,18.37,18.37,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2018-07-08,18.43,18.43,18.43,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.45,18.45,18.45,0.0,0.0
2018-07-15,18.45,18.45,18.45,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2018-07-22,18.43,18.43,18.43,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-07-29,18.49,18.49,18.49,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2018-08-05,18.51,18.51,18.51,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-08-12,18.53,18.53,18.53,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2018-08-19,18.52,18.52,18.52,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2018-08-26,18.53,18.53,18.53,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2018-09-02,18.52,18.52,18.52,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2018-09-09,18.55,18.55,18.55,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2018-09-16,18.56,18.56,18.56,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.56,18.56,18.56,0.0,0.0
2018-09-23,18.5,18.5,18.5,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2018-09-30,18.43,18.43,18.43,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2018-10-07,18.32,18.32,18.32,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2018-10-14,18.32,18.32,18.32,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2018-10-21,18.16,18.16,18.16,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2018-10-28,18.23,18.23,18.23,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.21,18.21,18.21,0.0,0.0
2018-11-04,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2018-11-11,18.06,18.06,18.06,0.0,0.0,18.09,18.09,18.09,0.0,0.0,18.05,18.05,18.05,0.0,0.0,18.08,18.08,18.08,0.0,0.0
2018-11-18,17.93,17.93,17.93,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.93,17.93,17.93,0.0,0.0
2018-11-25,18.03,18.03,18.03,0.0,0.0,18.06,18.06,18.06,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-12-02,18.04,18.04,18.04,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2018-12-09,18.08,18.08,18.08,0.0,0.0,18.08,18.08,18.08,0.0,0.0,18.05,18.05,18.05,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2018-12-16,17.67,17.67,17.67,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.64,17.64,17.64,0.0,0.0
2018-12-23,17.67,17.67,17.67,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.65,17.65,17.65,0.0,0.0
2018-12-30,17.75,17.75,17.75,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2019-01-06,18.15,18.15,18.15,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2019-01-13,18.27,18.27,18.27,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2019-01-20,18.25,18.25,18.25,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2019-01-27,18.42,18.42,18.42,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2019-02-03,18.45,18.45,18.45,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2019-02-10,18.52,18.52,18.52,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2019-02-17,18.53,18.53,18.53,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2019-02-24,18.57,18.57,18.57,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2019-03-03,18.5,18.5,18.5,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2019-03-10,18.62,18.62,18.62,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2019-03-17,18.63,18.63,18.63,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2019-03-24,18.67,18.67,18.67,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2019-03-31,18.71,18.71,18.71,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2019-04-07,18.83,18.83,18.83,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2019-04-14,18.83,18.83,18.83,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2019-04-21,18.78,18.78,18.78,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2019-04-28,18.78,18.78,18.78,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.79,18.79,18.79,0.0,0.0
2019-05-05,18.7,18.7,18.7,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2019-05-12,18.71,18.71,18.71,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2019-05-19,18.64,18.64,18.64,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2019-05-26,18.56,18.56,18.56,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2019-06-02,18.72,18.72,18.72,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2019-06-09,18.78,18.78,18.78,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.79,18.79,18.79,0.0,0.0
2019-06-16,19.0,19.0,19.0,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2019-06-23,18.94,18.94,18.94,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2019-06-30,19.0,19.0,19.0,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2019-07-07,18.97,18.97,18.97,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2019-07-14,18.94,18.94,18.94,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.91,18.91,18.91,0.0,0.0
2019-07-21,18.94,18.94,18.94,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2019-07-28,18.94,18.94,18.94,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.92,18.92,18.92,0.0,0.0
2019-08-04,18.93,18.93,18.93,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.91,18.91,18.91,0.0,0.0
2019-08-11,18.89,18.89,18.89,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2019-08-18,18.97,18.97,18.97,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2019-08-25,19.09,19.09,19.09,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2019-09-01,19.09,19.09,19.09,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2019-09-08,19.12,19.12,19.12,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2019-09-15,19.17,19.17,19.17,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2019-09-22,19.03,19.03,19.03,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.01,19.01,19.01,0.0,0.0
2019-09-29,18.96,18.96,18.96,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2019-10-06,18.95,18.95,18.95,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2019-10-13,19.03,19.03,19.03,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2019-10-20,19.01,19.01,19.01,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2019-10-27,18.98,18.98,18.98,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.98,18.98,18.98,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2019-11-03,19.01,19.01,19.01,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2019-11-10,19.05,19.05,19.05,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2019-11-17,18.96,18.96,18.96,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2019-11-24,19.04,19.04,19.04,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2019-12-01,19.09,19.09,19.09,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2019-12-08,19.2,19.2,19.2,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2019-12-15,19.29,19.29,19.29,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2019-12-22,19.23,19.23,19.23,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2019-12-29,19.25,19.25,19.25,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.29,19.29,19.29,0.0,0.0
