Date,ProShares UltraShort Consumer Goods_etf_Open_average,ProShares UltraShort Consumer Goods_etf_Open_max,ProShares UltraShort Consumer Goods_etf_Open_min,ProShares UltraShort Consumer Goods_etf_Open_volatility,ProShares UltraShort Consumer Goods_etf_Open_change,ProShares UltraShort Consumer Goods_etf_High_average,ProShares UltraShort Consumer Goods_etf_High_max,ProShares UltraShort Consumer Goods_etf_High_min,ProShares UltraShort Consumer Goods_etf_High_volatility,ProShares UltraShort Consumer Goods_etf_High_change,ProShares UltraShort Consumer Goods_etf_Low_average,ProShares UltraShort Consumer Goods_etf_Low_max,ProShares UltraShort Consumer Goods_etf_Low_min,ProShares UltraShort Consumer Goods_etf_Low_volatility,ProShares UltraShort Consumer Goods_etf_Low_change,ProShares UltraShort Consumer Goods_etf_Close_average,ProShares UltraShort Consumer Goods_etf_Close_max,ProShares UltraShort Consumer Goods_etf_Close_min,ProShares UltraShort Consumer Goods_etf_Close_volatility,ProShares UltraShort Consumer Goods_etf_Close_change
2018-08-19,14.72,14.72,14.72,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2018-08-26,14.8,14.8,14.8,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.78,14.78,14.78,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-09-02,14.82,14.82,14.82,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2018-09-09,14.42,14.42,14.42,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2018-09-16,14.05,14.05,14.05,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.05,14.05,14.05,0.0,0.0,14.12,14.12,14.12,0.0,0.0
2018-09-23,14.74,14.74,14.74,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2018-09-30,15.37,15.37,15.37,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2018-10-07,16.35,16.35,16.35,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2018-10-14,16.08,16.08,16.08,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.07,16.07,16.07,0.0,0.0
2018-10-21,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.07,16.07,16.07,0.0,0.0
2018-10-28,14.73,14.73,14.73,0.0,0.0,15.17,15.17,15.17,0.0,0.0,14.73,14.73,14.73,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2018-11-04,14.82,14.82,14.82,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-11-11,15.27,15.27,15.27,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2018-11-18,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2018-11-25,15.37,15.37,15.37,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.23,15.23,15.23,0.0,0.0
2018-12-02,15.55,15.55,15.55,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-12-09,16.27,16.27,16.27,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-12-16,17.62,17.62,17.62,0.0,0.0,18.37,18.37,18.37,0.0,0.0,17.62,17.62,17.62,0.0,0.0,18.37,18.37,18.37,0.0,0.0
2018-12-23,17.65,17.65,17.65,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.62,17.62,17.62,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2018-12-30,17.48,17.48,17.48,0.0,0.0,18.19,18.19,18.19,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.52,17.52,17.52,0.0,0.0
2019-01-06,16.86,16.86,16.86,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2019-01-13,16.19,16.19,16.19,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.21,16.21,16.21,0.0,0.0
2019-01-20,16.36,16.36,16.36,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.51,16.51,16.51,0.0,0.0
2019-01-27,15.51,15.51,15.51,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2019-02-03,15.67,15.67,15.67,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2019-02-10,15.0,15.0,15.0,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2019-02-17,15.24,15.24,15.24,0.0,0.0,15.24,15.24,15.24,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2019-02-24,14.8,14.8,14.8,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2019-03-03,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2019-03-10,14.66,14.66,14.66,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2019-03-17,14.48,14.48,14.48,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.69,14.69,14.69,0.0,0.0
2019-03-24,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2019-03-31,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0,14.02,14.02,14.02,0.0,0.0,14.02,14.02,14.02,0.0,0.0
2019-04-07,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0
2019-04-14,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0
2019-04-21,13.51,13.51,13.51,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.51,13.51,13.51,0.0,0.0,13.54,13.54,13.54,0.0,0.0
2019-04-28,13.33,13.33,13.33,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.33,13.33,13.33,0.0,0.0
2019-05-05,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2019-05-12,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0
2019-05-19,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0
2019-05-26,15.17,15.17,15.17,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.22,15.22,15.22,0.0,0.0
2019-06-02,13.53,13.53,13.53,0.0,0.0,13.67,13.67,13.67,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.54,13.54,13.54,0.0,0.0
2019-06-09,13.4,13.4,13.4,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.4,13.4,13.4,0.0,0.0
2019-06-16,13.3,13.3,13.3,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.3,13.3,13.3,0.0,0.0
2019-06-23,13.36,13.36,13.36,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.41,13.41,13.41,0.0,0.0
2019-06-30,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2019-07-07,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2019-07-14,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2019-07-21,12.86,12.86,12.86,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.61,12.61,12.61,0.0,0.0
2019-07-28,13.2,13.2,13.2,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.23,13.23,13.23,0.0,0.0
2019-08-04,13.26,13.26,13.26,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2019-08-11,13.23,13.23,13.23,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.18,13.18,13.18,0.0,0.0
2019-08-18,12.93,12.93,12.93,0.0,0.0,13.57,13.57,13.57,0.0,0.0,12.93,12.93,12.93,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2019-08-25,12.9,12.9,12.9,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2019-09-01,12.34,12.34,12.34,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2019-09-08,12.27,12.27,12.27,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2019-09-15,12.61,12.61,12.61,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.66,12.66,12.66,0.0,0.0
2019-09-22,12.25,12.25,12.25,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2019-09-29,12.51,12.51,12.51,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.26,12.26,12.26,0.0,0.0
2019-10-06,12.3,12.3,12.3,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2019-10-13,12.25,12.25,12.25,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2019-10-20,12.11,12.11,12.11,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.04,12.04,12.04,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2019-10-27,12.05,12.05,12.05,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.05,12.05,12.05,0.0,0.0
2019-11-03,12.18,12.18,12.18,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.16,12.16,12.16,0.0,0.0
2019-11-10,12.07,12.07,12.07,0.0,0.0,12.07,12.07,12.07,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2019-11-17,12.13,12.13,12.13,0.0,0.0,12.13,12.13,12.13,0.0,0.0,12.04,12.04,12.04,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2019-11-24,11.71,11.71,11.71,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.71,11.71,11.71,0.0,0.0
2019-12-01,11.29,11.29,11.29,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.38,11.38,11.38,0.0,0.0
2019-12-08,11.37,11.37,11.37,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.19,11.19,11.19,0.0,0.0
2019-12-15,10.91,10.91,10.91,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2019-12-22,10.76,10.76,10.76,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.71,10.71,10.71,0.0,0.0
2019-12-29,10.92,10.92,10.92,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.93,10.93,10.93,0.0,0.0
