Date,ETFS Physical Swiss Gold Shares_Open_average,ETFS Physical Swiss Gold Shares_Open_max,ETFS Physical Swiss Gold Shares_Open_min,ETFS Physical Swiss Gold Shares_Open_volatility,ETFS Physical Swiss Gold Shares_Open_change,ETFS Physical Swiss Gold Shares_High_average,ETFS Physical Swiss Gold Shares_High_max,ETFS Physical Swiss Gold Shares_High_min,ETFS Physical Swiss Gold Shares_High_volatility,ETFS Physical Swiss Gold Shares_High_change,ETFS Physical Swiss Gold Shares_Low_average,ETFS Physical Swiss Gold Shares_Low_max,ETFS Physical Swiss Gold Shares_Low_min,ETFS Physical Swiss Gold Shares_Low_volatility,ETFS Physical Swiss Gold Shares_Low_change,ETFS Physical Swiss Gold Shares_Close_average,ETFS Physical Swiss Gold Shares_Close_max,ETFS Physical Swiss Gold Shares_Close_min,ETFS Physical Swiss Gold Shares_Close_volatility,ETFS Physical Swiss Gold Shares_Close_change
2018-03-25,12.93,12.93,12.93,0.0,0.0,13.01,13.01,13.01,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2018-04-01,12.91,12.91,12.91,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.85,12.85,12.85,0.0,0.0
2018-04-08,13.04,13.04,13.04,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.02,13.02,13.02,0.0,0.0,13.02,13.02,13.02,0.0,0.0
2018-04-15,12.82,12.82,12.82,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-04-22,12.7,12.7,12.7,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2018-04-29,12.69,12.69,12.69,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-05-06,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.7,12.7,12.7,0.0,0.0
2018-05-13,12.47,12.47,12.47,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-05-20,12.62,12.62,12.62,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2018-05-27,12.53,12.53,12.53,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.48,12.48,12.48,0.0,0.0
2018-06-03,12.55,12.55,12.55,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2018-06-10,12.37,12.37,12.37,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2018-06-17,12.24,12.24,12.24,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2018-06-24,12.05,12.05,12.05,0.0,0.0,12.06,12.06,12.06,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-07-01,12.21,12.21,12.21,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.16,12.16,12.16,0.0,0.0
2018-07-08,11.99,11.99,11.99,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2018-07-15,11.87,11.87,11.87,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2018-07-22,11.81,11.81,11.81,0.0,0.0,11.83,11.83,11.83,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.75,11.75,11.75,0.0,0.0
2018-07-29,11.68,11.68,11.68,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.66,11.66,11.66,0.0,0.0
2018-08-05,11.6,11.6,11.6,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.53,11.53,11.53,0.0,0.0
2018-08-12,11.46,11.46,11.46,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.49,11.49,11.49,0.0,0.0
2018-08-19,11.64,11.64,11.64,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.69,11.69,11.69,0.0,0.0
2018-08-26,11.6,11.6,11.6,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.58,11.58,11.58,0.0,0.0
2018-09-02,11.55,11.55,11.55,0.0,0.0,11.56,11.56,11.56,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.54,11.54,11.54,0.0,0.0
2018-09-09,11.59,11.59,11.59,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.59,11.59,11.59,0.0,0.0
2018-09-16,11.6,11.6,11.6,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.57,11.57,11.57,0.0,0.0
2018-09-23,11.47,11.47,11.47,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.48,11.48,11.48,0.0,0.0
2018-09-30,11.45,11.45,11.45,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.48,11.48,11.48,0.0,0.0
2018-10-07,11.84,11.84,11.84,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2018-10-14,11.79,11.79,11.79,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.8,11.8,11.8,0.0,0.0
2018-10-21,11.88,11.88,11.88,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.86,11.86,11.86,0.0,0.0
2018-10-28,11.85,11.85,11.85,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.88,11.88,11.88,0.0,0.0
2018-11-04,11.64,11.64,11.64,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.59,11.59,11.59,0.0,0.0,11.59,11.59,11.59,0.0,0.0
2018-11-11,11.78,11.78,11.78,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.8,11.8,11.8,0.0,0.0
2018-11-18,11.81,11.81,11.81,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-11-25,11.9,11.9,11.9,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.87,11.87,11.87,0.0,0.0
2018-12-02,12.01,12.01,12.01,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.0,12.0,12.0,0.0,0.0
2018-12-09,11.98,11.98,11.98,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2018-12-16,12.2,12.2,12.2,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2018-12-23,12.35,12.35,12.35,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2018-12-30,12.46,12.46,12.46,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2019-01-06,12.47,12.47,12.47,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2019-01-13,12.38,12.38,12.38,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2019-01-20,12.53,12.53,12.53,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2019-01-27,12.66,12.66,12.66,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2019-02-03,12.58,12.58,12.58,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.62,12.62,12.62,0.0,0.0
2019-02-10,12.72,12.72,12.72,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2019-02-17,12.84,12.84,12.84,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.79,12.79,12.79,0.0,0.0
2019-02-24,12.39,12.39,12.39,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2019-03-03,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2019-03-10,12.57,12.57,12.57,0.0,0.0,12.59,12.59,12.59,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.56,12.56,12.56,0.0,0.0
2019-03-17,12.7,12.7,12.7,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2019-03-24,12.47,12.47,12.47,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2019-03-31,12.54,12.54,12.54,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.51,12.51,12.51,0.0,0.0
2019-04-07,12.38,12.38,12.38,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2019-04-14,12.28,12.28,12.28,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2019-04-21,12.35,12.35,12.35,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2019-04-28,12.32,12.32,12.32,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2019-05-05,12.53,12.53,12.53,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2019-05-12,12.3,12.3,12.3,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.32,12.32,12.32,0.0,0.0
2019-05-19,12.37,12.37,12.37,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.38,12.38,12.38,0.0,0.0
2019-05-26,12.67,12.67,12.67,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.78,12.78,12.78,0.0,0.0
2019-06-02,12.82,12.82,12.82,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2019-06-09,12.95,12.95,12.95,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.91,12.91,12.91,0.0,0.0
2019-06-16,13.55,13.55,13.55,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.68,13.68,13.68,0.0,0.0
2019-06-23,13.43,13.43,13.43,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.34,13.34,13.34,0.0,0.0
2019-06-30,13.51,13.51,13.51,0.0,0.0,13.51,13.51,13.51,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.41,13.41,13.41,0.0,0.0
2019-07-07,13.61,13.61,13.61,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.64,13.64,13.64,0.0,0.0
2019-07-14,13.75,13.75,13.75,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.73,13.73,13.73,0.0,0.0
2019-07-21,13.7,13.7,13.7,0.0,0.0,13.76,13.76,13.76,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.74,13.74,13.74,0.0,0.0
2019-07-28,14.1,14.1,14.1,0.0,0.0,14.17,14.17,14.17,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.07,14.07,14.07,0.0,0.0
2019-08-04,14.48,14.48,14.48,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2019-08-11,14.44,14.44,14.44,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.41,14.41,14.41,0.0,0.0
2019-08-18,14.75,14.75,14.75,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.73,14.73,14.73,0.0,0.0
2019-08-25,14.7,14.7,14.7,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.69,14.69,14.69,0.0,0.0
2019-09-01,14.55,14.55,14.55,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2019-09-08,14.47,14.47,14.47,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2019-09-15,14.64,14.64,14.64,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.69,14.69,14.69,0.0,0.0
2019-09-22,14.29,14.29,14.29,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2019-09-29,14.43,14.43,14.43,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.38,14.38,14.38,0.0,0.0
2019-10-06,14.35,14.35,14.35,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.37,14.37,14.37,0.0,0.0
2019-10-13,14.39,14.39,14.39,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.29,14.29,14.29,0.0,0.0
2019-10-20,14.43,14.43,14.43,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.38,14.38,14.38,0.0,0.0
2019-10-27,14.5,14.5,14.5,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2019-11-03,14.05,14.05,14.05,0.0,0.0,14.08,14.08,14.08,0.0,0.0,13.94,13.94,13.94,0.0,0.0,14.01,14.01,14.01,0.0,0.0
2019-11-10,14.11,14.11,14.11,0.0,0.0,14.19,14.19,14.19,0.0,0.0,13.86,13.86,13.86,0.0,0.0,14.17,14.17,14.17,0.0,0.0
2019-11-17,14.04,14.04,14.04,0.0,0.0,14.07,14.07,14.07,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.01,14.01,14.01,0.0,0.0
2019-11-24,14.04,14.04,14.04,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.04,14.04,14.04,0.0,0.0,14.08,14.08,14.08,0.0,0.0
2019-12-01,14.08,14.08,14.08,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.05,14.05,14.05,0.0,0.0,14.07,14.07,14.07,0.0,0.0
2019-12-08,14.23,14.23,14.23,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2019-12-15,14.24,14.24,14.24,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2019-12-22,14.55,14.55,14.55,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2019-12-29,14.91,14.91,14.91,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.92,14.92,14.92,0.0,0.0
