Date,iShares MSCI EM ESG Optimized_Open_average,iShares MSCI EM ESG Optimized_Open_max,iShares MSCI EM ESG Optimized_Open_min,iShares MSCI EM ESG Optimized_Open_volatility,iShares MSCI EM ESG Optimized_Open_change,iShares MSCI EM ESG Optimized_High_average,iShares MSCI EM ESG Optimized_High_max,iShares MSCI EM ESG Optimized_High_min,iShares MSCI EM ESG Optimized_High_volatility,iShares MSCI EM ESG Optimized_High_change,iShares MSCI EM ESG Optimized_Low_average,iShares MSCI EM ESG Optimized_Low_max,iShares MSCI EM ESG Optimized_Low_min,iShares MSCI EM ESG Optimized_Low_volatility,iShares MSCI EM ESG Optimized_Low_change,iShares MSCI EM ESG Optimized_Close_average,iShares MSCI EM ESG Optimized_Close_max,iShares MSCI EM ESG Optimized_Close_min,iShares MSCI EM ESG Optimized_Close_volatility,iShares MSCI EM ESG Optimized_Close_change
2018-06-03,36.19,36.19,36.19,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2018-06-10,34.8,34.8,34.8,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-06-17,33.84,33.84,33.84,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-06-24,33.13,33.13,33.13,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-07-01,34.12,34.12,34.12,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-07-08,33.97,33.97,33.97,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-07-15,33.99,33.99,33.99,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-07-22,34.79,34.79,34.79,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-07-29,34.11,34.11,34.11,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-08-05,33.42,33.42,33.42,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-08-12,33.14,33.14,33.14,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-08-19,34.19,34.19,34.19,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-08-26,33.78,33.78,33.78,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2018-09-02,32.47,32.47,32.47,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2018-09-09,32.59,32.59,32.59,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-09-16,33.29,33.29,33.29,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-09-23,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2018-09-30,31.76,31.76,31.76,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-10-07,31.21,31.21,31.21,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-10-14,31.6,31.6,31.6,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-10-21,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2018-10-28,32.01,32.01,32.01,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-11-04,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-11-11,31.93,31.93,31.93,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-11-18,31.75,31.75,31.75,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-11-25,33.03,33.03,33.03,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2018-12-02,31.13,31.13,31.13,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-12-09,31.34,31.34,31.34,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-12-16,30.17,30.17,30.17,0.0,0.0,30.46,30.46,30.46,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-12-23,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-12-30,31.02,31.02,31.02,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2019-01-06,31.49,31.49,31.49,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2019-01-13,32.51,32.51,32.51,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2019-01-20,32.92,32.92,32.92,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.86,32.86,32.86,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2019-01-27,33.75,33.75,33.75,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.75,33.75,33.75,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2019-02-03,33.53,33.53,33.53,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2019-02-10,33.46,33.46,33.46,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2019-02-17,34.55,34.55,34.55,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2019-02-24,33.87,33.87,33.87,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2019-03-03,33.39,33.39,33.39,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-03-10,34.4,34.4,34.4,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2019-03-17,33.68,33.68,33.68,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2019-03-24,34.56,34.56,34.56,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2019-03-31,35.01,35.01,35.01,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2019-04-07,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2019-04-14,35.08,35.08,35.08,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2019-04-21,34.89,34.89,34.89,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2019-04-28,34.02,34.02,34.02,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2019-05-05,32.52,32.52,32.52,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-05-12,32.03,32.03,32.03,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2019-05-19,32.13,32.13,32.13,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2019-05-26,32.82,32.82,32.82,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2019-06-02,33.19,33.19,33.19,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2019-06-09,32.53,32.53,32.53,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2019-06-16,33.93,33.93,33.93,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2019-06-23,34.6,34.6,34.6,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2019-06-30,33.9,33.9,33.9,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2019-07-07,34.21,34.21,34.21,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2019-07-14,34.32,34.32,34.32,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2019-07-21,34.06,34.06,34.06,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2019-07-28,31.56,31.56,31.56,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2019-08-04,31.45,31.45,31.45,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2019-08-11,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2019-08-18,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2019-08-25,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2019-09-01,32.96,32.96,32.96,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2019-09-08,33.37,33.37,33.37,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2019-09-15,33.0,33.0,33.0,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2019-09-22,32.63,32.63,32.63,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2019-09-29,32.71,32.71,32.71,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2019-10-06,33.26,33.26,33.26,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2019-10-13,33.59,33.59,33.59,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2019-10-20,34.1,34.1,34.1,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2019-10-27,34.79,34.79,34.79,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2019-11-03,34.4,34.4,34.4,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2019-11-10,34.44,34.44,34.44,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2019-11-17,34.46,34.46,34.46,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2019-11-24,34.07,34.07,34.07,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.94,33.94,33.94,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2019-12-01,34.44,34.44,34.44,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2019-12-08,35.16,35.16,35.16,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2019-12-15,35.68,35.68,35.68,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2019-12-22,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2019-12-29,36.16,36.16,36.16,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.0,36.0,36.0,0.0,0.0
