Date,iShares Morningstar Mid-Cap Growth_Open_average,iShares Morningstar Mid-Cap Growth_Open_max,iShares Morningstar Mid-Cap Growth_Open_min,iShares Morningstar Mid-Cap Growth_Open_volatility,iShares Morningstar Mid-Cap Growth_Open_change,iShares Morningstar Mid-Cap Growth_High_average,iShares Morningstar Mid-Cap Growth_High_max,iShares Morningstar Mid-Cap Growth_High_min,iShares Morningstar Mid-Cap Growth_High_volatility,iShares Morningstar Mid-Cap Growth_High_change,iShares Morningstar Mid-Cap Growth_Low_average,iShares Morningstar Mid-Cap Growth_Low_max,iShares Morningstar Mid-Cap Growth_Low_min,iShares Morningstar Mid-Cap Growth_Low_volatility,iShares Morningstar Mid-Cap Growth_Low_change,iShares Morningstar Mid-Cap Growth_Close_average,iShares Morningstar Mid-Cap Growth_Close_max,iShares Morningstar Mid-Cap Growth_Close_min,iShares Morningstar Mid-Cap Growth_Close_volatility,iShares Morningstar Mid-Cap Growth_Close_change
2018-03-25,206.98,206.98,206.98,0.0,0.0,207.74,207.74,207.74,0.0,0.0,201.77,201.77,201.77,0.0,0.0,201.93,201.93,201.93,0.0,0.0
2018-04-01,205.52,205.52,205.52,0.0,0.0,206.53,206.53,206.53,0.0,0.0,205.27,205.27,205.27,0.0,0.0,205.27,205.27,205.27,0.0,0.0
2018-04-08,209.01,209.01,209.01,0.0,0.0,209.72,209.72,209.72,0.0,0.0,209.01,209.01,209.01,0.0,0.0,209.72,209.72,209.72,0.0,0.0
2018-04-15,211.87,211.87,211.87,0.0,0.0,212.23,212.23,212.23,0.0,0.0,210.23,210.23,210.23,0.0,0.0,210.23,210.23,210.23,0.0,0.0
2018-04-22,208.82,208.82,208.82,0.0,0.0,208.82,208.82,208.82,0.0,0.0,207.86,207.86,207.86,0.0,0.0,208.0,208.0,208.0,0.0,0.0
2018-04-29,210.47,210.47,210.47,0.0,0.0,212.28,212.28,212.28,0.0,0.0,210.47,210.47,210.47,0.0,0.0,212.28,212.28,212.28,0.0,0.0
2018-05-06,216.13,216.13,216.13,0.0,0.0,216.21,216.21,216.21,0.0,0.0,215.25,215.25,215.25,0.0,0.0,215.27,215.27,215.27,0.0,0.0
2018-05-13,216.88,216.88,216.88,0.0,0.0,217.36,217.36,217.36,0.0,0.0,216.88,216.88,216.88,0.0,0.0,217.06,217.06,217.06,0.0,0.0
2018-05-20,216.23,216.23,216.23,0.0,0.0,216.23,216.23,216.23,0.0,0.0,215.6,215.6,215.6,0.0,0.0,215.83,215.83,215.83,0.0,0.0
2018-05-27,218.67,218.67,218.67,0.0,0.0,218.67,218.67,218.67,0.0,0.0,218.67,218.67,218.67,0.0,0.0,218.67,218.67,218.67,0.0,0.0
2018-06-03,222.7,222.7,222.7,0.0,0.0,223.24,223.24,223.24,0.0,0.0,222.7,222.7,222.7,0.0,0.0,223.24,223.24,223.24,0.0,0.0
2018-06-10,224.27,224.27,224.27,0.0,0.0,226.31,226.31,226.31,0.0,0.0,224.27,224.27,224.27,0.0,0.0,226.3,226.3,226.3,0.0,0.0
2018-06-17,222.53,222.53,222.53,0.0,0.0,222.53,222.53,222.53,0.0,0.0,220.48,220.48,220.48,0.0,0.0,220.48,220.48,220.48,0.0,0.0
2018-06-24,218.12,218.12,218.12,0.0,0.0,219.27,219.27,219.27,0.0,0.0,217.98,217.98,217.98,0.0,0.0,219.26,219.26,219.26,0.0,0.0
2018-07-01,225.34,225.34,225.34,0.0,0.0,225.34,225.34,225.34,0.0,0.0,224.28,224.28,224.28,0.0,0.0,225.0,225.0,225.0,0.0,0.0
2018-07-08,227.34,227.34,227.34,0.0,0.0,227.34,227.34,227.34,0.0,0.0,225.67,225.67,225.67,0.0,0.0,225.67,225.67,225.67,0.0,0.0
2018-07-15,227.97,227.97,227.97,0.0,0.0,227.97,227.97,227.97,0.0,0.0,227.21,227.21,227.21,0.0,0.0,227.67,227.67,227.67,0.0,0.0
2018-07-22,224.12,224.12,224.12,0.0,0.0,224.12,224.12,224.12,0.0,0.0,220.54,220.54,220.54,0.0,0.0,220.54,220.54,220.54,0.0,0.0
2018-07-29,225.24,225.24,225.24,0.0,0.0,226.53,226.53,226.53,0.0,0.0,225.24,225.24,225.24,0.0,0.0,226.45,226.45,226.45,0.0,0.0
2018-08-05,225.77,225.77,225.77,0.0,0.0,226.65,226.65,226.65,0.0,0.0,225.77,225.77,225.77,0.0,0.0,225.78,225.78,225.78,0.0,0.0
2018-08-12,227.96,227.96,227.96,0.0,0.0,228.26,228.26,228.26,0.0,0.0,227.87,227.87,227.87,0.0,0.0,227.87,227.87,227.87,0.0,0.0
2018-08-19,235.25,235.25,235.25,0.0,0.0,235.46,235.46,235.46,0.0,0.0,235.02,235.02,235.02,0.0,0.0,235.05,235.05,235.05,0.0,0.0
2018-08-26,235.22,235.22,235.22,0.0,0.0,236.94,236.94,236.94,0.0,0.0,235.22,235.22,235.22,0.0,0.0,236.78,236.78,236.78,0.0,0.0
2018-09-02,234.25,234.25,234.25,0.0,0.0,235.14,235.14,235.14,0.0,0.0,234.25,234.25,234.25,0.0,0.0,234.82,234.82,234.82,0.0,0.0
2018-09-09,235.78,235.78,235.78,0.0,0.0,235.92,235.92,235.92,0.0,0.0,235.2,235.2,235.2,0.0,0.0,235.2,235.2,235.2,0.0,0.0
2018-09-16,235.12,235.12,235.12,0.0,0.0,235.32,235.32,235.32,0.0,0.0,234.17,234.17,234.17,0.0,0.0,235.28,235.28,235.28,0.0,0.0
2018-09-23,236.29,236.29,236.29,0.0,0.0,237.02,237.02,237.02,0.0,0.0,233.84,233.84,233.84,0.0,0.0,233.84,233.84,233.84,0.0,0.0
2018-09-30,226.88,226.88,226.88,0.0,0.0,226.88,226.88,226.88,0.0,0.0,222.38,222.38,222.38,0.0,0.0,224.72,224.72,224.72,0.0,0.0
2018-10-07,217.32,217.32,217.32,0.0,0.0,217.32,217.32,217.32,0.0,0.0,213.93,213.93,213.93,0.0,0.0,215.87,215.87,215.87,0.0,0.0
2018-10-14,213.07,213.07,213.07,0.0,0.0,214.7,214.7,214.7,0.0,0.0,212.66,212.66,212.66,0.0,0.0,213.73,213.73,213.73,0.0,0.0
2018-10-21,206.3,206.3,206.3,0.0,0.0,206.96,206.96,206.96,0.0,0.0,199.19,199.19,199.19,0.0,0.0,201.13,201.13,201.13,0.0,0.0
2018-10-28,212.39,212.39,212.39,0.0,0.0,213.32,213.32,213.32,0.0,0.0,211.46,211.46,211.46,0.0,0.0,212.42,212.42,212.42,0.0,0.0
2018-11-04,211.94,211.94,211.94,0.0,0.0,212.05,212.05,212.05,0.0,0.0,208.0,208.0,208.0,0.0,0.0,208.04,208.04,208.04,0.0,0.0
2018-11-11,210.71,210.71,210.71,0.0,0.0,210.71,210.71,210.71,0.0,0.0,204.11,204.11,204.11,0.0,0.0,204.86,204.86,204.86,0.0,0.0
2018-11-18,206.46,206.46,206.46,0.0,0.0,207.78,207.78,207.78,0.0,0.0,206.11,206.11,206.11,0.0,0.0,207.73,207.73,207.73,0.0,0.0
2018-11-25,230.37,230.37,230.37,0.0,0.0,230.37,230.37,230.37,0.0,0.0,215.87,215.87,215.87,0.0,0.0,217.17,217.17,217.17,0.0,0.0
2018-12-02,202.39,202.39,202.39,0.0,0.0,204.19,204.19,204.19,0.0,0.0,199.91,199.91,199.91,0.0,0.0,203.63,203.63,203.63,0.0,0.0
2018-12-09,197.36,197.36,197.36,0.0,0.0,199.56,199.56,199.56,0.0,0.0,194.75,194.75,194.75,0.0,0.0,194.91,194.91,194.91,0.0,0.0
2018-12-16,182.02,182.02,182.02,0.0,0.0,183.81,183.81,183.81,0.0,0.0,180.87,180.87,180.87,0.0,0.0,180.97,180.97,180.97,0.0,0.0
2018-12-23,193.3,193.3,193.3,0.0,0.0,194.44,194.44,194.44,0.0,0.0,192.55,192.55,192.55,0.0,0.0,194.39,194.39,194.39,0.0,0.0
2018-12-30,197.34,197.34,197.34,0.0,0.0,200.0,200.0,200.0,0.0,0.0,197.34,197.34,197.34,0.0,0.0,199.36,199.36,199.36,0.0,0.0
2019-01-06,203.51,203.51,203.51,0.0,0.0,204.49,204.49,204.49,0.0,0.0,203.51,203.51,203.51,0.0,0.0,203.68,203.68,203.68,0.0,0.0
2019-01-13,210.29,210.29,210.29,0.0,0.0,212.71,212.71,212.71,0.0,0.0,210.29,210.29,210.29,0.0,0.0,212.51,212.51,212.51,0.0,0.0
2019-01-20,210.94,210.94,210.94,0.0,0.0,211.44,211.44,211.44,0.0,0.0,210.12,210.12,210.12,0.0,0.0,211.33,211.33,211.33,0.0,0.0
2019-01-27,218.08,218.08,218.08,0.0,0.0,219.69,219.69,219.69,0.0,0.0,217.98,217.98,217.98,0.0,0.0,219.68,219.68,219.68,0.0,0.0
2019-02-03,221.6,221.6,221.6,0.0,0.0,222.34,222.34,222.34,0.0,0.0,220.87,220.87,220.87,0.0,0.0,221.57,221.57,221.57,0.0,0.0
2019-02-10,227.21,227.21,227.21,0.0,0.0,227.56,227.56,227.56,0.0,0.0,226.57,226.57,226.57,0.0,0.0,227.54,227.54,227.54,0.0,0.0
2019-02-17,230.51,230.51,230.51,0.0,0.0,231.62,231.62,231.62,0.0,0.0,230.17,230.17,230.17,0.0,0.0,230.18,230.18,230.18,0.0,0.0
2019-02-24,233.61,233.61,233.61,0.0,0.0,233.61,233.61,233.61,0.0,0.0,228.7,228.7,228.7,0.0,0.0,230.26,230.26,230.26,0.0,0.0
2019-03-03,225.97,225.97,225.97,0.0,0.0,228.98,228.98,228.98,0.0,0.0,225.97,225.97,225.97,0.0,0.0,228.98,228.98,228.98,0.0,0.0
2019-03-10,233.68,233.68,233.68,0.0,0.0,234.21,234.21,234.21,0.0,0.0,232.55,232.55,232.55,0.0,0.0,233.75,233.75,233.75,0.0,0.0
2019-03-17,230.34,230.34,230.34,0.0,0.0,231.45,231.45,231.45,0.0,0.0,229.59,229.59,229.59,0.0,0.0,231.07,231.07,231.07,0.0,0.0
2019-03-24,237.15,237.15,237.15,0.0,0.0,237.9,237.9,237.9,0.0,0.0,236.42,236.42,236.42,0.0,0.0,237.73,237.73,237.73,0.0,0.0
2019-03-31,239.06,239.06,239.06,0.0,0.0,239.81,239.81,239.81,0.0,0.0,237.54,237.54,237.54,0.0,0.0,239.81,239.81,239.81,0.0,0.0
2019-04-07,241.96,241.96,241.96,0.0,0.0,242.2,242.2,242.2,0.0,0.0,241.56,241.56,241.56,0.0,0.0,242.08,242.08,242.08,0.0,0.0
2019-04-14,237.87,237.87,237.87,0.0,0.0,239.27,239.27,239.27,0.0,0.0,237.62,237.62,237.62,0.0,0.0,239.27,239.27,239.27,0.0,0.0
2019-04-21,244.16,244.16,244.16,0.0,0.0,244.45,244.45,244.45,0.0,0.0,243.56,243.56,243.56,0.0,0.0,243.78,243.78,243.78,0.0,0.0
2019-04-28,240.47,240.47,240.47,0.0,0.0,245.21,245.21,245.21,0.0,0.0,240.47,240.47,240.47,0.0,0.0,244.84,244.84,244.84,0.0,0.0
2019-05-05,236.62,236.62,236.62,0.0,0.0,236.82,236.82,236.82,0.0,0.0,233.52,233.52,233.52,0.0,0.0,234.01,234.01,234.01,0.0,0.0
2019-05-12,238.56,238.56,238.56,0.0,0.0,239.38,239.38,239.38,0.0,0.0,237.44,237.44,237.44,0.0,0.0,238.11,238.11,238.11,0.0,0.0
2019-05-19,237.82,237.82,237.82,0.0,0.0,238.77,238.77,238.77,0.0,0.0,237.82,237.82,237.82,0.0,0.0,237.89,237.89,237.89,0.0,0.0
2019-05-26,235.37,235.37,235.37,0.0,0.0,235.37,235.37,235.37,0.0,0.0,231.53,231.53,231.53,0.0,0.0,232.61,232.61,232.61,0.0,0.0
2019-06-02,247.69,247.69,247.69,0.0,0.0,250.07,250.07,250.07,0.0,0.0,247.69,247.69,247.69,0.0,0.0,247.98,247.98,247.98,0.0,0.0
2019-06-09,247.8,247.8,247.8,0.0,0.0,247.8,247.8,247.8,0.0,0.0,246.93,246.93,246.93,0.0,0.0,246.93,246.93,246.93,0.0,0.0
2019-06-16,251.96,251.96,251.96,0.0,0.0,252.35,252.35,252.35,0.0,0.0,249.82,249.82,249.82,0.0,0.0,249.83,249.83,249.83,0.0,0.0
2019-06-23,255.18,255.18,255.18,0.0,0.0,255.37,255.37,255.37,0.0,0.0,252.9,252.9,252.9,0.0,0.0,253.51,253.51,253.51,0.0,0.0
2019-06-30,255.31,255.31,255.31,0.0,0.0,255.31,255.31,255.31,0.0,0.0,253.88,253.88,253.88,0.0,0.0,254.5,254.5,254.5,0.0,0.0
2019-07-07,259.79,259.79,259.79,0.0,0.0,259.79,259.79,259.79,0.0,0.0,258.18,258.18,258.18,0.0,0.0,258.7,258.7,258.7,0.0,0.0
2019-07-14,257.03,257.03,257.03,0.0,0.0,257.98,257.98,257.98,0.0,0.0,256.47,256.47,256.47,0.0,0.0,256.47,256.47,256.47,0.0,0.0
2019-07-21,259.37,259.37,259.37,0.0,0.0,259.37,259.37,259.37,0.0,0.0,256.67,256.67,256.67,0.0,0.0,257.9,257.9,257.9,0.0,0.0
2019-07-28,243.84,243.84,243.84,0.0,0.0,243.84,243.84,243.84,0.0,0.0,238.34,238.34,238.34,0.0,0.0,240.54,240.54,240.54,0.0,0.0
2019-08-04,248.77,248.77,248.77,0.0,0.0,248.77,248.77,248.77,0.0,0.0,245.5,245.5,245.5,0.0,0.0,246.11,246.11,246.11,0.0,0.0
2019-08-11,250.17,250.17,250.17,0.0,0.0,250.17,250.17,250.17,0.0,0.0,248.4,248.4,248.4,0.0,0.0,248.92,248.92,248.92,0.0,0.0
2019-08-18,246.02,246.02,246.02,0.0,0.0,246.7,246.7,246.7,0.0,0.0,244.2,244.2,244.2,0.0,0.0,245.23,245.23,245.23,0.0,0.0
2019-08-25,249.58,249.58,249.58,0.0,0.0,249.58,249.58,249.58,0.0,0.0,247.06,247.06,247.06,0.0,0.0,247.97,247.97,247.97,0.0,0.0
2019-09-01,251.13,251.13,251.13,0.0,0.0,251.13,251.13,251.13,0.0,0.0,245.32,245.32,245.32,0.0,0.0,246.1,246.1,246.1,0.0,0.0
2019-09-08,244.64,244.64,244.64,0.0,0.0,247.2,247.2,247.2,0.0,0.0,244.64,244.64,244.64,0.0,0.0,247.05,247.05,247.05,0.0,0.0
2019-09-15,246.86,246.86,246.86,0.0,0.0,248.09,248.09,248.09,0.0,0.0,246.86,246.86,246.86,0.0,0.0,247.39,247.39,247.39,0.0,0.0
2019-09-22,241.8,241.8,241.8,0.0,0.0,244.06,244.06,244.06,0.0,0.0,241.8,241.8,241.8,0.0,0.0,243.43,243.43,243.43,0.0,0.0
2019-09-29,242.31,242.31,242.31,0.0,0.0,243.17,243.17,243.17,0.0,0.0,242.05,242.05,242.05,0.0,0.0,242.05,242.05,242.05,0.0,0.0
2019-10-06,243.93,243.93,243.93,0.0,0.0,244.17,244.17,244.17,0.0,0.0,243.53,243.53,243.53,0.0,0.0,243.8,243.8,243.8,0.0,0.0
2019-10-13,244.44,244.44,244.44,0.0,0.0,244.97,244.97,244.97,0.0,0.0,244.24,244.24,244.24,0.0,0.0,244.7,244.7,244.7,0.0,0.0
2019-10-20,247.42,247.42,247.42,0.0,0.0,247.95,247.95,247.95,0.0,0.0,247.42,247.42,247.42,0.0,0.0,247.44,247.44,247.44,0.0,0.0
2019-10-27,249.4,249.4,249.4,0.0,0.0,249.4,249.4,249.4,0.0,0.0,247.73,247.73,247.73,0.0,0.0,247.73,247.73,247.73,0.0,0.0
2019-11-03,246.16,246.16,246.16,0.0,0.0,248.64,248.64,248.64,0.0,0.0,246.16,246.16,246.16,0.0,0.0,248.31,248.31,248.31,0.0,0.0
2019-11-10,253.14,253.14,253.14,0.0,0.0,254.23,254.23,254.23,0.0,0.0,253.14,253.14,253.14,0.0,0.0,253.77,253.77,253.77,0.0,0.0
2019-11-17,256.61,256.61,256.61,0.0,0.0,258.62,258.62,258.62,0.0,0.0,256.61,256.61,256.61,0.0,0.0,258.4,258.4,258.4,0.0,0.0
2019-11-24,259.2,259.2,259.2,0.0,0.0,259.2,259.2,259.2,0.0,0.0,255.93,255.93,255.93,0.0,0.0,256.91,256.91,256.91,0.0,0.0
2019-12-01,258.57,258.57,258.57,0.0,0.0,258.83,258.83,258.83,0.0,0.0,257.28,257.28,257.28,0.0,0.0,257.28,257.28,257.28,0.0,0.0
2019-12-08,259.97,259.97,259.97,0.0,0.0,261.61,261.61,261.61,0.0,0.0,259.56,259.56,259.56,0.0,0.0,260.68,260.68,260.68,0.0,0.0
2019-12-15,263.57,263.57,263.57,0.0,0.0,264.02,264.02,264.02,0.0,0.0,263.12,263.12,263.12,0.0,0.0,263.43,263.43,263.43,0.0,0.0
2019-12-22,261.98,261.98,261.98,0.0,0.0,262.88,262.88,262.88,0.0,0.0,261.32,261.32,261.32,0.0,0.0,262.13,262.13,262.13,0.0,0.0
2019-12-29,262.95,262.95,262.95,0.0,0.0,265.36,265.36,265.36,0.0,0.0,262.95,262.95,262.95,0.0,0.0,264.69,264.69,264.69,0.0,0.0
