Date,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Open_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Open_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Open_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Open_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Open_change,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_High_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_High_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_High_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_High_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_High_change,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Low_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Low_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Low_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Low_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Low_change,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Close_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Close_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Close_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Close_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_etf_Close_change
2018-06-24,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2018-07-01,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-07-08,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-07-15,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0
2018-07-22,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-07-29,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-08-05,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-08-12,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-08-19,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-08-26,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-09-02,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-09-09,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-09-16,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-09-23,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-09-30,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-10-07,27.09,27.09,27.09,0.0,0.0,27.44,27.44,27.44,0.0,0.0,26.57,26.57,26.57,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-10-14,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-10-21,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-10-28,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-11-04,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-11-11,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-11-18,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-11-25,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-12-02,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2018-12-09,25.17,25.17,25.17,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-12-16,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0
2018-12-23,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2018-12-30,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-01-06,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2019-01-13,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2019-01-20,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2019-01-27,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-02-03,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2019-02-10,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2019-02-17,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2019-02-24,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2019-03-03,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2019-03-10,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2019-03-17,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2019-03-24,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2019-03-31,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2019-04-07,27.51,27.51,27.51,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0
2019-04-14,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2019-04-21,27.34,27.34,27.34,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2019-04-28,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2019-05-05,26.76,26.76,26.76,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.76,26.76,26.76,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2019-05-12,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2019-05-19,26.21,26.21,26.21,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2019-05-26,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2019-06-02,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2019-06-09,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2019-06-16,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2019-06-23,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2019-06-30,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2019-07-07,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2019-07-14,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2019-07-21,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-07-28,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2019-08-04,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2019-08-11,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2019-08-18,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2019-08-25,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2019-09-01,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2019-09-08,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2019-09-15,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2019-09-22,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2019-09-29,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2019-10-06,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2019-10-13,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2019-10-20,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2019-10-27,27.44,27.44,27.44,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2019-11-03,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2019-11-10,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2019-11-17,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2019-11-24,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2019-12-01,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2019-12-08,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2019-12-15,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2019-12-22,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2019-12-29,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0
