Date,Barclays Women in Leadership_Open_average,Barclays Women in Leadership_Open_max,Barclays Women in Leadership_Open_min,Barclays Women in Leadership_Open_volatility,Barclays Women in Leadership_Open_change,Barclays Women in Leadership_High_average,Barclays Women in Leadership_High_max,Barclays Women in Leadership_High_min,Barclays Women in Leadership_High_volatility,Barclays Women in Leadership_High_change,Barclays Women in Leadership_Low_average,Barclays Women in Leadership_Low_max,Barclays Women in Leadership_Low_min,Barclays Women in Leadership_Low_volatility,Barclays Women in Leadership_Low_change,Barclays Women in Leadership_Close_average,Barclays Women in Leadership_Close_max,Barclays Women in Leadership_Close_min,Barclays Women in Leadership_Close_volatility,Barclays Women in Leadership_Close_change
2018-09-09,68.62,68.62,68.62,0.0,0.0,68.66,68.66,68.66,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2018-09-16,68.65,68.65,68.65,0.0,0.0,68.81,68.81,68.81,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.81,68.81,68.81,0.0,0.0
2018-09-23,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0
2018-09-30,69.0,69.0,69.0,0.0,0.0,69.27,69.27,69.27,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.15,69.15,69.15,0.0,0.0
2018-10-07,66.07,66.07,66.07,0.0,0.0,66.07,66.07,66.07,0.0,0.0,66.07,66.07,66.07,0.0,0.0,66.07,66.07,66.07,0.0,0.0
2018-10-14,66.08,66.08,66.08,0.0,0.0,66.17,66.17,66.17,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2018-10-21,64.22,64.22,64.22,0.0,0.0,64.22,64.22,64.22,0.0,0.0,64.22,64.22,64.22,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-10-28,65.14,65.14,65.14,0.0,0.0,65.14,65.14,65.14,0.0,0.0,65.14,65.14,65.14,0.0,0.0,65.14,65.14,65.14,0.0,0.0
2018-11-04,65.29,65.29,65.29,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2018-11-11,64.61,64.61,64.61,0.0,0.0,64.61,64.61,64.61,0.0,0.0,64.61,64.61,64.61,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2018-11-18,63.68,63.68,63.68,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.68,63.68,63.68,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2018-11-25,65.77,65.77,65.77,0.0,0.0,65.97,65.97,65.97,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2018-12-02,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0
2018-12-09,60.61,60.61,60.61,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2018-12-16,55.92,55.92,55.92,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.92,55.92,55.92,0.0,0.0
2018-12-23,59.06,59.06,59.06,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-12-30,61.55,61.55,61.55,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.48,61.48,61.48,0.0,0.0
2019-01-06,62.49,62.49,62.49,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2019-01-13,63.99,63.99,63.99,0.0,0.0,64.1,64.1,64.1,0.0,0.0,63.99,63.99,63.99,0.0,0.0,64.1,64.1,64.1,0.0,0.0
2019-01-20,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2019-01-27,65.95,65.95,65.95,0.0,0.0,65.95,65.95,65.95,0.0,0.0,65.95,65.95,65.95,0.0,0.0,65.95,65.95,65.95,0.0,0.0
2019-02-03,65.84,65.84,65.84,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2019-02-10,67.55,67.55,67.55,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2019-02-17,68.39,68.39,68.39,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.39,68.39,68.39,0.0,0.0
2019-02-24,67.8,67.8,67.8,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.85,67.85,67.85,0.0,0.0
2019-03-03,67.34,67.34,67.34,0.0,0.0,67.74,67.74,67.74,0.0,0.0,67.34,67.34,67.34,0.0,0.0,67.74,67.74,67.74,0.0,0.0
2019-03-10,68.84,68.84,68.84,0.0,0.0,68.84,68.84,68.84,0.0,0.0,68.84,68.84,68.84,0.0,0.0,68.84,68.84,68.84,0.0,0.0
2019-03-17,67.98,67.98,67.98,0.0,0.0,67.98,67.98,67.98,0.0,0.0,67.98,67.98,67.98,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2019-03-24,69.13,69.13,69.13,0.0,0.0,69.35,69.35,69.35,0.0,0.0,69.13,69.13,69.13,0.0,0.0,69.35,69.35,69.35,0.0,0.0
2019-03-31,69.8,69.8,69.8,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2019-04-07,69.92,69.92,69.92,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2019-04-14,70.15,70.15,70.15,0.0,0.0,70.15,70.15,70.15,0.0,0.0,70.15,70.15,70.15,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2019-04-21,70.32,70.32,70.32,0.0,0.0,70.32,70.32,70.32,0.0,0.0,70.32,70.32,70.32,0.0,0.0,70.32,70.32,70.32,0.0,0.0
2019-04-28,69.62,69.62,69.62,0.0,0.0,69.84,69.84,69.84,0.0,0.0,69.62,69.62,69.62,0.0,0.0,69.84,69.84,69.84,0.0,0.0
2019-05-05,67.91,67.91,67.91,0.0,0.0,67.91,67.91,67.91,0.0,0.0,67.91,67.91,67.91,0.0,0.0,67.91,67.91,67.91,0.0,0.0
2019-05-12,68.89,68.89,68.89,0.0,0.0,68.89,68.89,68.89,0.0,0.0,68.89,68.89,68.89,0.0,0.0,68.89,68.89,68.89,0.0,0.0
2019-05-19,68.34,68.34,68.34,0.0,0.0,68.34,68.34,68.34,0.0,0.0,68.34,68.34,68.34,0.0,0.0,68.34,68.34,68.34,0.0,0.0
2019-05-26,66.51,66.51,66.51,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2019-06-02,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2019-06-09,70.0,70.0,70.0,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.0,70.0,70.0,0.0,0.0
2019-06-16,72.5,72.5,72.5,0.0,0.0,72.5,72.5,72.5,0.0,0.0,71.58,71.58,71.58,0.0,0.0,72.45,72.45,72.45,0.0,0.0
2019-06-23,73.04,73.04,73.04,0.0,0.0,73.04,73.04,73.04,0.0,0.0,72.28,72.28,72.28,0.0,0.0,72.28,72.28,72.28,0.0,0.0
2019-06-30,72.89,72.89,72.89,0.0,0.0,72.89,72.89,72.89,0.0,0.0,72.78,72.78,72.78,0.0,0.0,72.78,72.78,72.78,0.0,0.0
2019-07-07,73.65,73.65,73.65,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.62,73.62,73.62,0.0,0.0,73.62,73.62,73.62,0.0,0.0
2019-07-14,72.47,72.47,72.47,0.0,0.0,72.57,72.57,72.57,0.0,0.0,72.39,72.39,72.39,0.0,0.0,72.57,72.57,72.57,0.0,0.0
2019-07-21,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.52,73.52,73.52,0.0,0.0,73.52,73.52,73.52,0.0,0.0
2019-07-28,69.34,69.34,69.34,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2019-08-04,70.22,70.22,70.22,0.0,0.0,70.22,70.22,70.22,0.0,0.0,70.19,70.19,70.19,0.0,0.0,70.22,70.22,70.22,0.0,0.0
2019-08-11,70.6,70.6,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2019-08-18,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2019-08-25,69.91,69.91,69.91,0.0,0.0,69.91,69.91,69.91,0.0,0.0,69.91,69.91,69.91,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2019-09-01,71.2,71.2,71.2,0.0,0.0,71.2,71.2,71.2,0.0,0.0,71.2,71.2,71.2,0.0,0.0,71.2,71.2,71.2,0.0,0.0
2019-09-08,57.12,57.12,57.12,0.0,0.0,57.12,57.12,57.12,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.64,53.64,53.64,0.0,0.0
2019-09-15,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0
2019-09-22,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0
2019-09-29,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2019-10-06,69.9,69.9,69.9,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2019-10-13,70.09,70.09,70.09,0.0,0.0,70.09,70.09,70.09,0.0,0.0,70.09,70.09,70.09,0.0,0.0,70.09,70.09,70.09,0.0,0.0
2019-10-20,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2019-10-27,71.24,71.24,71.24,0.0,0.0,71.24,71.24,71.24,0.0,0.0,71.24,71.24,71.24,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2019-11-03,71.3,71.3,71.3,0.0,0.0,71.3,71.3,71.3,0.0,0.0,71.3,71.3,71.3,0.0,0.0,71.3,71.3,71.3,0.0,0.0
2019-11-10,72.24,72.24,72.24,0.0,0.0,72.24,72.24,72.24,0.0,0.0,72.18,72.18,72.18,0.0,0.0,72.18,72.18,72.18,0.0,0.0
2019-11-17,72.44,72.44,72.44,0.0,0.0,72.49,72.49,72.49,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.49,72.49,72.49,0.0,0.0
2019-11-24,72.21,72.21,72.21,0.0,0.0,72.21,72.21,72.21,0.0,0.0,72.21,72.21,72.21,0.0,0.0,72.21,72.21,72.21,0.0,0.0
2019-12-01,72.52,72.52,72.52,0.0,0.0,72.52,72.52,72.52,0.0,0.0,72.52,72.52,72.52,0.0,0.0,72.52,72.52,72.52,0.0,0.0
2019-12-08,73.29,73.29,73.29,0.0,0.0,73.29,73.29,73.29,0.0,0.0,73.29,73.29,73.29,0.0,0.0,73.29,73.29,73.29,0.0,0.0
2019-12-15,74.29,74.29,74.29,0.0,0.0,74.29,74.29,74.29,0.0,0.0,74.29,74.29,74.29,0.0,0.0,74.29,74.29,74.29,0.0,0.0
2019-12-22,73.9,73.9,73.9,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.9,73.9,73.9,0.0,0.0
2019-12-29,74.62,74.62,74.62,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.62,74.62,74.62,0.0,0.0
