Date,iShares iBoxx $ High Yield Corporate Bond_Open_average,iShares iBoxx $ High Yield Corporate Bond_Open_max,iShares iBoxx $ High Yield Corporate Bond_Open_min,iShares iBoxx $ High Yield Corporate Bond_Open_volatility,iShares iBoxx $ High Yield Corporate Bond_Open_change,iShares iBoxx $ High Yield Corporate Bond_High_average,iShares iBoxx $ High Yield Corporate Bond_High_max,iShares iBoxx $ High Yield Corporate Bond_High_min,iShares iBoxx $ High Yield Corporate Bond_High_volatility,iShares iBoxx $ High Yield Corporate Bond_High_change,iShares iBoxx $ High Yield Corporate Bond_Low_average,iShares iBoxx $ High Yield Corporate Bond_Low_max,iShares iBoxx $ High Yield Corporate Bond_Low_min,iShares iBoxx $ High Yield Corporate Bond_Low_volatility,iShares iBoxx $ High Yield Corporate Bond_Low_change,iShares iBoxx $ High Yield Corporate Bond_Close_average,iShares iBoxx $ High Yield Corporate Bond_Close_max,iShares iBoxx $ High Yield Corporate Bond_Close_min,iShares iBoxx $ High Yield Corporate Bond_Close_volatility,iShares iBoxx $ High Yield Corporate Bond_Close_change
2018-03-25,85.49,85.49,85.49,0.0,0.0,85.7,85.7,85.7,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.64,85.64,85.64,0.0,0.0
2018-04-01,85.41,85.41,85.41,0.0,0.0,85.5,85.5,85.5,0.0,0.0,85.17,85.17,85.17,0.0,0.0,85.27,85.27,85.27,0.0,0.0
2018-04-08,86.3,86.3,86.3,0.0,0.0,86.41,86.41,86.41,0.0,0.0,86.24,86.24,86.24,0.0,0.0,86.29,86.29,86.29,0.0,0.0
2018-04-15,86.05,86.05,86.05,0.0,0.0,86.09,86.09,86.09,0.0,0.0,85.87,85.87,85.87,0.0,0.0,85.89,85.89,85.89,0.0,0.0
2018-04-22,85.87,85.87,85.87,0.0,0.0,85.92,85.92,85.92,0.0,0.0,85.61,85.61,85.61,0.0,0.0,85.76,85.76,85.76,0.0,0.0
2018-04-29,85.21,85.21,85.21,0.0,0.0,85.45,85.45,85.45,0.0,0.0,85.16,85.16,85.16,0.0,0.0,85.42,85.42,85.42,0.0,0.0
2018-05-06,85.76,85.76,85.76,0.0,0.0,85.84,85.84,85.84,0.0,0.0,85.63,85.63,85.63,0.0,0.0,85.73,85.73,85.73,0.0,0.0
2018-05-13,85.35,85.35,85.35,0.0,0.0,85.46,85.46,85.46,0.0,0.0,85.33,85.33,85.33,0.0,0.0,85.4,85.4,85.4,0.0,0.0
2018-05-20,85.58,85.58,85.58,0.0,0.0,85.64,85.64,85.64,0.0,0.0,85.46,85.46,85.46,0.0,0.0,85.56,85.56,85.56,0.0,0.0
2018-05-27,85.15,85.15,85.15,0.0,0.0,85.22,85.22,85.22,0.0,0.0,85.1,85.1,85.1,0.0,0.0,85.19,85.19,85.19,0.0,0.0
2018-06-03,85.6,85.6,85.6,0.0,0.0,85.73,85.73,85.73,0.0,0.0,85.57,85.57,85.57,0.0,0.0,85.66,85.66,85.66,0.0,0.0
2018-06-10,86.11,86.11,86.11,0.0,0.0,86.16,86.16,86.16,0.0,0.0,85.99,85.99,85.99,0.0,0.0,86.12,86.12,86.12,0.0,0.0
2018-06-17,86.04,86.04,86.04,0.0,0.0,86.09,86.09,86.09,0.0,0.0,85.88,85.88,85.88,0.0,0.0,85.91,85.91,85.91,0.0,0.0
2018-06-24,85.39,85.39,85.39,0.0,0.0,85.52,85.52,85.52,0.0,0.0,85.06,85.06,85.06,0.0,0.0,85.08,85.08,85.08,0.0,0.0
2018-07-01,85.13,85.13,85.13,0.0,0.0,85.33,85.33,85.33,0.0,0.0,85.12,85.12,85.12,0.0,0.0,85.33,85.33,85.33,0.0,0.0
2018-07-08,85.68,85.68,85.68,0.0,0.0,85.72,85.72,85.72,0.0,0.0,85.61,85.61,85.61,0.0,0.0,85.61,85.61,85.61,0.0,0.0
2018-07-15,85.62,85.62,85.62,0.0,0.0,85.69,85.69,85.69,0.0,0.0,85.58,85.58,85.58,0.0,0.0,85.62,85.62,85.62,0.0,0.0
2018-07-22,85.95,85.95,85.95,0.0,0.0,85.98,85.98,85.98,0.0,0.0,85.81,85.81,85.81,0.0,0.0,85.91,85.91,85.91,0.0,0.0
2018-07-29,85.86,85.86,85.86,0.0,0.0,85.99,85.99,85.99,0.0,0.0,85.85,85.85,85.85,0.0,0.0,85.95,85.95,85.95,0.0,0.0
2018-08-05,85.9,85.9,85.9,0.0,0.0,86.01,86.01,86.01,0.0,0.0,85.82,85.82,85.82,0.0,0.0,85.89,85.89,85.89,0.0,0.0
2018-08-12,85.9,85.9,85.9,0.0,0.0,86.07,86.07,86.07,0.0,0.0,85.9,85.9,85.9,0.0,0.0,86.04,86.04,86.04,0.0,0.0
2018-08-19,86.28,86.28,86.28,0.0,0.0,86.41,86.41,86.41,0.0,0.0,86.25,86.25,86.25,0.0,0.0,86.38,86.38,86.38,0.0,0.0
2018-08-26,86.29,86.29,86.29,0.0,0.0,86.42,86.42,86.42,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.36,86.36,86.36,0.0,0.0
2018-09-02,85.63,85.63,85.63,0.0,0.0,85.77,85.77,85.77,0.0,0.0,85.63,85.63,85.63,0.0,0.0,85.7,85.7,85.7,0.0,0.0
2018-09-09,86.24,86.24,86.24,0.0,0.0,86.39,86.39,86.39,0.0,0.0,86.23,86.23,86.23,0.0,0.0,86.33,86.33,86.33,0.0,0.0
2018-09-16,86.22,86.22,86.22,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.2,86.2,86.2,0.0,0.0,86.24,86.24,86.24,0.0,0.0
2018-09-23,86.35,86.35,86.35,0.0,0.0,86.46,86.46,86.46,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.44,86.44,86.44,0.0,0.0
2018-09-30,85.65,85.65,85.65,0.0,0.0,85.67,85.67,85.67,0.0,0.0,85.3,85.3,85.3,0.0,0.0,85.3,85.3,85.3,0.0,0.0
2018-10-07,85.11,85.11,85.11,0.0,0.0,85.21,85.21,85.21,0.0,0.0,84.94,84.94,84.94,0.0,0.0,85.15,85.15,85.15,0.0,0.0
2018-10-14,85.05,85.05,85.05,0.0,0.0,85.07,85.07,85.07,0.0,0.0,84.85,84.85,84.85,0.0,0.0,84.9,84.9,84.9,0.0,0.0
2018-10-21,84.31,84.31,84.31,0.0,0.0,84.53,84.53,84.53,0.0,0.0,84.17,84.17,84.17,0.0,0.0,84.23,84.23,84.23,0.0,0.0
2018-10-28,84.42,84.42,84.42,0.0,0.0,84.53,84.53,84.53,0.0,0.0,84.14,84.14,84.14,0.0,0.0,84.27,84.27,84.27,0.0,0.0
2018-11-04,84.67,84.67,84.67,0.0,0.0,84.68,84.68,84.68,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.36,84.36,84.36,0.0,0.0
2018-11-11,83.16,83.16,83.16,0.0,0.0,83.3,83.3,83.3,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.27,83.27,83.27,0.0,0.0
2018-11-18,82.83,82.83,82.83,0.0,0.0,82.9,82.9,82.9,0.0,0.0,82.71,82.71,82.71,0.0,0.0,82.71,82.71,82.71,0.0,0.0
2018-11-25,83.56,83.56,83.56,0.0,0.0,83.74,83.74,83.74,0.0,0.0,83.55,83.55,83.55,0.0,0.0,83.6,83.6,83.6,0.0,0.0
2018-12-02,83.26,83.26,83.26,0.0,0.0,83.39,83.39,83.39,0.0,0.0,82.82,82.82,82.82,0.0,0.0,82.83,82.83,82.83,0.0,0.0
2018-12-09,83.37,83.37,83.37,0.0,0.0,83.48,83.48,83.48,0.0,0.0,83.1,83.1,83.1,0.0,0.0,83.16,83.16,83.16,0.0,0.0
2018-12-16,80.59,80.59,80.59,0.0,0.0,80.93,80.93,80.93,0.0,0.0,80.1,80.1,80.1,0.0,0.0,80.23,80.23,80.23,0.0,0.0
2018-12-23,80.99,80.99,80.99,0.0,0.0,81.32,81.32,81.32,0.0,0.0,80.85,80.85,80.85,0.0,0.0,81.04,81.04,81.04,0.0,0.0
2018-12-30,81.67,81.67,81.67,0.0,0.0,82.5,82.5,82.5,0.0,0.0,81.57,81.57,81.57,0.0,0.0,82.39,82.39,82.39,0.0,0.0
2019-01-06,83.82,83.82,83.82,0.0,0.0,83.98,83.98,83.98,0.0,0.0,83.78,83.78,83.78,0.0,0.0,83.89,83.89,83.89,0.0,0.0
2019-01-13,84.42,84.42,84.42,0.0,0.0,84.67,84.67,84.67,0.0,0.0,84.39,84.39,84.39,0.0,0.0,84.5,84.5,84.5,0.0,0.0
2019-01-20,84.36,84.36,84.36,0.0,0.0,84.49,84.49,84.49,0.0,0.0,84.34,84.34,84.34,0.0,0.0,84.41,84.41,84.41,0.0,0.0
2019-01-27,84.66,84.66,84.66,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.54,84.54,84.54,0.0,0.0,84.68,84.68,84.68,0.0,0.0
2019-02-03,84.71,84.71,84.71,0.0,0.0,84.81,84.81,84.81,0.0,0.0,84.58,84.58,84.58,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2019-02-10,85.28,85.28,85.28,0.0,0.0,85.46,85.46,85.46,0.0,0.0,85.28,85.28,85.28,0.0,0.0,85.4,85.4,85.4,0.0,0.0
2019-02-17,85.52,85.52,85.52,0.0,0.0,85.67,85.67,85.67,0.0,0.0,85.49,85.49,85.49,0.0,0.0,85.59,85.59,85.59,0.0,0.0
2019-02-24,85.55,85.55,85.55,0.0,0.0,85.66,85.66,85.66,0.0,0.0,85.5,85.5,85.5,0.0,0.0,85.61,85.61,85.61,0.0,0.0
2019-03-03,84.98,84.98,84.98,0.0,0.0,85.12,85.12,85.12,0.0,0.0,84.81,84.81,84.81,0.0,0.0,85.1,85.1,85.1,0.0,0.0
2019-03-10,85.76,85.76,85.76,0.0,0.0,85.88,85.88,85.88,0.0,0.0,85.75,85.75,85.75,0.0,0.0,85.78,85.78,85.78,0.0,0.0
2019-03-17,86.02,86.02,86.02,0.0,0.0,86.05,86.05,86.05,0.0,0.0,85.75,85.75,85.75,0.0,0.0,85.84,85.84,85.84,0.0,0.0
2019-03-24,86.32,86.32,86.32,0.0,0.0,86.53,86.53,86.53,0.0,0.0,86.3,86.3,86.3,0.0,0.0,86.47,86.47,86.47,0.0,0.0
2019-03-31,86.36,86.36,86.36,0.0,0.0,86.5,86.5,86.5,0.0,0.0,86.34,86.34,86.34,0.0,0.0,86.43,86.43,86.43,0.0,0.0
2019-04-07,86.93,86.93,86.93,0.0,0.0,87.01,87.01,87.01,0.0,0.0,86.79,86.79,86.79,0.0,0.0,86.96,86.96,86.96,0.0,0.0
2019-04-14,86.79,86.79,86.79,0.0,0.0,86.79,86.79,86.79,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.68,86.68,86.68,0.0,0.0
2019-04-21,86.85,86.85,86.85,0.0,0.0,86.97,86.97,86.97,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.97,86.97,86.97,0.0,0.0
2019-04-28,86.52,86.52,86.52,0.0,0.0,86.6,86.6,86.6,0.0,0.0,86.47,86.47,86.47,0.0,0.0,86.57,86.57,86.57,0.0,0.0
2019-05-05,85.96,85.96,85.96,0.0,0.0,86.31,86.31,86.31,0.0,0.0,85.75,85.75,85.75,0.0,0.0,86.23,86.23,86.23,0.0,0.0
2019-05-12,85.79,85.79,85.79,0.0,0.0,86.1,86.1,86.1,0.0,0.0,85.79,85.79,85.79,0.0,0.0,85.94,85.94,85.94,0.0,0.0
2019-05-19,85.87,85.87,85.87,0.0,0.0,85.97,85.97,85.97,0.0,0.0,85.64,85.64,85.64,0.0,0.0,85.65,85.65,85.65,0.0,0.0
2019-05-26,85.24,85.24,85.24,0.0,0.0,85.33,85.33,85.33,0.0,0.0,84.88,84.88,84.88,0.0,0.0,84.9,84.9,84.9,0.0,0.0
2019-06-02,86.0,86.0,86.0,0.0,0.0,86.21,86.21,86.21,0.0,0.0,85.95,85.95,85.95,0.0,0.0,86.1,86.1,86.1,0.0,0.0
2019-06-09,86.32,86.32,86.32,0.0,0.0,86.36,86.36,86.36,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.29,86.29,86.29,0.0,0.0
2019-06-16,87.38,87.38,87.38,0.0,0.0,87.45,87.45,87.45,0.0,0.0,87.33,87.33,87.33,0.0,0.0,87.33,87.33,87.33,0.0,0.0
2019-06-23,87.2,87.2,87.2,0.0,0.0,87.25,87.25,87.25,0.0,0.0,87.15,87.15,87.15,0.0,0.0,87.18,87.18,87.18,0.0,0.0
2019-06-30,87.08,87.08,87.08,0.0,0.0,87.09,87.09,87.09,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.99,86.99,86.99,0.0,0.0
2019-07-07,86.79,86.79,86.79,0.0,0.0,86.94,86.94,86.94,0.0,0.0,86.72,86.72,86.72,0.0,0.0,86.93,86.93,86.93,0.0,0.0
2019-07-14,86.74,86.74,86.74,0.0,0.0,86.78,86.78,86.78,0.0,0.0,86.56,86.56,86.56,0.0,0.0,86.59,86.59,86.59,0.0,0.0
2019-07-21,87.12,87.12,87.12,0.0,0.0,87.19,87.19,87.19,0.0,0.0,87.07,87.07,87.07,0.0,0.0,87.17,87.17,87.17,0.0,0.0
2019-07-28,86.49,86.49,86.49,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.18,86.18,86.18,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2019-08-04,86.22,86.22,86.22,0.0,0.0,86.35,86.35,86.35,0.0,0.0,86.07,86.07,86.07,0.0,0.0,86.25,86.25,86.25,0.0,0.0
2019-08-11,85.94,85.94,85.94,0.0,0.0,86.13,86.13,86.13,0.0,0.0,85.94,85.94,85.94,0.0,0.0,86.1,86.1,86.1,0.0,0.0
2019-08-18,86.79,86.79,86.79,0.0,0.0,87.14,87.14,87.14,0.0,0.0,86.48,86.48,86.48,0.0,0.0,86.55,86.55,86.55,0.0,0.0
2019-08-25,87.38,87.38,87.38,0.0,0.0,87.39,87.39,87.39,0.0,0.0,86.97,86.97,86.97,0.0,0.0,87.16,87.16,87.16,0.0,0.0
2019-09-01,87.18,87.18,87.18,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.04,87.04,87.04,0.0,0.0,87.14,87.14,87.14,0.0,0.0
2019-09-08,87.17,87.17,87.17,0.0,0.0,87.31,87.31,87.31,0.0,0.0,87.11,87.11,87.11,0.0,0.0,87.16,87.16,87.16,0.0,0.0
2019-09-15,87.4,87.4,87.4,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.33,87.33,87.33,0.0,0.0,87.48,87.48,87.48,0.0,0.0
2019-09-22,87.16,87.16,87.16,0.0,0.0,87.23,87.23,87.23,0.0,0.0,87.0,87.0,87.0,0.0,0.0,87.07,87.07,87.07,0.0,0.0
2019-09-29,86.27,86.27,86.27,0.0,0.0,86.44,86.44,86.44,0.0,0.0,86.2,86.2,86.2,0.0,0.0,86.43,86.43,86.43,0.0,0.0
2019-10-06,86.64,86.64,86.64,0.0,0.0,86.83,86.83,86.83,0.0,0.0,86.57,86.57,86.57,0.0,0.0,86.77,86.77,86.77,0.0,0.0
2019-10-13,87.07,87.07,87.07,0.0,0.0,87.13,87.13,87.13,0.0,0.0,86.96,86.96,86.96,0.0,0.0,87.09,87.09,87.09,0.0,0.0
2019-10-20,87.3,87.3,87.3,0.0,0.0,87.42,87.42,87.42,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.39,87.39,87.39,0.0,0.0
2019-10-27,86.59,86.59,86.59,0.0,0.0,86.91,86.91,86.91,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.82,86.82,86.82,0.0,0.0
2019-11-03,86.76,86.76,86.76,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.64,86.64,86.64,0.0,0.0,86.85,86.85,86.85,0.0,0.0
2019-11-10,86.77,86.77,86.77,0.0,0.0,86.95,86.95,86.95,0.0,0.0,86.76,86.76,86.76,0.0,0.0,86.94,86.94,86.94,0.0,0.0
2019-11-17,86.49,86.49,86.49,0.0,0.0,86.69,86.69,86.69,0.0,0.0,86.4,86.4,86.4,0.0,0.0,86.69,86.69,86.69,0.0,0.0
2019-11-24,87.11,87.11,87.11,0.0,0.0,87.11,87.11,87.11,0.0,0.0,86.93,86.93,86.93,0.0,0.0,86.94,86.94,86.94,0.0,0.0
2019-12-01,86.95,86.95,86.95,0.0,0.0,87.01,87.01,87.01,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.93,86.93,86.93,0.0,0.0
2019-12-08,87.55,87.55,87.55,0.0,0.0,87.64,87.64,87.64,0.0,0.0,87.5,87.5,87.5,0.0,0.0,87.61,87.61,87.61,0.0,0.0
2019-12-15,87.95,87.95,87.95,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.7,87.7,87.7,0.0,0.0,87.72,87.72,87.72,0.0,0.0
2019-12-22,88.02,88.02,88.02,0.0,0.0,88.02,88.02,88.02,0.0,0.0,87.89,87.89,87.89,0.0,0.0,87.92,87.92,87.92,0.0,0.0
2019-12-29,88.12,88.12,88.12,0.0,0.0,88.28,88.28,88.28,0.0,0.0,88.04,88.04,88.04,0.0,0.0,88.22,88.22,88.22,0.0,0.0
