Date,PowerShares Dynamic Large Cap Value_Open_average,PowerShares Dynamic Large Cap Value_Open_max,PowerShares Dynamic Large Cap Value_Open_min,PowerShares Dynamic Large Cap Value_Open_volatility,PowerShares Dynamic Large Cap Value_Open_change,PowerShares Dynamic Large Cap Value_High_average,PowerShares Dynamic Large Cap Value_High_max,PowerShares Dynamic Large Cap Value_High_min,PowerShares Dynamic Large Cap Value_High_volatility,PowerShares Dynamic Large Cap Value_High_change,PowerShares Dynamic Large Cap Value_Low_average,PowerShares Dynamic Large Cap Value_Low_max,PowerShares Dynamic Large Cap Value_Low_min,PowerShares Dynamic Large Cap Value_Low_volatility,PowerShares Dynamic Large Cap Value_Low_change,PowerShares Dynamic Large Cap Value_Close_average,PowerShares Dynamic Large Cap Value_Close_max,PowerShares Dynamic Large Cap Value_Close_min,PowerShares Dynamic Large Cap Value_Close_volatility,PowerShares Dynamic Large Cap Value_Close_change
2018-06-17,35.93,35.93,35.93,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-06-24,35.46,35.46,35.46,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-07-01,36.05,36.05,36.05,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.42,36.42,36.42,0.0,0.0
2018-07-08,36.34,36.34,36.34,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-07-15,36.41,36.41,36.41,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-07-22,36.94,36.94,36.94,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-07-29,37.25,37.25,37.25,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2018-08-05,37.14,37.14,37.14,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.88,36.88,36.88,0.0,0.0
2018-08-12,37.67,37.67,37.67,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2018-08-19,37.91,37.91,37.91,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.91,37.91,37.91,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2018-08-26,37.71,37.71,37.71,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2018-09-02,37.64,37.64,37.64,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-09-09,37.78,37.78,37.78,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-09-16,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-09-23,37.53,37.53,37.53,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-09-30,37.14,37.14,37.14,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2018-10-07,35.54,35.54,35.54,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-10-14,36.15,36.15,36.15,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-10-21,34.89,34.89,34.89,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2018-10-28,35.81,35.81,35.81,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.81,35.81,35.81,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-11-04,36.45,36.45,36.45,0.0,0.0,36.46,36.46,36.46,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-11-11,36.06,36.06,36.06,0.0,0.0,36.17,36.17,36.17,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-11-18,35.64,35.64,35.64,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-11-25,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-12-02,34.59,34.59,34.59,0.0,0.0,34.66,34.66,34.66,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-12-09,33.9,33.9,33.9,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-12-16,31.52,31.52,31.52,0.0,0.0,31.66,31.66,31.66,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2018-12-23,32.54,32.54,32.54,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-12-30,33.39,33.39,33.39,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2019-01-06,33.84,33.84,33.84,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2019-01-13,34.9,34.9,34.9,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2019-01-20,34.69,34.69,34.69,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2019-01-27,35.26,35.26,35.26,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2019-02-03,35.09,35.09,35.09,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2019-02-10,35.89,35.89,35.89,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2019-02-17,36.51,36.51,36.51,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2019-02-24,36.33,36.33,36.33,0.0,0.0,36.4,36.4,36.4,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2019-03-03,35.31,35.31,35.31,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2019-03-10,36.14,36.14,36.14,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.28,36.28,36.28,0.0,0.0
2019-03-17,34.98,34.98,34.98,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2019-03-24,35.66,35.66,35.66,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2019-03-31,36.1,36.1,36.1,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2019-04-07,36.37,36.37,36.37,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2019-04-14,36.29,36.29,36.29,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2019-04-21,36.46,36.46,36.46,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2019-04-28,36.22,36.22,36.22,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2019-05-05,35.47,35.47,35.47,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2019-05-12,35.7,35.7,35.7,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2019-05-19,35.64,35.64,35.64,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2019-05-26,34.54,34.54,34.54,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2019-06-02,36.33,36.33,36.33,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2019-06-09,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2019-06-16,36.77,36.77,36.77,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2019-06-23,37.25,37.25,37.25,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.99,36.99,36.99,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2019-06-30,37.15,37.15,37.15,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2019-07-07,37.54,37.54,37.54,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2019-07-14,37.49,37.49,37.49,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2019-07-21,37.84,37.84,37.84,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2019-07-28,36.28,36.28,36.28,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2019-08-04,36.27,36.27,36.27,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2019-08-11,36.72,36.72,36.72,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2019-08-18,36.11,36.11,36.11,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2019-08-25,37.03,37.03,37.03,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2019-09-01,38.01,38.01,38.01,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2019-09-08,38.84,38.84,38.84,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2019-09-15,38.49,38.49,38.49,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2019-09-22,38.28,38.28,38.28,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2019-09-29,37.33,37.33,37.33,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2019-10-06,37.61,37.61,37.61,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2019-10-13,38.23,38.23,38.23,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2019-10-20,39.26,39.26,39.26,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2019-10-27,40.0,40.0,40.0,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2019-11-03,40.49,40.49,40.49,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2019-11-10,40.57,40.57,40.57,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2019-11-17,40.87,40.87,40.87,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.87,40.87,40.87,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2019-11-24,41.17,41.17,41.17,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.69,40.69,40.69,0.0,0.0
2019-12-01,40.95,40.95,40.95,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2019-12-08,41.45,41.45,41.45,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2019-12-15,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2019-12-22,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2019-12-29,41.21,41.21,41.21,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.31,41.31,41.31,0.0,0.0
