Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2018-06-10,27.49,27.49,27.49,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-06-17,27.85,27.85,27.85,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-06-24,27.03,27.03,27.03,0.0,0.0,27.5,27.5,27.5,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-07-01,27.16,27.16,27.16,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-07-08,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-07-15,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-07-22,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-07-29,26.78,26.78,26.78,0.0,0.0,27.14,27.14,27.14,0.0,0.0,26.78,26.78,26.78,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-08-05,26.99,26.99,26.99,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2018-08-12,27.55,27.55,27.55,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.75,27.75,27.75,0.0,0.0
