Date,iShares Edge MSCI USA Quality Factor_Open_average,iShares Edge MSCI USA Quality Factor_Open_max,iShares Edge MSCI USA Quality Factor_Open_min,iShares Edge MSCI USA Quality Factor_Open_volatility,iShares Edge MSCI USA Quality Factor_Open_change,iShares Edge MSCI USA Quality Factor_High_average,iShares Edge MSCI USA Quality Factor_High_max,iShares Edge MSCI USA Quality Factor_High_min,iShares Edge MSCI USA Quality Factor_High_volatility,iShares Edge MSCI USA Quality Factor_High_change,iShares Edge MSCI USA Quality Factor_Low_average,iShares Edge MSCI USA Quality Factor_Low_max,iShares Edge MSCI USA Quality Factor_Low_min,iShares Edge MSCI USA Quality Factor_Low_volatility,iShares Edge MSCI USA Quality Factor_Low_change,iShares Edge MSCI USA Quality Factor_Close_average,iShares Edge MSCI USA Quality Factor_Close_max,iShares Edge MSCI USA Quality Factor_Close_min,iShares Edge MSCI USA Quality Factor_Close_volatility,iShares Edge MSCI USA Quality Factor_Close_change
2018-04-01,82.04,82.04,82.04,0.0,0.0,82.78,82.78,82.78,0.0,0.0,81.51,81.51,81.51,0.0,0.0,81.59,81.59,81.59,0.0,0.0
2018-04-08,83.22,83.22,83.22,0.0,0.0,83.6,83.6,83.6,0.0,0.0,83.08,83.08,83.08,0.0,0.0,83.38,83.38,83.38,0.0,0.0
2018-04-15,82.38,82.38,82.38,0.0,0.0,82.44,82.44,82.44,0.0,0.0,81.7,81.7,81.7,0.0,0.0,82.01,82.01,82.01,0.0,0.0
2018-04-22,82.39,82.39,82.39,0.0,0.0,82.57,82.57,82.57,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.63,81.63,81.63,0.0,0.0
2018-04-29,82.8,82.8,82.8,0.0,0.0,82.97,82.97,82.97,0.0,0.0,82.42,82.42,82.42,0.0,0.0,82.61,82.61,82.61,0.0,0.0
2018-05-06,84.58,84.58,84.58,0.0,0.0,84.58,84.58,84.58,0.0,0.0,84.03,84.03,84.03,0.0,0.0,84.21,84.21,84.21,0.0,0.0
2018-05-13,84.64,84.64,84.64,0.0,0.0,84.71,84.71,84.71,0.0,0.0,84.32,84.32,84.32,0.0,0.0,84.47,84.47,84.47,0.0,0.0
2018-05-20,84.37,84.37,84.37,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.06,84.06,84.06,0.0,0.0,84.25,84.25,84.25,0.0,0.0
2018-05-27,84.94,84.94,84.94,0.0,0.0,85.35,85.35,85.35,0.0,0.0,84.94,84.94,84.94,0.0,0.0,85.26,85.26,85.26,0.0,0.0
2018-06-03,86.26,86.26,86.26,0.0,0.0,86.61,86.61,86.61,0.0,0.0,86.18,86.18,86.18,0.0,0.0,86.2,86.2,86.2,0.0,0.0
2018-06-10,85.66,85.66,85.66,0.0,0.0,85.87,85.87,85.87,0.0,0.0,85.33,85.33,85.33,0.0,0.0,85.84,85.84,85.84,0.0,0.0
2018-06-17,84.46,84.46,84.46,0.0,0.0,84.46,84.46,84.46,0.0,0.0,83.24,83.24,83.24,0.0,0.0,83.75,83.75,83.75,0.0,0.0
2018-06-24,82.99,82.99,82.99,0.0,0.0,83.52,83.52,83.52,0.0,0.0,82.73,82.73,82.73,0.0,0.0,83.47,83.47,83.47,0.0,0.0
2018-07-01,85.15,85.15,85.15,0.0,0.0,85.42,85.42,85.42,0.0,0.0,84.94,84.94,84.94,0.0,0.0,85.42,85.42,85.42,0.0,0.0
2018-07-08,85.78,85.78,85.78,0.0,0.0,85.86,85.86,85.86,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.52,85.52,85.52,0.0,0.0
2018-07-15,85.89,85.89,85.89,0.0,0.0,85.94,85.94,85.94,0.0,0.0,85.62,85.62,85.62,0.0,0.0,85.92,85.92,85.92,0.0,0.0
2018-07-22,86.53,86.53,86.53,0.0,0.0,86.63,86.63,86.63,0.0,0.0,85.89,85.89,85.89,0.0,0.0,85.97,85.97,85.97,0.0,0.0
2018-07-29,86.91,86.91,86.91,0.0,0.0,87.35,87.35,87.35,0.0,0.0,86.84,86.84,86.84,0.0,0.0,87.29,87.29,87.29,0.0,0.0
2018-08-05,86.98,86.98,86.98,0.0,0.0,87.09,87.09,87.09,0.0,0.0,86.39,86.39,86.39,0.0,0.0,86.46,86.46,86.46,0.0,0.0
2018-08-12,87.83,87.83,87.83,0.0,0.0,88.18,88.18,88.18,0.0,0.0,87.83,87.83,87.83,0.0,0.0,88.11,88.11,88.11,0.0,0.0
2018-08-19,89.14,89.14,89.14,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.12,89.12,89.12,0.0,0.0,89.36,89.36,89.36,0.0,0.0
2018-08-26,89.31,89.31,89.31,0.0,0.0,89.79,89.79,89.79,0.0,0.0,89.31,89.31,89.31,0.0,0.0,89.78,89.78,89.78,0.0,0.0
2018-09-02,89.65,89.65,89.65,0.0,0.0,89.81,89.81,89.81,0.0,0.0,89.44,89.44,89.44,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2018-09-09,90.47,90.47,90.47,0.0,0.0,90.47,90.47,90.47,0.0,0.0,89.88,89.88,89.88,0.0,0.0,89.96,89.96,89.96,0.0,0.0
2018-09-16,91.2,91.2,91.2,0.0,0.0,91.23,91.23,91.23,0.0,0.0,90.72,90.72,90.72,0.0,0.0,90.84,90.84,90.84,0.0,0.0
2018-09-23,90.71,90.71,90.71,0.0,0.0,91.02,91.02,91.02,0.0,0.0,90.51,90.51,90.51,0.0,0.0,90.71,90.71,90.71,0.0,0.0
2018-09-30,89.19,89.19,89.19,0.0,0.0,89.41,89.41,89.41,0.0,0.0,88.59,88.59,88.59,0.0,0.0,89.27,89.27,89.27,0.0,0.0
2018-10-07,85.15,85.15,85.15,0.0,0.0,85.57,85.57,85.57,0.0,0.0,84.82,84.82,84.82,0.0,0.0,84.83,84.83,84.83,0.0,0.0
2018-10-14,84.9,84.9,84.9,0.0,0.0,85.16,85.16,85.16,0.0,0.0,84.41,84.41,84.41,0.0,0.0,84.68,84.68,84.68,0.0,0.0
2018-10-21,82.7,82.7,82.7,0.0,0.0,83.24,83.24,83.24,0.0,0.0,80.33,80.33,80.33,0.0,0.0,81.47,81.47,81.47,0.0,0.0
2018-10-28,84.16,84.16,84.16,0.0,0.0,84.64,84.64,84.64,0.0,0.0,83.76,83.76,83.76,0.0,0.0,84.45,84.45,84.45,0.0,0.0
2018-11-04,85.82,85.82,85.82,0.0,0.0,85.82,85.82,85.82,0.0,0.0,84.14,84.14,84.14,0.0,0.0,84.26,84.26,84.26,0.0,0.0
2018-11-11,84.09,84.09,84.09,0.0,0.0,84.1,84.1,84.1,0.0,0.0,82.46,82.46,82.46,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2018-11-18,81.48,81.48,81.48,0.0,0.0,81.79,81.79,81.79,0.0,0.0,81.14,81.14,81.14,0.0,0.0,81.75,81.75,81.75,0.0,0.0
2018-11-25,85.95,85.95,85.95,0.0,0.0,85.95,85.95,85.95,0.0,0.0,84.8,84.8,84.8,0.0,0.0,85.27,85.27,85.27,0.0,0.0
2018-12-02,80.58,80.58,80.58,0.0,0.0,81.3,81.3,81.3,0.0,0.0,79.35,79.35,79.35,0.0,0.0,80.99,80.99,80.99,0.0,0.0
2018-12-09,78.93,78.93,78.93,0.0,0.0,79.24,79.24,79.24,0.0,0.0,77.09,77.09,77.09,0.0,0.0,77.56,77.56,77.56,0.0,0.0
2018-12-16,73.06,73.06,73.06,0.0,0.0,73.65,73.65,73.65,0.0,0.0,71.87,71.87,71.87,0.0,0.0,71.91,71.91,71.91,0.0,0.0
2018-12-23,76.54,76.54,76.54,0.0,0.0,76.76,76.76,76.76,0.0,0.0,75.96,75.96,75.96,0.0,0.0,76.76,76.76,76.76,0.0,0.0
2018-12-30,77.37,77.37,77.37,0.0,0.0,78.42,78.42,78.42,0.0,0.0,77.07,77.07,77.07,0.0,0.0,77.9,77.9,77.9,0.0,0.0
2019-01-06,78.76,78.76,78.76,0.0,0.0,79.08,79.08,79.08,0.0,0.0,78.52,78.52,78.52,0.0,0.0,78.89,78.89,78.89,0.0,0.0
2019-01-13,80.96,80.96,80.96,0.0,0.0,81.64,81.64,81.64,0.0,0.0,80.79,80.79,80.79,0.0,0.0,81.48,81.48,81.48,0.0,0.0
2019-01-20,80.77,80.77,80.77,0.0,0.0,80.83,80.83,80.83,0.0,0.0,80.15,80.15,80.15,0.0,0.0,80.76,80.76,80.76,0.0,0.0
2019-01-27,83.52,83.52,83.52,0.0,0.0,84.01,84.01,84.01,0.0,0.0,83.15,83.15,83.15,0.0,0.0,84.01,84.01,84.01,0.0,0.0
2019-02-03,84.01,84.01,84.01,0.0,0.0,84.02,84.02,84.02,0.0,0.0,83.68,83.68,83.68,0.0,0.0,83.88,83.88,83.88,0.0,0.0
2019-02-10,85.57,85.57,85.57,0.0,0.0,86.03,86.03,86.03,0.0,0.0,85.56,85.56,85.56,0.0,0.0,86.03,86.03,86.03,0.0,0.0
2019-02-17,87.24,87.24,87.24,0.0,0.0,87.36,87.36,87.36,0.0,0.0,86.77,86.77,86.77,0.0,0.0,86.82,86.82,86.82,0.0,0.0
2019-02-24,87.73,87.73,87.73,0.0,0.0,87.89,87.89,87.89,0.0,0.0,86.29,86.29,86.29,0.0,0.0,87.11,87.11,87.11,0.0,0.0
2019-03-03,86.09,86.09,86.09,0.0,0.0,87.15,87.15,87.15,0.0,0.0,86.05,86.05,86.05,0.0,0.0,87.15,87.15,87.15,0.0,0.0
2019-03-10,88.46,88.46,88.46,0.0,0.0,88.61,88.61,88.61,0.0,0.0,88.17,88.17,88.17,0.0,0.0,88.45,88.45,88.45,0.0,0.0
2019-03-17,87.0,87.0,87.0,0.0,0.0,87.4,87.4,87.4,0.0,0.0,86.65,86.65,86.65,0.0,0.0,87.09,87.09,87.09,0.0,0.0
2019-03-24,89.2,89.2,89.2,0.0,0.0,89.55,89.55,89.55,0.0,0.0,89.07,89.07,89.07,0.0,0.0,89.47,89.47,89.47,0.0,0.0
2019-03-31,90.11,90.11,90.11,0.0,0.0,90.42,90.42,90.42,0.0,0.0,89.97,89.97,89.97,0.0,0.0,90.42,90.42,90.42,0.0,0.0
2019-04-07,91.21,91.21,91.21,0.0,0.0,91.33,91.33,91.33,0.0,0.0,90.87,90.87,90.87,0.0,0.0,91.16,91.16,91.16,0.0,0.0
2019-04-14,90.7,90.7,90.7,0.0,0.0,90.97,90.97,90.97,0.0,0.0,90.55,90.55,90.55,0.0,0.0,90.94,90.94,90.94,0.0,0.0
2019-04-21,92.03,92.03,92.03,0.0,0.0,92.05,92.05,92.05,0.0,0.0,91.72,91.72,91.72,0.0,0.0,91.88,91.88,91.88,0.0,0.0
2019-04-28,90.2,90.2,90.2,0.0,0.0,91.43,91.43,91.43,0.0,0.0,90.09,90.09,90.09,0.0,0.0,91.32,91.32,91.32,0.0,0.0
2019-05-05,88.12,88.12,88.12,0.0,0.0,88.38,88.38,88.38,0.0,0.0,87.31,87.31,87.31,0.0,0.0,87.64,87.64,87.64,0.0,0.0
2019-05-12,88.65,88.65,88.65,0.0,0.0,89.02,89.02,89.02,0.0,0.0,88.34,88.34,88.34,0.0,0.0,88.63,88.63,88.63,0.0,0.0
2019-05-19,88.44,88.44,88.44,0.0,0.0,88.6,88.6,88.6,0.0,0.0,87.85,87.85,87.85,0.0,0.0,88.02,88.02,88.02,0.0,0.0
2019-05-26,85.79,85.79,85.79,0.0,0.0,86.23,86.23,86.23,0.0,0.0,85.17,85.17,85.17,0.0,0.0,85.59,85.59,85.59,0.0,0.0
2019-06-02,90.48,90.48,90.48,0.0,0.0,90.92,90.92,90.92,0.0,0.0,90.34,90.34,90.34,0.0,0.0,90.38,90.38,90.38,0.0,0.0
2019-06-09,90.11,90.11,90.11,0.0,0.0,90.22,90.22,90.22,0.0,0.0,89.86,89.86,89.86,0.0,0.0,89.9,89.9,89.9,0.0,0.0
2019-06-16,92.07,92.07,92.07,0.0,0.0,92.11,92.11,92.11,0.0,0.0,91.63,91.63,91.63,0.0,0.0,91.68,91.68,91.68,0.0,0.0
2019-06-23,92.59,92.59,92.59,0.0,0.0,92.68,92.68,92.68,0.0,0.0,91.84,91.84,91.84,0.0,0.0,92.23,92.23,92.23,0.0,0.0
2019-06-30,92.75,92.75,92.75,0.0,0.0,92.8,92.8,92.8,0.0,0.0,92.45,92.45,92.45,0.0,0.0,92.6,92.6,92.6,0.0,0.0
2019-07-07,93.88,93.88,93.88,0.0,0.0,93.97,93.97,93.97,0.0,0.0,93.54,93.54,93.54,0.0,0.0,93.78,93.78,93.78,0.0,0.0
2019-07-14,92.76,92.76,92.76,0.0,0.0,93.02,93.02,93.02,0.0,0.0,92.55,92.55,92.55,0.0,0.0,92.82,92.82,92.82,0.0,0.0
2019-07-21,94.11,94.11,94.11,0.0,0.0,94.45,94.45,94.45,0.0,0.0,93.86,93.86,93.86,0.0,0.0,94.07,94.07,94.07,0.0,0.0
2019-07-28,89.67,89.67,89.67,0.0,0.0,89.69,89.69,89.69,0.0,0.0,87.4,87.4,87.4,0.0,0.0,88.14,88.14,88.14,0.0,0.0
2019-08-04,90.05,90.05,90.05,0.0,0.0,90.39,90.39,90.39,0.0,0.0,89.28,89.28,89.28,0.0,0.0,89.64,89.64,89.64,0.0,0.0
2019-08-11,91.12,91.12,91.12,0.0,0.0,91.25,91.25,91.25,0.0,0.0,90.73,90.73,90.73,0.0,0.0,91.0,91.0,91.0,0.0,0.0
2019-08-18,89.38,89.38,89.38,0.0,0.0,89.53,89.53,89.53,0.0,0.0,88.8,88.8,88.8,0.0,0.0,89.52,89.52,89.52,0.0,0.0
2019-08-25,91.61,91.61,91.61,0.0,0.0,91.79,91.79,91.79,0.0,0.0,90.72,90.72,90.72,0.0,0.0,91.08,91.08,91.08,0.0,0.0
2019-09-01,93.25,93.25,93.25,0.0,0.0,93.27,93.27,93.27,0.0,0.0,92.45,92.45,92.45,0.0,0.0,92.83,92.83,92.83,0.0,0.0
2019-09-08,93.09,93.09,93.09,0.0,0.0,93.2,93.2,93.2,0.0,0.0,92.8,92.8,92.8,0.0,0.0,92.97,92.97,92.97,0.0,0.0
2019-09-15,92.41,92.41,92.41,0.0,0.0,93.12,93.12,93.12,0.0,0.0,92.41,92.41,92.41,0.0,0.0,92.92,92.92,92.92,0.0,0.0
2019-09-22,92.06,92.06,92.06,0.0,0.0,92.62,92.62,92.62,0.0,0.0,92.04,92.04,92.04,0.0,0.0,92.4,92.4,92.4,0.0,0.0
2019-09-29,91.48,91.48,91.48,0.0,0.0,92.0,92.0,92.0,0.0,0.0,91.24,91.24,91.24,0.0,0.0,91.34,91.34,91.34,0.0,0.0
2019-10-06,92.56,92.56,92.56,0.0,0.0,92.94,92.94,92.94,0.0,0.0,92.42,92.42,92.42,0.0,0.0,92.64,92.64,92.64,0.0,0.0
2019-10-13,93.54,93.54,93.54,0.0,0.0,93.66,93.66,93.66,0.0,0.0,93.12,93.12,93.12,0.0,0.0,93.64,93.64,93.64,0.0,0.0
2019-10-20,94.68,94.68,94.68,0.0,0.0,94.92,94.92,94.92,0.0,0.0,94.4,94.4,94.4,0.0,0.0,94.81,94.81,94.81,0.0,0.0
2019-10-27,96.03,96.03,96.03,0.0,0.0,96.08,96.08,96.08,0.0,0.0,95.61,95.61,95.61,0.0,0.0,95.76,95.76,95.76,0.0,0.0
2019-11-03,95.72,95.72,95.72,0.0,0.0,96.08,96.08,96.08,0.0,0.0,95.72,95.72,95.72,0.0,0.0,96.06,96.06,96.06,0.0,0.0
2019-11-10,97.36,97.36,97.36,0.0,0.0,97.55,97.55,97.55,0.0,0.0,97.07,97.07,97.07,0.0,0.0,97.48,97.48,97.48,0.0,0.0
2019-11-17,97.64,97.64,97.64,0.0,0.0,98.12,98.12,98.12,0.0,0.0,97.55,97.55,97.55,0.0,0.0,98.1,98.1,98.1,0.0,0.0
2019-11-24,98.77,98.77,98.77,0.0,0.0,98.77,98.77,98.77,0.0,0.0,97.68,97.68,97.68,0.0,0.0,97.85,97.85,97.85,0.0,0.0
2019-12-01,98.89,98.89,98.89,0.0,0.0,99.06,99.06,99.06,0.0,0.0,98.82,98.82,98.82,0.0,0.0,98.83,98.83,98.83,0.0,0.0
2019-12-08,99.92,99.92,99.92,0.0,0.0,100.08,100.08,100.08,0.0,0.0,99.76,99.76,99.76,0.0,0.0,99.93,99.93,99.93,0.0,0.0
2019-12-15,101.23,101.23,101.23,0.0,0.0,101.24,101.24,101.24,0.0,0.0,100.86,100.86,100.86,0.0,0.0,100.94,100.94,100.94,0.0,0.0
2019-12-22,101.38,101.38,101.38,0.0,0.0,101.38,101.38,101.38,0.0,0.0,100.59,100.59,100.59,0.0,0.0,100.81,100.81,100.81,0.0,0.0
2019-12-29,100.93,100.93,100.93,0.0,0.0,101.55,101.55,101.55,0.0,0.0,100.71,100.71,100.71,0.0,0.0,101.22,101.22,101.22,0.0,0.0
