Date,FlexShares Quality Dividend Dynamic_Open_average,FlexShares Quality Dividend Dynamic_Open_max,FlexShares Quality Dividend Dynamic_Open_min,FlexShares Quality Dividend Dynamic_Open_volatility,FlexShares Quality Dividend Dynamic_Open_change,FlexShares Quality Dividend Dynamic_High_average,FlexShares Quality Dividend Dynamic_High_max,FlexShares Quality Dividend Dynamic_High_min,FlexShares Quality Dividend Dynamic_High_volatility,FlexShares Quality Dividend Dynamic_High_change,FlexShares Quality Dividend Dynamic_Low_average,FlexShares Quality Dividend Dynamic_Low_max,FlexShares Quality Dividend Dynamic_Low_min,FlexShares Quality Dividend Dynamic_Low_volatility,FlexShares Quality Dividend Dynamic_Low_change,FlexShares Quality Dividend Dynamic_Close_average,FlexShares Quality Dividend Dynamic_Close_max,FlexShares Quality Dividend Dynamic_Close_min,FlexShares Quality Dividend Dynamic_Close_volatility,FlexShares Quality Dividend Dynamic_Close_change
2018-10-07,43.25,43.25,43.25,0.0,0.0,43.25,43.25,43.25,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2018-10-14,43.58,43.58,43.58,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2018-10-21,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-10-28,42.93,42.93,42.93,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2018-11-04,43.36,43.36,43.36,0.0,0.0,43.36,43.36,43.36,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-11-11,42.24,42.24,42.24,0.0,0.0,42.24,42.24,42.24,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-11-18,41.63,41.63,41.63,0.0,0.0,41.63,41.63,41.63,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2018-11-25,43.21,43.21,43.21,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-12-02,40.91,40.91,40.91,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.87,40.87,40.87,0.0,0.0
2018-12-09,39.68,39.68,39.68,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0
2018-12-16,36.7,36.7,36.7,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-12-23,38.61,38.61,38.61,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2018-12-30,39.21,39.21,39.21,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2019-01-06,39.92,39.92,39.92,0.0,0.0,39.97,39.97,39.97,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.97,39.97,39.97,0.0,0.0
2019-01-13,40.93,40.93,40.93,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2019-01-20,40.59,40.59,40.59,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.78,40.78,40.78,0.0,0.0
2019-01-27,41.61,41.61,41.61,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2019-02-03,41.81,41.81,41.81,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2019-02-10,42.89,42.89,42.89,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2019-02-17,43.75,43.75,43.75,0.0,0.0,43.78,43.78,43.78,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.61,43.61,43.61,0.0,0.0
2019-02-24,43.52,43.52,43.52,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2019-03-03,42.78,42.78,42.78,0.0,0.0,43.12,43.12,43.12,0.0,0.0,42.78,42.78,42.78,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2019-03-10,43.77,43.77,43.77,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2019-03-17,42.75,42.75,42.75,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2019-03-24,44.02,44.02,44.02,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2019-03-31,44.64,44.64,44.64,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2019-04-07,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2019-04-14,44.72,44.72,44.72,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.72,44.72,44.72,0.0,0.0
2019-04-21,44.9,44.9,44.9,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2019-04-28,44.71,44.71,44.71,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2019-05-05,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0
2019-05-12,43.17,43.17,43.17,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.02,43.02,43.02,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2019-05-19,42.66,42.66,42.66,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2019-05-26,41.46,41.46,41.46,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2019-06-02,43.47,43.47,43.47,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2019-06-09,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2019-06-16,44.02,44.02,44.02,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2019-06-23,44.55,44.55,44.55,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2019-06-30,44.45,44.45,44.45,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2019-07-07,44.8,44.8,44.8,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2019-07-14,44.52,44.52,44.52,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2019-07-21,45.19,45.19,45.19,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2019-07-28,42.15,42.15,42.15,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.17,42.17,42.17,0.0,0.0
2019-08-04,42.53,42.53,42.53,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2019-08-11,42.81,42.81,42.81,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.81,42.81,42.81,0.0,0.0
2019-08-18,41.92,41.92,41.92,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.91,41.91,41.91,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2019-08-25,42.96,42.96,42.96,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2019-09-01,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2019-09-08,44.76,44.76,44.76,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2019-09-15,44.18,44.18,44.18,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2019-09-22,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2019-09-29,43.49,43.49,43.49,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2019-10-06,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2019-10-13,44.78,44.78,44.78,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2019-10-20,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2019-10-27,46.49,46.49,46.49,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2019-11-03,46.86,46.86,46.86,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2019-11-10,47.0,47.0,47.0,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2019-11-17,47.05,47.05,47.05,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.05,47.05,47.05,0.0,0.0
2019-11-24,46.83,46.83,46.83,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2019-12-01,47.16,47.16,47.16,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2019-12-08,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2019-12-15,48.15,48.15,48.15,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2019-12-22,48.15,48.15,48.15,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2019-12-29,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0
