Date,ProShares Ultra Technology_Open_average,ProShares Ultra Technology_Open_max,ProShares Ultra Technology_Open_min,ProShares Ultra Technology_Open_volatility,ProShares Ultra Technology_Open_change,ProShares Ultra Technology_High_average,ProShares Ultra Technology_High_max,ProShares Ultra Technology_High_min,ProShares Ultra Technology_High_volatility,ProShares Ultra Technology_High_change,ProShares Ultra Technology_Low_average,ProShares Ultra Technology_Low_max,ProShares Ultra Technology_Low_min,ProShares Ultra Technology_Low_volatility,ProShares Ultra Technology_Low_change,ProShares Ultra Technology_Close_average,ProShares Ultra Technology_Close_max,ProShares Ultra Technology_Close_min,ProShares Ultra Technology_Close_volatility,ProShares Ultra Technology_Close_change
2018-04-15,95.1,95.1,95.1,0.0,0.0,95.56,95.56,95.56,0.0,0.0,92.43,92.43,92.43,0.0,0.0,93.35,93.35,93.35,0.0,0.0
2018-04-22,93.16,93.16,93.16,0.0,0.0,94.39,94.39,94.39,0.0,0.0,91.1,91.1,91.1,0.0,0.0,91.65,91.65,91.65,0.0,0.0
2018-04-29,99.26,99.26,99.26,0.0,0.0,100.83,100.83,100.83,0.0,0.0,99.0,99.0,99.0,0.0,0.0,99.95,99.95,99.95,0.0,0.0
2018-05-06,106.08,106.08,106.08,0.0,0.0,106.98,106.98,106.98,0.0,0.0,104.98,104.98,104.98,0.0,0.0,105.07,105.07,105.07,0.0,0.0
2018-05-13,103.96,103.96,103.96,0.0,0.0,104.95,104.95,104.95,0.0,0.0,102.87,102.87,102.87,0.0,0.0,103.74,103.74,103.74,0.0,0.0
2018-05-20,104.85,104.85,104.85,0.0,0.0,105.6,105.6,105.6,0.0,0.0,104.55,104.55,104.55,0.0,0.0,105.02,105.02,105.02,0.0,0.0
2018-05-27,110.0,110.0,110.0,0.0,0.0,111.15,111.15,111.15,0.0,0.0,109.6,109.6,109.6,0.0,0.0,110.91,110.91,110.91,0.0,0.0
2018-06-03,110.07,110.07,110.07,0.0,0.0,110.97,110.97,110.97,0.0,0.0,109.56,109.56,109.56,0.0,0.0,110.31,110.31,110.31,0.0,0.0
2018-06-10,110.05,110.05,110.05,0.0,0.0,112.1,112.1,112.1,0.0,0.0,109.35,109.35,109.35,0.0,0.0,111.94,111.94,111.94,0.0,0.0
2018-06-17,106.02,106.02,106.02,0.0,0.0,106.71,106.71,106.71,0.0,0.0,101.17,101.17,101.17,0.0,0.0,103.12,103.12,103.12,0.0,0.0
2018-06-24,101.11,101.11,101.11,0.0,0.0,104.91,104.91,104.91,0.0,0.0,100.75,100.75,100.75,0.0,0.0,104.91,104.91,104.91,0.0,0.0
2018-07-01,109.06,109.06,109.06,0.0,0.0,109.8,109.8,109.8,0.0,0.0,108.1,108.1,108.1,0.0,0.0,109.79,109.79,109.79,0.0,0.0
2018-07-08,112.85,112.85,112.85,0.0,0.0,113.41,113.41,113.41,0.0,0.0,111.8,111.8,111.8,0.0,0.0,112.21,112.21,112.21,0.0,0.0
2018-07-15,113.02,113.02,113.02,0.0,0.0,114.39,114.39,114.39,0.0,0.0,111.52,111.52,111.52,0.0,0.0,114.26,114.26,114.26,0.0,0.0
2018-07-22,109.83,109.83,109.83,0.0,0.0,109.83,109.83,109.83,0.0,0.0,104.88,104.88,104.88,0.0,0.0,106.15,106.15,106.15,0.0,0.0
2018-07-29,113.28,113.28,113.28,0.0,0.0,115.07,115.07,115.07,0.0,0.0,112.83,112.83,112.83,0.0,0.0,115.07,115.07,115.07,0.0,0.0
2018-08-05,114.96,114.96,114.96,0.0,0.0,116.51,116.51,116.51,0.0,0.0,113.97,113.97,113.97,0.0,0.0,114.06,114.06,114.06,0.0,0.0
2018-08-12,114.25,114.25,114.25,0.0,0.0,114.36,114.36,114.36,0.0,0.0,112.35,112.35,112.35,0.0,0.0,113.37,113.37,113.37,0.0,0.0
2018-08-19,119.14,119.14,119.14,0.0,0.0,120.28,120.28,120.28,0.0,0.0,118.64,118.64,118.64,0.0,0.0,120.19,120.19,120.19,0.0,0.0
2018-08-26,122.43,122.43,122.43,0.0,0.0,123.6,123.6,123.6,0.0,0.0,122.18,122.18,122.18,0.0,0.0,122.88,122.88,122.88,0.0,0.0
2018-09-02,116.17,116.17,116.17,0.0,0.0,116.35,116.35,116.35,0.0,0.0,114.5,114.5,114.5,0.0,0.0,115.91,115.91,115.91,0.0,0.0
2018-09-09,118.5,118.5,118.5,0.0,0.0,118.96,118.96,118.96,0.0,0.0,115.1,115.1,115.1,0.0,0.0,115.33,115.33,115.33,0.0,0.0
2018-09-16,116.3,116.3,116.3,0.0,0.0,119.19,119.19,119.19,0.0,0.0,115.5,115.5,115.5,0.0,0.0,119.18,119.18,119.18,0.0,0.0
2018-09-23,121.84,121.84,121.84,0.0,0.0,122.72,122.72,122.72,0.0,0.0,120.42,120.42,120.42,0.0,0.0,121.07,121.07,121.07,0.0,0.0
2018-09-30,113.43,113.43,113.43,0.0,0.0,114.3,114.3,114.3,0.0,0.0,109.25,109.25,109.25,0.0,0.0,111.81,111.81,111.81,0.0,0.0
2018-10-07,105.05,105.05,105.05,0.0,0.0,105.05,105.05,105.05,0.0,0.0,102.42,102.42,102.42,0.0,0.0,102.65,102.65,102.65,0.0,0.0
2018-10-14,103.75,103.75,103.75,0.0,0.0,105.54,105.54,105.54,0.0,0.0,102.3,102.3,102.3,0.0,0.0,104.29,104.29,104.29,0.0,0.0
2018-10-21,98.74,98.74,98.74,0.0,0.0,99.74,99.74,99.74,0.0,0.0,87.93,87.93,87.93,0.0,0.0,91.9,91.9,91.9,0.0,0.0
2018-10-28,97.8,97.8,97.8,0.0,0.0,97.8,97.8,97.8,0.0,0.0,94.45,94.45,94.45,0.0,0.0,96.76,96.76,96.76,0.0,0.0
2018-11-04,97.27,97.27,97.27,0.0,0.0,97.3,97.3,97.3,0.0,0.0,91.58,91.58,91.58,0.0,0.0,92.11,92.11,92.11,0.0,0.0
2018-11-11,93.67,93.67,93.67,0.0,0.0,93.67,93.67,93.67,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.77,86.77,86.77,0.0,0.0
2018-11-18,86.12,86.12,86.12,0.0,0.0,87.97,87.97,87.97,0.0,0.0,85.65,85.65,85.65,0.0,0.0,87.96,87.96,87.96,0.0,0.0
2018-11-25,99.34,99.34,99.34,0.0,0.0,99.36,99.36,99.36,0.0,0.0,96.82,96.82,96.82,0.0,0.0,98.23,98.23,98.23,0.0,0.0
2018-12-02,84.59,84.59,84.59,0.0,0.0,88.43,88.43,88.43,0.0,0.0,83.87,83.87,83.87,0.0,0.0,87.63,87.63,87.63,0.0,0.0
2018-12-09,85.38,85.38,85.38,0.0,0.0,86.7,86.7,86.7,0.0,0.0,80.8,80.8,80.8,0.0,0.0,81.89,81.89,81.89,0.0,0.0
2018-12-16,70.75,70.75,70.75,0.0,0.0,72.85,72.85,72.85,0.0,0.0,68.54,68.54,68.54,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2018-12-23,79.12,79.12,79.12,0.0,0.0,79.65,79.65,79.65,0.0,0.0,77.6,77.6,77.6,0.0,0.0,78.85,78.85,78.85,0.0,0.0
2018-12-30,78.49,78.49,78.49,0.0,0.0,80.73,80.73,80.73,0.0,0.0,78.1,78.1,78.1,0.0,0.0,79.8,79.8,79.8,0.0,0.0
2019-01-06,81.75,81.75,81.75,0.0,0.0,82.25,82.25,82.25,0.0,0.0,81.1,81.1,81.1,0.0,0.0,81.79,81.79,81.79,0.0,0.0
2019-01-13,87.36,87.36,87.36,0.0,0.0,89.35,89.35,89.35,0.0,0.0,86.75,86.75,86.75,0.0,0.0,88.59,88.59,88.59,0.0,0.0
2019-01-20,86.97,86.97,86.97,0.0,0.0,87.37,87.37,87.37,0.0,0.0,85.97,85.97,85.97,0.0,0.0,87.31,87.31,87.31,0.0,0.0
2019-01-27,93.22,93.22,93.22,0.0,0.0,96.46,96.46,96.46,0.0,0.0,93.22,93.22,93.22,0.0,0.0,96.4,96.4,96.4,0.0,0.0
2019-02-03,96.72,96.72,96.72,0.0,0.0,97.26,97.26,97.26,0.0,0.0,95.44,95.44,95.44,0.0,0.0,95.88,95.88,95.88,0.0,0.0
2019-02-10,100.41,100.41,100.41,0.0,0.0,100.54,100.54,100.54,0.0,0.0,99.01,99.01,99.01,0.0,0.0,99.78,99.78,99.78,0.0,0.0
2019-02-17,103.94,103.94,103.94,0.0,0.0,104.73,104.73,104.73,0.0,0.0,103.33,103.33,103.33,0.0,0.0,103.36,103.36,103.36,0.0,0.0
2019-02-24,105.09,105.09,105.09,0.0,0.0,105.79,105.79,105.79,0.0,0.0,101.3,101.3,101.3,0.0,0.0,103.96,103.96,103.96,0.0,0.0
2019-03-03,101.67,101.67,101.67,0.0,0.0,105.24,105.24,105.24,0.0,0.0,101.67,101.67,101.67,0.0,0.0,105.12,105.12,105.12,0.0,0.0
2019-03-10,109.15,109.15,109.15,0.0,0.0,110.35,110.35,110.35,0.0,0.0,108.45,108.45,108.45,0.0,0.0,109.59,109.59,109.59,0.0,0.0
2019-03-17,109.31,109.31,109.31,0.0,0.0,110.16,110.16,110.16,0.0,0.0,107.59,107.59,107.59,0.0,0.0,109.06,109.06,109.06,0.0,0.0
2019-03-24,112.75,112.75,112.75,0.0,0.0,113.83,113.83,113.83,0.0,0.0,111.5,111.5,111.5,0.0,0.0,113.53,113.53,113.53,0.0,0.0
2019-03-31,116.42,116.42,116.42,0.0,0.0,117.6,117.6,117.6,0.0,0.0,115.52,115.52,115.52,0.0,0.0,117.42,117.42,117.42,0.0,0.0
2019-04-07,119.87,119.87,119.87,0.0,0.0,120.13,120.13,120.13,0.0,0.0,118.67,118.67,118.67,0.0,0.0,119.76,119.76,119.76,0.0,0.0
2019-04-14,121.81,121.81,121.81,0.0,0.0,123.82,123.82,123.82,0.0,0.0,121.53,121.53,121.53,0.0,0.0,123.78,123.78,123.78,0.0,0.0
2019-04-21,127.3,127.3,127.3,0.0,0.0,128.4,128.4,128.4,0.0,0.0,127.05,127.05,127.05,0.0,0.0,127.94,127.94,127.94,0.0,0.0
2019-04-28,120.7,120.7,120.7,0.0,0.0,125.0,125.0,125.0,0.0,0.0,120.0,120.0,120.0,0.0,0.0,124.75,124.75,124.75,0.0,0.0
2019-05-05,110.82,110.82,110.82,0.0,0.0,111.97,111.97,111.97,0.0,0.0,107.4,107.4,107.4,0.0,0.0,108.05,108.05,108.05,0.0,0.0
2019-05-12,110.0,110.0,110.0,0.0,0.0,110.86,110.86,110.86,0.0,0.0,108.33,108.33,108.33,0.0,0.0,109.36,109.36,109.36,0.0,0.0
2019-05-19,108.25,108.25,108.25,0.0,0.0,108.75,108.75,108.75,0.0,0.0,106.51,106.51,106.51,0.0,0.0,106.71,106.71,106.71,0.0,0.0
2019-05-26,101.29,101.29,101.29,0.0,0.0,101.5,101.5,101.5,0.0,0.0,95.04,95.04,95.04,0.0,0.0,96.24,96.24,96.24,0.0,0.0
2019-06-02,112.0,112.0,112.0,0.0,0.0,115.1,115.1,115.1,0.0,0.0,112.0,112.0,112.0,0.0,0.0,112.88,112.88,112.88,0.0,0.0
2019-06-09,111.38,111.38,111.38,0.0,0.0,113.11,113.11,113.11,0.0,0.0,111.38,111.38,111.38,0.0,0.0,112.25,112.25,112.25,0.0,0.0
2019-06-16,119.69,119.69,119.69,0.0,0.0,120.04,120.04,120.04,0.0,0.0,119.16,119.16,119.16,0.0,0.0,119.28,119.28,119.28,0.0,0.0
2019-06-23,122.41,122.41,122.41,0.0,0.0,123.03,123.03,123.03,0.0,0.0,120.27,120.27,120.27,0.0,0.0,121.11,121.11,121.11,0.0,0.0
2019-06-30,122.06,122.06,122.06,0.0,0.0,122.06,122.06,122.06,0.0,0.0,120.6,120.6,120.6,0.0,0.0,121.64,121.64,121.64,0.0,0.0
2019-07-07,128.31,128.31,128.31,0.0,0.0,128.75,128.75,128.75,0.0,0.0,127.83,127.83,127.83,0.0,0.0,128.56,128.56,128.56,0.0,0.0
2019-07-14,126.24,126.24,126.24,0.0,0.0,129.0,129.0,129.0,0.0,0.0,126.24,126.24,126.24,0.0,0.0,128.51,128.51,128.51,0.0,0.0
2019-07-21,134.02,134.02,134.02,0.0,0.0,134.13,134.13,134.13,0.0,0.0,131.03,131.03,131.03,0.0,0.0,133.25,133.25,133.25,0.0,0.0
2019-07-28,115.34,115.34,115.34,0.0,0.0,115.47,115.47,115.47,0.0,0.0,109.83,109.83,109.83,0.0,0.0,111.88,111.88,111.88,0.0,0.0
2019-08-04,117.31,117.31,117.31,0.0,0.0,118.13,118.13,118.13,0.0,0.0,115.0,115.0,115.0,0.0,0.0,115.92,115.92,115.92,0.0,0.0
2019-08-11,120.61,120.61,120.61,0.0,0.0,121.31,121.31,121.31,0.0,0.0,119.53,119.53,119.53,0.0,0.0,120.62,120.62,120.62,0.0,0.0
2019-08-18,115.74,115.74,115.74,0.0,0.0,116.08,116.08,116.08,0.0,0.0,114.02,114.02,114.02,0.0,0.0,116.08,116.08,116.08,0.0,0.0
2019-08-25,121.2,121.2,121.2,0.0,0.0,121.25,121.25,121.25,0.0,0.0,118.27,118.27,118.27,0.0,0.0,119.48,119.48,119.48,0.0,0.0
2019-09-01,125.32,125.32,125.32,0.0,0.0,125.32,125.32,125.32,0.0,0.0,122.39,122.39,122.39,0.0,0.0,123.79,123.79,123.79,0.0,0.0
2019-09-08,123.71,123.71,123.71,0.0,0.0,125.38,125.38,125.38,0.0,0.0,122.77,122.77,122.77,0.0,0.0,125.31,125.31,125.31,0.0,0.0
2019-09-15,124.95,124.95,124.95,0.0,0.0,126.16,126.16,126.16,0.0,0.0,124.5,124.5,124.5,0.0,0.0,125.29,125.29,125.29,0.0,0.0
2019-09-22,121.9,121.9,121.9,0.0,0.0,123.71,123.71,123.71,0.0,0.0,121.21,121.21,121.21,0.0,0.0,123.27,123.27,123.27,0.0,0.0
2019-09-29,122.5,122.5,122.5,0.0,0.0,124.6,124.6,124.6,0.0,0.0,122.5,122.5,122.5,0.0,0.0,122.66,122.66,122.66,0.0,0.0
2019-10-06,126.35,126.35,126.35,0.0,0.0,127.35,127.35,127.35,0.0,0.0,126.1,126.1,126.1,0.0,0.0,126.36,126.36,126.36,0.0,0.0
2019-10-13,125.7,125.7,125.7,0.0,0.0,127.45,127.45,127.45,0.0,0.0,125.7,125.7,125.7,0.0,0.0,127.45,127.45,127.45,0.0,0.0
2019-10-20,132.53,132.53,132.53,0.0,0.0,134.46,134.46,134.46,0.0,0.0,132.53,132.53,132.53,0.0,0.0,134.18,134.18,134.18,0.0,0.0
2019-10-27,137.73,137.73,137.73,0.0,0.0,138.33,138.33,138.33,0.0,0.0,137.32,137.32,137.32,0.0,0.0,138.04,138.04,138.04,0.0,0.0
2019-11-03,139.67,139.67,139.67,0.0,0.0,141.13,141.13,141.13,0.0,0.0,139.34,139.34,139.34,0.0,0.0,140.93,140.93,140.93,0.0,0.0
2019-11-10,145.06,145.06,145.06,0.0,0.0,146.4,146.4,146.4,0.0,0.0,143.89,143.89,143.89,0.0,0.0,145.82,145.82,145.82,0.0,0.0
2019-11-17,144.55,144.55,144.55,0.0,0.0,147.23,147.23,147.23,0.0,0.0,144.55,144.55,144.55,0.0,0.0,147.23,147.23,147.23,0.0,0.0
2019-11-24,147.32,147.32,147.32,0.0,0.0,147.59,147.59,147.59,0.0,0.0,141.85,141.85,141.85,0.0,0.0,143.17,143.17,143.17,0.0,0.0
2019-12-01,146.26,146.26,146.26,0.0,0.0,147.47,147.47,147.47,0.0,0.0,145.42,145.42,145.42,0.0,0.0,145.47,145.47,145.47,0.0,0.0
2019-12-08,152.78,152.78,152.78,0.0,0.0,154.71,154.71,154.71,0.0,0.0,152.78,152.78,152.78,0.0,0.0,153.75,153.75,153.75,0.0,0.0
2019-12-15,158.65,158.65,158.65,0.0,0.0,159.02,159.02,159.02,0.0,0.0,158.23,158.23,158.23,0.0,0.0,158.36,158.36,158.36,0.0,0.0
2019-12-22,160.12,160.12,160.12,0.0,0.0,160.12,160.12,160.12,0.0,0.0,156.47,156.47,156.47,0.0,0.0,158.03,158.03,158.03,0.0,0.0
2019-12-29,160.83,160.83,160.83,0.0,0.0,164.2,164.2,164.2,0.0,0.0,160.59,160.59,160.59,0.0,0.0,162.32,162.32,162.32,0.0,0.0
