Date,ProShares High Yield Interest Rate_Open_average,ProShares High Yield Interest Rate_Open_max,ProShares High Yield Interest Rate_Open_min,ProShares High Yield Interest Rate_Open_volatility,ProShares High Yield Interest Rate_Open_change,ProShares High Yield Interest Rate_High_average,ProShares High Yield Interest Rate_High_max,ProShares High Yield Interest Rate_High_min,ProShares High Yield Interest Rate_High_volatility,ProShares High Yield Interest Rate_High_change,ProShares High Yield Interest Rate_Low_average,ProShares High Yield Interest Rate_Low_max,ProShares High Yield Interest Rate_Low_min,ProShares High Yield Interest Rate_Low_volatility,ProShares High Yield Interest Rate_Low_change,ProShares High Yield Interest Rate_Close_average,ProShares High Yield Interest Rate_Close_max,ProShares High Yield Interest Rate_Close_min,ProShares High Yield Interest Rate_Close_volatility,ProShares High Yield Interest Rate_Close_change
2018-04-29,66.87,66.87,66.87,0.0,0.0,67.29,67.29,67.29,0.0,0.0,66.87,66.87,66.87,0.0,0.0,67.24,67.24,67.24,0.0,0.0
2018-05-06,67.6,67.6,67.6,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.56,67.56,67.56,0.0,0.0
2018-05-13,67.47,67.47,67.47,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.41,67.41,67.41,0.0,0.0,67.5,67.5,67.5,0.0,0.0
2018-05-20,67.27,67.27,67.27,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-05-27,66.74,66.74,66.74,0.0,0.0,67.04,67.04,67.04,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.92,66.92,66.92,0.0,0.0
2018-06-03,67.65,67.65,67.65,0.0,0.0,67.65,67.65,67.65,0.0,0.0,67.25,67.25,67.25,0.0,0.0,67.42,67.42,67.42,0.0,0.0
2018-06-10,67.78,67.78,67.78,0.0,0.0,67.99,67.99,67.99,0.0,0.0,67.62,67.62,67.62,0.0,0.0,67.96,67.96,67.96,0.0,0.0
2018-06-17,67.28,67.28,67.28,0.0,0.0,67.54,67.54,67.54,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.32,67.32,67.32,0.0,0.0
2018-06-24,66.37,66.37,66.37,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-07-01,66.62,66.62,66.62,0.0,0.0,66.88,66.88,66.88,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.75,66.75,66.75,0.0,0.0
2018-07-08,66.76,66.76,66.76,0.0,0.0,67.16,67.16,67.16,0.0,0.0,66.76,66.76,66.76,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-07-15,67.36,67.36,67.36,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.26,67.26,67.26,0.0,0.0,67.48,67.48,67.48,0.0,0.0
2018-07-22,67.58,67.58,67.58,0.0,0.0,67.99,67.99,67.99,0.0,0.0,67.57,67.57,67.57,0.0,0.0,67.62,67.62,67.62,0.0,0.0
2018-07-29,67.53,67.53,67.53,0.0,0.0,67.95,67.95,67.95,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.62,67.62,67.62,0.0,0.0
2018-08-05,67.05,67.05,67.05,0.0,0.0,67.43,67.43,67.43,0.0,0.0,67.05,67.05,67.05,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-08-12,67.49,67.49,67.49,0.0,0.0,67.49,67.49,67.49,0.0,0.0,67.31,67.31,67.31,0.0,0.0,67.32,67.32,67.32,0.0,0.0
2018-08-19,68.1,68.1,68.1,0.0,0.0,68.1,68.1,68.1,0.0,0.0,67.78,67.78,67.78,0.0,0.0,67.85,67.85,67.85,0.0,0.0
2018-08-26,67.89,67.89,67.89,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-09-02,67.43,67.43,67.43,0.0,0.0,67.66,67.66,67.66,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.53,67.53,67.53,0.0,0.0
2018-09-09,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,67.9,67.9,67.9,0.0,0.0,68.23,68.23,68.23,0.0,0.0
2018-09-16,68.33,68.33,68.33,0.0,0.0,68.4,68.4,68.4,0.0,0.0,68.24,68.24,68.24,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-09-23,68.45,68.45,68.45,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.17,68.17,68.17,0.0,0.0,68.33,68.33,68.33,0.0,0.0
2018-09-30,68.19,68.19,68.19,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.88,67.88,67.88,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2018-10-07,67.65,67.65,67.65,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.66,67.66,67.66,0.0,0.0
2018-10-14,67.41,67.41,67.41,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2018-10-21,66.66,66.66,66.66,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.18,66.18,66.18,0.0,0.0,66.18,66.18,66.18,0.0,0.0
2018-10-28,66.98,66.98,66.98,0.0,0.0,67.16,67.16,67.16,0.0,0.0,66.98,66.98,66.98,0.0,0.0,67.14,67.14,67.14,0.0,0.0
2018-11-04,67.26,67.26,67.26,0.0,0.0,67.26,67.26,67.26,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.53,66.53,66.53,0.0,0.0
2018-11-11,65.35,65.35,65.35,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.19,65.19,65.19,0.0,0.0,65.4,65.4,65.4,0.0,0.0
2018-11-18,65.48,65.48,65.48,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.2,65.2,65.2,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-11-25,66.45,66.45,66.45,0.0,0.0,66.45,66.45,66.45,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2018-12-02,64.78,64.78,64.78,0.0,0.0,64.78,64.78,64.78,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.42,64.42,64.42,0.0,0.0
2018-12-09,64.45,64.45,64.45,0.0,0.0,64.78,64.78,64.78,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-12-16,62.4,62.4,62.4,0.0,0.0,62.4,62.4,62.4,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2018-12-23,61.71,61.71,61.71,0.0,0.0,62.74,62.74,62.74,0.0,0.0,61.71,61.71,61.71,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2018-12-30,63.6,63.6,63.6,0.0,0.0,64.08,64.08,64.08,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2019-01-06,64.71,64.71,64.71,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.47,64.47,64.47,0.0,0.0
2019-01-13,65.18,65.18,65.18,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.18,65.18,65.18,0.0,0.0,65.56,65.56,65.56,0.0,0.0
2019-01-20,65.33,65.33,65.33,0.0,0.0,65.33,65.33,65.33,0.0,0.0,64.9,64.9,64.9,0.0,0.0,64.95,64.95,64.95,0.0,0.0
2019-01-27,65.25,65.25,65.25,0.0,0.0,65.31,65.31,65.31,0.0,0.0,65.15,65.15,65.15,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2019-02-03,65.14,65.14,65.14,0.0,0.0,65.15,65.15,65.15,0.0,0.0,64.99,64.99,64.99,0.0,0.0,65.11,65.11,65.11,0.0,0.0
2019-02-10,65.25,65.25,65.25,0.0,0.0,65.64,65.64,65.64,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2019-02-17,66.1,66.1,66.1,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.72,65.72,65.72,0.0,0.0,65.93,65.93,65.93,0.0,0.0
2019-02-24,65.93,65.93,65.93,0.0,0.0,66.24,66.24,66.24,0.0,0.0,65.82,65.82,65.82,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2019-03-03,65.6,65.6,65.6,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2019-03-10,66.0,66.0,66.0,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2019-03-17,65.05,65.05,65.05,0.0,0.0,65.58,65.58,65.58,0.0,0.0,64.7,64.7,64.7,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2019-03-24,65.58,65.58,65.58,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.58,65.58,65.58,0.0,0.0,66.02,66.02,66.02,0.0,0.0
2019-03-31,66.09,66.09,66.09,0.0,0.0,66.27,66.27,66.27,0.0,0.0,66.09,66.09,66.09,0.0,0.0,66.26,66.26,66.26,0.0,0.0
2019-04-07,67.0,67.0,67.0,0.0,0.0,67.0,67.0,67.0,0.0,0.0,66.71,66.71,66.71,0.0,0.0,66.71,66.71,66.71,0.0,0.0
2019-04-14,66.34,66.34,66.34,0.0,0.0,66.64,66.64,66.64,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.58,66.58,66.58,0.0,0.0
2019-04-21,66.41,66.41,66.41,0.0,0.0,66.76,66.76,66.76,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.65,66.65,66.65,0.0,0.0
2019-04-28,66.22,66.22,66.22,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.38,66.38,66.38,0.0,0.0
2019-05-05,65.0,65.0,65.0,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.34,65.34,65.34,0.0,0.0
2019-05-12,65.63,65.63,65.63,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.6,65.6,65.6,0.0,0.0,65.66,65.66,65.66,0.0,0.0
2019-05-19,65.32,65.32,65.32,0.0,0.0,65.48,65.48,65.48,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.38,65.38,65.38,0.0,0.0
2019-05-26,63.97,63.97,63.97,0.0,0.0,64.2,64.2,64.2,0.0,0.0,63.8,63.8,63.8,0.0,0.0,63.86,63.86,63.86,0.0,0.0
2019-06-02,65.25,65.25,65.25,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2019-06-09,64.86,64.86,64.86,0.0,0.0,65.31,65.31,65.31,0.0,0.0,64.86,64.86,64.86,0.0,0.0,65.19,65.19,65.19,0.0,0.0
2019-06-16,65.99,65.99,65.99,0.0,0.0,65.99,65.99,65.99,0.0,0.0,65.78,65.78,65.78,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2019-06-23,65.61,65.61,65.61,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.52,65.52,65.52,0.0,0.0,65.56,65.56,65.56,0.0,0.0
2019-06-30,65.39,65.39,65.39,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2019-07-07,65.65,65.65,65.65,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.66,65.66,65.66,0.0,0.0
2019-07-14,65.26,65.26,65.26,0.0,0.0,65.48,65.48,65.48,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2019-07-21,65.66,65.66,65.66,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2019-07-28,64.27,64.27,64.27,0.0,0.0,64.43,64.43,64.43,0.0,0.0,63.5,63.5,63.5,0.0,0.0,63.56,63.56,63.56,0.0,0.0
2019-08-04,63.71,63.71,63.71,0.0,0.0,63.9,63.9,63.9,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.76,63.76,63.76,0.0,0.0
2019-08-11,63.65,63.65,63.65,0.0,0.0,64.18,64.18,64.18,0.0,0.0,63.65,63.65,63.65,0.0,0.0,64.12,64.12,64.12,0.0,0.0
2019-08-18,64.23,64.23,64.23,0.0,0.0,64.37,64.37,64.37,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.37,64.37,64.37,0.0,0.0
2019-08-25,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.45,64.45,64.45,0.0,0.0
2019-09-01,64.59,64.59,64.59,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2019-09-08,64.86,64.86,64.86,0.0,0.0,65.36,65.36,65.36,0.0,0.0,64.86,64.86,64.86,0.0,0.0,65.25,65.25,65.25,0.0,0.0
2019-09-15,64.93,64.93,64.93,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.91,64.91,64.91,0.0,0.0
2019-09-22,64.45,64.45,64.45,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2019-09-29,63.06,63.06,63.06,0.0,0.0,63.53,63.53,63.53,0.0,0.0,63.06,63.06,63.06,0.0,0.0,63.47,63.47,63.47,0.0,0.0
2019-10-06,64.35,64.35,64.35,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2019-10-13,64.53,64.53,64.53,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.53,64.53,64.53,0.0,0.0,64.7,64.7,64.7,0.0,0.0
2019-10-20,64.61,64.61,64.61,0.0,0.0,65.09,65.09,65.09,0.0,0.0,64.61,64.61,64.61,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2019-10-27,64.4,64.4,64.4,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.21,64.21,64.21,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2019-11-03,64.55,64.55,64.55,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2019-11-10,64.38,64.38,64.38,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2019-11-17,64.43,64.43,64.43,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.31,64.31,64.31,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2019-11-24,64.5,64.5,64.5,0.0,0.0,64.56,64.56,64.56,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.44,64.44,64.44,0.0,0.0
2019-12-01,64.91,64.91,64.91,0.0,0.0,64.96,64.96,64.96,0.0,0.0,64.74,64.74,64.74,0.0,0.0,64.81,64.81,64.81,0.0,0.0
2019-12-08,65.47,65.47,65.47,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.41,65.41,65.41,0.0,0.0
2019-12-15,66.14,66.14,66.14,0.0,0.0,66.14,66.14,66.14,0.0,0.0,65.75,65.75,65.75,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2019-12-22,65.63,65.63,65.63,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2019-12-29,65.43,65.43,65.43,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.35,65.35,65.35,0.0,0.0
