Date,ProShares Short Oil & Gas_Open_average,ProShares Short Oil & Gas_Open_max,ProShares Short Oil & Gas_Open_min,ProShares Short Oil & Gas_Open_volatility,ProShares Short Oil & Gas_Open_change,ProShares Short Oil & Gas_High_average,ProShares Short Oil & Gas_High_max,ProShares Short Oil & Gas_High_min,ProShares Short Oil & Gas_High_volatility,ProShares Short Oil & Gas_High_change,ProShares Short Oil & Gas_Low_average,ProShares Short Oil & Gas_Low_max,ProShares Short Oil & Gas_Low_min,ProShares Short Oil & Gas_Low_volatility,ProShares Short Oil & Gas_Low_change,ProShares Short Oil & Gas_Close_average,ProShares Short Oil & Gas_Close_max,ProShares Short Oil & Gas_Close_min,ProShares Short Oil & Gas_Close_volatility,ProShares Short Oil & Gas_Close_change
2018-05-06,20.95,20.95,20.95,0.0,0.0,21.02,21.02,21.02,0.0,0.0,20.95,20.95,20.95,0.0,0.0,21.02,21.02,21.02,0.0,0.0
2018-05-13,20.74,20.74,20.74,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2018-05-20,22.1,22.1,22.1,0.0,0.0,22.26,22.26,22.26,0.0,0.0,21.97,21.97,21.97,0.0,0.0,22.01,22.01,22.01,0.0,0.0
2018-05-27,21.35,21.35,21.35,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-06-03,21.15,21.15,21.15,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-06-10,21.63,21.63,21.63,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.69,21.69,21.69,0.0,0.0
2018-06-17,21.97,21.97,21.97,0.0,0.0,21.97,21.97,21.97,0.0,0.0,21.97,21.97,21.97,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2018-06-24,21.64,21.64,21.64,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2018-07-01,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2018-07-08,21.69,21.69,21.69,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2018-07-15,21.36,21.36,21.36,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2018-07-22,21.02,21.02,21.02,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2018-07-29,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0
2018-08-05,21.52,21.52,21.52,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.52,21.52,21.52,0.0,0.0
2018-08-12,22.11,22.11,22.11,0.0,0.0,22.23,22.23,22.23,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-08-19,21.38,21.38,21.38,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.45,21.45,21.45,0.0,0.0
2018-08-26,21.12,21.12,21.12,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2018-09-02,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.94,20.94,20.94,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-09-09,20.67,20.67,20.67,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2018-09-16,20.69,20.69,20.69,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.69,20.69,20.69,0.0,0.0
2018-09-23,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2018-09-30,22.11,22.11,22.11,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2018-10-07,21.11,21.11,21.11,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2018-10-14,22.41,22.41,22.41,0.0,0.0,22.52,22.52,22.52,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2018-10-21,24.57,24.57,24.57,0.0,0.0,24.58,24.58,24.58,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-10-28,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2018-11-04,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2018-11-11,23.89,23.89,23.89,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2018-11-18,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-11-25,23.23,23.23,23.23,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.56,23.56,23.56,0.0,0.0
2018-12-02,25.6,25.6,25.6,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-12-09,25.88,25.88,25.88,0.0,0.0,26.36,26.36,26.36,0.0,0.0,25.76,25.76,25.76,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2018-12-16,28.28,28.28,28.28,0.0,0.0,29.53,29.53,29.53,0.0,0.0,28.28,28.28,28.28,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2018-12-23,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-12-30,25.67,25.67,25.67,0.0,0.0,26.26,26.26,26.26,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2019-01-06,25.36,25.36,25.36,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2019-01-13,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2019-01-20,25.25,25.25,25.25,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2019-01-27,24.55,24.55,24.55,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2019-02-03,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2019-02-10,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2019-02-17,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2019-02-24,23.65,23.65,23.65,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2019-03-03,24.37,24.37,24.37,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2019-03-10,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2019-03-17,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2019-03-24,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.29,23.29,23.29,0.0,0.0
2019-03-31,23.03,23.03,23.03,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.03,23.03,23.03,0.0,0.0
2019-04-07,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2019-04-14,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2019-04-21,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2019-04-28,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2019-05-05,24.7,24.7,24.7,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2019-05-12,24.61,24.61,24.61,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2019-05-19,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2019-05-26,26.31,26.31,26.31,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2019-06-02,25.5,25.5,25.5,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2019-06-09,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-06-16,24.65,24.65,24.65,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2019-06-23,23.89,23.89,23.89,0.0,0.0,24.38,24.38,24.38,0.0,0.0,23.64,23.64,23.64,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2019-06-30,24.64,24.64,24.64,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2019-07-07,24.19,24.19,24.19,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2019-07-14,25.0,25.0,25.0,0.0,0.0,25.06,25.06,25.06,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2019-07-21,25.23,25.23,25.23,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2019-07-28,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2019-08-04,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2019-08-11,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2019-08-18,27.51,27.51,27.51,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2019-08-25,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2019-09-01,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2019-09-08,24.54,24.54,24.54,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2019-09-15,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2019-09-22,25.97,25.97,25.97,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2019-09-29,26.75,26.75,26.75,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.96,26.96,26.96,0.0,0.0
2019-10-06,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2019-10-13,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2019-10-20,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2019-10-27,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2019-11-03,25.4,25.4,25.4,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2019-11-10,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2019-11-17,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2019-11-24,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2019-12-01,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-12-08,25.13,25.13,25.13,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2019-12-15,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2019-12-22,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2019-12-29,24.01,24.01,24.01,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.41,24.41,24.41,0.0,0.0
