Date,ProShares Ultra High Yield_Open_average,ProShares Ultra High Yield_Open_max,ProShares Ultra High Yield_Open_min,ProShares Ultra High Yield_Open_volatility,ProShares Ultra High Yield_Open_change,ProShares Ultra High Yield_High_average,ProShares Ultra High Yield_High_max,ProShares Ultra High Yield_High_min,ProShares Ultra High Yield_High_volatility,ProShares Ultra High Yield_High_change,ProShares Ultra High Yield_Low_average,ProShares Ultra High Yield_Low_max,ProShares Ultra High Yield_Low_min,ProShares Ultra High Yield_Low_volatility,ProShares Ultra High Yield_Low_change,ProShares Ultra High Yield_Close_average,ProShares Ultra High Yield_Close_max,ProShares Ultra High Yield_Close_min,ProShares Ultra High Yield_Close_volatility,ProShares Ultra High Yield_Close_change
2019-09-15,72.31,72.31,72.31,0.0,0.0,72.31,72.31,72.31,0.0,0.0,72.31,72.31,72.31,0.0,0.0,72.31,72.31,72.31,0.0,0.0
2019-09-22,71.06,71.06,71.06,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.06,71.06,71.06,0.0,0.0
2019-09-29,70.36,70.36,70.36,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.36,70.36,70.36,0.0,0.0
2019-10-06,70.84,70.84,70.84,0.0,0.0,71.22,71.22,71.22,0.0,0.0,70.84,70.84,70.84,0.0,0.0,71.22,71.22,71.22,0.0,0.0
2019-10-13,71.65,71.65,71.65,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.65,71.65,71.65,0.0,0.0
2019-10-20,71.91,71.91,71.91,0.0,0.0,71.91,71.91,71.91,0.0,0.0,71.91,71.91,71.91,0.0,0.0,71.91,71.91,71.91,0.0,0.0
2019-10-27,72.1,72.1,72.1,0.0,0.0,72.19,72.19,72.19,0.0,0.0,72.1,72.1,72.1,0.0,0.0,72.19,72.19,72.19,0.0,0.0
2019-11-03,71.24,71.24,71.24,0.0,0.0,71.24,71.24,71.24,0.0,0.0,71.22,71.22,71.22,0.0,0.0,71.22,71.22,71.22,0.0,0.0
2019-11-10,71.42,71.42,71.42,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.32,71.32,71.32,0.0,0.0,71.47,71.47,71.47,0.0,0.0
2019-11-17,71.37,71.37,71.37,0.0,0.0,71.53,71.53,71.53,0.0,0.0,71.37,71.37,71.37,0.0,0.0,71.53,71.53,71.53,0.0,0.0
2019-11-24,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2019-12-01,72.85,72.85,72.85,0.0,0.0,72.85,72.85,72.85,0.0,0.0,72.11,72.11,72.11,0.0,0.0,72.31,72.31,72.31,0.0,0.0
2019-12-08,73.39,73.39,73.39,0.0,0.0,73.63,73.63,73.63,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.63,73.63,73.63,0.0,0.0
2019-12-15,73.88,73.88,73.88,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.84,73.84,73.84,0.0,0.0,73.84,73.84,73.84,0.0,0.0
2019-12-22,72.41,72.41,72.41,0.0,0.0,72.69,72.69,72.69,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.69,72.69,72.69,0.0,0.0
2019-12-29,73.16,73.16,73.16,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.16,73.16,73.16,0.0,0.0
