Date,ProShares MSCI Europe Dividend Growers_etf_Open_average,ProShares MSCI Europe Dividend Growers_etf_Open_max,ProShares MSCI Europe Dividend Growers_etf_Open_min,ProShares MSCI Europe Dividend Growers_etf_Open_volatility,ProShares MSCI Europe Dividend Growers_etf_Open_change,ProShares MSCI Europe Dividend Growers_etf_High_average,ProShares MSCI Europe Dividend Growers_etf_High_max,ProShares MSCI Europe Dividend Growers_etf_High_min,ProShares MSCI Europe Dividend Growers_etf_High_volatility,ProShares MSCI Europe Dividend Growers_etf_High_change,ProShares MSCI Europe Dividend Growers_etf_Low_average,ProShares MSCI Europe Dividend Growers_etf_Low_max,ProShares MSCI Europe Dividend Growers_etf_Low_min,ProShares MSCI Europe Dividend Growers_etf_Low_volatility,ProShares MSCI Europe Dividend Growers_etf_Low_change,ProShares MSCI Europe Dividend Growers_etf_Close_average,ProShares MSCI Europe Dividend Growers_etf_Close_max,ProShares MSCI Europe Dividend Growers_etf_Close_min,ProShares MSCI Europe Dividend Growers_etf_Close_volatility,ProShares MSCI Europe Dividend Growers_etf_Close_change
2018-07-22,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-07-29,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-08-05,41.71,41.71,41.71,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.63,41.63,41.63,0.0,0.0,41.63,41.63,41.63,0.0,0.0
2018-08-12,41.74,41.74,41.74,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.74,41.74,41.74,0.0,0.0
2018-08-19,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2018-08-26,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-09-02,41.27,41.27,41.27,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2018-09-09,42.28,42.28,42.28,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2018-09-16,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2018-09-23,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.77,41.77,41.77,0.0,0.0
2018-09-30,40.85,40.85,40.85,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.85,40.85,40.85,0.0,0.0
2018-10-07,39.06,39.06,39.06,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.06,39.06,39.06,0.0,0.0
2018-10-14,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2018-10-21,37.79,37.79,37.79,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.7,37.7,37.7,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2018-10-28,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-11-04,39.34,39.34,39.34,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-11-11,38.86,38.86,38.86,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2018-11-18,38.1,38.1,38.1,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-11-25,38.53,38.53,38.53,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2018-12-02,37.02,37.02,37.02,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2018-12-09,36.82,36.82,36.82,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-12-16,36.01,36.01,36.01,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-12-23,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-12-30,36.78,36.78,36.78,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2019-01-06,37.99,37.99,37.99,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2019-01-13,38.35,38.35,38.35,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2019-01-20,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2019-01-27,38.78,38.78,38.78,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.82,38.82,38.82,0.0,0.0
2019-02-03,38.65,38.65,38.65,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.65,38.65,38.65,0.0,0.0
2019-02-10,39.09,39.09,39.09,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.24,39.24,39.24,0.0,0.0
2019-02-17,39.38,39.38,39.38,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2019-02-24,39.59,39.59,39.59,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2019-03-03,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2019-03-10,40.2,40.2,40.2,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.29,40.29,40.29,0.0,0.0
2019-03-17,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2019-03-24,39.94,39.94,39.94,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2019-03-31,40.68,40.68,40.68,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.63,40.63,40.63,0.0,0.0
2019-04-07,40.59,40.59,40.59,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2019-04-14,40.6,40.6,40.6,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2019-04-21,40.4,40.4,40.4,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2019-04-28,40.91,40.91,40.91,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2019-05-05,39.97,39.97,39.97,0.0,0.0,40.29,40.29,40.29,0.0,0.0,39.97,39.97,39.97,0.0,0.0,40.29,40.29,40.29,0.0,0.0
2019-05-12,39.68,39.68,39.68,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2019-05-19,39.46,39.46,39.46,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2019-05-26,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2019-06-02,40.22,40.22,40.22,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2019-06-09,40.04,40.04,40.04,0.0,0.0,40.04,40.04,40.04,0.0,0.0,40.04,40.04,40.04,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2019-06-16,41.09,41.09,41.09,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2019-06-23,40.5,40.5,40.5,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2019-06-30,40.64,40.64,40.64,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2019-07-07,40.09,40.09,40.09,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2019-07-14,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2019-07-21,40.18,40.18,40.18,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2019-07-28,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2019-08-04,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2019-08-11,38.49,38.49,38.49,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2019-08-18,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2019-08-25,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2019-09-01,40.24,40.24,40.24,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2019-09-08,40.63,40.63,40.63,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.63,40.63,40.63,0.0,0.0
2019-09-15,40.79,40.79,40.79,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2019-09-22,40.17,40.17,40.17,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2019-09-29,39.49,39.49,39.49,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2019-10-06,40.15,40.15,40.15,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.15,40.15,40.15,0.0,0.0
2019-10-13,40.64,40.64,40.64,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2019-10-20,40.96,40.96,40.96,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2019-10-27,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2019-11-03,42.37,42.37,42.37,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2019-11-10,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2019-11-17,42.27,42.27,42.27,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.35,42.35,42.35,0.0,0.0
2019-11-24,42.86,42.86,42.86,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2019-12-01,43.06,43.06,43.06,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2019-12-08,43.75,43.75,43.75,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2019-12-15,44.02,44.02,44.02,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2019-12-22,44.73,44.73,44.73,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2019-12-29,44.47,44.47,44.47,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0
