Date,iShares Currency Hedged MSCI EAFE Small Cap_Open_average,iShares Currency Hedged MSCI EAFE Small Cap_Open_max,iShares Currency Hedged MSCI EAFE Small Cap_Open_min,iShares Currency Hedged MSCI EAFE Small Cap_Open_volatility,iShares Currency Hedged MSCI EAFE Small Cap_Open_change,iShares Currency Hedged MSCI EAFE Small Cap_High_average,iShares Currency Hedged MSCI EAFE Small Cap_High_max,iShares Currency Hedged MSCI EAFE Small Cap_High_min,iShares Currency Hedged MSCI EAFE Small Cap_High_volatility,iShares Currency Hedged MSCI EAFE Small Cap_High_change,iShares Currency Hedged MSCI EAFE Small Cap_Low_average,iShares Currency Hedged MSCI EAFE Small Cap_Low_max,iShares Currency Hedged MSCI EAFE Small Cap_Low_min,iShares Currency Hedged MSCI EAFE Small Cap_Low_volatility,iShares Currency Hedged MSCI EAFE Small Cap_Low_change,iShares Currency Hedged MSCI EAFE Small Cap_Close_average,iShares Currency Hedged MSCI EAFE Small Cap_Close_max,iShares Currency Hedged MSCI EAFE Small Cap_Close_min,iShares Currency Hedged MSCI EAFE Small Cap_Close_volatility,iShares Currency Hedged MSCI EAFE Small Cap_Close_change
2018-04-15,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-04-22,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-04-29,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-05-06,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-05-13,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-05-20,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-05-27,32.0,32.0,32.0,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-06-03,32.22,32.22,32.22,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-06-10,31.78,31.78,31.78,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-06-17,31.34,31.34,31.34,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-06-24,30.86,30.86,30.86,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-07-01,30.9,30.9,30.9,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-07-08,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-07-15,31.16,31.16,31.16,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-07-22,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-07-29,31.07,31.07,31.07,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-08-05,30.78,30.78,30.78,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-08-12,30.61,30.61,30.61,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-08-19,31.26,31.26,31.26,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-08-26,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-09-02,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-09-09,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-09-16,31.24,31.24,31.24,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-09-23,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-09-30,30.27,30.27,30.27,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-10-07,28.75,28.75,28.75,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-10-14,29.13,29.13,29.13,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2018-10-21,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-10-28,29.01,29.01,29.01,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-11-04,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-11-11,28.0,28.0,28.0,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-11-18,28.35,28.35,28.35,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-11-25,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-12-02,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-12-09,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-12-16,24.94,24.94,24.94,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-12-23,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-12-30,25.83,25.83,25.83,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2019-01-06,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2019-01-13,26.94,26.94,26.94,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2019-01-20,26.9,26.9,26.9,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2019-01-27,27.3,27.3,27.3,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2019-02-03,27.15,27.15,27.15,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2019-02-10,27.73,27.73,27.73,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2019-02-17,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2019-02-24,28.45,28.45,28.45,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-03-03,27.97,27.97,27.97,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2019-03-10,28.44,28.44,28.44,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2019-03-17,27.84,27.84,27.84,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2019-03-24,28.63,28.63,28.63,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2019-03-31,28.95,28.95,28.95,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2019-04-07,29.27,29.27,29.27,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2019-04-14,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2019-04-21,29.52,29.52,29.52,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2019-04-28,29.1,29.1,29.1,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2019-05-05,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2019-05-12,28.35,28.35,28.35,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2019-05-19,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2019-05-26,27.76,27.76,27.76,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2019-06-02,28.56,28.56,28.56,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2019-06-09,28.43,28.43,28.43,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2019-06-16,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2019-06-23,29.16,29.16,29.16,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2019-06-30,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2019-07-07,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2019-07-14,28.65,28.65,28.65,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2019-07-21,29.02,29.02,29.02,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2019-07-28,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2019-08-04,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2019-08-11,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2019-08-18,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2019-08-25,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2019-09-01,28.55,28.55,28.55,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2019-09-08,29.0,29.0,29.0,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2019-09-15,28.96,28.96,28.96,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2019-09-22,29.09,29.09,29.09,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2019-09-29,28.71,28.71,28.71,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2019-10-06,29.28,29.28,29.28,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2019-10-13,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-10-20,30.0,30.0,30.0,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2019-10-27,30.41,30.41,30.41,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2019-11-03,30.61,30.61,30.61,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2019-11-10,30.65,30.65,30.65,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-11-17,30.78,30.78,30.78,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2019-11-24,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2019-12-01,30.77,30.77,30.77,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-12-08,31.35,31.35,31.35,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-12-15,31.39,31.39,31.39,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2019-12-22,30.76,30.76,30.76,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-12-29,30.77,30.77,30.77,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.76,30.76,30.76,0.0,0.0
