Date,iShares Interest Rate Hedged Corproate Bond_Open_average,iShares Interest Rate Hedged Corproate Bond_Open_max,iShares Interest Rate Hedged Corproate Bond_Open_min,iShares Interest Rate Hedged Corproate Bond_Open_volatility,iShares Interest Rate Hedged Corproate Bond_Open_change,iShares Interest Rate Hedged Corproate Bond_High_average,iShares Interest Rate Hedged Corproate Bond_High_max,iShares Interest Rate Hedged Corproate Bond_High_min,iShares Interest Rate Hedged Corproate Bond_High_volatility,iShares Interest Rate Hedged Corproate Bond_High_change,iShares Interest Rate Hedged Corproate Bond_Low_average,iShares Interest Rate Hedged Corproate Bond_Low_max,iShares Interest Rate Hedged Corproate Bond_Low_min,iShares Interest Rate Hedged Corproate Bond_Low_volatility,iShares Interest Rate Hedged Corproate Bond_Low_change,iShares Interest Rate Hedged Corproate Bond_Close_average,iShares Interest Rate Hedged Corproate Bond_Close_max,iShares Interest Rate Hedged Corproate Bond_Close_min,iShares Interest Rate Hedged Corproate Bond_Close_volatility,iShares Interest Rate Hedged Corproate Bond_Close_change
2019-05-05,93.32,93.32,93.32,0.0,0.0,93.62,93.62,93.62,0.0,0.0,93.32,93.32,93.32,0.0,0.0,93.56,93.56,93.56,0.0,0.0
2019-05-12,93.16,93.16,93.16,0.0,0.0,93.31,93.31,93.31,0.0,0.0,93.16,93.16,93.16,0.0,0.0,93.22,93.22,93.22,0.0,0.0
2019-05-19,92.86,92.86,92.86,0.0,0.0,92.95,92.95,92.95,0.0,0.0,92.8,92.8,92.8,0.0,0.0,92.89,92.89,92.89,0.0,0.0
2019-05-26,92.61,92.61,92.61,0.0,0.0,92.61,92.61,92.61,0.0,0.0,92.46,92.46,92.46,0.0,0.0,92.48,92.48,92.48,0.0,0.0
2019-06-02,92.92,92.92,92.92,0.0,0.0,92.96,92.96,92.96,0.0,0.0,92.71,92.71,92.71,0.0,0.0,92.78,92.78,92.78,0.0,0.0
2019-06-09,92.65,92.65,92.65,0.0,0.0,92.72,92.72,92.72,0.0,0.0,92.64,92.64,92.64,0.0,0.0,92.72,92.72,92.72,0.0,0.0
2019-06-16,93.73,93.73,93.73,0.0,0.0,93.87,93.87,93.87,0.0,0.0,93.71,93.71,93.71,0.0,0.0,93.87,93.87,93.87,0.0,0.0
2019-06-23,93.92,93.92,93.92,0.0,0.0,94.02,94.02,94.02,0.0,0.0,93.83,93.83,93.83,0.0,0.0,94.02,94.02,94.02,0.0,0.0
2019-06-30,93.96,93.96,93.96,0.0,0.0,94.03,94.03,94.03,0.0,0.0,93.82,93.82,93.82,0.0,0.0,93.96,93.96,93.96,0.0,0.0
2019-07-07,94.0,94.0,94.0,0.0,0.0,94.04,94.04,94.04,0.0,0.0,93.96,93.96,93.96,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2019-07-14,93.81,93.81,93.81,0.0,0.0,93.91,93.91,93.91,0.0,0.0,93.72,93.72,93.72,0.0,0.0,93.78,93.78,93.78,0.0,0.0
2019-07-21,94.27,94.27,94.27,0.0,0.0,94.35,94.35,94.35,0.0,0.0,94.17,94.17,94.17,0.0,0.0,94.27,94.27,94.27,0.0,0.0
2019-07-28,93.3,93.3,93.3,0.0,0.0,93.3,93.3,93.3,0.0,0.0,93.17,93.17,93.17,0.0,0.0,93.23,93.23,93.23,0.0,0.0
2019-08-04,92.25,92.25,92.25,0.0,0.0,92.3,92.3,92.3,0.0,0.0,92.24,92.24,92.24,0.0,0.0,92.27,92.27,92.27,0.0,0.0
2019-08-11,91.95,91.95,91.95,0.0,0.0,92.22,92.22,92.22,0.0,0.0,91.95,91.95,91.95,0.0,0.0,92.18,92.18,92.18,0.0,0.0
2019-08-18,92.9,92.9,92.9,0.0,0.0,92.99,92.99,92.99,0.0,0.0,92.69,92.69,92.69,0.0,0.0,92.73,92.73,92.73,0.0,0.0
2019-08-25,92.48,92.48,92.48,0.0,0.0,92.55,92.55,92.55,0.0,0.0,92.48,92.48,92.48,0.0,0.0,92.55,92.55,92.55,0.0,0.0
2019-09-01,92.35,92.35,92.35,0.0,0.0,92.38,92.38,92.38,0.0,0.0,92.26,92.26,92.26,0.0,0.0,92.32,92.32,92.32,0.0,0.0
2019-09-08,92.72,92.72,92.72,0.0,0.0,92.72,92.72,92.72,0.0,0.0,92.64,92.64,92.64,0.0,0.0,92.67,92.67,92.67,0.0,0.0
2019-09-15,93.0,93.0,93.0,0.0,0.0,93.06,93.06,93.06,0.0,0.0,92.9,92.9,92.9,0.0,0.0,93.06,93.06,93.06,0.0,0.0
2019-09-22,92.84,92.84,92.84,0.0,0.0,92.86,92.86,92.86,0.0,0.0,92.57,92.57,92.57,0.0,0.0,92.66,92.66,92.66,0.0,0.0
2019-09-29,92.28,92.28,92.28,0.0,0.0,92.4,92.4,92.4,0.0,0.0,92.27,92.27,92.27,0.0,0.0,92.4,92.4,92.4,0.0,0.0
2019-10-06,92.87,92.87,92.87,0.0,0.0,93.1,93.1,93.1,0.0,0.0,92.87,92.87,92.87,0.0,0.0,93.02,93.02,93.02,0.0,0.0
2019-10-13,93.76,93.76,93.76,0.0,0.0,93.77,93.77,93.77,0.0,0.0,93.63,93.63,93.63,0.0,0.0,93.73,93.73,93.73,0.0,0.0
2019-10-20,94.08,94.08,94.08,0.0,0.0,94.17,94.17,94.17,0.0,0.0,94.05,94.05,94.05,0.0,0.0,94.15,94.15,94.15,0.0,0.0
2019-10-27,93.96,93.96,93.96,0.0,0.0,94.19,94.19,94.19,0.0,0.0,93.96,93.96,93.96,0.0,0.0,94.03,94.03,94.03,0.0,0.0
2019-11-03,94.3,94.3,94.3,0.0,0.0,94.3,94.3,94.3,0.0,0.0,94.2,94.2,94.2,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2019-11-10,93.94,93.94,93.94,0.0,0.0,94.07,94.07,94.07,0.0,0.0,93.94,93.94,93.94,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2019-11-17,93.72,93.72,93.72,0.0,0.0,93.91,93.91,93.91,0.0,0.0,93.72,93.72,93.72,0.0,0.0,93.91,93.91,93.91,0.0,0.0
2019-11-24,94.58,94.58,94.58,0.0,0.0,94.67,94.67,94.67,0.0,0.0,94.58,94.58,94.58,0.0,0.0,94.6,94.6,94.6,0.0,0.0
2019-12-01,94.81,94.81,94.81,0.0,0.0,94.93,94.93,94.93,0.0,0.0,94.81,94.81,94.81,0.0,0.0,94.85,94.85,94.85,0.0,0.0
2019-12-08,95.43,95.43,95.43,0.0,0.0,95.52,95.52,95.52,0.0,0.0,95.43,95.43,95.43,0.0,0.0,95.52,95.52,95.52,0.0,0.0
2019-12-15,95.95,95.95,95.95,0.0,0.0,95.95,95.95,95.95,0.0,0.0,95.92,95.92,95.92,0.0,0.0,95.92,95.92,95.92,0.0,0.0
2019-12-22,95.97,95.97,95.97,0.0,0.0,96.07,96.07,96.07,0.0,0.0,95.92,95.92,95.92,0.0,0.0,95.99,95.99,95.99,0.0,0.0
2019-12-29,95.57,95.57,95.57,0.0,0.0,95.73,95.73,95.73,0.0,0.0,95.57,95.57,95.57,0.0,0.0,95.65,95.65,95.65,0.0,0.0
