Date,ProShares UltraShort FTSE Europe_Open_average,ProShares UltraShort FTSE Europe_Open_max,ProShares UltraShort FTSE Europe_Open_min,ProShares UltraShort FTSE Europe_Open_volatility,ProShares UltraShort FTSE Europe_Open_change,ProShares UltraShort FTSE Europe_High_average,ProShares UltraShort FTSE Europe_High_max,ProShares UltraShort FTSE Europe_High_min,ProShares UltraShort FTSE Europe_High_volatility,ProShares UltraShort FTSE Europe_High_change,ProShares UltraShort FTSE Europe_Low_average,ProShares UltraShort FTSE Europe_Low_max,ProShares UltraShort FTSE Europe_Low_min,ProShares UltraShort FTSE Europe_Low_volatility,ProShares UltraShort FTSE Europe_Low_change,ProShares UltraShort FTSE Europe_Close_average,ProShares UltraShort FTSE Europe_Close_max,ProShares UltraShort FTSE Europe_Close_min,ProShares UltraShort FTSE Europe_Close_volatility,ProShares UltraShort FTSE Europe_Close_change
2018-05-27,30.37,30.37,30.37,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2018-06-03,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-06-10,31.31,31.31,31.31,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-06-17,31.81,31.81,31.81,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.81,31.81,31.81,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-06-24,32.69,32.69,32.69,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-07-01,30.67,30.67,30.67,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-07-08,30.79,30.79,30.79,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-07-15,30.95,30.95,30.95,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-07-22,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.87,29.87,29.87,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-07-29,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-08-05,32.45,32.45,32.45,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-08-12,32.58,32.58,32.58,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-08-19,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-08-26,31.46,31.46,31.46,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-09-02,32.66,32.66,32.66,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-09-09,31.81,31.81,31.81,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-09-16,30.43,30.43,30.43,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-09-23,30.92,30.92,30.92,0.0,0.0,31.53,31.53,31.53,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-09-30,34.0,34.0,34.0,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-10-07,35.93,35.93,35.93,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-10-14,35.97,35.97,35.97,0.0,0.0,36.47,36.47,36.47,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-10-21,37.34,37.34,37.34,0.0,0.0,38.51,38.51,38.51,0.0,0.0,37.0,37.0,37.0,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-10-28,35.76,35.76,35.76,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-11-04,36.8,36.8,36.8,0.0,0.0,37.26,37.26,37.26,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-11-11,36.8,36.8,36.8,0.0,0.0,37.58,37.58,37.58,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-11-18,37.21,37.21,37.21,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-11-25,36.24,36.24,36.24,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-12-02,40.12,40.12,40.12,0.0,0.0,41.3,41.3,41.3,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.59,40.59,40.59,0.0,0.0
2018-12-09,40.41,40.41,40.41,0.0,0.0,41.3,41.3,41.3,0.0,0.0,40.1,40.1,40.1,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-12-16,43.13,43.13,43.13,0.0,0.0,43.98,43.98,43.98,0.0,0.0,42.49,42.49,42.49,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2018-12-23,40.3,40.3,40.3,0.0,0.0,41.15,41.15,41.15,0.0,0.0,39.88,39.88,39.88,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-12-30,39.28,39.28,39.28,0.0,0.0,39.5,39.5,39.5,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2019-01-06,38.23,38.23,38.23,0.0,0.0,38.49,38.49,38.49,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2019-01-13,36.81,36.81,36.81,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2019-01-20,37.01,37.01,37.01,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2019-01-27,35.76,35.76,35.76,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2019-02-03,36.76,36.76,36.76,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2019-02-10,35.26,35.26,35.26,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2019-02-17,33.94,33.94,33.94,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.66,33.66,33.66,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2019-02-24,33.19,33.19,33.19,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2019-03-03,35.11,35.11,35.11,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2019-03-10,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-03-17,33.64,33.64,33.64,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2019-03-24,32.38,32.38,32.38,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2019-03-31,31.38,31.38,31.38,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2019-04-07,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2019-04-14,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2019-04-21,31.16,31.16,31.16,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2019-04-28,31.85,31.85,31.85,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2019-05-05,33.39,33.39,33.39,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2019-05-12,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2019-05-19,33.15,33.15,33.15,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2019-05-26,34.28,34.28,34.28,0.0,0.0,34.44,34.44,34.44,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2019-06-02,31.75,31.75,31.75,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2019-06-09,32.38,32.38,32.38,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2019-06-16,30.36,30.36,30.36,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-06-23,29.78,29.78,29.78,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.78,29.78,29.78,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2019-06-30,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2019-07-07,30.44,30.44,30.44,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-07-14,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-07-21,30.37,30.37,30.37,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2019-07-28,34.0,34.0,34.0,0.0,0.0,34.62,34.62,34.62,0.0,0.0,33.81,33.81,33.81,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2019-08-04,33.82,33.82,33.82,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2019-08-11,33.42,33.42,33.42,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2019-08-18,34.15,34.15,34.15,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.79,33.79,33.79,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2019-08-25,32.7,32.7,32.7,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2019-09-01,31.46,31.46,31.46,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2019-09-08,30.96,30.96,30.96,0.0,0.0,31.3,31.3,31.3,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2019-09-15,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-09-22,31.27,31.27,31.27,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2019-09-29,32.74,32.74,32.74,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2019-10-06,31.0,31.0,31.0,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-10-13,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-10-20,29.13,29.13,29.13,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2019-10-27,28.2,28.2,28.2,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2019-11-03,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2019-11-10,28.18,28.18,28.18,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2019-11-17,28.22,28.22,28.22,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2019-11-24,28.65,28.65,28.65,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2019-12-01,27.96,27.96,27.96,0.0,0.0,28.11,28.11,28.11,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2019-12-08,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2019-12-15,26.27,26.27,26.27,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2019-12-22,25.71,25.71,25.71,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.71,25.71,25.71,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2019-12-29,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.96,25.96,25.96,0.0,0.0
