Date,iShares North American Tech-SoftwareEtf_Open_average,iShares North American Tech-SoftwareEtf_Open_max,iShares North American Tech-SoftwareEtf_Open_min,iShares North American Tech-SoftwareEtf_Open_volatility,iShares North American Tech-SoftwareEtf_Open_change,iShares North American Tech-SoftwareEtf_High_average,iShares North American Tech-SoftwareEtf_High_max,iShares North American Tech-SoftwareEtf_High_min,iShares North American Tech-SoftwareEtf_High_volatility,iShares North American Tech-SoftwareEtf_High_change,iShares North American Tech-SoftwareEtf_Low_average,iShares North American Tech-SoftwareEtf_Low_max,iShares North American Tech-SoftwareEtf_Low_min,iShares North American Tech-SoftwareEtf_Low_volatility,iShares North American Tech-SoftwareEtf_Low_change,iShares North American Tech-SoftwareEtf_Close_average,iShares North American Tech-SoftwareEtf_Close_max,iShares North American Tech-SoftwareEtf_Close_min,iShares North American Tech-SoftwareEtf_Close_volatility,iShares North American Tech-SoftwareEtf_Close_change
2018-07-01,186.24,186.24,186.24,0.0,0.0,189.11,189.11,189.11,0.0,0.0,186.0,186.0,186.0,0.0,0.0,188.77,188.77,188.77,0.0,0.0
2018-07-08,196.31,196.31,196.31,0.0,0.0,196.51,196.51,196.51,0.0,0.0,194.52,194.52,194.52,0.0,0.0,196.23,196.23,196.23,0.0,0.0
2018-07-15,196.76,196.76,196.76,0.0,0.0,197.13,197.13,197.13,0.0,0.0,195.74,195.74,195.74,0.0,0.0,195.81,195.81,195.81,0.0,0.0
2018-07-22,196.68,196.68,196.68,0.0,0.0,196.68,196.68,196.68,0.0,0.0,189.88,189.88,189.88,0.0,0.0,191.57,191.57,191.57,0.0,0.0
2018-07-29,190.48,190.48,190.48,0.0,0.0,190.94,190.94,190.94,0.0,0.0,187.83,187.83,187.83,0.0,0.0,189.52,189.52,189.52,0.0,0.0
2018-08-05,191.71,191.71,191.71,0.0,0.0,193.65,193.65,193.65,0.0,0.0,191.21,191.21,191.21,0.0,0.0,192.76,192.76,192.76,0.0,0.0
2018-08-12,191.19,191.19,191.19,0.0,0.0,191.25,191.25,191.25,0.0,0.0,189.3,189.3,189.3,0.0,0.0,190.72,190.72,190.72,0.0,0.0
2018-08-19,196.35,196.35,196.35,0.0,0.0,199.88,199.88,199.88,0.0,0.0,196.35,196.35,196.35,0.0,0.0,199.86,199.86,199.86,0.0,0.0
2018-08-26,200.28,200.28,200.28,0.0,0.0,201.18,201.18,201.18,0.0,0.0,200.28,200.28,200.28,0.0,0.0,200.85,200.85,200.85,0.0,0.0
2018-09-02,196.27,196.27,196.27,0.0,0.0,199.68,199.68,199.68,0.0,0.0,195.9,195.9,195.9,0.0,0.0,198.5,198.5,198.5,0.0,0.0
2018-09-09,205.21,205.21,205.21,0.0,0.0,206.66,206.66,206.66,0.0,0.0,204.56,204.56,204.56,0.0,0.0,205.52,205.52,205.52,0.0,0.0
2018-09-16,202.47,202.47,202.47,0.0,0.0,202.9,202.9,202.9,0.0,0.0,200.4,200.4,200.4,0.0,0.0,200.7,200.7,200.7,0.0,0.0
2018-09-23,204.26,204.26,204.26,0.0,0.0,205.78,205.78,205.78,0.0,0.0,204.01,204.01,204.01,0.0,0.0,204.97,204.97,204.97,0.0,0.0
2018-09-30,197.73,197.73,197.73,0.0,0.0,199.44,199.44,199.44,0.0,0.0,194.0,194.0,194.0,0.0,0.0,196.6,196.6,196.6,0.0,0.0
2018-10-07,186.51,186.51,186.51,0.0,0.0,188.16,188.16,188.16,0.0,0.0,183.62,183.62,183.62,0.0,0.0,187.28,187.28,187.28,0.0,0.0
2018-10-14,187.62,187.62,187.62,0.0,0.0,188.34,188.34,188.34,0.0,0.0,182.8,182.8,182.8,0.0,0.0,182.88,182.88,182.88,0.0,0.0
2018-10-21,176.2,176.2,176.2,0.0,0.0,180.82,180.82,180.82,0.0,0.0,174.83,174.83,174.83,0.0,0.0,177.25,177.25,177.25,0.0,0.0
2018-10-28,185.93,185.93,185.93,0.0,0.0,186.73,186.73,186.73,0.0,0.0,182.3,182.3,182.3,0.0,0.0,183.21,183.21,183.21,0.0,0.0
2018-11-04,186.01,186.01,186.01,0.0,0.0,186.46,186.46,186.46,0.0,0.0,181.5,181.5,181.5,0.0,0.0,183.5,183.5,183.5,0.0,0.0
2018-11-11,180.16,180.16,180.16,0.0,0.0,181.82,181.82,181.82,0.0,0.0,179.19,179.19,179.19,0.0,0.0,180.63,180.63,180.63,0.0,0.0
2018-11-18,171.24,171.24,171.24,0.0,0.0,173.49,173.49,173.49,0.0,0.0,171.24,171.24,171.24,0.0,0.0,172.81,172.81,172.81,0.0,0.0
2018-11-25,184.61,184.61,184.61,0.0,0.0,185.92,185.92,185.92,0.0,0.0,183.42,183.42,183.42,0.0,0.0,185.65,185.65,185.65,0.0,0.0
2018-12-02,182.38,182.38,182.38,0.0,0.0,183.34,183.34,183.34,0.0,0.0,176.22,176.22,176.22,0.0,0.0,177.26,177.26,177.26,0.0,0.0
2018-12-09,179.54,179.54,179.54,0.0,0.0,180.77,180.77,180.77,0.0,0.0,176.99,176.99,176.99,0.0,0.0,177.38,177.38,177.38,0.0,0.0
2018-12-16,170.24,170.24,170.24,0.0,0.0,170.24,170.24,170.24,0.0,0.0,162.42,162.42,162.42,0.0,0.0,163.1,163.1,163.1,0.0,0.0
2018-12-23,174.06,174.06,174.06,0.0,0.0,174.5,174.5,174.5,0.0,0.0,169.85,169.85,169.85,0.0,0.0,171.83,171.83,171.83,0.0,0.0
2018-12-30,170.32,170.32,170.32,0.0,0.0,175.93,175.93,175.93,0.0,0.0,169.59,169.59,169.59,0.0,0.0,174.86,174.86,174.86,0.0,0.0
2019-01-06,182.61,182.61,182.61,0.0,0.0,182.78,182.78,182.78,0.0,0.0,180.93,180.93,180.93,0.0,0.0,182.75,182.75,182.75,0.0,0.0
2019-01-13,186.82,186.82,186.82,0.0,0.0,189.14,189.14,189.14,0.0,0.0,186.08,186.08,186.08,0.0,0.0,188.56,188.56,188.56,0.0,0.0
2019-01-20,187.81,187.81,187.81,0.0,0.0,189.5,189.5,189.5,0.0,0.0,187.42,187.42,187.42,0.0,0.0,189.08,189.08,189.08,0.0,0.0
2019-01-27,192.95,192.95,192.95,0.0,0.0,194.35,194.35,194.35,0.0,0.0,192.11,192.11,192.11,0.0,0.0,193.96,193.96,193.96,0.0,0.0
2019-02-03,194.09,194.09,194.09,0.0,0.0,199.05,199.05,199.05,0.0,0.0,194.0,194.0,194.0,0.0,0.0,199.05,199.05,199.05,0.0,0.0
2019-02-10,204.53,204.53,204.53,0.0,0.0,205.0,205.0,205.0,0.0,0.0,202.86,202.86,202.86,0.0,0.0,204.17,204.17,204.17,0.0,0.0
2019-02-17,204.35,204.35,204.35,0.0,0.0,206.22,206.22,206.22,0.0,0.0,204.0,204.0,204.0,0.0,0.0,206.16,206.16,206.16,0.0,0.0
2019-02-24,209.12,209.12,209.12,0.0,0.0,209.59,209.59,209.59,0.0,0.0,206.38,206.38,206.38,0.0,0.0,208.12,208.12,208.12,0.0,0.0
2019-03-03,199.38,199.38,199.38,0.0,0.0,201.91,201.91,201.91,0.0,0.0,198.32,198.32,198.32,0.0,0.0,201.74,201.74,201.74,0.0,0.0
2019-03-10,208.53,208.53,208.53,0.0,0.0,209.24,209.24,209.24,0.0,0.0,206.66,206.66,206.66,0.0,0.0,208.44,208.44,208.44,0.0,0.0
2019-03-17,213.57,213.57,213.57,0.0,0.0,213.77,213.77,213.77,0.0,0.0,208.31,208.31,208.31,0.0,0.0,208.33,208.33,208.33,0.0,0.0
2019-03-24,209.93,209.93,209.93,0.0,0.0,210.85,210.85,210.85,0.0,0.0,208.85,208.85,208.85,0.0,0.0,210.82,210.82,210.82,0.0,0.0
2019-03-31,211.3,211.3,211.3,0.0,0.0,212.41,212.41,212.41,0.0,0.0,210.93,210.93,210.93,0.0,0.0,211.67,211.67,211.67,0.0,0.0
2019-04-07,216.15,216.15,216.15,0.0,0.0,216.19,216.19,216.19,0.0,0.0,214.25,214.25,214.25,0.0,0.0,215.36,215.36,215.36,0.0,0.0
2019-04-14,211.17,211.17,211.17,0.0,0.0,211.9,211.9,211.9,0.0,0.0,209.16,209.16,209.16,0.0,0.0,211.87,211.87,211.87,0.0,0.0
2019-04-21,218.75,218.75,218.75,0.0,0.0,220.72,220.72,220.72,0.0,0.0,216.92,216.92,216.92,0.0,0.0,220.68,220.68,220.68,0.0,0.0
2019-04-28,218.51,218.51,218.51,0.0,0.0,220.02,220.02,220.02,0.0,0.0,217.45,217.45,217.45,0.0,0.0,219.83,219.83,219.83,0.0,0.0
2019-05-05,212.83,212.83,212.83,0.0,0.0,216.41,216.41,216.41,0.0,0.0,209.84,209.84,209.84,0.0,0.0,215.59,215.59,215.59,0.0,0.0
2019-05-12,216.68,216.68,216.68,0.0,0.0,218.9,218.9,218.9,0.0,0.0,215.44,215.44,215.44,0.0,0.0,215.84,215.84,215.84,0.0,0.0
2019-05-19,210.95,210.95,210.95,0.0,0.0,212.5,212.5,212.5,0.0,0.0,210.18,210.18,210.18,0.0,0.0,211.22,211.22,211.22,0.0,0.0
2019-05-26,206.65,206.65,206.65,0.0,0.0,208.16,208.16,208.16,0.0,0.0,205.86,205.86,205.86,0.0,0.0,206.25,206.25,206.25,0.0,0.0
2019-06-02,211.73,211.73,211.73,0.0,0.0,214.9,214.9,214.9,0.0,0.0,211.5,211.5,211.5,0.0,0.0,213.81,213.81,213.81,0.0,0.0
2019-06-09,214.2,214.2,214.2,0.0,0.0,214.31,214.31,214.31,0.0,0.0,211.36,211.36,211.36,0.0,0.0,212.34,212.34,212.34,0.0,0.0
2019-06-16,221.85,221.85,221.85,0.0,0.0,222.32,222.32,222.32,0.0,0.0,220.51,220.51,220.51,0.0,0.0,220.63,220.63,220.63,0.0,0.0
2019-06-23,218.5,218.5,218.5,0.0,0.0,218.77,218.77,218.77,0.0,0.0,216.61,216.61,216.61,0.0,0.0,218.46,218.46,218.46,0.0,0.0
2019-06-30,224.13,224.13,224.13,0.0,0.0,225.35,225.35,225.35,0.0,0.0,221.74,221.74,221.74,0.0,0.0,225.2,225.2,225.2,0.0,0.0
2019-07-07,229.12,229.12,229.12,0.0,0.0,229.38,229.38,229.38,0.0,0.0,227.09,227.09,227.09,0.0,0.0,229.07,229.07,229.07,0.0,0.0
2019-07-14,228.51,228.51,228.51,0.0,0.0,229.07,229.07,229.07,0.0,0.0,224.54,224.54,224.54,0.0,0.0,224.55,224.55,224.55,0.0,0.0
2019-07-21,228.77,228.77,228.77,0.0,0.0,230.56,230.56,230.56,0.0,0.0,228.74,228.74,228.74,0.0,0.0,230.04,230.04,230.04,0.0,0.0
2019-07-28,220.74,220.74,220.74,0.0,0.0,220.8,220.8,220.8,0.0,0.0,216.1,216.1,216.1,0.0,0.0,217.39,217.39,217.39,0.0,0.0
2019-08-04,217.9,217.9,217.9,0.0,0.0,218.34,218.34,218.34,0.0,0.0,215.27,215.27,215.27,0.0,0.0,216.72,216.72,216.72,0.0,0.0
2019-08-11,211.67,211.67,211.67,0.0,0.0,214.01,214.01,214.01,0.0,0.0,211.45,211.45,211.45,0.0,0.0,212.72,212.72,212.72,0.0,0.0
2019-08-18,217.89,217.89,217.89,0.0,0.0,220.68,220.68,220.68,0.0,0.0,212.65,212.65,212.65,0.0,0.0,213.31,213.31,213.31,0.0,0.0
2019-08-25,218.0,218.0,218.0,0.0,0.0,218.0,218.0,218.0,0.0,0.0,213.31,213.31,213.31,0.0,0.0,215.79,215.79,215.79,0.0,0.0
2019-09-01,220.48,220.48,220.48,0.0,0.0,220.9,220.9,220.9,0.0,0.0,218.23,218.23,218.23,0.0,0.0,218.5,218.5,218.5,0.0,0.0
2019-09-08,215.37,215.37,215.37,0.0,0.0,215.71,215.71,215.71,0.0,0.0,213.45,213.45,213.45,0.0,0.0,213.75,213.75,213.75,0.0,0.0
2019-09-15,218.06,218.06,218.06,0.0,0.0,218.6,218.6,218.6,0.0,0.0,215.13,215.13,215.13,0.0,0.0,216.63,216.63,216.63,0.0,0.0
2019-09-22,215.0,215.0,215.0,0.0,0.0,215.5,215.5,215.5,0.0,0.0,207.57,207.57,207.57,0.0,0.0,209.79,209.79,209.79,0.0,0.0
2019-09-29,211.39,211.39,211.39,0.0,0.0,214.01,214.01,214.01,0.0,0.0,211.09,211.09,211.09,0.0,0.0,213.79,213.79,213.79,0.0,0.0
2019-10-06,215.15,215.15,215.15,0.0,0.0,218.17,218.17,218.17,0.0,0.0,214.77,214.77,214.77,0.0,0.0,216.37,216.37,216.37,0.0,0.0
2019-10-13,211.99,211.99,211.99,0.0,0.0,212.14,212.14,212.14,0.0,0.0,205.89,205.89,205.89,0.0,0.0,207.99,207.99,207.99,0.0,0.0
2019-10-20,210.71,210.71,210.71,0.0,0.0,212.18,212.18,212.18,0.0,0.0,209.68,209.68,209.68,0.0,0.0,211.95,211.95,211.95,0.0,0.0
2019-10-27,216.27,216.27,216.27,0.0,0.0,218.26,218.26,218.26,0.0,0.0,215.46,215.46,215.46,0.0,0.0,217.43,217.43,217.43,0.0,0.0
2019-11-03,217.0,217.0,217.0,0.0,0.0,219.85,219.85,219.85,0.0,0.0,216.73,216.73,216.73,0.0,0.0,219.78,219.78,219.78,0.0,0.0
2019-11-10,223.51,223.51,223.51,0.0,0.0,224.63,224.63,224.63,0.0,0.0,222.01,222.01,222.01,0.0,0.0,224.63,224.63,224.63,0.0,0.0
2019-11-17,228.7,228.7,228.7,0.0,0.0,228.74,228.74,228.74,0.0,0.0,226.1,226.1,226.1,0.0,0.0,227.7,227.7,227.7,0.0,0.0
2019-11-24,231.73,231.73,231.73,0.0,0.0,232.6,232.6,232.6,0.0,0.0,231.67,231.67,231.67,0.0,0.0,232.0,232.0,232.0,0.0,0.0
2019-12-01,227.55,227.55,227.55,0.0,0.0,228.13,228.13,228.13,0.0,0.0,227.12,227.12,227.12,0.0,0.0,227.72,227.72,227.72,0.0,0.0
2019-12-08,226.78,226.78,226.78,0.0,0.0,229.25,229.25,229.25,0.0,0.0,226.75,226.75,226.75,0.0,0.0,228.75,228.75,228.75,0.0,0.0
2019-12-15,233.4,233.4,233.4,0.0,0.0,234.05,234.05,234.05,0.0,0.0,233.05,233.05,233.05,0.0,0.0,234.04,234.04,234.04,0.0,0.0
2019-12-22,235.86,235.86,235.86,0.0,0.0,235.86,235.86,235.86,0.0,0.0,233.68,233.68,233.68,0.0,0.0,235.04,235.04,235.04,0.0,0.0
2019-12-29,234.52,234.52,234.52,0.0,0.0,236.96,236.96,236.96,0.0,0.0,234.01,234.01,234.01,0.0,0.0,236.39,236.39,236.39,0.0,0.0
