Date,ProShares UltraPro Short Financial Select Sector_Open_average,ProShares UltraPro Short Financial Select Sector_Open_max,ProShares UltraPro Short Financial Select Sector_Open_min,ProShares UltraPro Short Financial Select Sector_Open_volatility,ProShares UltraPro Short Financial Select Sector_Open_change,ProShares UltraPro Short Financial Select Sector_High_average,ProShares UltraPro Short Financial Select Sector_High_max,ProShares UltraPro Short Financial Select Sector_High_min,ProShares UltraPro Short Financial Select Sector_High_volatility,ProShares UltraPro Short Financial Select Sector_High_change,ProShares UltraPro Short Financial Select Sector_Low_average,ProShares UltraPro Short Financial Select Sector_Low_max,ProShares UltraPro Short Financial Select Sector_Low_min,ProShares UltraPro Short Financial Select Sector_Low_volatility,ProShares UltraPro Short Financial Select Sector_Low_change,ProShares UltraPro Short Financial Select Sector_Close_average,ProShares UltraPro Short Financial Select Sector_Close_max,ProShares UltraPro Short Financial Select Sector_Close_min,ProShares UltraPro Short Financial Select Sector_Close_volatility,ProShares UltraPro Short Financial Select Sector_Close_change
2018-04-01,7.97,7.97,7.97,0.0,0.0,7.97,7.97,7.97,0.0,0.0,7.72,7.72,7.72,0.0,0.0,7.72,7.72,7.72,0.0,0.0
2018-04-08,7.78,7.78,7.78,0.0,0.0,7.83,7.83,7.83,0.0,0.0,7.78,7.78,7.78,0.0,0.0,7.83,7.83,7.83,0.0,0.0
2018-04-15,7.5,7.5,7.5,0.0,0.0,7.5,7.5,7.5,0.0,0.0,7.48,7.48,7.48,0.0,0.0,7.49,7.49,7.49,0.0,0.0
2018-04-22,7.69,7.69,7.69,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.71,7.71,7.71,0.0,0.0
2018-04-29,7.97,7.97,7.97,0.0,0.0,7.97,7.97,7.97,0.0,0.0,7.97,7.97,7.97,0.0,0.0,7.97,7.97,7.97,0.0,0.0
2018-05-06,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0
2018-05-13,7.19,7.19,7.19,0.0,0.0,7.24,7.24,7.24,0.0,0.0,7.19,7.19,7.19,0.0,0.0,7.24,7.24,7.24,0.0,0.0
2018-05-20,7.59,7.59,7.59,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.59,7.59,7.59,0.0,0.0
2018-05-27,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0
2018-06-03,7.34,7.34,7.34,0.0,0.0,7.34,7.34,7.34,0.0,0.0,7.24,7.24,7.24,0.0,0.0,7.24,7.24,7.24,0.0,0.0
2018-06-10,7.76,7.76,7.76,0.0,0.0,7.86,7.86,7.86,0.0,0.0,7.73,7.73,7.73,0.0,0.0,7.75,7.75,7.75,0.0,0.0
2018-06-17,8.29,8.29,8.29,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.05,8.05,8.05,0.0,0.0,8.4,8.4,8.4,0.0,0.0
2018-06-24,8.67,8.67,8.67,0.0,0.0,8.67,8.67,8.67,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.5,8.5,8.5,0.0,0.0
2018-07-01,8.22,8.22,8.22,0.0,0.0,8.22,8.22,8.22,0.0,0.0,7.82,7.82,7.82,0.0,0.0,7.82,7.82,7.82,0.0,0.0
2018-07-08,7.81,7.81,7.81,0.0,0.0,7.85,7.85,7.85,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0
2018-07-15,7.4,7.4,7.4,0.0,0.0,7.44,7.44,7.44,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.43,7.43,7.43,0.0,0.0
2018-07-22,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0
2018-07-29,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0
2018-08-05,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0
2018-08-12,7.0,7.0,7.0,0.0,0.0,7.04,7.04,7.04,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.03,7.03,7.03,0.0,0.0
2018-08-19,6.85,6.85,6.85,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.67,6.67,6.67,0.0,0.0,6.72,6.72,6.72,0.0,0.0
2018-08-26,7.06,7.06,7.06,0.0,0.0,7.08,7.08,7.08,0.0,0.0,6.95,6.95,6.95,0.0,0.0,7.02,7.02,7.02,0.0,0.0
2018-09-02,7.03,7.03,7.03,0.0,0.0,7.03,7.03,7.03,0.0,0.0,6.86,6.86,6.86,0.0,0.0,6.88,6.88,6.88,0.0,0.0
2018-09-09,6.95,6.95,6.95,0.0,0.0,7.07,7.07,7.07,0.0,0.0,6.92,6.92,6.92,0.0,0.0,7.07,7.07,7.07,0.0,0.0
2018-09-16,6.48,6.48,6.48,0.0,0.0,6.56,6.56,6.56,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.53,6.53,6.53,0.0,0.0
2018-09-23,7.31,7.31,7.31,0.0,0.0,7.31,7.31,7.31,0.0,0.0,7.31,7.31,7.31,0.0,0.0,7.31,7.31,7.31,0.0,0.0
2018-09-30,7.09,7.09,7.09,0.0,0.0,7.09,7.09,7.09,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.91,6.91,6.91,0.0,0.0
2018-10-07,8.23,8.23,8.23,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.23,8.23,8.23,0.0,0.0,8.28,8.28,8.28,0.0,0.0
2018-10-14,8.13,8.13,8.13,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.0,8.0,8.0,0.0,0.0,8.61,8.61,8.61,0.0,0.0
2018-10-21,9.17,9.17,9.17,0.0,0.0,9.51,9.51,9.51,0.0,0.0,8.71,8.71,8.71,0.0,0.0,9.38,9.38,9.38,0.0,0.0
2018-10-28,7.9,7.9,7.9,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.8,7.8,7.8,0.0,0.0,7.87,7.87,7.87,0.0,0.0
2018-11-04,7.55,7.55,7.55,0.0,0.0,7.98,7.98,7.98,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.89,7.89,7.89,0.0,0.0
2018-11-11,7.8,7.8,7.8,0.0,0.0,7.94,7.94,7.94,0.0,0.0,7.8,7.8,7.8,0.0,0.0,7.93,7.93,7.93,0.0,0.0
2018-11-18,8.44,8.44,8.44,0.0,0.0,8.44,8.44,8.44,0.0,0.0,7.98,7.98,7.98,0.0,0.0,8.15,8.15,8.15,0.0,0.0
2018-11-25,7.23,7.23,7.23,0.0,0.0,7.82,7.82,7.82,0.0,0.0,7.23,7.23,7.23,0.0,0.0,7.59,7.59,7.59,0.0,0.0
2018-12-02,9.5,9.5,9.5,0.0,0.0,10.18,10.18,10.18,0.0,0.0,9.33,9.33,9.33,0.0,0.0,9.63,9.63,9.63,0.0,0.0
2018-12-09,11.0,11.0,11.0,0.0,0.0,11.08,11.08,11.08,0.0,0.0,10.17,10.17,10.17,0.0,0.0,10.8,10.8,10.8,0.0,0.0
2018-12-16,12.65,12.65,12.65,0.0,0.0,13.19,13.19,13.19,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.91,12.91,12.91,0.0,0.0
2018-12-23,10.56,10.56,10.56,0.0,0.0,10.78,10.78,10.78,0.0,0.0,10.42,10.42,10.42,0.0,0.0,10.67,10.67,10.67,0.0,0.0
2018-12-30,9.79,9.79,9.79,0.0,0.0,10.04,10.04,10.04,0.0,0.0,9.58,9.58,9.58,0.0,0.0,9.76,9.76,9.76,0.0,0.0
2019-01-06,10.09,10.09,10.09,0.0,0.0,10.09,10.09,10.09,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.41,9.41,9.41,0.0,0.0
2019-01-13,8.41,8.41,8.41,0.0,0.0,8.41,8.41,8.41,0.0,0.0,7.95,7.95,7.95,0.0,0.0,7.95,7.95,7.95,0.0,0.0
2019-01-20,8.17,8.17,8.17,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.09,8.09,8.09,0.0,0.0,8.09,8.09,8.09,0.0,0.0
2019-01-27,7.9,7.9,7.9,0.0,0.0,7.9,7.9,7.9,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0
2019-02-03,8.19,8.19,8.19,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.27,8.27,8.27,0.0,0.0
2019-02-10,7.99,7.99,7.99,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.63,7.63,7.63,0.0,0.0
2019-02-17,7.32,7.32,7.32,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.26,7.26,7.26,0.0,0.0,7.65,7.65,7.65,0.0,0.0
2019-02-24,7.38,7.38,7.38,0.0,0.0,7.66,7.66,7.66,0.0,0.0,7.21,7.21,7.21,0.0,0.0,7.56,7.56,7.56,0.0,0.0
2019-03-03,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.69,7.69,7.69,0.0,0.0,7.77,7.77,7.77,0.0,0.0
2019-03-10,7.2,7.2,7.2,0.0,0.0,7.2,7.2,7.2,0.0,0.0,7.05,7.05,7.05,0.0,0.0,7.12,7.12,7.12,0.0,0.0
2019-03-17,8.59,8.59,8.59,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.34,8.34,8.34,0.0,0.0,8.53,8.53,8.53,0.0,0.0
2019-03-24,7.78,7.78,7.78,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.43,7.43,7.43,0.0,0.0,7.45,7.45,7.45,0.0,0.0
2019-03-31,7.34,7.34,7.34,0.0,0.0,7.34,7.34,7.34,0.0,0.0,7.24,7.24,7.24,0.0,0.0,7.26,7.26,7.26,0.0,0.0
2019-04-07,6.89,6.89,6.89,0.0,0.0,6.96,6.96,6.96,0.0,0.0,6.86,6.86,6.86,0.0,0.0,6.93,6.93,6.93,0.0,0.0
2019-04-14,6.75,6.75,6.75,0.0,0.0,6.77,6.77,6.77,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.72,6.72,6.72,0.0,0.0
2019-04-21,6.39,6.39,6.39,0.0,0.0,6.39,6.39,6.39,0.0,0.0,6.18,6.18,6.18,0.0,0.0,6.24,6.24,6.24,0.0,0.0
2019-04-28,6.45,6.45,6.45,0.0,0.0,6.47,6.47,6.47,0.0,0.0,6.27,6.27,6.27,0.0,0.0,6.27,6.27,6.27,0.0,0.0
2019-05-05,6.97,6.97,6.97,0.0,0.0,7.19,7.19,7.19,0.0,0.0,6.92,6.92,6.92,0.0,0.0,7.17,7.17,7.17,0.0,0.0
2019-05-12,6.96,6.96,6.96,0.0,0.0,7.0,7.0,7.0,0.0,0.0,6.92,6.92,6.92,0.0,0.0,6.96,6.96,6.96,0.0,0.0
2019-05-19,7.1,7.1,7.1,0.0,0.0,7.1,7.1,7.1,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0
2019-05-26,7.68,7.68,7.68,0.0,0.0,7.69,7.69,7.69,0.0,0.0,7.47,7.47,7.47,0.0,0.0,7.58,7.58,7.58,0.0,0.0
2019-06-02,6.58,6.58,6.58,0.0,0.0,6.58,6.58,6.58,0.0,0.0,6.45,6.45,6.45,0.0,0.0,6.57,6.57,6.57,0.0,0.0
2019-06-09,6.63,6.63,6.63,0.0,0.0,6.88,6.88,6.88,0.0,0.0,6.63,6.63,6.63,0.0,0.0,6.88,6.88,6.88,0.0,0.0
2019-06-16,6.6,6.6,6.6,0.0,0.0,6.67,6.67,6.67,0.0,0.0,6.53,6.53,6.53,0.0,0.0,6.67,6.67,6.67,0.0,0.0
2019-06-23,6.01,6.01,6.01,0.0,0.0,6.16,6.16,6.16,0.0,0.0,5.97,5.97,5.97,0.0,0.0,6.08,6.08,6.08,0.0,0.0
2019-06-30,6.09,6.09,6.09,0.0,0.0,6.09,6.09,6.09,0.0,0.0,5.97,5.97,5.97,0.0,0.0,6.06,6.06,6.06,0.0,0.0
2019-07-07,5.94,5.94,5.94,0.0,0.0,5.99,5.99,5.99,0.0,0.0,5.86,5.86,5.86,0.0,0.0,5.99,5.99,5.99,0.0,0.0
2019-07-14,6.35,6.35,6.35,0.0,0.0,6.35,6.35,6.35,0.0,0.0,6.03,6.03,6.03,0.0,0.0,6.04,6.04,6.04,0.0,0.0
2019-07-21,5.62,5.62,5.62,0.0,0.0,5.73,5.73,5.73,0.0,0.0,5.62,5.62,5.62,0.0,0.0,5.73,5.73,5.73,0.0,0.0
2019-07-28,6.65,6.65,6.65,0.0,0.0,6.94,6.94,6.94,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.87,6.87,6.87,0.0,0.0
2019-08-04,6.84,6.84,6.84,0.0,0.0,6.93,6.93,6.93,0.0,0.0,6.74,6.74,6.74,0.0,0.0,6.92,6.92,6.92,0.0,0.0
2019-08-11,6.53,6.53,6.53,0.0,0.0,6.79,6.79,6.79,0.0,0.0,6.53,6.53,6.53,0.0,0.0,6.72,6.72,6.72,0.0,0.0
2019-08-18,7.3,7.3,7.3,0.0,0.0,7.3,7.3,7.3,0.0,0.0,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0
2019-08-25,6.7,6.7,6.7,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.76,6.76,6.76,0.0,0.0
2019-09-01,6.08,6.08,6.08,0.0,0.0,6.08,6.08,6.08,0.0,0.0,5.89,5.89,5.89,0.0,0.0,5.93,5.93,5.93,0.0,0.0
2019-09-08,5.69,5.69,5.69,0.0,0.0,5.69,5.69,5.69,0.0,0.0,5.54,5.54,5.54,0.0,0.0,5.59,5.59,5.59,0.0,0.0
2019-09-15,5.78,5.78,5.78,0.0,0.0,5.78,5.78,5.78,0.0,0.0,5.65,5.65,5.65,0.0,0.0,5.66,5.66,5.66,0.0,0.0
2019-09-22,5.78,5.78,5.78,0.0,0.0,5.78,5.78,5.78,0.0,0.0,5.7,5.7,5.7,0.0,0.0,5.7,5.7,5.7,0.0,0.0
2019-09-29,6.19,6.19,6.19,0.0,0.0,6.19,6.19,6.19,0.0,0.0,6.04,6.04,6.04,0.0,0.0,6.09,6.09,6.09,0.0,0.0
2019-10-06,5.88,5.88,5.88,0.0,0.0,5.89,5.89,5.89,0.0,0.0,5.81,5.81,5.81,0.0,0.0,5.89,5.89,5.89,0.0,0.0
2019-10-13,5.51,5.51,5.51,0.0,0.0,5.57,5.57,5.57,0.0,0.0,5.35,5.35,5.35,0.0,0.0,5.36,5.36,5.36,0.0,0.0
2019-10-20,5.25,5.25,5.25,0.0,0.0,5.25,5.25,5.25,0.0,0.0,5.13,5.13,5.13,0.0,0.0,5.19,5.19,5.19,0.0,0.0
2019-10-27,4.93,4.93,4.93,0.0,0.0,4.94,4.94,4.94,0.0,0.0,4.85,4.85,4.85,0.0,0.0,4.9,4.9,4.9,0.0,0.0
2019-11-03,4.72,4.72,4.72,0.0,0.0,4.73,4.73,4.73,0.0,0.0,4.7,4.7,4.7,0.0,0.0,4.72,4.72,4.72,0.0,0.0
2019-11-10,4.74,4.74,4.74,0.0,0.0,4.75,4.75,4.75,0.0,0.0,4.69,4.69,4.69,0.0,0.0,4.69,4.69,4.69,0.0,0.0
2019-11-17,4.65,4.65,4.65,0.0,0.0,4.65,4.65,4.65,0.0,0.0,4.55,4.55,4.55,0.0,0.0,4.56,4.56,4.56,0.0,0.0
2019-11-24,4.55,4.55,4.55,0.0,0.0,4.63,4.63,4.63,0.0,0.0,4.55,4.55,4.55,0.0,0.0,4.63,4.63,4.63,0.0,0.0
2019-12-01,4.52,4.52,4.52,0.0,0.0,4.52,4.52,4.52,0.0,0.0,4.43,4.43,4.43,0.0,0.0,4.47,4.47,4.47,0.0,0.0
2019-12-08,4.15,4.15,4.15,0.0,0.0,4.23,4.23,4.23,0.0,0.0,4.15,4.15,4.15,0.0,0.0,4.23,4.23,4.23,0.0,0.0
2019-12-15,4.22,4.22,4.22,0.0,0.0,4.26,4.26,4.26,0.0,0.0,4.21,4.21,4.21,0.0,0.0,4.25,4.25,4.25,0.0,0.0
2019-12-22,4.17,4.17,4.17,0.0,0.0,4.22,4.22,4.22,0.0,0.0,4.17,4.17,4.17,0.0,0.0,4.22,4.22,4.22,0.0,0.0
2019-12-29,4.23,4.23,4.23,0.0,0.0,4.27,4.27,4.27,0.0,0.0,4.15,4.15,4.15,0.0,0.0,4.18,4.18,4.18,0.0,0.0
