Date,ProShares UltraShort Industrials_Open_average,ProShares UltraShort Industrials_Open_max,ProShares UltraShort Industrials_Open_min,ProShares UltraShort Industrials_Open_volatility,ProShares UltraShort Industrials_Open_change,ProShares UltraShort Industrials_High_average,ProShares UltraShort Industrials_High_max,ProShares UltraShort Industrials_High_min,ProShares UltraShort Industrials_High_volatility,ProShares UltraShort Industrials_High_change,ProShares UltraShort Industrials_Low_average,ProShares UltraShort Industrials_Low_max,ProShares UltraShort Industrials_Low_min,ProShares UltraShort Industrials_Low_volatility,ProShares UltraShort Industrials_Low_change,ProShares UltraShort Industrials_Close_average,ProShares UltraShort Industrials_Close_max,ProShares UltraShort Industrials_Close_min,ProShares UltraShort Industrials_Close_volatility,ProShares UltraShort Industrials_Close_change
2018-09-16,14.19,14.19,14.19,0.0,0.0,14.19,14.19,14.19,0.0,0.0,13.99,13.99,13.99,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2018-09-23,13.79,13.79,13.79,0.0,0.0,13.99,13.99,13.99,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2018-09-30,14.13,14.13,14.13,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2018-10-07,16.4,16.4,16.4,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2018-10-14,16.23,16.23,16.23,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2018-10-21,18.64,18.64,18.64,0.0,0.0,19.09,19.09,19.09,0.0,0.0,17.55,17.55,17.55,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2018-10-28,17.06,17.06,17.06,0.0,0.0,17.26,17.26,17.26,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2018-11-04,17.24,17.24,17.24,0.0,0.0,17.24,17.24,17.24,0.0,0.0,16.32,16.32,16.32,0.0,0.0,17.17,17.17,17.17,0.0,0.0
2018-11-11,17.11,17.11,17.11,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.35,17.35,17.35,0.0,0.0
2018-11-18,17.4,17.4,17.4,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.58,17.58,17.58,0.0,0.0
2018-11-25,16.18,16.18,16.18,0.0,0.0,16.21,16.21,16.21,0.0,0.0,15.64,15.64,15.64,0.0,0.0,16.21,16.21,16.21,0.0,0.0
2018-12-02,18.6,18.6,18.6,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.29,18.29,18.29,0.0,0.0
2018-12-09,18.99,18.99,18.99,0.0,0.0,19.83,19.83,19.83,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2018-12-16,22.59,22.59,22.59,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.02,22.02,22.02,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-12-23,20.13,20.13,20.13,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.21,20.21,20.21,0.0,0.0
2018-12-30,19.5,19.5,19.5,0.0,0.0,19.58,19.58,19.58,0.0,0.0,18.92,18.92,18.92,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2019-01-06,18.11,18.11,18.11,0.0,0.0,18.11,18.11,18.11,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2019-01-13,17.37,17.37,17.37,0.0,0.0,17.37,17.37,17.37,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.82,16.82,16.82,0.0,0.0
2019-01-20,17.11,17.11,17.11,0.0,0.0,17.18,17.18,17.18,0.0,0.0,16.97,16.97,16.97,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2019-01-27,16.1,16.1,16.1,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.59,15.59,15.59,0.0,0.0
2019-02-03,15.51,15.51,15.51,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2019-02-10,14.56,14.56,14.56,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2019-02-17,13.92,13.92,13.92,0.0,0.0,14.08,14.08,14.08,0.0,0.0,13.89,13.89,13.89,0.0,0.0,14.08,14.08,14.08,0.0,0.0
2019-02-24,13.85,13.85,13.85,0.0,0.0,14.46,14.46,14.46,0.0,0.0,13.85,13.85,13.85,0.0,0.0,14.27,14.27,14.27,0.0,0.0
2019-03-03,15.21,15.21,15.21,0.0,0.0,15.21,15.21,15.21,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2019-03-10,14.42,14.42,14.42,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.27,14.27,14.27,0.0,0.0
2019-03-17,14.86,14.86,14.86,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.72,14.72,14.72,0.0,0.0
2019-03-24,13.64,13.64,13.64,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.51,13.51,13.51,0.0,0.0,13.67,13.67,13.67,0.0,0.0
2019-03-31,13.38,13.38,13.38,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.45,13.45,13.45,0.0,0.0
2019-04-07,13.19,13.19,13.19,0.0,0.0,13.37,13.37,13.37,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.37,13.37,13.37,0.0,0.0
2019-04-14,13.15,13.15,13.15,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2019-04-21,13.06,13.06,13.06,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.08,13.08,13.08,0.0,0.0
2019-04-28,13.28,13.28,13.28,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.1,13.1,13.1,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2019-05-05,14.2,14.2,14.2,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.33,14.33,14.33,0.0,0.0
2019-05-12,14.08,14.08,14.08,0.0,0.0,14.17,14.17,14.17,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2019-05-19,14.16,14.16,14.16,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2019-05-26,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2019-06-02,13.43,13.43,13.43,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.02,13.02,13.02,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2019-06-09,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2019-06-16,12.73,12.73,12.73,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2019-06-23,12.39,12.39,12.39,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2019-06-30,12.78,12.78,12.78,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.78,12.78,12.78,0.0,0.0
2019-07-07,12.4,12.4,12.4,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2019-07-14,12.55,12.55,12.55,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2019-07-21,12.16,12.16,12.16,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2019-07-28,13.7,13.7,13.7,0.0,0.0,14.02,14.02,14.02,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2019-08-04,13.43,13.43,13.43,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2019-08-11,12.95,12.95,12.95,0.0,0.0,13.2,13.2,13.2,0.0,0.0,12.9,12.9,12.9,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2019-08-18,13.52,13.52,13.52,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2019-08-25,12.83,12.83,12.83,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.9,12.9,12.9,0.0,0.0
2019-09-01,12.44,12.44,12.44,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.55,12.55,12.55,0.0,0.0
2019-09-08,12.1,12.1,12.1,0.0,0.0,12.1,12.1,12.1,0.0,0.0,12.07,12.07,12.07,0.0,0.0,12.08,12.08,12.08,0.0,0.0
2019-09-15,12.48,12.48,12.48,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.45,12.45,12.45,0.0,0.0
2019-09-22,12.41,12.41,12.41,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2019-09-29,13.1,13.1,13.1,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.9,12.9,12.9,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2019-10-06,12.6,12.6,12.6,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2019-10-13,12.31,12.31,12.31,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2019-10-20,11.93,11.93,11.93,0.0,0.0,12.01,12.01,12.01,0.0,0.0,11.88,11.88,11.88,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2019-10-27,11.49,11.49,11.49,0.0,0.0,11.52,11.52,11.52,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.47,11.47,11.47,0.0,0.0
2019-11-03,11.46,11.46,11.46,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.33,11.33,11.33,0.0,0.0,11.37,11.37,11.37,0.0,0.0
2019-11-10,11.07,11.07,11.07,0.0,0.0,11.2,11.2,11.2,0.0,0.0,11.07,11.07,11.07,0.0,0.0,11.15,11.15,11.15,0.0,0.0
2019-11-17,11.11,11.11,11.11,0.0,0.0,11.11,11.11,11.11,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2019-11-24,11.0,11.0,11.0,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.34,11.34,11.34,0.0,0.0
2019-12-01,11.32,11.32,11.32,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.32,11.32,11.32,0.0,0.0,11.32,11.32,11.32,0.0,0.0
2019-12-08,10.94,10.94,10.94,0.0,0.0,11.05,11.05,11.05,0.0,0.0,10.94,10.94,10.94,0.0,0.0,11.03,11.03,11.03,0.0,0.0
2019-12-15,10.86,10.86,10.86,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2019-12-22,10.98,10.98,10.98,0.0,0.0,10.98,10.98,10.98,0.0,0.0,10.98,10.98,10.98,0.0,0.0,10.98,10.98,10.98,0.0,0.0
2019-12-29,10.81,10.81,10.81,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.74,10.74,10.74,0.0,0.0
