Date,ProShares Ultra Silver_Open_average,ProShares Ultra Silver_Open_max,ProShares Ultra Silver_Open_min,ProShares Ultra Silver_Open_volatility,ProShares Ultra Silver_Open_change,ProShares Ultra Silver_High_average,ProShares Ultra Silver_High_max,ProShares Ultra Silver_High_min,ProShares Ultra Silver_High_volatility,ProShares Ultra Silver_High_change,ProShares Ultra Silver_Low_average,ProShares Ultra Silver_Low_max,ProShares Ultra Silver_Low_min,ProShares Ultra Silver_Low_volatility,ProShares Ultra Silver_Low_change,ProShares Ultra Silver_Close_average,ProShares Ultra Silver_Close_max,ProShares Ultra Silver_Close_min,ProShares Ultra Silver_Close_volatility,ProShares Ultra Silver_Close_change
2018-05-20,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-05-27,31.33,31.33,31.33,0.0,0.0,31.44,31.44,31.44,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-06-03,32.59,32.59,32.59,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-06-10,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,30.91,30.91,30.91,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-06-17,30.63,30.63,30.63,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-06-24,29.15,29.15,29.15,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-07-01,29.92,29.92,29.92,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-07-08,28.48,28.48,28.48,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.47,28.47,28.47,0.0,0.0
2018-07-15,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-07-22,27.3,27.3,27.3,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-07-29,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2018-08-05,26.4,26.4,26.4,0.0,0.0,26.41,26.41,26.41,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-08-12,24.59,24.59,24.59,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-08-19,24.89,24.89,24.89,0.0,0.0,25.15,25.15,25.15,0.0,0.0,24.85,24.85,24.85,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-08-26,23.95,23.95,23.95,0.0,0.0,24.07,24.07,24.07,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2018-09-02,22.75,22.75,22.75,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2018-09-09,22.74,22.74,22.74,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2018-09-16,23.04,23.04,23.04,0.0,0.0,23.3,23.3,23.3,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2018-09-23,23.39,23.39,23.39,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-09-30,23.07,23.07,23.07,0.0,0.0,23.3,23.3,23.3,0.0,0.0,22.88,22.88,22.88,0.0,0.0,23.29,23.29,23.29,0.0,0.0
2018-10-07,24.28,24.28,24.28,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-10-14,23.8,23.8,23.8,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2018-10-21,24.07,24.07,24.07,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2018-10-28,23.93,23.93,23.93,0.0,0.0,24.2,24.2,24.2,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2018-11-04,22.1,22.1,22.1,0.0,0.0,22.11,22.11,22.11,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2018-11-11,23.08,23.08,23.08,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2018-11-18,22.74,22.74,22.74,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2018-11-25,23.39,23.39,23.39,0.0,0.0,23.48,23.48,23.48,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.93,22.93,22.93,0.0,0.0
2018-12-02,23.39,23.39,23.39,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2018-12-09,23.61,23.61,23.61,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2018-12-16,23.89,23.89,23.89,0.0,0.0,24.25,24.25,24.25,0.0,0.0,23.89,23.89,23.89,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2018-12-23,26.01,26.01,26.01,0.0,0.0,26.49,26.49,26.49,0.0,0.0,25.89,25.89,25.89,0.0,0.0,26.37,26.37,26.37,0.0,0.0
2018-12-30,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2019-01-06,26.83,26.83,26.83,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2019-01-13,25.97,25.97,25.97,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-01-20,26.65,26.65,26.65,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.63,26.63,26.63,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2019-01-27,27.24,27.24,27.24,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2019-02-03,26.81,26.81,26.81,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2019-02-10,26.7,26.7,26.7,0.0,0.0,27.14,27.14,27.14,0.0,0.0,26.43,26.43,26.43,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2019-02-17,27.61,27.61,27.61,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2019-02-24,24.55,24.55,24.55,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2019-03-03,25.22,25.22,25.22,0.0,0.0,25.27,25.27,25.27,0.0,0.0,24.93,24.93,24.93,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2019-03-10,25.39,25.39,25.39,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2019-03-17,25.84,25.84,25.84,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2019-03-24,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2019-03-31,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2019-04-07,23.65,23.65,23.65,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2019-04-14,24.06,24.06,24.06,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2019-04-21,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2019-04-28,23.26,23.26,23.26,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2019-05-05,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2019-05-12,21.99,21.99,21.99,0.0,0.0,22.15,22.15,22.15,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2019-05-19,22.44,22.44,22.44,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2019-05-26,22.86,22.86,22.86,0.0,0.0,23.26,23.26,23.26,0.0,0.0,22.77,22.77,22.77,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2019-06-02,23.02,23.02,23.02,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2019-06-09,23.45,23.45,23.45,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2019-06-16,24.8,24.8,24.8,0.0,0.0,25.27,25.27,25.27,0.0,0.0,24.8,24.8,24.8,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2019-06-23,24.34,24.34,24.34,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2019-06-30,23.81,23.81,23.81,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2019-07-07,24.41,24.41,24.41,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2019-07-14,27.97,27.97,27.97,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2019-07-21,28.2,28.2,28.2,0.0,0.0,28.42,28.42,28.42,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-07-28,28.2,28.2,28.2,0.0,0.0,28.6,28.6,28.6,0.0,0.0,27.65,27.65,27.65,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2019-08-04,29.86,29.86,29.86,0.0,0.0,30.63,30.63,30.63,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2019-08-11,29.88,29.88,29.88,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2019-08-18,32.25,32.25,32.25,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2019-08-25,34.59,34.59,34.59,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2019-09-01,33.66,33.66,33.66,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2019-09-08,32.65,32.65,32.65,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2019-09-15,34.87,34.87,34.87,0.0,0.0,35.74,35.74,35.74,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2019-09-22,29.88,29.88,29.88,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2019-09-29,31.14,31.14,31.14,0.0,0.0,31.41,31.41,31.41,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2019-10-06,31.25,31.25,31.25,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-10-13,32.11,32.11,32.11,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2019-10-20,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2019-10-27,33.12,33.12,33.12,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2019-11-03,28.4,28.4,28.4,0.0,0.0,28.68,28.68,28.68,0.0,0.0,27.87,27.87,27.87,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-11-10,28.94,28.94,28.94,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.84,28.84,28.84,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2019-11-17,28.68,28.68,28.68,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2019-11-24,28.5,28.5,28.5,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2019-12-01,27.39,27.39,27.39,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2019-12-08,28.74,28.74,28.74,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2019-12-15,29.77,29.77,29.77,0.0,0.0,30.3,30.3,30.3,0.0,0.0,29.76,29.76,29.76,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2019-12-22,31.71,31.71,31.71,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2019-12-29,32.55,32.55,32.55,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.2,32.2,32.2,0.0,0.0
