Date,AdvisorShares Focused Equity_Open_average,AdvisorShares Focused Equity_Open_max,AdvisorShares Focused Equity_Open_min,AdvisorShares Focused Equity_Open_volatility,AdvisorShares Focused Equity_Open_change,AdvisorShares Focused Equity_High_average,AdvisorShares Focused Equity_High_max,AdvisorShares Focused Equity_High_min,AdvisorShares Focused Equity_High_volatility,AdvisorShares Focused Equity_High_change,AdvisorShares Focused Equity_Low_average,AdvisorShares Focused Equity_Low_max,AdvisorShares Focused Equity_Low_min,AdvisorShares Focused Equity_Low_volatility,AdvisorShares Focused Equity_Low_change,AdvisorShares Focused Equity_Close_average,AdvisorShares Focused Equity_Close_max,AdvisorShares Focused Equity_Close_min,AdvisorShares Focused Equity_Close_volatility,AdvisorShares Focused Equity_Close_change
2018-06-03,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-06-10,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2018-06-17,31.51,31.51,31.51,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-06-24,31.56,31.56,31.56,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-07-01,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-07-08,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-07-15,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2018-07-22,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-07-29,33.07,33.07,33.07,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-08-05,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2018-08-12,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-08-19,33.78,33.78,33.78,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-08-26,34.12,34.12,34.12,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2018-09-02,34.26,34.26,34.26,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-09-09,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-09-16,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-09-23,34.06,34.06,34.06,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-09-30,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-10-07,31.99,31.99,31.99,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-10-14,32.22,32.22,32.22,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2018-10-21,31.1,31.1,31.1,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-10-28,32.2,32.2,32.2,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2018-11-04,32.47,32.47,32.47,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-11-11,32.2,32.2,32.2,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-11-18,31.65,31.65,31.65,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2018-11-25,32.94,32.94,32.94,0.0,0.0,33.56,33.56,33.56,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-12-02,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2018-12-09,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-12-16,28.03,28.03,28.03,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-12-23,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-12-30,28.91,28.91,28.91,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.76,28.76,28.76,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2019-01-06,29.41,29.41,29.41,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2019-01-13,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2019-01-20,30.05,30.05,30.05,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2019-01-27,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2019-02-03,31.06,31.06,31.06,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2019-02-10,31.64,31.64,31.64,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2019-02-17,32.17,32.17,32.17,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2019-02-24,32.13,32.13,32.13,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2019-03-03,31.65,31.65,31.65,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2019-03-10,32.12,32.12,32.12,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2019-03-17,31.34,31.34,31.34,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2019-03-24,32.39,32.39,32.39,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2019-03-31,32.88,32.88,32.88,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2019-04-07,33.45,33.45,33.45,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2019-04-14,32.91,32.91,32.91,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2019-04-21,33.41,33.41,33.41,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-04-28,33.59,33.59,33.59,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2019-05-05,32.69,32.69,32.69,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2019-05-12,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2019-05-19,33.4,33.4,33.4,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2019-05-26,32.95,32.95,32.95,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2019-06-02,34.5,34.5,34.5,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2019-06-09,34.38,34.38,34.38,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2019-06-16,35.0,35.0,35.0,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2019-06-23,34.61,34.61,34.61,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0
2019-06-30,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2019-07-07,35.32,35.32,35.32,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.32,35.32,35.32,0.0,0.0
2019-07-14,34.82,34.82,34.82,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2019-07-21,35.7,35.7,35.7,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2019-07-28,34.1,34.1,34.1,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2019-08-04,35.05,35.05,35.05,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2019-08-11,35.66,35.66,35.66,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2019-08-18,34.47,34.47,34.47,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2019-08-25,35.14,35.14,35.14,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-09-01,35.5,35.5,35.5,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2019-09-08,35.52,35.52,35.52,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2019-09-15,35.02,35.02,35.02,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2019-09-22,35.22,35.22,35.22,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2019-09-29,34.88,34.88,34.88,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2019-10-06,34.94,34.94,34.94,0.0,0.0,35.17,35.17,35.17,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2019-10-13,35.23,35.23,35.23,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2019-10-20,35.67,35.67,35.67,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2019-10-27,36.0,36.0,36.0,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2019-11-03,35.86,35.86,35.86,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2019-11-10,36.37,36.37,36.37,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2019-11-17,36.4,36.4,36.4,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2019-11-24,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2019-12-01,37.21,37.21,37.21,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2019-12-08,37.46,37.46,37.46,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2019-12-15,37.72,37.72,37.72,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2019-12-22,37.5,37.5,37.5,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2019-12-29,37.47,37.47,37.47,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.4,37.4,37.4,0.0,0.0
